Donald	donald	Donald
Trump	trump	Trump
has	has	ha
chosen	chosen	chosen
the	the	the
worst	worst	worst
of	of	of
the	the	the
worst	worst	worst
to	to	to
serve	serv	serve
in	in	in
his	his	his
cabinet	cabinet	cabinet
and	and	and
Republicans	republican	Republicans
are	are	are
trying	tri	trying
to	to	to
rush	rush	rush
his	his	his
nominees	nomine	nominee
through	through	through
before	befor	before
they	they	they
have	have	have
even	even	even
been	been	been
properly	proper	properly
vetted	vet	vetted
.	.	.

Four	four	Four
of	of	of
the	the	the
nine	nine	nine
nominees	nomine	nominee
with	with	with
confirmation	confirm	confirmation
hearings	hear	hearing
scheduled	schedul	scheduled
for	for	for
this	this	this
week	week	week
have	have	have
yet	yet	yet
to	to	to
complete	complet	complete
the	the	the
ethics	ethic	ethic
review	review	review
.	.	.
Last	last	Last
week	week	week
,	,	,
the	the	the
Office	offic	Office
of	of	of
Government	govern	Government
Ethics	ethic	Ethics
warned	warn	warned
that	that	that
several	sever	several
of	of	of
Trump	trump	Trump
s	s	s
cabinet	cabinet	cabinet
picks	pick	pick
have	have	have
yet	yet	yet
to	to	to
complete	complet	complete
the	the	the
vetting	vet	vetting
process	process	process
,	,	,
leaving	leav	leaving
the	the	the
door	door	door
wide	wide	wide
open	open	open
for	for	for
potentially	potenti	potentially
unknown	unknown	unknown
or	or	or
unresolved	unresolv	unresolved
ethics	ethic	ethic
issues	issu	issue
.	.	.

But	but	But
Republicans	republican	Republicans
don	don	don
t	t	t
give	give	give
a	a	a
damn	damn	damn
.	.	.

At	at	At
least	least	least
not	not	not
now	now	now
.	.	.

A	a	A
few	few	few
years	year	year
ago	ago	ago
,	,	,
though	though	though
,	,	,
they	they	they
cared	care	cared
a	a	a
lot	lot	lot
.	.	.
Senate	senat	Senate
Majority	major	Majority
Leader	leader	Leader
Mitch	mitch	Mitch
McConnell	mcconnel	McConnell
,	,	,
in	in	in
particular	particular	particular
,	,	,
used	use	used
to	to	to
have	have	have
very	veri	very
strong	strong	strong
feelings	feel	feeling
about	about	about
the	the	the
process	process	process
nominees	nomine	nominee
are	are	are
to	to	to
go	go	go
through	through	through
to	to	to
be	be	be
confirmed	confirm	confirmed
.	.	.

In	in	In
2009	2009	2009
,	,	,
when	when	when
he	he	he
was	was	wa
just	just	just
a	a	a
senator	senat	senator
,	,	,
he	he	he
wrote	wrote	wrote
a	a	a
letter	letter	letter
to	to	to
then	then	then
-Senate	-senat	-Senate
Majority	major	Majority
Leader	leader	Leader
Harry	harri	Harry
Reid	reid	Reid
which	which	which
included	includ	included
a	a	a
list	list	list
of	of	of
certain	certain	certain
standards	standard	standard
that	that	that
must	must	must
be	be	be
met	met	met
before	befor	before
a	a	a
confirmation	confirm	confirmation
hearing	hear	hearing
could	could	could
even	even	even
be	be	be
scheduled	schedul	scheduled
.	.	.
Go	go	Go
figure	figur	figure
,	,	,
number	number	number
three	three	three
on	on	on
this	this	this
list	list	list
dealt	dealt	dealt
with	with	with
financial	financi	financial
disclosures	disclosur	disclosure
,	,	,
the	the	the
very	veri	very
issue	issu	issue
Trump	trump	Trump
s	s	s
picks	pick	pick
are	are	are
having	have	having
such	such	such
a	a	a
hard	hard	hard
time	time	time
with	with	with
.	.	.

Taxes	tax	Taxes
are	are	are
examined	examin	examined
because	becaus	because
they	they	they
reveal	reveal	reveal
potential	potenti	potential
conflicts	conflict	conflict
of	of	of
interest	interest	interest
,	,	,
but	but	but
following	follow	following
Trump	trump	Trump
s	s	s
lead	lead	lead
,	,	,
his	his	his
nominees	nomine	nominee
don	don	don
t	t	t
want	want	want
to	to	to
come	come	come
up	up	up
off	off	off
their	their	their
financial	financi	financial
records	record	record
.	.	.
When	when	When
it	it	it
was	was	wa
Obama	obama	Obama
s	s	s
nominees	nomine	nominee
in	in	in
question	question	question
,	,	,
McConnell	mcconnel	McConnell
wanted	want	wanted
them	them	them
vetted	vet	vetted
to	to	to
the	the	the
fullest	fullest	fullest
.	.	.

However	howev	However
,	,	,
now	now	now
that	that	that
Trump	trump	Trump
is	is	is
the	the	the
one	one	one
making	make	making
the	the	the
nominations	nomin	nomination
,	,	,
he	he	he
is	is	is
ready	readi	ready
to	to	to
push	push	push
them	them	them
through	through	through
without	without	without
question	question	question
.	.	.
Senate	senat	Senate
Minority	minor	Minority
Leader	leader	Leader
Chuck	chuck	Chuck
Schumer	schumer	Schumer
knew	knew	knew
just	just	just
how	how	how
to	to	to
deal	deal	deal
with	with	with
McConnell	mcconnel	McConnell
s	s	s
jaw	jaw	jaw
-dropping	-drop	-dropping
hypocrisy	hypocrisi	hypocrisy
.	.	.

Schumer	schumer	Schumer
read	read	read
McConnell	mcconnel	McConnell
s	s	s
letter	letter	letter
on	on	on
the	the	the
Senate	senat	Senate
floor	floor	floor
Monday	monday	Monday
afternoon	afternoon	afternoon
.	.	.

I	i	I
only	onli	only
ask	ask	ask
,	,	,
respectfully	respect	respectfully
,	,	,
that	that	that
the	the	the
Republican	republican	Republican
majority	major	majority
follow	follow	follow
the	the	the
same	same	same
set	set	set
of	of	of
standards	standard	standard
they	they	they
had	had	had
in	in	in
2009	2009	2009
when	when	when
the	the	the
shoe	shoe	shoe
was	was	wa
on	on	on
the	the	the
other	other	other
foot	foot	foot
,	,	,
Schumer	schumer	Schumer
said	said	said
on	on	on
the	the	the
floor	floor	floor
.	.	.
Schumer	schumer	Schumer
presented	present	presented
McConnell	mcconnel	McConnell
with	with	with
a	a	a
copy	copi	copy
of	of	of
the	the	the
letter	letter	letter
,	,	,
but	but	but
with	with	with
a	a	a
few	few	few
minor	minor	minor
changes	chang	change
,	,	,
and	and	and
successfully	success	successfully
smacked	smack	smacked
him	him	him
down	down	down
with	with	with
his	his	his
very	veri	very
own	own	own
words	word	word
.	.	.

While	while	While
the	the	the
original	origin	original
was	was	wa
addressed	address	addressed
to	to	to
Reid	reid	Reid
,	,	,
Schumer	schumer	Schumer
scratched	scratch	scratched
out	out	out
his	his	his
name	name	name
and	and	and
replaced	replac	replaced
it	it	it
with	with	with
McConnell	mcconnel	McConnell
s	s	s
.	.	.

He	he	He
also	also	also
scratched	scratch	scratched
out	out	out
McConnell	mcconnel	McConnell
s	s	s
original	origin	original
signature	signatur	signature
and	and	and
signed	sign	signed
his	his	his
own	own	own
name	name	name
instead	instead	instead
.	.	.

You	you	You
can	can	can
see	see	see
the	the	the
changes	chang	change
below	below	below
