Donald	donald	Donald
Trump	trump	Trump
took	took	took
his	his	his
angry	angri	angry
little	littl	little
fingers	finger	finger
to	to	to
his	his	his
Twitter	twitter	Twitter
account	account	account
Thursday	thursday	Thursday
morning	morn	morning
,	,	,
threatening	threaten	threatening
to	to	to
abandon	abandon	abandon
recovery	recoveri	recovery
efforts	effort	effort
in	in	in
Puerto	puerto	Puerto
Rico	rico	Rico
where	where	where
the	the	the
majority	major	majority
of	of	of
the	the	the
hurricane	hurrican	hurricane
-devastated	-devast	-devastated
island	island	island
s	s	s
residents	resid	resident
remain	remain	remain
without	without	without
power	power	power
,	,	,
water	water	water
and	and	and
food	food	food
.	.	.
Puerto	puerto	Puerto
Rico	rico	Rico
Gov	gov	Gov
.	.	.

Ricardo	ricardo	Ricardo
Rossello	rossello	Rossello
immediately	immedi	immediately
responded	respond	responded
on	on	on
Thursday	thursday	Thursday
to	to	to
President	presid	President
Trump	trump	Trump
s	s	s
warning	warn	warning
,	,	,
saying	say	saying
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
territory	territori	territory
s	s	s
residents	resid	resident
are	are	are
only	onli	only
asking	ask	asking
for	for	for
the	the	the
same	same	same
assistance	assist	assistance
that	that	that
other	other	other
Americans	american	Americans
would	would	would
receive	receiv	receive
.	.	.

You	you	You
know	know	know
,	,	,
like	like	like
in	in	in
Texas	texa	Texas
and	and	and
Florida	florida	Florida
,	,	,
two	two	two
states	state	state
which	which	which
helped	help	helped
bring	bring	bring
Trump	trump	Trump
to	to	to
power	power	power
.	.	.

And	and	And
yet	yet	yet
,	,	,
Trump	trump	Trump
did	did	did
not	not	not
issue	issu	issue
threats	threat	threat
to	to	to
those	those	those
states	state	state
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
citizens	citizen	citizen
in	in	in
Puerto	puerto	Puerto
Rico	rico	Rico
are	are	are
requesting	request	requesting
the	the	the
support	support	support
that	that	that
any	ani	any
of	of	of
our	our	our
fellow	fellow	fellow
citizens	citizen	citizen
would	would	would
receive	receiv	receive
across	across	across
our	our	our
Nation	nation	Nation
,	,	,
Rossello	rossello	Rossello
tweeted	tweet	tweeted
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
citizens	citizen	citizen
in	in	in
Puerto	puerto	Puerto
Rico	rico	Rico
are	are	are
requesting	request	requesting
the	the	the
support	support	support
that	that	that
any	ani	any
of	of	of
our	our	our
fellow	fellow	fellow
citizens	citizen	citizen
would	would	would
receive	receiv	receive
across	across	across
our	our	our
Nation	nation	Nation
.	.	.

Ricardo	ricardo	Ricardo
Rossello	rossello	Rossello
@ricardorossello	@ricardorossello	@ricardorossello
October	octob	October
12	12	12
,	,	,
2017Some	2017some	2017Some
Puerto	puerto	Puerto
Rican	rican	Rican
officials	offici	official
,	,	,
like	like	like
San	san	San
Juan	juan	Juan
Mayor	mayor	Mayor
Carmen	carmen	Carmen
Yul	yul	Yul
n	n	n
Cruz	cruz	Cruz
,	,	,
have	have	have
pleaded	plead	pleaded
for	for	for
help	help	help
,	,	,
but	but	but
in	in	in
return	return	return
,	,	,
she	she	she
received	receiv	received
a	a	a
backlash	backlash	backlash
of	of	of
hate	hate	hate
from	from	from
the	the	the
amateur	amateur	amateur
president	presid	president
who	who	who
called	call	called
her	her	her
nasty	nasti	nasty
.	.	.

Cruz	cruz	Cruz
shamed	shame	shamed
Trump	trump	Trump
on	on	on
Twitter	twitter	Twitter
Thursday	thursday	Thursday
.	.	.

It	it	It
is	is	is
not	not	not
that	that	that
you	you	you
do	do	do
not	not	not
get	get	get
it	it	it
;	;	;
you	you	you
are	are	are
incapable	incap	incapable
of	of	of
fulfilling	fulfil	fulfilling
the	the	the
moral	moral	moral
imperative	imper	imperative
to	to	to
help	help	help
the	the	the
people	peopl	people
of	of	of
PR	pr	PR
,	,	,
she	she	she
tweeted	tweet	tweeted
.	.	.

Shame	shame	Shame
on	on	on
you	you	you
!	!	!

@POTUS	@potus	@POTUS
It	it	It
is	is	is
not	not	not
that	that	that
you	you	you
do	do	do
not	not	not
get	get	get
it	it	it
;	;	;
you	you	you
are	are	are
incapable	incap	incapable
of	of	of
fulfilling	fulfil	fulfilling
the	the	the
moral	moral	moral
imperative	imper	imperative
to	to	to
help	help	help
the	the	the
people	peopl	people
of	of	of
PR	pr	PR
.	.	.

Shame	shame	Shame
on	on	on
you	you	you
.	.	.
!	!	!

Carmen	carmen	Carmen
Yul	yul	Yul
n	n	n
Cruz	cruz	Cruz
@CarmenYulinCruz	@carmenyulincruz	@CarmenYulinCruz
October	octob	October
12	12	12
,	,	,
2017Flashback	2017flashback	2017Flashback
I	i	I
say	say	say
to	to	to
all	all	all
of	of	of
you	you	you
gathered	gather	gathered
here	here	here
today	today	today
to	to	to
the	the	the
people	peopl	people
of	of	of
Puerto	puerto	Puerto
Rico	rico	Rico
We	we	We
are	are	are
with	with	with
you	you	you
,	,	,
we	we	we
stand	stand	stand
with	with	with
you	you	you
,	,	,
and	and	and
we	we	we
will	will	will
be	be	be
with	with	with
you	you	you
every	everi	every
single	singl	single
day	day	day
until	until	until
Puerto	puerto	Puerto
Rico	rico	Rico
is	is	is
restored	restor	restored
bigger	bigger	bigger
and	and	and
better	better	better
than	than	than
ever	ever	ever
before	befor	before
,	,	,
Mike	mike	Mike
Pence	penc	Pence
said	said	said
just	just	just
last	last	last
week	week	week
.	.	.
Trump	trump	Trump
said	said	said
basically	basic	basically
the	the	the
same	same	same
thing	thing	thing
in	in	in
a	a	a
Sept	sept	Sept
.	.	.

29	29	29
speech	speech	speech
,	,	,
We	we	We
will	will	will
not	not	not
rest	rest	rest
,	,	,
however	howev	however
,	,	,
until	until	until
the	the	the
people	peopl	people
of	of	of
Puerto	puerto	Puerto
Rico	rico	Rico
are	are	are
safe	safe	safe
.	.	.

Trump	trump	Trump
added	ad	added
These	these	These
are	are	are
great	great	great
people	peopl	people
.	.	.

We	we	We
want	want	want
them	them	them
to	to	to
be	be	be
safe	safe	safe
and	and	and
sound	sound	sound
and	and	and
secure	secur	secure
.	.	.

And	and	And
we	we	we
will	will	will
be	be	be
there	there	there
every	everi	every
day	day	day
until	until	until
that	that	that
happens	happen	happens
.	.	.

Two	two	Two
weeks	week	week
later	later	later
,	,	,
Trump	trump	Trump
threatens	threaten	threatens
to	to	to
pull	pull	pull
recovery	recoveri	recovery
efforts	effort	effort
from	from	from
the	the	the
island	island	island
while	while	while
shaming	shame	shaming
the	the	the
island	island	island
for	for	for
its	it	it
debt	debt	debt
even	even	even
though	though	though
he	he	he
filed	file	filed
for	for	for
bankruptcy	bankruptci	bankruptcy
six	six	six
times	time	time
.	.	.
Photo	photo	Photo
by	by	by
Andrew	andrew	Andrew
Harrer	harrer	Harrer
-Pool	-pool	-Pool
Getty	getti	Getty
Images	imag	Images

