Lots	lot	Lots
of	of	of
confusing	confus	confusing
reports	report	report
on	on	on
this	this	this
but	but	but
we	we	we
have	have	have
the	the	the
latest	latest	latest
info	info	info
.	.	.

that	that	that
s	s	s
telling	tell	telling
us	us	u
more	more	more
details	detail	detail
.	.	.
Iranian	iranian	Iranian
patrol	patrol	patrol
vessels	vessel	vessel
fired	fire	fired
warning	warn	warning
shots	shot	shot
across	across	across
the	the	the
bridge	bridg	bridge
of	of	of
a	a	a
Marshall	marshal	Marshall
Islands	island	Islands
-flagged	-flag	-flagged
cargo	cargo	cargo
vessel	vessel	vessel
that	that	that
was	was	wa
traversing	travers	traversing
the	the	the
Strait	strait	Strait
of	of	of
Hormuz	hormuz	Hormuz
in	in	in
Iranian	iranian	Iranian
territorial	territori	territorial
waters	water	water
,	,	,
a	a	a
Pentagon	pentagon	Pentagon
official	offici	official
said	said	said
Tuesday	tuesday	Tuesday
.	.	.
Col	col	Col
.	.	.

Steve	steve	Steve
Warren	warren	Warren
,	,	,
a	a	a
Pentagon	pentagon	Pentagon
spokesman	spokesman	spokesman
,	,	,
said	said	said
the	the	the
cargo	cargo	cargo
ship	ship	ship
s	s	s
master	master	master
had	had	had
initially	initi	initially
refused	refus	refused
an	an	an
Iranian	iranian	Iranian
order	order	order
to	to	to
move	move	move
further	further	further
into	into	into
Iranian	iranian	Iranian
waters	water	water
,	,	,
but	but	but
after	after	after
the	the	the
warning	warn	warning
shots	shot	shot
were	were	were
fired	fire	fired
the	the	the
MV	mv	MV
Maersk	maersk	Maersk
Tigris	tigri	Tigris
complied	compli	complied
.	.	.
The	the	The
cargo	cargo	cargo
ship	ship	ship
,	,	,
which	which	which
had	had	had
more	more	more
than	than	than
30	30	30
people	peopl	people
aboard	aboard	aboard
,	,	,
was	was	wa
directed	direct	directed
to	to	to
waters	water	water
near	near	near
Larak	larak	Larak
Island	island	Island
,	,	,
he	he	he
said	said	said
.	.	.

It	it	It
is	is	is
inappropriate	inappropri	inappropriate
for	for	for
the	the	the
Iranians	iranian	Iranians
to	to	to
have	have	have
fired	fire	fired
warning	warn	warning
shots	shot	shot
across	across	across
the	the	the
ship	ship	ship
s	s	s
bridge	bridg	bridge
in	in	in
those	those	those
circumstances	circumst	circumstance
,	,	,
Warren	warren	Warren
said	said	said
,	,	,
adding	ad	adding
that	that	that
it	it	it
was	was	wa
too	too	too
early	earli	early
to	to	to
know	know	know
whether	whether	whether
the	the	the
Iranian	iranian	Iranian
intervention	intervent	intervention
amounted	amount	amounted
to	to	to
a	a	a
violation	violat	violation
of	of	of
the	the	the
freedom	freedom	freedom
of	of	of
navigation	navig	navigation
through	through	through
a	a	a
waterway	waterway	waterway
heavily	heavili	heavily
used	use	used
by	by	by
international	intern	international
shipping	ship	shipping
.	.	.
Warren	warren	Warren
said	said	said
the	the	the
cargo	cargo	cargo
ship	ship	ship
has	has	ha
been	been	been
boarded	board	boarded
by	by	by
Iranians	iranian	Iranians
,	,	,
but	but	but
no	no	no
one	one	one
has	has	ha
been	been	been
injured	injur	injured
and	and	and
no	no	no
Americans	american	Americans
are	are	are
involved	involv	involved
.	.	.

The	the	The
Iranian	iranian	Iranian
vessels	vessel	vessel
,	,	,
numbering	number	numbering
five	five	five
or	or	or
six	six	six
,	,	,
were	were	were
with	with	with
the	the	the
Iranian	iranian	Iranian
Revolutionary	revolutionari	Revolutionary
Guard	guard	Guard
Corps	corp	Corps
Navy	navi	Navy
,	,	,
he	he	he
said	said	said
.	.	.
Warren	warren	Warren
said	said	said
the	the	the
cargo	cargo	cargo
ship	ship	ship
issued	issu	issued
a	a	a
distress	distress	distress
call	call	call
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
Naval	naval	Naval
Forces	forc	Forces
Central	central	Central
Command	command	Command
,	,	,
based	base	based
in	in	in
the	the	the
area	area	area
,	,	,
sent	sent	sent
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
destroyer	destroy	destroyer
,	,	,
the	the	the
USS	uss	USS
Farragut	farragut	Farragut
,	,	,
and	and	and
a	a	a
Navy	navi	Navy
maritime	maritim	maritime
patrol	patrol	patrol
and	and	and
reconnaissance	reconnaiss	reconnaissance
aircraft	aircraft	aircraft
to	to	to
the	the	the
area	area	area
of	of	of
the	the	the
incident	incid	incident
to	to	to
monitor	monitor	monitor
the	the	the
situation	situat	situation
.	.	.
The	the	The
incident	incid	incident
began	began	began
at	at	at
about	about	about
4	4	4
05	05	05
a	a	a
.	.	.
m	m	m
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
Eastern	eastern	Eastern
Daylight	daylight	Daylight
Time	time	Time
,	,	,
Warren	warren	Warren
said	said	said
.	.	.
The	the	The
spokesman	spokesman	spokesman
said	said	said
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
has	has	ha
certain	certain	certain
obligations	oblig	obligation
to	to	to
defend	defend	defend
the	the	the
interests	interest	interest
of	of	of
the	the	the
Marshall	marshal	Marshall
Islands	island	Islands
,	,	,
but	but	but
he	he	he
was	was	wa
uncertain	uncertain	uncertain
how	how	how
those	those	those
obligations	oblig	obligation
apply	appli	apply
in	in	in
this	this	this
situation	situat	situation
.	.	.
Read	read	Read
more	more	more
AP	ap	AP

