Donald	donald	Donald
Trump	trump	Trump
is	is	is
a	a	a
misogynist	misogynist	misogynist
.	.	.

We	we	We
all	all	all
know	know	know
that	that	that
.	.	.

He	he	He
has	has	ha
demonstrated	demonstr	demonstrated
it	it	it
many	mani	many
times	time	time
,	,	,
and	and	and
anyone	anyon	anyone
with	with	with
access	access	access
to	to	to
cable	cabl	cable
or	or	or
the	the	the
internet	internet	internet
has	has	ha
seen	seen	seen
the	the	the
numerous	numer	numerous
advertisements	advertis	advertisement
from	from	from
Democratic	democrat	Democratic
presidential	presidenti	presidential
nominee	nomine	nominee
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
using	use	using
Trump	trump	Trump
s	s	s
own	own	own
words	word	word
as	as	a
we	we	we
see	see	see
images	imag	image
of	of	of
young	young	young
girls	girl	girl
and	and	and
women	women	woman
with	with	with
body	bodi	body
image	imag	image
issues	issu	issue
.	.	.

That	that	That
s	s	s
to	to	to
say	say	say
nothing	noth	nothing
of	of	of
the	the	the
week	week	week
-long	-long	-long
weight	weight	weight
-shaming	-shame	-shaming
episode	episod	episode
he	he	he
engaged	engag	engaged
in	in	in
with	with	with
the	the	the
winner	winner	winner
of	of	of
Miss	miss	Miss
Universe	univers	Universe
1996	1996	1996
,	,	,
Alicia	alicia	Alicia
Machado	machado	Machado
,	,	,
who	who	who
revealed	reveal	revealed
that	that	that
Trump	trump	Trump
publicly	public	publicly
humiliated	humili	humiliated
her	her	her
during	dure	during
her	her	her
reign	reign	reign
for	for	for
putting	put	putting
on	on	on
a	a	a
few	few	few
pounds	pound	pound
,	,	,
and	and	and
even	even	even
referred	refer	referred
to	to	to
her	her	her
as	as	a
Miss	miss	Miss
Piggy	piggi	Piggy
.	.	.

As	as	As
horrific	horrif	horrific
as	as	a
all	all	all
of	of	of
those	those	those
examples	exampl	example
are	are	are
,	,	,
though	though	though
,	,	,
that	that	that
s	s	s
nothing	noth	nothing
compared	compar	compared
to	to	to
what	what	what
has	has	ha
just	just	just
been	been	been
released	releas	released
.	.	.

It	it	It
is	is	is
a	a	a
2005	2005	2005
conversation	convers	conversation
between	between	between
Trump	trump	Trump
and	and	and
Billy	billi	Billy
Bush	bush	Bush
,	,	,
who	who	who
worked	work	worked
for	for	for
Access	access	Access
Hollywood	hollywood	Hollywood
at	at	at
the	the	the
time	time	time
.	.	.

Trump	trump	Trump
and	and	and
Bush	bush	Bush
were	were	were
on	on	on
a	a	a
bus	bus	bus
,	,	,
and	and	and
they	they	they
were	were	were
discussing	discuss	discussing
women	women	woman
s	s	s
bodies	bodi	body
.	.	.

Trump	trump	Trump
had	had	had
only	onli	only
been	been	been
married	marri	married
to	to	to
Melania	melania	Melania
for	for	for
eight	eight	eight
months	month	month
at	at	at
the	the	the
time	time	time
,	,	,
but	but	but
he	he	he
was	was	wa
going	go	going
on	on	on
and	and	and
on	on	on
about	about	about
some	some	some
married	marri	married
woman	woman	woman
he	he	he
had	had	had
been	been	been
attempting	attempt	attempting
to	to	to
sleep	sleep	sleep
with	with	with
.	.	.

On	on	On
the	the	the
audio	audio	audio
,	,	,
Trump	trump	Trump
s	s	s
clearly	clear	clearly
recognizable	recogniz	recognizable
voice	voic	voice
can	can	can
be	be	be
heard	heard	heard
saying	say	saying
I	i	I
moved	move	moved
on	on	on
her	her	her
actually	actual	actually
,	,	,
she	she	she
was	was	wa
down	down	down
in	in	in
Palm	palm	Palm
Beach	beach	Beach
and	and	and
I	i	I
