Donald	donald	Donald
Trump	trump	Trump
has	has	ha
repeatedly	repeat	repeatedly
shown	shown	shown
that	that	that
he	he	he
has	has	ha
zero	zero	zero
respect	respect	respect
for	for	for
the	the	the
independent	independ	independent
judiciary	judiciari	judiciary
.	.	.
Every	everi	Every
time	time	time
a	a	a
judge	judg	judge
rules	rule	rule
in	in	in
a	a	a
way	way	way
he	he	he
dislikes	dislik	dislike
,	,	,
he	he	he
attacks	attack	attack
the	the	the
judge	judg	judge
,	,	,
the	the	the
court	court	court
system	system	system
,	,	,
and	and	and
claims	claim	claim
that	that	that
he	he	he
is	is	is
the	the	the
victim	victim	victim
of	of	of
some	some	some
kind	kind	kind
of	of	of
political	polit	political
witch	witch	witch
hunt	hunt	hunt
.	.	.
Therefore	therefor	Therefore
,	,	,
it	it	it
should	should	should
come	come	come
as	as	a
no	no	no
surprise	surpris	surprise
that	that	that
he	he	he
has	has	ha
flat	flat	flat
-out	-out	-out
refused	refus	refused
to	to	to
hand	hand	hand
over	over	over
a	a	a
key	key	key
memo	memo	memo
,	,	,
drawn	drawn	drawn
up	up	up
by	by	by
mega	mega	mega
Trump	trump	Trump
fan	fan	fan
and	and	and
former	former	former
New	new	New
York	york	York
City	citi	City
Mayor	mayor	Mayor
Rudy	rudi	Rudy
Giuliani	giuliani	Giuliani
.	.	.
We	we	We
all	all	all
remember	rememb	remember
how	how	how
Giuliani	giuliani	Giuliani
went	went	went
on	on	on
Fox	fox	Fox
News	news	News
and	and	and
admitted	admit	admitted
that	that	that
Trump	trump	Trump
had	had	had
asked	ask	asked
him	him	him
to	to	to
find	find	find
a	a	a
way	way	way
to	to	to
keep	keep	keep
the	the	the
oft	oft	oft
-touted	-tout	-touted
campaign	campaign	campaign
promise	promis	promise
of	of	of
banning	ban	banning
Muslims	muslim	Muslims
but	but	but
,	,	,
of	of	of
course	cours	course
,	,	,
to	to	to
make	make	make
sure	sure	sure
whatever	whatev	whatever
order	order	order
they	they	they
came	came	came
up	up	up
with	with	with
to	to	to
do	do	do
that	that	that
passed	pass	passed
Constitutional	constitut	Constitutional
muster	muster	muster
.	.	.
Given	given	Given
these	these	these
damning	damn	damning
words	word	word
,	,	,
it	it	it
s	s	s
no	no	no
surprise	surpris	surprise
that	that	that
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
want	want	want
a	a	a
judge	judg	judge
to	to	to
see	see	see
the	the	the
memo	memo	memo
that	that	that
Giuliani	giuliani	Giuliani
drew	drew	drew
up	up	up
for	for	for
him	him	him
.	.	.
The	the	The
American	american	American
Civil	civil	Civil
Liberties	liberti	Liberties
Union	union	Union
is	is	is
taking	take	taking
Trump	trump	Trump
s	s	s
lawlessness	lawless	lawlessness
on	on	on
,	,	,
though	though	though
.	.	.
Miriam	miriam	Miriam
Aukerman	aukerman	Aukerman
,	,	,
Senior	senior	Senior
Staff	staff	Staff
Attorney	attorney	Attorney
for	for	for
the	the	the
ACLU	aclu	ACLU
of	of	of
Michigan	michigan	Michigan
,	,	,
says	say	say
of	of	of
the	the	the
situation	situat	situation
If	if	If
,	,	,
as	as	a
the	the	the
administration	administr	administration
claims	claim	claim
,	,	,
the	the	the
Executive	execut	Executive
Order	order	Order
is	is	is
not	not	not
a	a	a
Muslim	muslim	Muslim
Ban	ban	Ban
,	,	,
then	then	then
why	whi	why
is	is	is
the	the	the
administration	administr	administration
refusing	refus	refusing
to	to	to
turn	turn	turn
over	over	over
the	the	the
Giuliani	giuliani	Giuliani
memo	memo	memo
?	?	?
What	what	What
is	is	is
in	in	in
that	that	that
document	document	document
that	that	that
the	the	the
government	govern	government
doesn	doesn	doesn
t	t	t
want	want	want
the	the	the
court	court	court
to	to	to
see	see	see
?	?	?
The	the	The
ACLU	aclu	ACLU
,	,	,
along	along	along
with	with	with
several	sever	several
state	state	state
Attorneys	attorney	Attorneys
General	general	General
and	and	and
other	other	other
civil	civil	civil
rights	right	right
organizations	organ	organization
have	have	have
sued	su	sued
Trump	trump	Trump
and	and	and
his	his	his
government	govern	government
over	over	over
the	the	the
obvious	obvious	obvious
discrimination	discrimin	discrimination
,	,	,
and	and	and
it	it	it
is	is	is
pretty	pretti	pretty
clear	clear	clear
that	that	that
they	they	they
are	are	are
not	not	not
done	done	done
fighting	fight	fighting
.	.	.
Trump	trump	Trump
was	was	wa
supposed	suppos	supposed
to	to	to
have	have	have
that	that	that
memo	memo	memo
to	to	to
a	a	a
judge	judg	judge
in	in	in
Detroit	detroit	Detroit
by	by	by
May	may	May
19	19	19
,	,	,
and	and	and
it	it	it
has	has	ha
yet	yet	yet
to	to	to
materialize	materi	materialize
.	.	.
We	we	We
all	all	all
know	know	know
why	whi	why
Trump	trump	Trump
s	s	s
Executive	execut	Executive
Order	order	Order
is	is	is
most	most	most
definitely	definit	definitely
a	a	a
Muslim	muslim	Muslim
ban	ban	ban
,	,	,
and	and	and
that	that	that
memo	memo	memo
will	will	will
show	show	show
it	it	it
.	.	.
Hell	hell	Hell
,	,	,
I	i	I
don	don	don
t	t	t
know	know	know
who	who	who
they	they	they
think	think	think
they	they	they
are	are	are
fooling	fool	fooling
here	here	here
.	.	.
Giuliani	giuliani	Giuliani
himself	himself	himself
admitted	admit	admitted
that	that	that
this	this	this
is	is	is
what	what	what
Trump	trump	Trump
had	had	had
asked	ask	asked
him	him	him
to	to	to
do	do	do
.	.	.
We	we	We
also	also	also
,	,	,
of	of	of
course	cours	course
,	,	,
have	have	have
Trump	trump	Trump
s	s	s
own	own	own
words	word	word
to	to	to
prove	prove	prove
exactly	exact	exactly
what	what	what
the	the	the
intent	intent	intent
is	is	is
here	here	here
as	as	a
well	well	well
.	.	.
Trump	trump	Trump
is	is	is
quickly	quick	quickly
learning	learn	learning
that	that	that
no	no	no
one	one	one
is	is	is
above	abov	above
the	the	the
law	law	law
in	in	in
this	this	this
nation	nation	nation
not	not	not
even	even	even
the	the	the
so	so	so
-called	-call	-called
president	presid	president
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Michael	michael	Michael
Reynolds	reynold	Reynolds
Getty	getti	Getty
Images	imag	Images
