You	you	You
know	know	know
,	,	,
because	becaus	because
in	in	in
fantasyland	fantasyland	fantasyland
Republicans	republican	Republicans
never	never	never
questioned	question	questioned
the	the	the
citizenship	citizenship	citizenship
of	of	of
America	america	America
s	s	s
first	first	first
black	black	black
president	presid	president
.	.	.
But	but	But
that	that	that
s	s	s
exactly	exact	exactly
what	what	what
they	they	they
did	did	did
for	for	for
years	year	year
and	and	and
Donald	donald	Donald
Trump	trump	Trump
led	led	led
the	the	the
charge	charg	charge
by	by	by
going	go	going
on	on	on
or	or	or
calling	call	calling
into	into	into
Fox	fox	Fox
News	news	News
every	everi	every
chance	chanc	chance
he	he	he
could	could	could
in	in	in
order	order	order
to	to	to
demand	demand	demand
President	presid	President
Obama	obama	Obama
s	s	s
birth	birth	birth
certificate	certif	certificate
.	.	.
It	it	It
was	was	wa
Trump	trump	Trump
who	who	who
constantly	constant	constantly
claimed	claim	claimed
President	presid	President
Obama	obama	Obama
was	was	wa
born	born	born
in	in	in
Kenya	kenya	Kenya
even	even	even
though	though	though
Hawaii	hawaii	Hawaii
newspapers	newspap	newspaper
from	from	from
the	the	the
time	time	time
announce	announc	announce
Obama	obama	Obama
s	s	s
birth	birth	birth
.	.	.
Trump	trump	Trump
and	and	and
his	his	his
birther	birther	birther
fans	fan	fan
were	were	were
finally	final	finally
utterly	utter	utterly
humiliated	humili	humiliated
when	when	when
President	presid	President
Obama	obama	Obama
released	releas	released
his	his	his
birth	birth	birth
certificate	certif	certificate
to	to	to
the	the	the
public	public	public
.	.	.
And	and	And
now	now	now
that	that	that
birtherism	birther	birtherism
is	is	is
coming	come	coming
back	back	back
to	to	to
bite	bite	bite
Trump	trump	Trump
on	on	on
the	the	the
ass	ass	as
as	as	a
he	he	he
tries	tri	try
to	to	to
convince	convinc	convince
black	black	black
voters	voter	voter
that	that	that
he	he	he
isn	isn	isn
t	t	t
a	a	a
racist	racist	racist
.	.	.
Part	part	Part
of	of	of
the	the	the
reason	reason	reason
why	whi	why
black	black	black
voters	voter	voter
reject	reject	reject
Trump	trump	Trump
is	is	is
because	becaus	because
he	he	he
questioned	question	questioned
the	the	the
citizenship	citizenship	citizenship
of	of	of
President	presid	President
Obama	obama	Obama
simply	simpli	simply
because	becaus	because
he	he	he
is	is	is
black	black	black
.	.	.
But	but	But
Trump	trump	Trump
wants	want	want
everyone	everyon	everyone
to	to	to
pretend	pretend	pretend
he	he	he
didn	didn	didn
t	t	t
say	say	say
any	ani	any
nasty	nasti	nasty
things	thing	thing
about	about	about
President	presid	President
Obama	obama	Obama
and	and	and
Trump	trump	Trump
pawn	pawn	pawn
Rudy	rudi	Rudy
Giuliani	giuliani	Giuliani
is	is	is
demanding	demand	demanding
that	that	that
Democrats	democrat	Democrats
apologize	apolog	apologize
for	for	for
Trump	trump	Trump
s	s	s
birtherism	birther	birtherism
.	.	.
Giuliani	giuliani	Giuliani
,	,	,
who	who	who
has	has	ha
taken	taken	taken
to	to	to
forgetting	forget	forgetting
about	about	about
