American	american	American
taxpayers	taxpay	taxpayer
who	who	who
expected	expect	expected
Donald	donald	Donald
Trump	trump	Trump
to	to	to
work	work	work
hard	hard	hard
for	for	for
them	them	them
are	are	are
going	go	going
to	to	to
be	be	be
sorely	sore	sorely
disappointed	disappoint	disappointed
when	when	when
they	they	they
see	see	see
this	this	this
.	.	.
Trump	trump	Trump
has	has	ha
spent	spent	spent
a	a	a
full	full	full
month	month	month
in	in	in
office	offic	office
,	,	,
or	or	or
744	744	744
hours	hour	hour
.	.	.
And	and	And
so	so	so
far	far	far
,	,	,
he	he	he
has	has	ha
very	veri	very
little	littl	little
to	to	to
show	show	show
for	for	for
it	it	it
.	.	.
Trump	trump	Trump
is	is	is
already	alreadi	already
on	on	on
track	track	track
to	to	to
issue	issu	issue
more	more	more
executive	execut	executive
orders	order	order
than	than	than
President	presid	President
Obama	obama	Obama
ever	ever	ever
did	did	did
and	and	and
he	he	he
is	is	is
on	on	on
pace	pace	pace
to	to	to
spend	spend	spend
more	more	more
time	time	time
on	on	on
vacation	vacat	vacation
as	as	a
well	well	well
.	.	.
According	accord	According
to	to	to
research	research	research
by	by	by
the	the	the
Washington	washington	Washington
Post	post	Post
,	,	,
Donald	donald	Donald
Trump	trump	Trump
may	may	may
be	be	be
the	the	the
laziest	laziest	laziest
president	presid	president
America	america	America
has	has	ha
ever	ever	ever
had	had	had
to	to	to
put	put	put
up	up	up
with	with	with
.	.	.
Of	of	Of
the	the	the
744	744	744
hours	hour	hour
he	he	he
has	has	ha
spent	spent	spent
in	in	in
office	offic	office
,	,	,
Trump	trump	Trump
293	293	293
hours	hour	hour
not	not	not
working	work	working
while	while	while
in	in	in
Washington	washington	Washington
DC	dc	DC
,	,	,
25	25	25
hours	hour	hour
golfing	golf	golfing
,	,	,
13	13	13
hours	hour	hour
tweeting	tweet	tweeting
,	,	,
and	and	and
106	106	106
hours	hour	hour
at	at	at
Mar	mar	Mar
-a-Lago	-a-lago	-a-Lago
.	.	.
That	that	That
s	s	s
a	a	a
total	total	total
of	of	of
437	437	437
hours	hour	hour
of	of	of
Trump	trump	Trump
not	not	not
being	be	being
on	on	on
the	the	the
job	job	job
.	.	.
In	in	In
contrast	contrast	contrast
,	,	,
Trump	trump	Trump
has	has	ha
only	onli	only
spent	spent	spent
a	a	a
pathetic	pathet	pathetic
six	six	six
hours	hour	hour
in	in	in
intelligence	intellig	intelligence
briefings	brief	briefing
and	and	and
only	onli	only
21	21	21
hours	hour	hour
dealing	deal	dealing
with	with	with
foreign	foreign	foreign
relations	relat	relation
.	.	.
And	and	And
can	can	can
we	we	we
really	realli	really
count	count	count
all	all	all
of	of	of
the	the	the
time	time	time
Trump	trump	Trump
has	has	ha
spent	spent	spent
whining	whine	whining
about	about	about
the	the	the
press	press	press
and	and	and
bragging	brag	bragging
about	about	about
himself	himself	himself
as	as	a
work	work	work
time	time	time
?	?	?
Probably	probabl	Probably
not	not	not
.	.	.
Here	here	Here
s	s	s
the	the	the
chart	chart	chart
via	via	via
The	the	The
Washington	washington	Washington
Post	post	Post
.	.	.
Trump	trump	Trump
promised	promis	promised
he	he	he
wouldn	wouldn	wouldn
t	t	t
have	have	have
time	time	time
to	to	to
play	play	play
golf	golf	golf
because	becaus	because
he	he	he
would	would	would
be	be	be
working	work	working
so	so	so
hard	hard	hard
,	,	,
but	but	but
he	he	he
is	is	is
already	alreadi	already
on	on	on
pace	pace	pace
to	to	to
surpass	surpass	surpass
the	the	the
number	number	number
of	of	of
rounds	round	round
President	presid	President
Obama	obama	Obama
played	play	played
during	dure	during
his	his	his
first	first	first
term	term	term
.	.	.
Trump	trump	Trump
has	has	ha
also	also	also
taken	taken	taken
three	three	three
trips	trip	trip
to	to	to
Palm	palm	Palm
Beach	beach	Beach
in	in	in
Florida	florida	Florida
to	to	to
stay	stay	stay
at	at	at
his	his	his
resort	resort	resort
at	at	at
a	a	a
cost	cost	cost
of	of	of
10	10	10
million	million	million
to	to	to
taxpayers	taxpay	taxpayer
thus	thus	thus
far	far	far
,	,	,
meaning	mean	meaning
Trump	trump	Trump
is	is	is
on	on	on
pace	pace	pace
to	to	to
shatter	shatter	shatter
the	the	the
8	8	8
-year	-year	-year
90	90	90
million	million	million
price	price	price
tag	tag	tag
of	of	of
President	presid	President
Obama	obama	Obama
s	s	s
vacations	vacat	vacation
and	and	and
the	the	the
number	number	number
of	of	of
days	day	day
President	presid	President
Obama	obama	Obama
spent	spent	spent
on	on	on
vacation	vacat	vacation
within	within	within
his	his	his
first	first	first
year	year	year
on	on	on
the	the	the
job	job	job
.	.	.
Considering	consid	Considering
how	how	how
much	much	much
conservatives	conserv	conservative
whined	whine	whined
and	and	and
bitched	bitch	bitched
about	about	about
President	presid	President
Obama	obama	Obama
s	s	s
golfing	golf	golfing
and	and	and
vacations	vacat	vacation
,	,	,
the	the	the
fact	fact	fact
that	that	that
they	they	they
haven	haven	haven
t	t	t
complained	complain	complained
once	onc	once
about	about	about
Trump	trump	Trump
s	s	s
is	is	is
absolute	absolut	absolute
hypocrisy	hypocrisi	hypocrisy
.	.	.
Compared	compar	Compared
with	with	with
Obama	obama	Obama
,	,	,
Trump	trump	Trump
is	is	is
much	much	much
worse	wors	worse
.	.	.
And	and	And
as	as	a
for	for	for
those	those	those
executive	execut	executive
orders	order	order
,	,	,
Trump	trump	Trump
has	has	ha
signed	sign	signed
12	12	12
so	so	so
far	far	far
and	and	and
that	that	that
comes	come	come
out	out	out
to	to	to
136	136	136
this	this	this
year	year	year
,	,	,
which	which	which
means	mean	mean
he	he	he
ll	ll	ll
sign	sign	sign
more	more	more
in	in	in
two	two	two
years	year	year
than	than	than
President	presid	President
Obama	obama	Obama
did	did	did
in	in	in
eight	eight	eight
years	year	year
if	if	if
he	he	he
stays	stay	stay
on	on	on
this	this	this
pace	pace	pace
.	.	.
As	as	As
we	we	we
know	know	know
,	,	,
conservatives	conserv	conservative
complained	complain	complained
every	everi	every
time	time	time
President	presid	President
Obama	obama	Obama
signed	sign	signed
an	an	an
executive	execut	executive
order	order	order
,	,	,
claiming	claim	claiming
that	that	that
executive	execut	executive
orders	order	order
undermine	undermin	undermine
Congress	congress	Congress
.	.	.
But	but	But
apparently	appar	apparently
,	,	,
conservatives	conserv	conservative
have	have	have
no	no	no
problem	problem	problem
with	with	with
Trump	trump	Trump
acting	act	acting
like	like	like
a	a	a
king	king	king
.	.	.
And	and	And
those	those	those
orders	order	order
have	have	have
done	done	done
nothing	noth	nothing
but	but	but
cause	caus	cause
chaos	chao	chaos
and	and	and
hurt	hurt	hurt
people	peopl	people
while	while	while
keeping	keep	keeping
government	govern	government
agencies	agenc	agency
from	from	from
doing	do	doing
their	their	their
jobs	job	job
.	.	.
Rather	rather	Rather
than	than	than
working	work	working
for	for	for
the	the	the
American	american	American
people	peopl	people
like	like	like
he	he	he
claimed	claim	claimed
he	he	he
would	would	would
,	,	,
Trump	trump	Trump
is	is	is
treating	treat	treating
the	the	the
most	most	most
important	import	important
job	job	job
in	in	in
the	the	the
world	world	world
like	like	like
it	it	it
s	s	s
not	not	not
much	much	much
of	of	of
a	a	a
priority	prioriti	priority
.	.	.
In	in	In
fact	fact	fact
,	,	,
he	he	he
only	onli	only
seems	seem	seems
interested	interest	interested
in	in	in
tweeting	tweet	tweeting
,	,	,
bragging	brag	bragging
about	about	about
himself	himself	himself
during	dure	during
press	press	press
conferences	confer	conference
,	,	,
and	and	and
playing	play	playing
golf	golf	golf
at	at	at
a	a	a
time	time	time
when	when	when
the	the	the
world	world	world
needs	need	need
steady	steadi	steady
,	,	,
hard	hard	hard
-working	-work	-working
leadership	leadership	leadership
.	.	.
And	and	And
since	sinc	since
Trump	trump	Trump
s	s	s
work	work	work
has	has	ha
mostly	most	mostly
caused	caus	caused
chaos	chao	chaos
,	,	,
one	one	one
can	can	can
hardly	hard	hardly
say	say	say
that	that	that
he	he	he
is	is	is
working	work	working
on	on	on
behalf	behalf	behalf
of	of	of
the	the	the
people	peopl	people
.	.	.
He	he	He
s	s	s
only	onli	only
interested	interest	interested
in	in	in
causing	caus	causing
more	more	more
problems	problem	problem
and	and	and
helping	help	helping
himself	himself	himself
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Drew	drew	Drew
Angerer	anger	Angerer
Getty	getti	Getty
Images	imag	Images
