Earlier	earlier	Earlier
this	this	this
week	week	week
,	,	,
as	as	a
public	public	public
outrage	outrag	outrage
and	and	and
media	media	medium
attention	attent	attention
focused	focus	focused
on	on	on
his	his	his
failed	fail	failed
response	respons	response
to	to	to
the	the	the
Flint	flint	Flint
water	water	water
disaster	disast	disaster
,	,	,
Michigan	michigan	Michigan
s	s	s
republican	republican	republican
governor	governor	governor
announced	announc	announced
that	that	that
he	he	he
was	was	wa
calling	call	calling
in	in	in
the	the	the
National	nation	National
Guard	guard	Guard
to	to	to
help	help	help
deal	deal	deal
with	with	with
the	the	the
escalating	escal	escalating
crisis	crisi	crisis
.	.	.
On	on	On
January	januari	January
13	13	13
,	,	,
those	those	those
troops	troop	troop
arrived	arriv	arrived
in	in	in
the	the	the
city	citi	city
of	of	of
100	100	100
,	,	,
000	000	000
people	peopl	people
.	.	.

All	all	All
SEVEN	seven	SEVEN
of	of	of
them	them	them
.	.	.

Yes	yes	Yes
,	,	,
seven	seven	seven
.	.	.

As	as	As
in	in	in
one	one	one
less	less	le
than	than	than
eight	eight	eight
.	.	.
Doing	do	Doing
the	the	the
math	math	math
,	,	,
Snyder	snyder	Snyder
s	s	s
response	respons	response
equates	equat	equates
to	to	to
one	one	one
guardsman	guardsman	guardsman
per	per	per
14	14	14
,	,	,
285	285	285
.	.	.
7	7	7
people	peopl	people
.	.	.
The	the	The
city	citi	city
of	of	of
Flint	flint	Flint
is	is	is
experiencing	experienc	experiencing
a	a	a
crisis	crisi	crisis
of	of	of
epic	epic	epic
proportions	proport	proportion
,	,	,
thanks	thank	thanks
entirely	entir	entirely
to	to	to
the	the	the
Snyder	snyder	Snyder
administration	administr	administration
.	.	.

Water	water	Water
poisoned	poison	poisoned
with	with	with
lead	lead	lead
,	,	,
and	and	and
water	water	water
that	that	that
is	is	is
potentially	potenti	potentially
contaminated	contamin	contaminated
with	with	with
the	the	the
Legionella	legionella	Legionella
bacteria	bacteria	bacteria
which	which	which
has	has	ha
already	alreadi	already
caused	caus	caused
87	87	87
serious	serious	serious
illnesses	ill	illness
and	and	and
ten	ten	ten
deaths	death	death
is	is	is
just	just	just
one	one	one
aspect	aspect	aspect
of	of	of
what	what	what
is	is	is
happening	happen	happening
in	in	in
Flint	flint	Flint
.	.	.
After	after	After
the	the	the
governor	governor	governor
and	and	and
his	his	his
appointed	appoint	appointed
emergency	emerg	emergency
managers	manag	manager
switched	switch	switched
the	the	the
city	citi	city
s	s	s
water	water	water
supply	suppli	supply
to	to	to
the	the	the
Flint	flint	Flint
River	river	River
,	,	,
they	they	they
decided	decid	decided
not	not	not
to	to	to
bother	bother	bother
to	to	to
treat	treat	treat
it	it	it
with	with	with
standard	standard	standard
corrosion	corros	corrosion
control	control	control
measures	measur	measure
.	.	.
According	accord	According
to	to	to
researchers	research	researcher
from	from	from
Virginia	virginia	Virginia
Tech	tech	Tech
University	univers	University
,	,	,
Flint	flint	Flint
is	is	is
the	the	the
only	onli	only
city	citi	city
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
that	that	that
did	did	did
not	not	not
have	have	have
these	these	these
measures	measur	measure
in	in	in
place	place	place
.	.	.
As	as	As
Marc	marc	Marc
Edwards	edward	Edwards
of	of	of
the	the	the
Virginia	virginia	Virginia
Tech	tech	Tech
water	water	water
study	studi	study
described	describ	described
to	to	to
Michigan	michigan	Michigan
Radio	radio	Radio
back	back	back
in	in	in
October	octob	October
What	what	What
we	we	we
discovered	discov	discovered
to	to	to
our	our	our
shock	shock	shock
was	was	wa
that	that	that
they	they	they
switched	switch	switched
to	to	to
a	a	a
new	new	new
water	water	water
source	sourc	source
that	that	that
was	was	wa
obviously	obvious	obviously
very	veri	very
corrosive	corros	corrosive
,	,	,
meaning	mean	meaning
it	it	it
would	would	would
eat	eat	eat
up	up	up
the	the	the
lead	lead	lead
pipe	pipe	pipe
and	and	and
iron	iron	iron
pipe	pipe	pipe
and	and	and
essentially	essenti	essentially
put	put	put
the	the	the
metals	metal	metal
into	into	into
the	the	the
water	water	water
,	,	,
without	without	without
controlling	control	controlling
the	the	the
corrosion	corros	corrosion
.	.	.

And	and	And
this	this	this
is	is	is
a	a	a
horrible	horribl	horrible
idea	idea	idea
in	in	in
a	a	a
city	citi	city
full	full	full
of	of	of
lead	lead	lead
plumbing	plumb	plumbing
and	and	and
lead	lead	lead
pipe	pipe	pipe
like	like	like
Flint	flint	Flint
.	.	.

He	he	He
went	went	went
on	on	on
to	to	to
describe	describ	describe
the	the	the
standard	standard	standard
practice	practic	practice
for	for	for
changing	chang	changing
a	a	a
water	water	water
source	sourc	source
.	.	.

Before	befor	Before
you	you	you
switch	switch	switch
to	to	to
a	a	a
new	new	new
water	water	water
source	sourc	source
,	,	,
six	six	six
months	month	month
to	to	to
a	a	a
year	year	year
ahead	ahead	ahead
of	of	of
time	time	time
,	,	,
you	you	you
are	are	are
supposed	suppos	supposed
to	to	to
do	do	do
laboratory	laboratori	laboratory
experiments	experi	experiment
to	to	to
determine	determin	determine
the	the	the
corrosivity	corros	corrosivity
of	of	of
the	the	the
water	water	water
,	,	,
and	and	and
the	the	the
chemistry	chemistri	chemistry
the	the	the
pH	ph	pH
,	,	,
the	the	the
alkalinity	alkalin	alkalinity
,	,	,
and	and	and
the	the	the
phosphate	phosphat	phosphate
that	that	that
you	you	you
need	need	need
to	to	to
make	make	make
sure	sure	sure
that	that	that
the	the	the
lead	lead	lead
stays	stay	stay
on	on	on
the	the	the
pipes	pipe	pipe
and	and	and
out	out	out
of	of	of
the	the	the
water	water	water
.	.	.

Edwards	edward	Edwards
explains	explain	explains
that	that	that
Flint	flint	Flint
s	s	s
new	new	new
water	water	water
system	system	system
had	had	had
to	to	to
have	have	have
a	a	a
corrosion	corros	corrosion
control	control	control
plan	plan	plan
in	in	in
place	place	place
,	,	,
otherwise	otherwis	otherwise
the	the	the
result	result	result
is	is	is
that	that	that
you	you	you
re	re	re
doing	do	doing
an	an	an
uncontrolled	uncontrol	uncontrolled
human	human	human
experiment	experi	experiment
on	on	on
a	a	a
city	citi	city
s	s	s
population	popul	population
.	.	.

The	the	The
decision	decis	decision
by	by	by
Rick	rick	Rick
Snyder	snyder	Snyder
s	s	s
emergency	emerg	emergency
manager	manag	manager
to	to	to
just	just	just
skip	skip	skip
what	what	what
was	was	wa
apparently	appar	apparently
viewed	view	viewed
as	as	a
an	an	an
unnecessary	unnecessari	unnecessary
corrosion	corros	corrosion
control	control	control
expense	expens	expense
has	has	ha
basically	basic	basically
been	been	been
just	just	just
that	that	that
.	.	.

An	an	An
uncontrolled	uncontrol	uncontrolled
experiment	experi	experiment
on	on	on
a	a	a
city	citi	city
s	s	s
population	popul	population
.	.	.

The	the	The
amount	amount	amount
of	of	of
damage	damag	damage
done	done	done
to	to	to
the	the	the
city	citi	city
s	s	s
infrastructure	infrastructur	infrastructure
is	is	is
just	just	just
beginning	begin	beginning
to	to	to
be	be	be
realized	realiz	realized
.	.	.
This	this	This
photo	photo	photo
from	from	from
Flint	flint	Flint
Water	water	Water
Study	studi	Study
researchers	research	researcher
Ni	ni	Ni
Zhu	zhu	Zhu
and	and	and
Siddhartha	siddhartha	Siddhartha
Roy	roy	Roy
shows	show	show
the	the	the
magnitude	magnitud	magnitude
of	of	of
the	the	the
situtuation	situtu	situtuation
.	.	.
Image	imag	Image
credit	credit	credit
Flint	flint	Flint
Water	water	Water
StudyAccording	studyaccord	StudyAccording
to	to	to
a	a	a
new	new	new
report	report	report
released	releas	released
today	today	today
,	,	,
researchers	research	researcher
believe	believ	believe
that	that	that
the	the	the
damaged	damag	damaged
and	and	and
corroded	corrod	corroded
pipes	pipe	pipe
that	that	that
are	are	are
transmitting	transmit	transmitting
water	water	water
throughout	throughout	throughout
the	the	the
city	citi	city
are	are	are
likely	like	likely
to	to	to
become	becom	become
a	a	a
breeding	breed	breeding
ground	ground	ground
for	for	for
bacteria	bacteria	bacteria
,	,	,
such	such	such
as	as	a
the	the	the
Legionella	legionella	Legionella
bacteria	bacteria	bacteria
which	which	which
causes	caus	cause
Legionaire	legionair	Legionaire
s	s	s
disease	diseas	disease
,	,	,
along	along	along
with	with	with
a	a	a
host	host	host
of	of	of
other	other	other
potential	potenti	potential
pathogens	pathogen	pathogen
.	.	.
Because	becaus	Because
of	of	of
the	the	the
nature	natur	nature
of	of	of
the	the	the
Legionella	legionella	Legionella
bacteria	bacteria	bacteria
,	,	,
which	which	which
is	is	is
transmitted	transmit	transmitted
through	through	through
tiny	tini	tiny
droplets	droplet	droplet
of	of	of
water	water	water
in	in	in
the	the	the
air	air	air
,	,	,
Virginia	virginia	Virginia
Tech	tech	Tech
researchers	research	researcher
are	are	are
recommending	recommend	recommending
that	that	that
vulnerable	vulner	vulnerable
populations	popul	population
have	have	have
minimal	minim	minimal
contact	contact	contact
with	with	with
the	the	the
water	water	water
.	.	.

That	that	That
includes	includ	includes
people	peopl	people
who	who	who
smoke	smoke	smoke
,	,	,
the	the	the
elderly	elder	elderly
,	,	,
people	peopl	people
with	with	with
diabetes	diabet	diabetes
,	,	,
people	peopl	people
who	who	who
have	have	have
recently	recent	recently
had	had	had
surgery	surgeri	surgery
and	and	and
others	other	others
who	who	who
might	might	might
be	be	be
at	at	at
greater	greater	greater
risk	risk	risk
of	of	of
contracting	contract	contracting
a	a	a
waterborne	waterborn	waterborne
respiratory	respiratori	respiratory
disease	diseas	disease
.	.	.
About	about	About
100	100	100
,	,	,
000	000	000
Flint	flint	Flint
residents	resid	resident
are	are	are
affected	affect	affected
by	by	by
this	this	this
unmitigated	unmitig	unmitigated
disaster	disast	disaster
.	.	.
In	in	In
response	respons	response
,	,	,
Governor	governor	Governor
Snyder	snyder	Snyder
put	put	put
on	on	on
a	a	a
big	big	big
show	show	show
of	of	of
sending	send	sending
in	in	in
the	the	the
National	nation	National
Guard	guard	Guard
.	.	.

Now	now	Now
we	we	we
know	know	know
that	that	that
only	onli	only
SEVEN	seven	SEVEN
guardsmen	guardsmen	guardsman
were	were	were
actually	actual	actually
dispatched	dispatch	dispatched
to	to	to
the	the	the
city	citi	city
.	.	.
After	after	After
being	be	being
forced	forc	forced
to	to	to
respond	respond	respond
to	to	to
questions	question	question
regarding	regard	regarding
the	the	the
number	number	number
of	of	of
guardsmen	guardsmen	guardsman
he	he	he
sent	sent	sent
to	to	to
the	the	the
city	citi	city
,	,	,
the	the	the
governor	governor	governor
s	s	s
office	offic	office
proclaimed	proclaim	proclaimed
that	that	that
there	there	there
could	could	could
be	be	be
as	as	a
many	mani	many
as	as	a
30	30	30
or	or	or
40	40	40
National	nation	National
Guardsmen	guardsmen	Guardsmen
sent	sent	sent
to	to	to
Flint	flint	Flint
by	by	by
the	the	the
end	end	end
of	of	of
the	the	the
week	week	week
.	.	.
During	dure	During
his	his	his
PR	pr	PR
conference	confer	conference
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
Snyder	snyder	Snyder
told	told	told
the	the	the
people	peopl	people
of	of	of
Michigan	michigan	Michigan
As	as	As
we	we	we
work	work	work
to	to	to
ensure	ensur	ensure
that	that	that
all	all	all
Flint	flint	Flint
residents	resid	resident
have	have	have
access	access	access
to	to	to
clean	clean	clean
and	and	and
safe	safe	safe
drinking	drink	drinking
water	water	water
,	,	,
we	we	we
are	are	are
providing	provid	providing
them	them	them
with	with	with
the	the	the
direct	direct	direct
assistance	assist	assistance
they	they	they
need	need	need
in	in	in
order	order	order
to	to	to
stretch	stretch	stretch
our	our	our
resources	resourc	resource
further	further	further
.	.	.

The	the	The
Michigan	michigan	Michigan
National	nation	National
Guard	guard	Guard
is	is	is
trained	train	trained
and	and	and
ready	readi	ready
to	to	to
assist	assist	assist
the	the	the
citizens	citizen	citizen
of	of	of
Flint	flint	Flint
.	.	.

He	he	He
neglected	neglect	neglected
to	to	to
mention	mention	mention
that	that	that
he	he	he
was	was	wa
sending	send	sending
SEVEN	seven	SEVEN
guardsmen	guardsmen	guardsman
.	.	.
As	as	As
reported	report	reported
by	by	by
Fox	fox	Fox
2	2	2
The	the	The
Governor	governor	Governor
s	s	s
rhetoric	rhetor	rhetoric
is	is	is
not	not	not
doing	do	doing
much	much	much
to	to	to
quiet	quiet	quiet
the	the	the
growing	grow	growing
fury	furi	fury
in	in	in
Flint	flint	Flint
.	.	.

Gov	gov	Gov
.	.	.

Rick	rick	Rick
Snyder	snyder	Snyder
called	call	called
in	in	in
the	the	the
National	nation	National
Guard	guard	Guard
to	to	to
assist	assist	assist
those	those	those
helping	help	helping
to	to	to
get	get	get
bottled	bottl	bottled
water	water	water
and	and	and
filters	filter	filter
to	to	to
the	the	the
people	peopl	people
of	of	of
Flint	flint	Flint
.	.	.

Just	just	Just
seven	seven	seven
members	member	member
of	of	of
the	the	the
National	nation	National
Guard	guard	Guard
showed	show	showed
up	up	up
to	to	to
help	help	help
the	the	the
nearly	near	nearly
100	100	100
,	,	,
000	000	000
people	peopl	people
in	in	in
Flint	flint	Flint
.	.	.

Watch	watch	Watch
this	this	this
video	video	video
on	on	on
Governor	governor	Governor
Snyder	snyder	Snyder
s	s	s
pathetic	pathet	pathetic
response	respons	response
to	to	to
the	the	the
Flint	flint	Flint
water	water	water
disaster	disast	disaster
,	,	,
via	via	via
Fox	fox	Fox
2	2	2
.	.	.

What	what	What
an	an	an
absolute	absolut	absolute
joke	joke	joke
.	.	.
Image	imag	Image
credit	credit	credit
video	video	video
screen	screen	screen
capture	captur	capture
via	via	via
Fox	fox	Fox
2	2	2

