21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
says	say	say
In	in	In
typical	typic	typical
NDAA	ndaa	NDAA
signing	sign	signing
fashion	fashion	fashion
,	,	,
Obama	obama	Obama
signed	sign	signed
the	the	the
2017	2017	2017
National	nation	National
Defense	defens	Defense
Authorization	author	Authorization
Act	act	Act
NDAA	ndaa	NDAA
quietly	quiet	quietly
and	and	and
with	with	with
little	littl	little
fan	fan	fan
fare	fare	fare
as	as	a
Americans	american	Americans
are	are	are
distracted	distract	distracted
by	by	by
the	the	the
mholiday	mholiday	mholiday
festivities	festiv	festivity
.	.	.
What	what	What
dirty	dirti	dirty
tricks	trick	trick
can	can	can
we	we	we
expect	expect	expect
to	to	to
see	see	see
in	in	in
the	the	the
2017	2017	2017
NDAA	ndaa	NDAA
?	?	?
Coming	come	Coming
from	from	from
the	the	the
policy	polici	policy
makers	maker	maker
that	that	that
struck	struck	struck
down	down	down
the	the	the
Smith	smith	Smith
Mundt	mundt	Mundt
Act	act	Act
and	and	and
legalized	legal	legalized
indefinite	indefinit	indefinite
detention	detent	detention
of	of	of
Americans	american	Americans
in	in	in
past	past	past
iterations	iter	iteration
,	,	,
we	we	we
re	re	re
sure	sure	sure
it	it	it
can	can	can
t	t	t
be	be	be
benign	benign	benign
this	this	this
year	year	year
.	.	.
The	the	The
Hypocrisy	hypocrisi	Hypocrisy
of	of	of
legalizing	legal	legalizing
propaganda	propaganda	propaganda
overturning	overturn	overturning
the	the	the
Smith	smith	Smith
Mundt	mundt	Mundt
Act	act	Act
then	then	then
creating	creat	creating
an	an	an
act	act	act
to	to	to
counter	counter	counter
propaganda	propaganda	propaganda
What	what	What
are	are	are
we	we	we
to	to	to
make	make	make
of	of	of
this	this	this
new	new	new
Countering	counter	Countering
Disinformation	disinform	Disinformation
and	and	and
Propaganda	propaganda	Propaganda
Act	act	Act
included	includ	included
in	in	in
the	the	the
2017	2017	2017
National	nation	National
Defense	defens	Defense
Authorization	author	Authorization
Act	act	Act
?	?	?
The	the	The
politicians	politician	politician
and	and	and
the	the	the
mainstream	mainstream	mainstream
media	media	medium
outlets	outlet	outlet
have	have	have
shown	shown	shown
their	their	their
cards	card	card
yet	yet	yet
again	again	again
with	with	with
a	a	a
massive	massiv	massive
contradiction	contradict	contradiction
in	in	in
policy	polici	policy
.	.	.
In	in	In
one	one	one
iteration	iter	iteration
of	of	of
the	the	the
NDAA	ndaa	NDAA
policy	polici	policy
makers	maker	maker
overturn	overturn	overturn
Smith	smith	Smith
Mundt	mundt	Mundt
thereby	therebi	thereby
legalizing	legal	legalizing
state	state	state
sponsored	sponsor	sponsored
propaganda	propaganda	propaganda
to	to	to
be	be	be
used	use	used
on	on	on
the	the	the
citizens	citizen	citizen
of	of	of
the	the	the
United	unit	United
States	state	States
and	and	and
in	in	in
the	the	the
latest	latest	latest
iteration	iter	iteration
we	we	we
see	see	see
the	the	the
NDAA	ndaa	NDAA
include	includ	include
an	an	an
act	act	act
to	to	to
counter	counter	counter
disinformation	disinform	disinformation
and	and	and
propaganda	propaganda	propaganda
.	.	.
We	we	We
can	can	can
easily	easili	easily
make	make	make
the	the	the
connection	connect	connection
that	that	that
in	in	in
the	the	the
wake	wake	wake
of	of	of
the	the	the
Fake	fake	Fake
News	news	News
hash	hash	hash
tag	tag	tag
war	war	war
that	that	that
has	has	ha
been	been	been
unleashed	unleash	unleashed
upon	upon	upon
independent	independ	independent
media	media	medium
,	,	,
with	with	with
FaceBook	facebook	FaceBook
partnering	partner	partnering
with	with	with
government	govern	government
sponsored	sponsor	sponsored
Fact	fact	Fact
Checking	check	Checking
sites	site	site
and	and	and
algorithms	algorithm	algorithm
being	be	being
put	put	put
in	in	in
place	place	place
to	to	to
remove	remov	remove
so	so	so
-called	-call	-called
Fake	fake	Fake
News	news	News
from	from	from
social	social	social
media	media	medium
feeds	feed	feed
,	,	,
that	that	that
this	this	this
latest	latest	latest
addition	addit	addition
to	to	to
the	the	the
NDAA	ndaa	NDAA
does	doe	doe
not	not	not
bode	bode	bode
well	well	well
for	for	for
independent	independ	independent
media	media	medium
and	and	and
has	has	ha
massive	massiv	massive
potential	potenti	potential
to	to	to
be	be	be
abused	abus	abused
for	for	for
political	polit	political
purposes	purpos	purpose
.	.	.
Tyler	tyler	Tyler
Durden	durden	Durden
Zero	zero	Zero
HedgeLate	hedgel	HedgeLate
on	on	on
Friday	friday	Friday
,	,	,
with	with	with
the	the	the
US	us	US
population	popul	population
embracing	embrac	embracing
the	the	the
upcoming	upcom	upcoming
holidays	holiday	holiday
and	and	and
oblivious	oblivi	oblivious
of	of	of
most	most	most
news	news	news
emerging	emerg	emerging
from	from	from
the	the	the
administration	administr	administration
,	,	,
Obama	obama	Obama
quietly	quiet	quietly
signed	sign	signed
into	into	into
law	law	law
the	the	the
2017	2017	2017
National	nation	National
Defense	defens	Defense
Authorization	author	Authorization
Act	act	Act
NDAA	ndaa	NDAA
which	which	which
authorizes	author	authorizes
611	611	611
billion	billion	billion
for	for	for
the	the	the
military	militari	military
in	in	in
2017	2017	2017
.	.	.
In	in	In
a	a	a
statement	statement	statement
,	,	,
Obama	obama	Obama
said	said	said
that	that	that
Today	today	Today
,	,	,
I	i	I
have	have	have
signed	sign	signed
into	into	into
law	law	law
S	s	S
.	.	.
2943	2943	2943
,	,	,
the	the	the
National	nation	National
Defense	defens	Defense
Authorization	author	Authorization
Act	act	Act
for	for	for
Fiscal	fiscal	Fiscal
Year	year	Year
2017	2017	2017
.	.	.
This	this	This
Act	act	Act
authorizes	author	authorizes
fiscal	fiscal	fiscal
year	year	year
2017	2017	2017
appropriations	appropri	appropriation
principally	princip	principally
for	for	for
the	the	the
Department	depart	Department
of	of	of
Defense	defens	Defense
and	and	and
for	for	for
Department	depart	Department
of	of	of
Energy	energi	Energy
national	nation	national
security	secur	security
programs	program	program
,	,	,
provides	provid	provides
vital	vital	vital
benefits	benefit	benefit
for	for	for
military	militari	military
personnel	personnel	personnel
and	and	and
their	their	their
families	famili	family
,	,	,
and	and	and
includes	includ	includes
authorities	author	authority
to	to	to
facilitate	facilit	facilitate
ongoing	ongo	ongoing
operations	oper	operation
around	around	around
the	the	the
globe	globe	globe
.	.	.
It	it	It
continues	continu	continues
many	mani	many
critical	critic	critical
authorizations	author	authorization
necessary	necessari	necessary
to	to	to
ensure	ensur	ensure
that	that	that
we	we	we
are	are	are
able	abl	able
to	to	to
sustain	sustain	sustain
our	our	our
momentum	momentum	momentum
in	in	in
countering	counter	countering
the	the	the
threat	threat	threat
posed	pose	posed
by	by	by
the	the	the
Islamic	islam	Islamic
State	state	State
of	of	of
Iraq	iraq	Iraq
and	and	and
the	the	the
Levant	levant	Levant
and	and	and
to	to	to
reassure	reassur	reassure
our	our	our
European	european	European
allies	alli	ally
,	,	,
as	as	a
well	well	well
as	as	a
many	mani	many
new	new	new
authorizations	author	authorization
that	that	that
,	,	,
among	among	among
other	other	other
things	thing	thing
,	,	,
provide	provid	provide
the	the	the
Departments	depart	Departments
of	of	of
Defense	defens	Defense
and	and	and
Energy	energi	Energy
more	more	more
flexibility	flexibl	flexibility
in	in	in
countering	counter	countering
cyber	cyber	cyber
-attacks	-attack	-attacks
and	and	and
our	our	our
adversaries	adversari	adversary
use	use	use
of	of	of
unmanned	unman	unmanned
aerial	aerial	aerial
vehicles	vehicl	vehicle
.	.	.
Much	much	Much
of	of	of
the	the	the
balance	balanc	balance
of	of	of
Obama	obama	Obama
s	s	s
statement	statement	statement
blamed	blame	blamed
the	the	the
GOP	gop	GOP
for	for	for
Guantanamo	guantanamo	Guantanamo
s	s	s
continued	continu	continued
operation	oper	operation
and	and	and
warned	warn	warned
that	that	that
unless	unless	unless
the	the	the
Congress	congress	Congress
changes	chang	change
course	cours	course
,	,	,
it	it	it
will	will	will
be	be	be
judged	judg	judged
harshly	harsh	harshly
by	by	by
history	histori	history
,	,	,
Obama	obama	Obama
said	said	said
.	.	.
Obama	obama	Obama
also	also	also
said	said	said
Congress	congress	Congress
failed	fail	failed
to	to	to
use	use	use
the	the	the
bill	bill	bill
to	to	to
reduce	reduc	reduce
wasteful	wast	wasteful
overhead	overhead	overhead
like	like	like
perhaps	perhap	perhaps
massive	massiv	massive
F	f	F
-35	-35	-35
cost	cost	cost
overruns	overrun	overrun
?	?	?
or	or	or
modernize	modern	modernize
military	militari	military
health	health	health
care	care	care
,	,	,
which	which	which
he	he	he
said	said	said
would	would	would
exacerbate	exacerb	exacerbate
budget	budget	budget
pressures	pressur	pressure
facing	face	facing
the	the	the
military	militari	military
in	in	in
the	the	the
years	year	year
ahead	ahead	ahead
.	.	.
But	but	But
while	while	while
the	the	the
passage	passag	passage
of	of	of
the	the	the
NDAA	ndaa	NDAA
and	and	and
the	the	the
funding	fund	funding
of	of	of
the	the	the
US	us	US
military	militari	military
was	was	wa
hardly	hard	hardly
a	a	a
surprise	surpris	surprise
,	,	,
the	the	the
biggest	biggest	biggest
news	news	news
is	is	is
what	what	what
was	was	wa
buried	buri	buried
deep	deep	deep
inside	insid	inside
the	the	the
provisions	provis	provision
of	of	of
the	the	the
Defense	defens	Defense
Authortization	authort	Authortization
Act	act	Act
.	.	.
Recall	recal	Recall
that	that	that
as	as	a
we	we	we
reported	report	reported
in	in	in
early	earli	early
June	june	June
,	,	,
a	a	a
bill	bill	bill
to	to	to
implement	implement	implement
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
very	veri	very
own	own	own
de	de	de
facto	facto	facto
Ministry	ministri	Ministry
of	of	of
Truth	truth	Truth
had	had	had
been	been	been
quietly	quiet	quietly
introduced	introduc	introduced
in	in	in
Congress	congress	Congress
.	.	.
As	as	As
with	with	with
any	ani	any
legislation	legisl	legislation
attempting	attempt	attempting
to	to	to
dodge	dodg	dodge
the	the	the
public	public	public
spotlight	spotlight	spotlight
the	the	the
Countering	counter	Countering
Foreign	foreign	Foreign
Propaganda	propaganda	Propaganda
and	and	and
Disinformation	disinform	Disinformation
Act	act	Act
of	of	of
2016	2016	2016
marks	mark	mark
a	a	a
further	further	further
curtailment	curtail	curtailment
of	of	of
press	press	press
freedom	freedom	freedom
and	and	and
another	anoth	another
avenue	avenu	avenue
to	to	to
stultify	stultifi	stultify
avenues	avenu	avenue
of	of	of
accurate	accur	accurate
information	inform	information
.	.	.
Introduced	introduc	Introduced
by	by	by
Congressmen	congressmen	Congressmen
Adam	adam	Adam
Kinzinger	kinzing	Kinzinger
and	and	and
Ted	ted	Ted
Lieu	lieu	Lieu
,	,	,
H	h	H
.	.	.
R	r	R
.	.	.
5181	5181	5181
seeks	seek	seek
a	a	a
whole	whole	whole
-government	-govern	-government
approach	approach	approach
without	without	without
the	the	the
bureaucratic	bureaucrat	bureaucratic
restrictions	restrict	restriction
to	to	to
counter	counter	counter
foreign	foreign	foreign
disinformation	disinform	disinformation
and	and	and
manipulation	manipul	manipulation
,	,	,
which	which	which
they	they	they
believe	believ	believe
threaten	threaten	threaten
the	the	the
world	world	world
s	s	s
security	secur	security
and	and	and
stability	stabil	stability
.	.	.
Also	also	Also
called	call	called
the	the	the
Countering	counter	Countering
Information	inform	Information
Warfare	warfar	Warfare
Act	act	Act
of	of	of
2016	2016	2016
S	s	S
.	.	.
2692	2692	2692
,	,	,
when	when	when
introduced	introduc	introduced
in	in	in
March	march	March
by	by	by
Sen	sen	Sen
.	.	.
Rob	rob	Rob
Portman	portman	Portman
,	,	,
the	the	the
legislation	legisl	legislation
represents	repres	represents
a	a	a
dramatic	dramat	dramatic
return	return	return
to	to	to
Cold	cold	Cold
War	war	War
-era	-era	-era
government	govern	government
propaganda	propaganda	propaganda
battles	battl	battle
.	.	.
These	these	These
countries	countri	country
spend	spend	spend
