You	you	You
might	might	might
remember	rememb	remember
a	a	a
few	few	few
months	month	month
ago	ago	ago
,	,	,
the	the	the
Bernie	berni	Bernie
Sanders	sander	Sanders
campaign	campaign	campaign
filed	file	filed
a	a	a
lawsuit	lawsuit	lawsuit
against	against	against
the	the	the
Democratic	democrat	Democratic
National	nation	National
Committee	committe	Committee
for	for	for
cutting	cut	cutting
off	off	off
access	access	access
to	to	to
their	their	their
own	own	own
campaign	campaign	campaign
data	data	data
stored	store	stored
on	on	on
the	the	the
servers	server	server
at	at	at
DNC	dnc	DNC
headquarters	headquart	headquarters
.	.	.
The	the	The
cut	cut	cut
off	off	off
came	came	came
from	from	from
when	when	when
a	a	a
few	few	few
Sanders	sander	Sanders
staffers	staffer	staffer
found	found	found
they	they	they
could	could	could
access	access	access
protected	protect	protected
,	,	,
private	privat	private
information	inform	information
of	of	of
the	the	the
Hillary	hillari	Hillary
Clinton	clinton	Clinton
campaign	campaign	campaign
,	,	,
which	which	which
was	was	wa
stored	store	stored
on	on	on
the	the	the
same	same	same
servers	server	server
.	.	.
The	the	The
DNC	dnc	DNC
came	came	came
out	out	out
quickly	quick	quickly
and	and	and
said	said	said
that	that	that
the	the	the
Sanders	sander	Sanders
staffers	staffer	staffer
intentionally	intent	intentionally
exploited	exploit	exploited
software	softwar	software
errors	error	error
to	to	to
gain	gain	gain
access	access	access
to	to	to
the	the	the
Clinton	clinton	Clinton
team	team	team
s	s	s
proprietary	proprietari	proprietary
data	data	data
.	.	.
Sanders	sander	Sanders
fired	fire	fired
back	back	back
immediately	immedi	immediately
that	that	that
the	the	the
error	error	error
has	has	ha
been	been	been
a	a	a
recurring	recur	recurring
one	one	one
,	,	,
and	and	and
his	his	his
campaign	campaign	campaign
had	had	had
attempted	attempt	attempted
to	to	to
make	make	make
it	it	it
known	known	known
to	to	to
the	the	the
DNC	dnc	DNC
that	that	that
this	this	this
was	was	wa
happening	happen	happening
before	befor	before
,	,	,
with	with	with
no	no	no
success	success	success
in	in	in
getting	get	getting
it	it	it
resolved	resolv	resolved
.	.	.
DNC	dnc	DNC
Chairwoman	chairwoman	Chairwoman
Debbie	debbi	Debbie
Wasserman	wasserman	Wasserman
Schultz	schultz	Schultz
said	said	said
that	that	that
the	the	the
extreme	extrem	extreme
move	move	move
in	in	in
cutting	cut	cutting
off	off	off
access	access	access
to	to	to
the	the	the
Sanders	sander	Sanders
Campaign	campaign	Campaign
of	of	of
even	even	even
their	their	their
own	own	own
data	data	data
was	was	wa
the	the	the
only	onli	only
way	way	way
to	to	to
protect	protect	protect
the	the	the
other	other	other
data	data	data
on	on	on
the	the	the
servers	server	server
.	.	.
Wasserman	wasserman	Wasserman
Schultz	schultz	Schultz
also	also	also
said	said	said
that	that	that
the	the	the
Sanders	sander	Sanders
campaign	campaign	campaign
not	not	not
only	onli	only
viewed	view	viewed
it	it	it
but	but	but
exported	export	exported
and	and	and
downloaded	download	downloaded
it	it	it
.	.	.
Fast	fast	Fast
forward	forward	forward
a	a	a
few	few	few
months	month	month
and	and	and
an	an	an
independent	independ	independent
investigation	investig	investigation
later	later	later
,	,	,
and	and	and
it	it	it
turns	turn	turn
out	out	out
that	that	that
the	the	the
DNC	dnc	DNC
gave	gave	gave
us	us	u
the	the	the
wrong	wrong	wrong
story	stori	story
.	.	.
After	after	After
the	the	the
independent	independ	independent
investigation	investig	investigation
concluded	conclud	concluded
,	,	,
it	it	it
was	was	wa
confirmed	confirm	confirmed
that	that	that
the	the	the
DNC	dnc	DNC
had	had	had
made	made	made
assertions	assert	assertion
about	about	about
what	what	what
happened	happen	happened
which	which	which
were	were	were
not	not	not
supported	support	supported
by	by	by
evidence	evid	evidence
and	and	and
that	that	that
the	the	the
serious	serious	serious
level	level	level
of	of	of
tampering	tamper	tampering
everyone	everyon	everyone
was	was	wa
led	led	led
to	to	to
believe	believ	believe
happened	happen	happened
did	did	did
not	not	not
occur	occur	occur
.	.	.
According	accord	According
to	to	to
the	the	the
Sanders	sander	Sanders
campaign	campaign	campaign
statement	statement	statement
,	,	,
the	the	the
breach	breach	breach
did	did	did
not	not	not
extend	extend	extend
beyond	beyond	beyond
3	3	3
staffers	staffer	staffer
and	and	and
their	their	their
manager	manag	manager
.	.	.
They	they	They
had	had	had
access	access	access
for	for	for
approximately	approxim	approximately
one	one	one
hour	hour	hour
to	to	to
Clinton	clinton	Clinton
campaign	campaign	campaign
scoring	score	scoring
models	model	model
but	but	but
not	not	not
to	to	to
any	ani	any
of	of	of
the	the	the
Clinton	clinton	Clinton
campaign	campaign	campaign
s	s	s
proprietary	proprietari	proprietary
voter	voter	voter
data	data	data
,	,	,
which	which	which
was	was	wa
at	at	at
the	the	the
heart	heart	heart
of	of	of
initial	initi	initial
reports	report	report
.	.	.
The	the	The
Sanders	sander	Sanders
campaign	campaign	campaign
then	then	then
released	releas	released
a	a	a
statement	statement	statement
saying	say	saying
the	the	the
original	origin	original
claims	claim	claim
by	by	by
the	the	the
DNC	dnc	DNC
were	were	were
wholly	wholli	wholly
inaccurate	inaccur	inaccurate
and	and	and
that	that	that
the	the	the
campaign	campaign	campaign
never	never	never
stole	stole	stole
any	ani	any
voter	voter	voter
data	data	data
.	.	.
The	the	The
settlement	settlement	settlement
of	of	of
this	this	this
lawsuit	lawsuit	lawsuit
is	is	is
a	a	a
positive	posit	positive
thing	thing	thing
.	.	.
However	howev	However
,	,	,
the	the	the
problems	problem	problem
that	that	that
led	led	led
up	up	up
to	to	to
it	it	it
have	have	have
not	not	not
been	been	been
resolved	resolv	resolved
.	.	.
Over	over	Over
the	the	the
past	past	past
several	sever	several
months	month	month
,	,	,
more	more	more
and	and	and
