According	accord	According
to	to	to
White	white	White
House	hous	House
Press	press	Press
Secretary	secretari	Secretary
Sean	sean	Sean
Spicer	spicer	Spicer
,	,	,
Donald	donald	Donald
Trump	trump	Trump
is	is	is
standing	stand	standing
by	by	by
his	his	his
claim	claim	claim
that	that	that
former	former	former
President	presid	President
Obama	obama	Obama
tapped	tap	tapped
the	the	the
phones	phone	phone
at	at	at
Trump	trump	Trump
Tower	tower	Tower
even	even	even
though	though	though
everyone	everyon	everyone
has	has	ha
confirmed	confirm	confirmed
it	it	it
s	s	s
bullsh	bullsh	bullsh
t	t	t
.	.	.
During	dure	During
Monday	monday	Monday
s	s	s
press	press	press
briefing	brief	briefing
,	,	,
which	which	which
took	took	took
place	place	place
while	while	while
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
s	s	s
testimony	testimoni	testimony
before	befor	before
the	the	the
House	hous	House
Intelligence	intellig	Intelligence
Committee	committe	Committee
was	was	wa
on	on	on
a	a	a
break	break	break
,	,	,
Spicer	spicer	Spicer
was	was	wa
asked	ask	asked
about	about	about
the	the	the
fact	fact	fact
that	that	that
Trump	trump	Trump
s	s	s
wiretapping	wiretap	wiretapping
claims	claim	claim
had	had	had
been	been	been
shot	shot	shot
down	down	down
by	by	by
the	the	the
FBI	fbi	FBI
,	,	,
the	the	the
Justice	justic	Justice
Department	depart	Department
,	,	,
and	and	and
everybody	everybodi	everybody
else	els	else
except	except	except
for	for	for
a	a	a
few	few	few
random	random	random
conspiracy	conspiraci	conspiracy
theorists	theorist	theorist
.	.	.
He	he	He
said	said	said
that	that	that
there	there	there
is	is	is
no	no	no
information	inform	information
to	to	to
support	support	support
the	the	the
allegations	alleg	allegation
that	that	that
the	the	the
President	presid	President
made	made	made
against	against	against
President	presid	President
Obama	obama	Obama
,	,	,
ABC	abc	ABC
s	s	s
Jonathan	jonathan	Jonathan
Karl	karl	Karl
said	said	said
,	,	,
referring	refer	referring
to	to	to
Comey	comey	Comey
,	,	,
before	befor	before
Spicer	spicer	Spicer
abruptly	abrupt	abruptly
cut	cut	cut
him	him	him
off	off	off
mid	mid	mid
question	question	question
.	.	.
At	at	At
this	this	this
time	time	time
,	,	,
Spicer	spicer	Spicer
said	said	said
.	.	.
So	so	So
is	is	is
the	the	the
President	presid	President
prepared	prepar	prepared
to	to	to
withdraw	withdraw	withdraw
that	that	that
accusation	accus	accusation
and	and	and
apologize	apolog	apologize
to	to	to
the	the	the
President	presid	President
?	?	?
Karl	karl	Karl
asked	ask	asked
.	.	.
No	no	No
,	,	,
Spicer	spicer	Spicer
replied	repli	replied
.	.	.
We	we	We
started	start	started
a	a	a
hearing	hear	hearing
.	.	.
It	it	It
s	s	s
still	still	still
ongoing	ongo	ongoing
.	.	.
And	and	And
then	then	then
,	,	,
as	as	a
Chairman	chairman	Chairman
Nunes	nune	Nunes
mentioned	mention	mentioned
,	,	,
this	this	this
is	is	is
one	one	one
of	of	of
a	a	a
series	seri	series
of	of	of
hearings	hear	hearing
that	that	that
will	will	will
be	be	be
happening	happen	happening
.	.	.
While	while	While
testifying	testifi	testifying
on	on	on
Monday	monday	Monday
,	,	,
Comey	comey	Comey
said	said	said
that	that	that
the	the	the
Department	depart	Department
of	of	of
Justice	justic	Justice
has	has	ha
no	no	no
information	inform	information
whatsoever	whatsoev	whatsoever
to	to	to
support	support	support
Trump	trump	Trump
s	s	s
ridiculous	ridicul	ridiculous
assertion	assert	assertion
that	that	that
Obama	obama	Obama
,	,	,
or	or	or
anybody	anybodi	anybody
else	els	else
for	for	for
that	that	that
matter	matter	matter
,	,	,
wiretapped	wiretap	wiretapped
Trump	trump	Trump
Tower	tower	Tower
.	.	.
Comey	comey	Comey
said	said	said
he	he	he
would	would	would
not	not	not
characterize	character	characterize
Trump	trump	Trump
s	s	s
tweets	tweet	tweet
about	about	about
the	the	the
alleged	alleg	alleged
wiretapping	wiretap	wiretapping
,	,	,
and	and	and
said	said	said
only	onli	only
that	that	that
he	he	he
has	has	ha
no	no	no
information	inform	information
to	to	to
support	support	support
the	the	the
accusation	accus	accusation
.	.	.
On	on	On
Friday	friday	Friday
,	,	,
the	the	the
Justice	justic	Justice
Department	depart	Department
sent	sent	sent
documents	document	document
related	relat	related
to	to	to
Trump	trump	Trump
wiretapping	wiretap	wiretapping
claims	claim	claim
to	to	to
the	the	the
committee	committe	committee
.	.	.
Reps	rep	Reps
.	.	.
Devin	devin	Devin
Nunes	nune	Nunes
R	r	R
-Calif	-calif	-Calif
.	.	.
and	and	and
Adam	adam	Adam
