Donald	donald	Donald
Trump	trump	Trump
told	told	told
the	the	the
crowd	crowd	crowd
at	at	at
a	a	a
Florida	florida	Florida
rally	ralli	rally
just	just	just
how	how	how
bad	bad	bad
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
mental	mental	mental
stamina	stamina	stamen
is	is	is
,	,	,
but	but	but
at	at	at
the	the	the
same	same	same
time	time	time
,	,	,
he	he	he
couldn	couldn	couldn
t	t	t
even	even	even
manage	manag	manage
to	to	to
figure	figur	figure
out	out	out
what	what	what
day	day	day
of	of	of
the	the	the
week	week	week
it	it	it
was	was	wa
Now	now	Now
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
commonly	common	commonly
referred	refer	referred
to	to	to
as	as	a
Crooked	crook	Crooked
Hillary	hillari	Hillary
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
gave	gave	gave
a	a	a
speech	speech	speech
today	today	today
having	have	having
to	to	to
do	do	do
with	with	with
economic	econom	economic
development	develop	development
,	,	,
having	have	having
to	to	to
do	do	do
with	with	with
a	a	a
lot	lot	lot
of	of	of
different	differ	different
things	thing	thing
.	.	.
Short	short	Short
speech	speech	speech
,	,	,
always	alway	always
very	veri	very
short	short	short
.	.	.
You	you	You
know	know	know
?	?	?
She	she	She
makes	make	make
the	the	the
speech	speech	speech
,	,	,
she	she	she
turns	turn	turn
off	off	off
the	the	the
teleprompter	teleprompt	teleprompter
.	.	.
Look	look	Look
,	,	,
what	what	what
happens	happen	happens
,	,	,
she	she	she
gives	give	give
a	a	a
short	short	short
speech	speech	speech
then	then	then
she	she	she
goes	goe	go
home	home	home
,	,	,
goes	goe	go
to	to	to
sleep	sleep	sleep
,	,	,
she	she	she
shows	show	show
up	up	up
two	two	two
days	day	day
later	later	later
.	.	.
Remember	rememb	Remember
,	,	,
short	short	short
circuit	circuit	circuit
.	.	.
Remember	rememb	Remember
that	that	that
,	,	,
right	right	right
?	?	?
Short	short	Short
circuit	circuit	circuit
.	.	.
Last	last	Last
week	week	week
,	,	,
Clinton	clinton	Clinton
said	said	said
that	that	that
she	she	she
may	may	may
have	have	have
short	short	short
-circuited	-circuit	-circuited
her	her	her
answer	answer	answer
to	to	to
a	a	a
question	question	question
about	about	about
the	the	the
investigation	investig	investigation
into	into	into
her	her	her
private	privat	private
email	email	email
server	server	server
during	dure	during
a	a	a
television	televis	television
interview	interview	interview
.	.	.
Trump	trump	Trump
latched	latch	latched
onto	onto	onto
the	the	the
comment	comment	comment
vehemently	vehement	vehemently
as	as	a
proof	proof	proof
that	that	that
she	she	she
isn	isn	isn
t	t	t
mentally	mental	mentally
fit	fit	fit
to	to	to
be	be	be
president	presid	president
while	while	while
attacking	attack	attacking
her	her	her
physical	physic	physical
health	health	health
as	as	a
well	well	well
.	.	.
Trump	trump	Trump
also	also	also
told	told	told
the	the	the
crowd	crowd	crowd
I	i	I
watched	watch	watched
Hillary	hillari	Hillary
today	today	today
,	,	,
which	which	which
was	was	wa
really	realli	really
boring	bore	boring
.	.	.
It	it	It
s	s	s
hard	hard	hard
to	to	to
watch	watch	watch
.	.	.
I	i	I
have	have	have
an	an	an
obligation	oblig	obligation
to	to	to
watch	watch	watch
.	.	.
Fortunately	fortun	Fortunately
,	,	,
she	she	she
never	never	never
goes	goe	go
on	on	on
very	veri	very
long	long	long
because	becaus	because
she	she	she
wants	want	want
to	to	to
go	go	go
home	home	home
.	.	.
Trump	trump	Trump
was	was	wa
insistent	insist	insistent
that	that	that
Clinton	clinton	Clinton
isn	isn	isn
t	t	t
mentally	mental	mentally
competent	compet	competent
,	,	,
but	but	but
twice	twice	twice
during	dure	during
the	the	the
rally	ralli	rally
he	he	he
totally	total	totally
screwed	screw	screwed
up	up	up
what	what	what
day	day	day
of	of	of
the	the	the
week	week	week
it	it	it
was	was	wa
,	,	,
even	even	even
after	after	after
he	he	he
was	was	wa
corrected	correct	corrected
.	.	.
As	as	As
reported	report	reported
by	by	by
The	the	The
Guardian	guardian	Guardian
By	by	By
the	the	the
way	way	way
,	,	,
is	is	is
there	there	there
any	ani	any
place	place	place
to	to	to
be	be	be
that	that	that
s	s	s
better	better	better
than	than	than
a	a	a
Friday	friday	Friday
night	night	night
in	in	in
Florida	florida	Florida
at	at	at
a	a	a
Trump	trump	Trump
rally	ralli	rally
?	?	?
No	no	No
place	place	place
.	.	.
A	a	A
few	few	few
supporters	support	supporter
shouted	shout	shouted
It	it	It
s	s	s
Thursday	thursday	Thursday
!	!	!
Later	later	Later
he	he	he
said	said	said
We	we	We
joke	joke	joke
.	.	.
It	it	It
s	s	s
Friday	friday	Friday
night	night	night
and	and	and
we	we	we
re	re	re
having	have	having
fun	fun	fun
.	.	.
More	more	More
supporters	support	supporter
yelled	yell	yelled
It	it	It
s	s	s
Thursday	thursday	Thursday
!	!	!
but	but	but
he	he	he
appeared	appear	appeared
to	to	to
assume	assum	assume
it	it	it
was	was	wa
more	more	more
cheering	cheer	cheering
.	.	.
Although	although	Although
probably	probabl	probably
not	not	not
an	an	an
accident	accid	accident
,	,	,
Trump	trump	Trump
also	also	also
had	had	had
a	a	a
hard	hard	hard
time	time	time
with	with	with
his	his	his
comprehension	comprehens	comprehension
of	of	of
just	just	just
how	how	how
many	mani	many
people	peopl	people
had	had	had
actually	actual	actually
come	come	come
out	out	out
to	to	to
hear	hear	hear
him	him	him
speak	speak	speak
.	.	.
This	this	This
place	place	place
is	is	is
incredible	incred	incredible
.	.	.
We	we	We
ve	ve	ve
got	got	got
2	2	2
,	,	,
000	000	000
people	peopl	people
outside	outsid	outside
trying	tri	trying
to	to	to
get	get	get
in	in	in
,	,	,
Trump	trump	Trump
said	said	said
.	.	.
However	howev	However
,	,	,
according	accord	according
to	to	to
The	the	The
Guardian	guardian	Guardian
,	,	,
there	there	there
were	were	were
still	still	still
hundreds	hundr	hundred
of	of	of
empty	empti	empty
places	place	place
in	in	in
the	the	the
8	8	8
,	,	,
000	000	000
-seat	-seat	-seat
arena	arena	arena
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Joe	joe	Joe
Raedle	raedl	Raedle
Getty	getti	Getty
Images	imag	Images
