Token	Stem	Lemma
The	the	The
best	best	best
part	part	part
of	of	of
the	the	the
60	60	60
Minutes	minut	Minutes
interview	interview	interview
was	was	wa
when	when	when
Trump	trump	Trump
told	told	told
the	the	the
dumb	dumb	dumb
Leslie	lesli	Leslie
Stall	stall	Stall
this	this	this
when	when	when
asked	ask	asked
if	if	if
he	he	he
would	would	would
build	build	build
the	the	the
wall	wall	wall
What	what	What
we	we	we
are	are	are
going	go	going
to	to	to
do	do	do
is	is	is
get	get	get
the	the	the
people	peopl	people
that	that	that
are	are	are
criminal	crimin	criminal
and	and	and
have	have	have
criminal	crimin	criminal
records	record	record
gang	gang	gang
members	member	member
drug	drug	drug
dealers	dealer	dealer
where	where	where
a	a	a
lot	lot	lot
of	of	of
these	these	these
people	peopl	people
probably	probabl	probably
2	2	2
million	million	million
it	it	it
could	could	could
be	be	be
even	even	even
3	3	3
million	million	million
we	we	we
are	are	are
getting	get	getting
them	them	them
out	out	out
of	of	of
our	our	our
country	countri	country
or	or	or
we	we	we
are	are	are
going	go	going
to	to	to
incarcerate	incarcer	incarcerate
he	he	he
said	said	said
in	in	in
the	the	the
interview	interview	interview
to	to	to
air	air	air
on	on	on
60	60	60
Minutes	minut	Minutes
But	but	But
we	we	we
re	re	re
getting	get	getting
them	them	them
out	out	out
of	of	of
our	our	our
country	countri	country
they	they	they
re	re	re
here	here	here
illegally	illeg	illegally
Only	onli	Only
then	then	then
Trump	trump	Trump
said	said	said
will	will	will
he	he	he
figure	figur	figure
out	out	out
a	a	a
plan	plan	plan
to	to	to
deal	deal	deal
with	with	with
the	the	the
terrific	terrif	terrific
people	peopl	people
who	who	who
are	are	are
in	in	in
the	the	the
U	u	U
S	s	S
illegally	illeg	illegally
but	but	but
have	have	have
otherwise	otherwis	otherwise
clean	clean	clean
criminal	crimin	criminal
histories	histori	history
Securing	secur	Securing
the	the	the
border	border	border
he	he	he
said	said	said
is	is	is
a	a	a
prerequisite	prerequisit	prerequisite
for	for	for
any	ani	any
other	other	other
action	action	action
on	on	on
immigration	immigr	immigration
One	one	One
unchanged	unchang	unchanged
part	part	part
of	of	of
his	his	his
immigration	immigr	immigration
platform	platform	platform
has	has	ha
been	been	been
his	his	his
plan	plan	plan
for	for	for
the	the	the
construction	construct	construction
of	of	of
a	a	a
wall	wall	wall
along	along	along
America	america	America
s	s	s
southern	southern	southern
border	border	border
with	with	with
Mexico	mexico	Mexico
something	someth	something
he	he	he
said	said	said
he	he	he
would	would	would
force	forc	force
the	the	the
Mexican	mexican	Mexican
government	govern	government
to	to	to
pay	pay	pay
for	for	for
by	by	by
threatening	threaten	threatening
to	to	to
cut	cut	cut
off	off	off
the	the	the
flow	flow	flow
of	of	of
money	money	money
from	from	from
immigrants	immigr	immigrant
to	to	to
their	their	their
families	famili	family
south	south	south
of	of	of
the	the	the
border	border	border
Trump	trump	Trump
said	said	said
Sunday	sunday	Sunday
that	that	that
while	while	while
an	an	an
actual	actual	actual
wall	wall	wall
will	will	will
be	be	be
necessary	necessari	necessary
along	along	along
some	some	some
portions	portion	portion
of	of	of
the	the	the
border	border	border
a	a	a
mere	mere	mere
fence	fenc	fence
will	will	will
suffice	suffic	suffice
in	in	in
others	other	others
I	i	I
m	m	m
very	veri	very
good	good	good
at	at	at
this	this	this
it	it	it
s	s	s
called	call	called
construction	construct	construction
he	he	he
said	said	said
President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
says	say	say
the	the	the
wall	wall	wall
on	on	on
the	the	the
Mexican	mexican	Mexican
border	border	border
may	may	may
have	have	have
fence	fenc	fence
segments	segment	segment
tonight	tonight	tonight
on	on	on
#60Minutes:	#60minutes:	#60Minutes:
https://t.co/n4ZKu8f3mk	https://t.co/n4zku8f3mk	https://t.co/n4ZKu8f3mk
pic.twitter.com/bCmtXgcyFh	pic.twitter.com/bcmtxgcyfh	pic.twitter.com/bCmtXgcyFh
60	60	60
Minutes	minut	Minutes
@60Minutes	@60minut	@60Minutes
November	novemb	November
13	13	13
2016	2016	2016
