We	we	We
ll	ll	ll
wait	wait	wait
for	for	for
an	an	an
apology	apolog	apology
from	from	from
CAIR	cair	CAIR
and	and	and
the	the	the
leftist	leftist	leftist
media	media	medium
who	who	who
couldn	couldn	couldn
t	t	t
slap	slap	slap
an	an	an
Islamaphobic	islamaphob	Islamaphobic
label	label	label
on	on	on
American	american	American
citizens	citizen	citizen
fast	fast	fast
enough	enough	enough
US	us	US
Muslim	muslim	Muslim
Saadiq	saadiq	Saadiq
Long	long	Long
made	made	made
headlines	headlin	headline
after	after	after
he	he	he
was	was	wa
not	not	not
allowed	allow	allowed
to	to	to
fly	fli	fly
to	to	to
Oklahoma	oklahoma	Oklahoma
from	from	from
Qatar	qatar	Qatar
to	to	to
see	see	see
his	his	his
ailing	ail	ailing
mother	mother	mother
.	.	.
Saadiq	saadiq	Saadiq
was	was	wa
on	on	on
the	the	the
terror	terror	terror
watch	watch	watch
list	list	list
and	and	and
was	was	wa
not	not	not
allowed	allow	allowed
into	into	into
the	the	the
country	countri	country
.	.	.

The	the	The
left	left	left
lashed	lash	lashed
out	out	out
at	at	at
government	govern	government
officials	offici	official
arguing	argu	arguing
that	that	that
Saadiq	saadiq	Saadiq
was	was	wa
a	a	a
victim	victim	victim
of	of	of
Islamophobia	islamophobia	Islamophobia
.	.	.

Saadiq	saadiq	Saadiq
was	was	wa
arrested	arrest	arrested
earlier	earlier	earlier
this	this	this
month	month	month
with	with	with
his	his	his
family	famili	family
members	member	member
trying	tri	trying
to	to	to
get	get	get
into	into	into
Syria	syria	Syria
from	from	from
Turkey	turkey	Turkey
to	to	to
join	join	join
ISIS	isi	ISIS
.	.	.

Will	will	Will
CAIR	cair	CAIR
rally	ralli	rally
around	around	around
Saadiq	saadiq	Saadiq
now	now	now
?	?	?
CAIR	cair	CAIR
officials	offici	official
greeted	greet	greeted
Saadiq	saadiq	Saadiq
Long	long	Long
when	when	when
he	he	he
arrived	arriv	arrived
in	in	in
Oklahoma	oklahoma	Oklahoma
from	from	from
Qatar	qatar	Qatar
.	.	.
PJ	pj	PJ
Media	media	Media
reported	report	reported
A	a	A
man	man	man
,	,	,
who	who	who
just	just	just
two	two	two
years	year	year
ago	ago	ago
was	was	wa
the	the	the
poster	poster	poster
boy	boy	boy
for	for	for
the	the	the
far	far	far
-Left	-left	-Left
media	media	medium
s	s	s
attacks	attack	attack
against	against	against
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
s	s	s
no	no	no
-fly	-fli	-fly
list	list	list
for	for	for
unfairly	unfair	unfairly
targeting	target	targeting
Muslims	muslim	Muslims
,	,	,
finds	find	find
himself	himself	himself
and	and	and
several	sever	several
family	famili	family
members	member	member
sitting	sit	sitting
in	in	in
a	a	a
Turkish	turkish	Turkish
prison	prison	prison
arrested	arrest	arrested
earlier	earlier	earlier
this	this	this
month	month	month
near	near	near
the	the	the
Turkey	turkey	Turkey
-Syria	-syria	-Syria
border	border	border
as	as	a
members	member	member
of	of	of
an	an	an
ISIS	isi	ISIS
cell	cell	cell
.	.	.
It	it	It
s	s	s
a	a	a
long	long	long
way	way	way
from	from	from
2013	2013	2013
when	when	when
Saadiq	saadiq	Saadiq
Long	long	Long
s	s	s
cause	caus	cause
was	was	wa
being	be	being
championed	champion	championed
by	by	by
MSNBC	msnbc	MSNBC
s	s	s
Chris	chris	Chris
Hayes	hay	Hayes
,	,	,
Glenn	glenn	Glenn
Greenwald	greenwald	Greenwald
,	,	,
and	and	and
Mother	mother	Mother
Jones	jone	Jones
,	,	,
and	and	and
was	was	wa
being	be	being
represented	repres	represented
by	by	by
the	the	the
Council	council	Council
on	on	on
American	american	American
-Islamic	-islam	-Islamic
Relations	relat	Relations
CAIR	cair	CAIR
terror	terror	terror
front	front	front
.	.	.
His	his	His
story	stori	story
got	got	got
considerable	consider	considerable
media	media	medium
attention	attent	attention
when	when	when
his	his	his
CAIR	cair	CAIR
media	media	medium
representatives	repres	representative
here	here	here
pushed	push	pushed
the	the	the
story	stori	story
that	that	that
Long	long	Long
wanted	want	wanted
to	to	to
return	return	return
to	to	to
his	his	his
native	nativ	native
Oklahoma	oklahoma	Oklahoma
from	from	from
his	his	his
current	current	current
home	home	home
in	in	in
Qatar	qatar	Qatar
to	to	to
visit	visit	visit
his	his	his
ailing	ail	ailing
mother	mother	mother
but	but	but
couldn	couldn	couldn
t	t	t
because	becaus	because
he	he	he
was	was	wa
on	on	on
the	the	the
TSA	tsa	TSA
s	s	s
no	no	no
-fly	-fli	-fly
