Republicans	republican	Republicans
claim	claim	claim
that	that	that
racism	racism	racism
doesn	doesn	doesn
t	t	t
exist	exist	exist
anymore	anymor	anymore
.	.	.

But	but	But
if	if	if
that	that	that
is	is	is
true	true	true
,	,	,
why	whi	why
does	doe	doe
this	this	this
sh	sh	sh
t	t	t
keep	keep	keep
happening	happen	happening
?	?	?

An	an	An
African	african	African
-American	-american	-American
man	man	man
in	in	in
North	north	North
Carolina	carolina	Carolina
posted	post	posted
a	a	a
horrifying	horrifi	horrifying
video	video	video
to	to	to
YouTube	youtub	YouTube
that	that	that
shows	show	show
a	a	a
crazy	crazi	crazy
white	white	white
lady	ladi	lady
UNLOADING	unload	UNLOADING
on	on	on
him	him	him
and	and	and
his	his	his
family	famili	family
simply	simpli	simply
because	becaus	because
they	they	they
have	have	have
skin	skin	skin
darker	darker	darker
than	than	than
a	a	a
freshly	fresh	freshly
-bleached	-bleach	-bleached
Klan	klan	Klan
hood	hood	hood
.	.	.

A	a	A
volunteer	volunt	volunteer
at	at	at
the	the	the
Wake	wake	Wake
Forest	forest	Forest
Baptist	baptist	Baptist
Medical	medic	Medical
Center	center	Center
at	at	at
Winston	winston	Winston
-Salem	-salem	-Salem
was	was	wa
captured	captur	captured
on	on	on
video	video	video
screaming	scream	screaming
at	at	at
Isaiah	isaiah	Isaiah
Baskins	baskin	Baskins
and	and	and
his	his	his
family	famili	family
when	when	when
they	they	they
visited	visit	visited
the	the	the
center	center	center
.	.	.
Before	befor	Before
Baskins	baskin	Baskins
began	began	began
filming	film	filming
,	,	,
he	he	he
says	say	say
the	the	the
woman	woman	woman
called	call	called
him	him	him
a	a	a
n	n	n
gger	gger	gger
and	and	and
ordered	order	ordered
him	him	him
to	to	to
leave	leav	leave
.	.	.

At	at	At
the	the	the
start	start	start
of	of	of
the	the	the
video	video	video
,	,	,
the	the	the
woman	woman	woman
is	is	is
on	on	on
the	the	the
phone	phone	phone
demanding	demand	demanding
that	that	that
someone	someon	someone
apparently	appar	apparently
security	secur	security
come	come	come
up	up	up
here	here	here
and	and	and
TAKE	take	TAKE
THESE	these	THESE
PEOPLE	peopl	PEOPLE
OUT	out	OUT
OF	of	OF
HERE	here	HERE
.	.	.

After	after	After
she	she	she
slams	slam	slam
the	the	the
phone	phone	phone
,	,	,
she	she	she
begins	begin	begin
pushing	push	pushing
and	and	and
shoving	shove	shoving
the	the	the
man	man	man
,	,	,
who	who	who
simply	simpli	simply
asks	ask	asks
what	what	what
is	is	is
wrong	wrong	wrong
with	with	with
her	her	her
,	,	,
baring	bare	baring
her	her	her
teeth	teeth	teeth
like	like	like
someone	someon	someone
just	just	just
spilled	spill	spilled
grape	grape	grape
juice	juic	juice
on	on	on
her	her	her
freshly	fresh	freshly
-washed	-wash	-washed
robes	robe	robe
just	just	just
before	befor	before
an	an	an
important	import	important
cross	cross	cross
burning	burn	burning
.	.	.

Get	get	Get
your	your	your
damn	damn	damn
underwear	underwear	underwear
out	out	out
of	of	of
here	here	here
,	,	,
she	she	she
screams	scream	scream
.	.	.

Gray	gray	Gray
underwear	underwear	underwear
.	.	.

Apparently	appar	Apparently
,	,	,
the	the	the
color	color	color
of	of	of
Baskins	baskin	Baskins
underwear	underwear	underwear
,	,	,
which	which	which
may	may	may
or	or	or
may	may	may
not	not	not
have	have	have
poked	poke	poked
above	abov	above
the	the	the
waistline	waistlin	waistline
of	of	of
Baskins	baskin	Baskins
pants	pant	pant
,	,	,
makes	make	make
him	him	him
a	a	a
dirty	dirti	dirty
old	old	old
creep	creep	creep
.	.	.

She	she	She
demands	demand	demand
that	that	that
the	the	the
family	famili	family
be	be	be
removed	remov	removed
because	becaus	because
she	she	she
doesn	doesn	doesn
t	t	t
want	want	want
to	to	to
see	see	see
it	it	it
.	.	.

On	on	On
YouTube	youtub	YouTube
,	,	,
Baskins	baskin	Baskins
sums	sum	sum
up	up	up
the	the	the
situation	situat	situation
Went	went	Went
to	to	to
Baptist	baptist	Baptist
hospital	hospit	hospital
for	for	for
my	my	my
daughter	daughter	daughter
appointment	appoint	appointment
and	and	and
went	went	went
into	into	into
the	the	the
family	famili	family
resource	resourc	resource
center	center	center
and	and	and
became	becam	became
a	a	a
victim	victim	victim
of	of	of
racism	racism	racism
before	befor	before
I	i	I
started	start	started
recording	record	recording
she	she	she
called	call	called
me	me	me
a	a	a
nigger	nigger	nigger
and	and	and
said	said	said
get	get	get
my	my	my
black	black	black
kids	kid	kid
out	out	out
We	we	We
wasent	wasent	wasent
bothering	bother	bothering
anybody	anybodi	anybody
I	i	I
was	was	wa
