Earlier	earlier	Earlier
this	this	this
month	month	month
,	,	,
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
posted	post	posted
on	on	on
its	it	it
website	websit	website
an	an	an
advertisement	advertis	advertisement
seeking	seek	seeking
election	elect	election
observers	observ	observer
to	to	to
monitor	monitor	monitor
locations	locat	location
.	.	.
The	the	The
move	move	move
,	,	,
which	which	which
is	is	is
unusual	unusu	unusual
for	for	for
private	privat	private
campaigns	campaign	campaign
,	,	,
comes	come	come
from	from	from
the	the	the
irrational	irrat	irrational
fear	fear	fear
that	that	that
should	should	should
Hillary	hillari	Hillary
Clinton	clinton	Clinton
win	win	win
,	,	,
the	the	the
election	elect	election
would	would	would
be	be	be
rigged	rig	rigged
.	.	.
So	so	So
Trump	trump	Trump
s	s	s
solution	solut	solution
?	?	?
Have	have	Have
his	his	his
rabid	rabid	rabid
,	,	,
conspiracy	conspiraci	conspiracy
theory	theori	theory
believing	believ	believing
supporters	support	supporter
intimidate	intimid	intimidate
voters	voter	voter
in	in	in
poll	poll	poll
lines	line	line
.	.	.
In	in	In
Pennsylvania	pennsylvania	Pennsylvania
,	,	,
where	where	where
polls	poll	poll
have	have	have
Clinton	clinton	Clinton
ahead	ahead	ahead
by	by	by
as	as	a
much	much	much
as	as	a
nine	nine	nine
points	point	point
,	,	,
Trump	trump	Trump
claims	claim	claim
the	the	the
only	onli	only
way	way	way
Clinton	clinton	Clinton
could	could	could
win	win	win
is	is	is
if	if	if
she	she	she
cheats	cheat	cheat
or	or	or
those	those	those
in	in	in
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
rig	rig	rig
the	the	the
election	elect	election
in	in	in
her	her	her
favor	favor	favor
.	.	.
So	so	So
his	his	his
initial	initi	initial
call	call	call
was	was	wa
to	to	to
have	have	have
his	his	his
supporters	support	supporter
monitor	monitor	monitor
the	the	the
stations	station	station
in	in	in
the	the	the
predominantly	predomin	predominantly
black	black	black
and	and	and
minority	minor	minority
-voting	-vote	-voting
urban	urban	urban
areas	area	area
of	of	of
the	the	the
state	state	state
.	.	.
It	it	It
was	was	wa
very	veri	very
reminiscent	reminisc	reminiscent
of	of	of
the	the	the
1960s	1960s	1960s
Jim	jim	Jim
Crow	crow	Crow
intimidation	intimid	intimidation
of	of	of
the	the	the
South	south	South
.	.	.
After	after	After
facing	face	facing
some	some	some
backlash	backlash	backlash
for	for	for
the	the	the
dangerous	danger	dangerous
and	and	and
archaic	archaic	archaic
call	call	call
to	to	to
suppress	suppress	suppress
and	and	and
intimidate	intimid	intimidate
voters	voter	voter
,	,	,
Trump	trump	Trump
doubled	doubl	doubled
down	down	down
on	on	on
his	his	his
claim	claim	claim
that	that	that
the	the	the
election	elect	election
will	will	will
be	be	be
rigged	rig	rigged
and	and	and
that	that	that
supporters	support	supporter
should	should	should
watch	watch	watch
the	the	the
polling	poll	polling
locations	locat	location
very	veri	very
closely	close	closely
on	on	on
election	elect	election
day	day	day
You	you	You
ve	ve	ve
got	got	got
to	to	to
get	get	get
every	everi	every
one	one	one
of	of	of
your	your	your
friends	friend	friend
.	.	.
You	you	You
ve	ve	ve
got	got	got
to	to	to
get	get	get
every	everi	every
one	one	one
of	of	of
your	your	your
family	famili	family
.	.	.
You	you	You
ve	ve	ve
got	got	got
to	to	to
get	get	get
everybody	everybodi	everybody
to	to	to
go	go	go
out	out	out
and	and	and
watch	watch	watch
.	.	.
And	and	And
go	go	go
out	out	out
and	and	and
vote	vote	vote
.	.	.
And	and	And
when	when	when
I	i	I
say	say	say
watch	watch	watch
,	,	,
you	you	you
know	know	know
what	what	what
I	i	I
m	m	m
talking	talk	talking
about	about	about
,	,	,
right	right	right
?	?	?
You	you	You
know	know	know
what	what	what
I	i	I
m	m	m
taking	take	taking
about	about	about
.	.	.
I	i	I
think	think	think
you	you	you
got	got	got
to	to	to
go	go	go
out	out	out
and	and	and
you	you	you
got	got	got
to	to	to
watch	watch	watch
.	.	.
The	the	The
question	question	question
is	is	is
just	just	just
what	what	what
should	should	should
his	his	his
people	peopl	people
be	be	be
watching	watch	watching
for	for	for
?	?	?
Should	should	Should
they	they	they
be	be	be
watching	watch	watching
and	and	and
observing	observ	observing
people	peopl	people
of	of	of
color	color	color
?	?	?
Should	should	Should
they	they	they
be	be	be
monitoring	monitor	monitoring
young	young	young
,	,	,
college	colleg	college
-aged	-age	-aged
millenials	milleni	millenials
?	?	?
Should	should	Should
they	they	they
be	be	be
asking	ask	asking
voters	voter	voter
their	their	their
personal	person	personal
information	inform	information
so	so	so
they	they	they
can	can	can
play	play	play
Sherlock	sherlock	Sherlock
Holmes	holm	Holmes
?	?	?
Once	onc	Once
again	again	again
,	,	,
Trump	trump	Trump
sounds	sound	sound
his	his	his
dog	dog	dog
whistle	whistl	whistle
.	.	.
When	when	When
he	he	he
tells	tell	tell
his	his	his
predominantly	predomin	predominantly
white	white	white
audience	audienc	audience
,	,	,
you	you	you
know	know	know
what	what	what
I	i	I
m	m	m
talking	talk	talking
about	about	about
,	,	,
the	the	the
innuendo	innuendo	innuendo
could	could	could
not	not	not
be	be	be
more	more	more
clear	clear	clear
watch	watch	watch
,	,	,
intimidate	intimid	intimidate
and	and	and
disenfranchise	disenfranchis	disenfranchise
minority	minor	minority
voters	voter	voter
.	.	.
Of	of	Of
course	cours	course
,	,	,
Republicans	republican	Republicans
,	,	,
who	who	who
have	have	have
been	been	been
pushing	push	pushing
the	the	the
now	now	now
widely	wide	widely
debunked	debunk	debunked
myth	myth	myth
of	of	of
rampant	rampant	rampant
voter	voter	voter
fraud	fraud	fraud
,	,	,
will	will	will
be	be	be
mum	mum	mum
on	on	on
this	this	this
.	.	.
In	in	In
justification	justif	justification
,	,	,
they	they	they
will	will	will
point	point	point
to	to	to
the	the	the
said	said	said
myth	myth	myth
that	that	that
is	is	is
rampant	rampant	rampant
voter	voter	voter
fraud	fraud	fraud
as	as	a
why	whi	why
they	they	they
support	support	support
this	this	this
dangerous	danger	dangerous
,	,	,
racist	racist	racist
and	and	and
damaging	damag	damaging
call	call	call
to	to	to
action	action	action
.	.	.
Trump	trump	Trump
s	s	s
call	call	call
to	to	to
intimidate	intimid	intimidate
voters	voter	voter
should	should	should
be	be	be
a	a	a
warning	warn	warning
to	to	to
all	all	all
Americans	american	Americans
don	don	don
t	t	t
get	get	get
complacent	complac	complacent
.	.	.
Get	get	Get
out	out	out
,	,	,
vote	vote	vote
,	,	,
and	and	and
take	take	take
this	this	this
monstrosity	monstros	monstrosity
down	down	down
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Angelo	angelo	Angelo
Meredino	meredino	Meredino
Getty	getti	Getty
Images	imag	Images
