Founder	founder	Founder
of	of	of
the	the	the
Ford	ford	Ford
Motor	motor	Motor
Company	compani	Company
,	,	,
Henry	henri	Henry
Ford	ford	Ford
,	,	,
made	made	made
no	no	no
secret	secret	secret
of	of	of
the	the	the
fact	fact	fact
that	that	that
he	he	he
disliked	dislik	disliked
Jewish	jewish	Jewish
people	peopl	people
.	.	.
More	more	More
precisely	precis	precisely
,	,	,
he	he	he
disliked	dislik	disliked
the	the	the
Jew	jew	Jew
an	an	an
abstract	abstract	abstract
impression	impress	impression
of	of	of
what	what	what
Ford	ford	Ford
imagined	imagin	imagined
to	to	to
be	be	be
a	a	a
sinister	sinist	sinister
people	peopl	people
bent	bent	bent
on	on	on
controlling	control	controlling
the	the	the
world	world	world
.	.	.
Not	not	Not
only	onli	only
did	did	did
he	he	he
make	make	make
no	no	no
secret	secret	secret
of	of	of
his	his	his
contempt	contempt	contempt
,	,	,
but	but	but
he	he	he
launched	launch	launched
a	a	a
weekly	week	weekly
newspaper	newspap	newspaper
,	,	,
The	the	The
Dearborn	dearborn	Dearborn
Independent	independ	Independent
,	,	,
in	in	in
1919	1919	1919
to	to	to
promote	promot	promote
his	his	his
paranoid	paranoid	paranoid
views	view	view
.	.	.
He	he	He
pressed	press	pressed
Ford	ford	Ford
retailers	retail	retailer
to	to	to
sell	sell	sell
subscriptions	subscript	subscription
.	.	.
In	in	In
the	the	the
end	end	end
,	,	,
historians	historian	historian
say	say	say
,	,	,
Ford	ford	Ford
assisted	assist	assisted
some	some	some
of	of	of
the	the	the
greatest	greatest	greatest
evil	evil	evil
and	and	and
genocide	genocid	genocide
in	in	in
history	histori	history
by	by	by
fueling	fuel	fueling
the	the	the
anti	anti	anti
-Semitism	-semit	-Semitism
of	of	of
Adolf	adolf	Adolf
Hitler	hitler	Hitler
and	and	and
the	the	the
Nazis	nazi	Nazis
in	in	in
the	the	the
1920s	1920s	1920s
.	.	.
According	accord	According
to	to	to
press	press	press
reports	report	report
,	,	,
Hitler	hitler	Hitler
had	had	had
a	a	a
portrait	portrait	portrait
of	of	of
Henry	henri	Henry
Ford	ford	Ford
on	on	on
his	his	his
office	offic	office
wall	wall	wall
and	and	and
a	a	a
copy	copi	copy
of	of	of
The	the	The
International	intern	International
Jew	jew	Jew
,	,	,
published	publish	published
by	by	by
Ford	ford	Ford
,	,	,
on	on	on
his	his	his
desk	desk	desk
.	.	.
Crains	crain	Crains
Business	busi	Business
Detroit	detroit	Detroit
Should	should	Should
anyone	anyon	anyone
be	be	be
shocked	shock	shocked
by	by	by
a	a	a
Sheriff	sheriff	Sheriff
s	s	s
decision	decis	decision
to	to	to
not	not	not
want	want	want
to	to	to
support	support	support
a	a	a
car	car	car
brand	brand	brand
,	,	,
after	after	after
their	their	their
decision	decis	decision
to	to	to
openly	open	openly
support	support	support
a	a	a
movement	movement	movement
started	start	started
to	to	to
create	creat	create
hate	hate	hate
and	and	and
distrust	distrust	distrust
for	for	for
our	our	our
law	law	law
enforcement	enforc	enforcement
?	?	?
The	the	The
Bossier	bossier	Bossier
Parish	parish	Parish
La	la	La
.	.	.
Sheriff	sheriff	Sheriff
s	s	s
Office	offic	Office
is	is	is
boycotting	boycot	boycotting
its	it	it
local	local	local
Ford	ford	Ford
dealership	dealership	dealership
because	becaus	because
of	of	of
Ford	ford	Ford
Motor	motor	Motor
Company	compani	Company
s	s	s
support	support	support
for	for	for
protests	protest	protest
of	of	of
the	the	the
National	nation	National
Anthem	anthem	Anthem
