Screw	screw	Screw
Walmart	walmart	Walmart
which	which	which
is	is	is
America	america	America
s	s	s
largest	largest	largest
gun	gun	gun
retailer	retail	retailer
,	,	,
Target	target	Target
is	is	is
busting	bust	busting
down	down	down
social	social	social
barriers	barrier	barrier
and	and	and
spreading	spread	spreading
tolerance	toler	tolerance
and	and	and
acceptance	accept	acceptance
nationwide	nationwid	nationwide
!	!	!
Target	target	Target
Corp	corp	Corp
.	.	.
is	is	is
now	now	now
America	america	America
s	s	s
first	first	first
retailer	retail	retailer
to	to	to
allow	allow	allow
transgender	transgend	transgender
people	peopl	people
to	to	to
use	use	use
the	the	the
bathroom	bathroom	bathroom
of	of	of
their	their	their
choice	choic	choice
,	,	,
a	a	a
stark	stark	stark
rebuttal	rebutt	rebuttal
of	of	of
the	the	the
discriminatory	discriminatori	discriminatory
and	and	and
hateful	hate	hateful
laws	law	law
that	that	that
were	were	were
pushed	push	pushed
in	in	in
North	north	North
Carolina	carolina	Carolina
and	and	and
Mississippi	mississippi	Mississippi
.	.	.
Not	not	Not
only	onli	only
will	will	will
the	the	the
choice	choic	choice
apply	appli	apply
to	to	to
their	their	their
customers	custom	customer
,	,	,
but	but	but
to	to	to
employees	employe	employee
as	as	a
well	well	well
.	.	.
On	on	On
their	their	their
website	websit	website
,	,	,
the	the	the
retailer	retail	retailer
posted	post	posted
a	a	a
statement	statement	statement
titled	titl	titled
Continuing	continu	Continuing
to	to	to
Stand	stand	Stand
for	for	for
Inclusivity	inclus	Inclusivity
,	,	,
and	and	and
stood	stood	stood
firm	firm	firm
with	with	with
the	the	the
LGBT	lgbt	LGBT
community	communiti	community
,	,	,
writing	write	writing
Inclusivity	inclus	Inclusivity
is	is	is
a	a	a
core	core	core
belief	belief	belief
at	at	at
Target	target	Target
.	.	.
It	it	It
s	s	s
something	someth	something
we	we	we
celebrate	celebr	celebrate
.	.	.
We	we	We
stand	stand	stand
for	for	for
equality	equal	equality
and	and	and
equity	equiti	equity
,	,	,
and	and	and
strive	strive	strive
to	to	to
make	make	make
our	our	our
guests	guest	guest
and	and	and
team	team	team
members	member	member
feel	feel	feel
accepted	accept	accepted
,	,	,
respected	respect	respected
and	and	and
welcomed	welcom	welcomed
in	in	in
our	our	our
stores	store	store
and	and	and
workplaces	workplac	workplace
every	everi	every
day	day	day
.	.	.
We	we	We
believe	believ	believe
that	that	that
everyone	everyon	everyone
every	everi	every
team	team	team
member	member	member
,	,	,
every	everi	every
guest	guest	guest
,	,	,
and	and	and
every	everi	every
community	communiti	community
deserves	deserv	deserves
to	to	to
