While	while	While
it	it	it
can	can	can
be	be	be
said	said	said
that	that	that
no	no	no
one	one	one
is	is	is
immune	immun	immune
from	from	from
punishment	punish	punishment
,	,	,
a	a	a
terrific	terrif	terrific
example	exampl	example
of	of	of
that	that	that
fact	fact	fact
is	is	is
how	how	how
a	a	a
Secret	secret	Secret
Service	servic	Service
agent	agent	agent
who	who	who
was	was	wa
on	on	on
Mike	mike	Mike
Pence	penc	Pence
s	s	s
detail	detail	detail
just	just	just
got	got	got
himself	himself	himself
arrested	arrest	arrested
.	.	.
Why	whi	Why
was	was	wa
he	he	he
arrested	arrest	arrested
?	?	?
For	for	For
getting	get	getting
caught	caught	caught
soliciting	solicit	soliciting
sex	sex	sex
from	from	from
a	a	a
prostitute	prostitut	prostitute
.	.	.
According	accord	According
to	to	to
CNN	cnn	CNN
a	a	a
Secret	secret	Secret
Service	servic	Service
agent	agent	agent
on	on	on
Vice	vice	Vice
President	presid	President
Mike	mike	Mike
Pence	penc	Pence
s	s	s
detail	detail	detail
has	has	ha
been	been	been
suspended	suspend	suspended
from	from	from
official	offici	official
duties	duti	duty
after	after	after
meeting	meet	meeting
a	a	a
prostitute	prostitut	prostitute
at	at	at
a	a	a
Maryland	maryland	Maryland
hotel	hotel	hotel
.	.	.
One	one	One
law	law	law
enforcement	enforc	enforcement
source	sourc	source
says	say	say
the	the	the
agent	agent	agent
was	was	wa
caught	caught	caught
after	after	after
police	polic	police
saw	saw	saw
him	him	him
exiting	exit	exiting
the	the	the
hotel	hotel	hotel
.	.	.
Apparently	appar	Apparently
,	,	,
this	this	this
is	is	is
how	how	how
it	it	it
all	all	all
went	went	went
down	down	down
The	the	The
police	polic	police
responded	respond	responded
to	to	to
a	a	a
call	call	call
from	from	from
the	the	the
hotel	hotel	hotel
manager	manag	manager
who	who	who
became	becam	became
suspicious	suspici	suspicious
of	of	of
activity	activ	activity
in	in	in
one	one	one
of	of	of
the	the	the
rooms	room	room
.	.	.
The	the	The
source	sourc	source
said	said	said
this	this	this
was	was	wa
not	not	not
a	a	a
sting	sting	sting
.	.	.
Now	now	Now
,	,	,
even	even	even
though	though	though
the	the	the
agent	agent	agent
was	was	wa
off	off	off
duty	duti	duty
and	and	and
wasn	wasn	wasn
t	t	t
currently	current	currently
guarding	guard	guarding
the	the	the
vice	vice	vice
president	presid	president
,	,	,
it	it	it
is	is	is
still	still	still
illegal	illeg	illegal
to	to	to
solicit	solicit	solicit
sex	sex	sex
.	.	.
CNN	cnn	CNN
reports	report	report
A	a	A
Secret	secret	Secret
Service	servic	Service
spokesperson	spokesperson	spokesperson
,	,	,
speaking	speak	speaking
on	on	on
the	the	the
record	record	record
,	,	,
acknowledges	acknowledg	acknowledges
an	an	an
alleged	alleg	alleged
incident	incid	incident
occurred	occur	occurred
and	and	and
says	say	say
it	it	it
involved	involv	involved
an	an	an
off	off	off
-duty	-duti	-duty
Secret	secret	Secret
Service	servic	Service
employee	employe	employee
and	and	and
said	said	said
that	that	that
the	the	the
matter	matter	matter
is	is	is
under	under	under
investigation	investig	investigation
by	by	by
the	the	the
Office	offic	Office
of	of	of
Professional	profession	Professional
Responsibility	respons	Responsibility
to	to	to
determine	determin	determine
the	the	the
facts	fact	fact
.	.	.
According	accord	According
to	to	to
