After	after	After
Ellen	ellen	Ellen
Pompeo	pompeo	Pompeo
viewed	view	viewed
yet	yet	yet
other	other	other
shooting	shoot	shooting
of	of	of
an	an	an
unarmed	unarm	unarmed
black	black	black
man	man	man
by	by	by
police	polic	police
,	,	,
who	who	who
was	was	wa
even	even	even
on	on	on
his	his	his
back	back	back
with	with	with
his	his	his
hands	hand	hand
up	up	up
as	as	a
he	he	he
was	was	wa
trying	tri	trying
to	to	to
help	help	help
a	a	a
patient	patient	patient
with	with	with
autism	autism	autism
,	,	,
she	she	she
took	took	took
to	to	to
Twitter	twitter	Twitter
and	and	and
said	said	said
To	to	To
all	all	all
of	of	of
you	you	you
obsessed	obsess	obsessed
with	with	with
all	all	all
lives	live	life
matter	matter	matter
We	we	We
can	can	can
do	do	do
this	this	this
all	all	all
day	day	day
long	long	long
we	we	we
get	get	get
a	a	a
new	new	new
video	video	video
everyday	everyday	everyday
.	.	.
.	.	.
do	do	do
you	you	you
?	?	?
To	to	To
all	all	all
of	of	of
you	you	you
obsessed	obsess	obsessed
with	with	with
all	all	all
lives	live	life
matter	matter	matter
We	we	We
can	can	can
do	do	do
this	this	this
all	all	all
day	day	day
long	long	long
we	we	we
get	get	get
a	a	a
new	new	new
video	video	video
everyday	everyday	everyday
.	.	.
.	.	.
do	do	do
you	you	you
?	?	?
https://t.co/aAGI7Yh2ov	https://t.co/aagi7yh2ov	https://t.co/aAGI7Yh2ov
Ellen	ellen	Ellen
Pompeo	pompeo	Pompeo
@EllenPompeo	@ellenpompeo	@EllenPompeo
July	juli	July
21	21	21
,	,	,
2016But	2016but	2016But
of	of	of
course	cours	course
,	,	,
there	there	there
are	are	are
racist	racist	racist
idiots	idiot	idiot
out	out	out
there	there	there
who	who	who
haven	haven	haven
t	t	t
quite	quit	quite
caught	caught	caught
on	on	on
that	that	that
the	the	the
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
movement	movement	movement
was	was	wa
created	creat	created
because	becaus	because
all	all	all
lives	live	life
clearly	clear	clearly
don	don	don
t	t	t
matter	matter	matter
