Pres	pres	Pres
.	.	.
Trump	trump	Trump
on	on	on
receiving	receiv	receiving
nuclear	nuclear	nuclear
codes	code	code
It	it	It
is	is	is
a	a	a
very	veri	very
sobering	sober	sobering
moment	moment	moment
,	,	,
yes	yes	yes
.	.	.
It	it	It
s	s	s
very	veri	very
,	,	,
very	veri	very
,	,	,
very	veri	very
scary	scari	scary
in	in	in
a	a	a
sense	sens	sense
.	.	.
https://t.co/FXAwZGhKWA	https://t.co/fxawzghkwa	https://t.co/FXAwZGhKWA
pic.twitter.com/KGPh6CKyE3	pic.twitter.com/kgph6ckye3	pic.twitter.com/KGPh6CKyE3
World	world	World
News	news	News
Tonight	tonight	Tonight
@ABCWorldNews	@abcworldnew	@ABCWorldNews
January	januari	January
26	26	26
,	,	,
2017	2017	2017
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
said	said	said
during	dure	during
an	an	an
interview	interview	interview
Wednesday	wednesday	Wednesday
that	that	that
the	the	the
moment	moment	moment
he	he	he
received	receiv	received
the	the	the
codes	code	code
to	to	to
the	the	the
country	countri	country
s	s	s
nuclear	nuclear	nuclear
arsenal	arsenal	arsenal
was	was	wa
a	a	a
very	veri	very
scary	scari	scary
thing	thing	thing
.	.	.
The	the	The
president	presid	president
described	describ	described
being	be	being
given	given	given
the	the	the
responsibility	respons	responsibility
as	as	a
a	a	a
very	veri	very
sobering	sober	sobering
moment	moment	moment
during	dure	during
the	the	the
interview	interview	interview
that	that	that
aired	air	aired
on	on	on
ABC	abc	ABC
.	.	.
It	it	It
is	is	is
very	veri	very
,	,	,
very	veri	very
very	veri	very
scary	scari	scary
in	in	in
a	a	a
sense	sens	sense
,	,	,
Trump	trump	Trump
said	said	said
.	.	.
No	no	No
but	but	but
it	it	it
s	s	s
,	,	,
I	i	I
have	have	have
confidence	confid	confidence
that	that	that
I	i	I
ll	ll	ll
do	do	do
the	the	the
right	right	right
thing	thing	thing
,	,	,
the	the	the
right	right	right
job	job	job
.	.	.
But	but	But
it	it	it
s	s	s
a	a	a
very	veri	very
,	,	,
very	veri	very
scary	scari	scary
thing	thing	thing
,	,	,
he	he	he
told	told	told
ABC	abc	ABC
s	s	s
David	david	David
Muir	muir	Muir
when	when	when
asked	ask	asked
if	if	if
having	have	having
access	access	access
to	to	to
the	the	the
nuclear	nuclear	nuclear
codes	code	code
keeps	keep	keep
him	him	him
up	up	up
at	at	at
night	night	night
.	.	.
Via	via	Via
NYP	nyp	NYP
