Former	former	Former
White	white	White
House	hous	House
Press	press	Press
Secretary	secretari	Secretary
in	in	in
the	the	the
Obama	obama	Obama
administration	administr	administration
Jay	jay	Jay
Carney	carney	Carney
is	is	is
sure	sure	sure
he	he	he
knows	know	know
who	who	who
the	the	the
president	presid	president
wants	want	want
for	for	for
his	his	his
successor	successor	successor
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
President	presid	President
Obama	obama	Obama
has	has	ha
yet	yet	yet
to	to	to
hand	hand	hand
out	out	out
any	ani	any
official	offici	official
endorsements	endors	endorsement
during	dure	during
this	this	this
primary	primari	primary
season	season	season
,	,	,
but	but	but
,	,	,
of	of	of
course	cours	course
,	,	,
like	like	like
all	all	all
major	major	major
political	polit	political
players	player	player
,	,	,
he	he	he
has	has	ha
his	his	his
favorite	favorit	favorite
.	.	.
Carney	carney	Carney
is	is	is
sure	sure	sure
that	that	that
person	person	person
is	is	is
Hillary	hillari	Hillary
.	.	.
He	he	He
said	said	said
to	to	to
Brooke	brook	Brooke
Baldwin	baldwin	Baldwin
on	on	on
CNN	cnn	CNN
I	i	I
don	don	don
t	t	t
think	think	think
there	there	there
is	is	is
any	ani	any
doubt	doubt	doubt
that	that	that
he	he	he
wants	want	want
Hillary	hillari	Hillary
to	to	to
win	win	win
the	the	the
nomination	nomin	nomination
and	and	and
believes	believ	belief
that	that	that
she	she	she
would	would	would
be	be	be
the	the	the
best	best	best
candidate	candid	candidate
in	in	in
the	the	the
fall	fall	fall
and	and	and
the	the	the
most	most	most
effective	effect	effective
as	as	a
president	presid	president
in	in	in
carrying	carri	carrying
forward	forward	forward
what	what	what
he	he	he
s	s	s
achieved	achiev	achieved
.	.	.
I	i	I
think	think	think
the	the	the
President	presid	President
has	has	ha
signaled	signal	signaled
,	,	,
while	while	while
still	still	still
remaining	remain	remaining
neutral	neutral	neutral
,	,	,
that	that	that
he	he	he
supports	support	support
Secretary	secretari	Secretary
Clinton	clinton	Clinton
s	s	s
candidacy	candidaci	candidacy
and	and	and
would	would	would
prefer	prefer	prefer
to	to	to
see	see	see
her	her	her
as	as	a
the	the	the
nominee	nomine	nominee
.	.	.
He	he	He
won	won	won
t	t	t
officially	offici	officially
embrace	embrac	embrace
her	her	her
unless	unless	unless
and	and	and
until	until	until
it	it	it
s	s	s
clear	clear	clear
that	that	that
she	she	she
s	s	s
going	go	going
to	to	to
be	be	be
the	the	the
nominee	nomine	nominee
.	.	.
I	i	I
think	think	think
he	he	he
is	is	is
maintaining	maintain	maintaining
that	that	that
tradition	tradit	tradition
of	of	of
not	not	not
intervening	interven	intervening
in	in	in
a	a	a
party	parti	party
primary	primari	primary
.	.	.
Smartly	smart	Smartly
,	,	,
the	the	the
president	presid	president
is	is	is
refusing	refus	refusing
to	to	to
comment	comment	comment
on	on	on
what	what	what
Jay	jay	Jay
Carney	carney	Carney
has	has	ha
said	said	said
.	.	.
However	howev	However
,	,	,
he	he	he
s	s	s
done	done	done
all	all	all
but	but	but
given	given	given
an	an	an
official	offici	official
nod	nod	nod
to	to	to
Hillary	hillari	Hillary
as	as	a
the	the	the
primary	primari	primary
race	race	race
heats	heat	heat
up	up	up
.	.	.
President	presid	President
Obama	obama	Obama
will	will	will
likely	like	likely
give	give	give
the	the	the
nod	nod	nod
to	to	to
whomever	whomev	whomever
gets	get	get
the	the	the
nomination	nomin	nomination
,	,	,
as	as	a
we	we	we
all	all	all
want	want	want
a	a	a
Democrat	democrat	Democrat
in	in	in
the	the	the
White	white	White
House	hous	House
.	.	.
However	howev	However
,	,	,
he	he	he
wants	want	want
Hillary	hillari	Hillary
to	to	to
be	be	be
that	that	that
person	person	person
.	.	.
That	that	That
much	much	much
is	is	is
pretty	pretti	pretty
clear	clear	clear
.	.	.
It	it	It
s	s	s
hard	hard	hard
for	for	for
anybody	anybodi	anybody
to	to	to
speak	speak	speak
for	for	for
President	presid	President
Obama	obama	Obama
,	,	,
of	of	of
course	cours	course
,	,	,
but	but	but
his	his	his
former	former	former
Secretary	secretari	Secretary
of	of	of
State	state	State
seems	seem	seems
to	to	to
be	be	be
his	his	his
pick	pick	pick
.	.	.
Hopefully	hope	Hopefully
,	,	,
we	we	we
find	find	find
out	out	out
for	for	for
sure	sure	sure
in	in	in
short	short	short
order	order	order
,	,	,
but	but	but
it	it	it
s	s	s
pretty	pretti	pretty
smart	smart	smart
for	for	for
a	a	a
sitting	sit	sitting
president	presid	president
not	not	not
to	to	to
endorse	endors	endorse
one	one	one
of	of	of
his	his	his
party	parti	party
s	s	s
candidates	candid	candidate
over	over	over
the	the	the
other	other	other
while	while	while
waiting	wait	waiting
to	to	to
see	see	see
who	who	who
actually	actual	actually
gets	get	get
the	the	the
nomination	nomin	nomination
,	,	,
especially	especi	especially
in	in	in
a	a	a
close	close	close
,	,	,
neck	neck	neck
-in-neck	-in-neck	-in-neck
race	race	race
.	.	.
He	he	He
must	must	must
be	be	be
pretty	pretti	pretty
antsy	antsi	antsy
,	,	,
though	though	though
,	,	,
being	be	being
unable	unabl	unable
to	to	to
endorse	endors	endorse
right	right	right
away	away	away
.	.	.
No	no	No
worries	worri	worry
,	,	,
Mr	mr	Mr
.	.	.
President	presid	President
.	.	.
The	the	The
primaries	primari	primary
will	will	will
be	be	be
over	over	over
soon	soon	soon
,	,	,
and	and	and
you	you	you
can	can	can
speak	speak	speak
your	your	your
piece	piec	piece
then	then	then
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
from	from	from
Flickr	flickr	Flickr
