Remember	rememb	Remember
former	former	former
CIA	cia	CIA
Director	director	Director
Mike	mike	Mike
Morell	morel	Morell
s	s	s
lies	lie	lie
about	about	about
Benghazi	benghazi	Benghazi
?	?	?
He	he	He
totally	total	totally
covered	cover	covered
for	for	for
Hillary	hillari	Hillary
and	and	and
the	the	the
Obama	obama	Obama
administration	administr	administration
after	after	after
Benghazi	benghazi	Benghazi
Could	could	Could
this	this	this
be	be	be
connected	connect	connected
to	to	to
the	the	the
reason	reason	reason
Morell	morel	Morell
is	is	is
now	now	now
coming	come	coming
clean	clean	clean
about	about	about
targeting	target	targeting
Trump	trump	Trump
?	?	?
WHY	whi	WHY
IS	is	IS
HE	he	HE
ADMITTING	admit	ADMITTING
GUILT	guilt	GUILT
NOW	now	NOW
?	?	?
Former	former	Former
Acting	act	Acting
CIA	cia	CIA
Director	director	Director
Michael	michael	Michael
Morell	morel	Morell
thinks	think	think
that	that	that
intelligence	intellig	intelligence
agencies	agenc	agency
were	were	were
too	too	too
harsh	harsh	harsh
to	to	to
Trump	trump	Trump
during	dure	during
the	the	the
campaign	campaign	campaign
and	and	and
presidential	presidenti	presidential
transition	transit	transition
,	,	,
according	accord	according
to	to	to
an	an	an
interview	interview	interview
released	releas	released
Monday	monday	Monday
.	.	.
Morell	morel	Morell
,	,	,
who	who	who
left	left	left
the	the	the
CIA	cia	CIA
in	in	in
2013	2013	2013
after	after	after
serving	serv	serving
as	as	a
its	it	it
acting	act	acting
director	director	director
twice	twice	twice
,	,	,
endorsed	endors	endorsed
Hillary	hillari	Hillary
Clinton	clinton	Clinton
in	in	in
an	an	an
August	august	August
2016	2016	2016
New	new	New
York	york	York
Times	time	Times
op	op	op
-ed	-ed	-ed
.	.	.
Politico	politico	Politico
s	s	s
Susan	susan	Susan
Glassner	glassner	Glassner
asked	ask	asked
Morell	morel	Morell
if	if	if
getting	get	getting
involved	involv	involved
was	was	wa
a	a	a
mistake	mistak	mistake
and	and	and
the	the	the
former	former	former
CIA	cia	CIA
official	offici	official
said	said	said
that	that	that
it	it	it
wasn	wasn	wasn
t	t	t
,	,	,
but	but	but
that	that	that
there	there	there
were	were	were
downsides	downsid	downside
to	to	to
it	it	it
that	that	that
I	i	I
didn	didn	didn
t	t	t
think	think	think
about	about	about
at	at	at
the	the	the
time	time	time
.	.	.
I	i	I
was	was	wa
concerned	concern	concerned
about	about	about
what	what	what
is	is	is
the	the	the
impact	impact	impact
it	it	it
would	would	would
have	have	have
on	on	on
the	the	the
agency	agenc	agency
,	,	,
right	right	right
?	?	?
Very	veri	Very
concerned	concern	concerned
about	about	about
that	that	that
,	,	,
thought	thought	thought
that	that	that
through	through	through
.	.	.
But	but	But
I	i	I
don	don	don
t	t	t
think	think	think
I	i	I
fully	fulli	fully
thought	thought	thought
through	through	through
the	the	the
implications	implic	implication
,	,	,
Morell	morel	Morell
said	said	said
.	.	.
So	so	So
,	,	,
let	let	let
s	s	s
put	put	put
ourselves	ourselv	ourselves
here	here	here
in	in	in
Donald	donald	Donald
Trump	trump	Trump
s	s	s
shoes	shoe	shoe
.	.	.
So	so	So
,	,	,
what	what	what
does	doe	doe
he	he	he
see	see	see
?	?	?
Right	right	Right
?	?	?
He	he	He
sees	see	see
a	a	a
former	former	former
director	director	director
of	of	of
CIA	cia	CIA
and	and	and
a	a	a
former	former	former
director	director	director
of	of	of
NSA	nsa	NSA
,	,	,
Mike	mike	Mike
Hayden	hayden	Hayden
,	,	,
who	who	who
I	i	I
have	have	have
the	the	the
greatest	greatest	greatest
respect	respect	respect
for	for	for
,	,	,
criticizing	critic	criticizing
him	him	him
and	and	and
his	his	his
policies	polici	policy
.	.	.
Right	right	Right
?	?	?
And	and	And
he	he	he
could	could	could
rightfully	right	rightfully
have	have	have
said	said	said
,	,	,
Huh	huh	Huh
,	,	,
what	what	what
s	s	s
going	go	going
on	on	on
with	with	with
these	these	these
intelligence	intellig	intelligence
guys	guy	guy
?	?	?
Right	right	Right
?	?	?
And	and	And
then	then	then
he	he	he
sees	see	see
a	a	a
former	former	former
acting	act	acting
director	director	director
and	and	and
deputy	deputi	deputy
director	director	director
of	of	of
CIA	cia	CIA
criticizing	critic	criticizing
him	him	him
and	and	and
endorsing	endors	endorsing
his	his	his
opponent	oppon	opponent
,	,	,
Morell	morel	Morell
continued	continu	continued
.	.	.
And	and	And
then	then	then
he	he	he
gets	get	get
his	his	his
first	first	first
intelligence	intellig	intelligence
briefing	brief	briefing
,	,	,
after	after	after
becoming	becom	becoming
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
,	,	,
and	and	and
within	within	within
24	24	24
to	to	to
48	48	48
hours	hour	hour
,	,	,
there	there	there
are	are	are
leaks	leak	leak
out	out	out
of	of	of
that	that	that
that	that	that
are	are	are
critical	critic	critical
of	of	of
him	him	him
and	and	and
his	his	his
then	then	then
-national	-nation	-national
security	secur	security
advisor	advisor	advisor
,	,	,
Mike	mike	Mike
Flynn	flynn	Flynn
.	.	.
Morell	morel	Morell
is	is	is
referring	refer	referring
to	to	to
an	an	an
NBC	nbc	NBC
report	report	report
that	that	that
said	said	said
Flynn	flynn	Flynn
was	was	wa
repeatedly	repeat	repeatedly
interrupting	interrupt	interrupting
briefers	briefer	briefers
during	dure	during
the	the	the
session	session	session
.	.	.
And	and	And
so	so	so
,	,	,
this	this	this
stuff	stuff	stuff
starts	start	start
to	to	to
build	build	build
,	,	,
right	right	right
?	?	?
And	and	And
he	he	he
must	must	must
have	have	have
said	said	said
to	to	to
himself	himself	himself
,	,	,
What	what	What
is	is	is
it	it	it
with	with	with
these	these	these
intelligence	intellig	intelligence
guys	guy	guy
?	?	?
Are	are	Are
they	they	they
political	polit	political
?	?	?
The	the	The
current	current	current
director	director	director
at	at	at
the	the	the
time	time	time
,	,	,
John	john	John
Brennan	brennan	Brennan
,	,	,
during	dure	during
the	the	the
campaign	campaign	campaign
occasionally	occasion	occasionally
would	would	would
push	push	push
back	back	back
on	on	on
things	thing	thing
that	that	that
Donald	donald	Donald
Trump	trump	Trump
had	had	had
said	said	said
,	,	,
Morell	morel	Morell
told	told	told
Politico	politico	Politico
.	.	.
The	the	The
former	former	former
CIA	cia	CIA
acting	act	acting
director	director	director
continued	continu	continued
to	to	to
reference	refer	reference
leaked	leak	leaked
reports	report	report
during	dure	during
the	the	the
interview	interview	interview
.	.	.
Then	then	Then
he	he	he
becomes	becom	becomes
president	presid	president
,	,	,
and	and	and
he	he	he
s	s	s
supposed	suppos	supposed
to	to	to
be	be	be
getting	get	getting
a	a	a
daily	daili	daily
brief	brief	brief
from	from	from
the	the	the
moment	moment	moment
he	he	he
becomes	becom	becomes
the	the	the
president	presid	president
-elect	-elect	-elect
.	.	.
Right	right	Right
?	?	?
And	and	And
he	he	he
doesn	doesn	doesn
t	t	t
.	.	.
And	and	And
within	within	within
a	a	a
few	few	few
days	day	day
,	,	,
there	there	there
s	s	s
leaks	leak	leak
about	about	about
how	how	how
he	he	he
s	s	s
not	not	not
taking	take	taking
his	his	his
briefing	brief	briefing
.	.	.
So	so	So
,	,	,
he	he	he
must	must	must
have	have	have
thought	thought	thought
right	right	right
?	?	?
that	that	that
,	,	,
Who	who	Who
are	are	are
these	these	these
guys	guy	guy
?	?	?
Are	are	Are
these	these	these
guys	guy	guy
out	out	out
to	to	to
get	get	get
me	me	me
?	?	?
Is	is	Is
this	this	this
a	a	a
political	polit	political
organization	organ	organization
?	?	?
Can	can	Can
I	i	I
think	think	think
about	about	about
them	them	them
as	as	a
a	a	a
political	polit	political
organization	organ	organization
when	when	when
I	i	I
become	becom	become
president	presid	president
?	?	?
He	he	He
concluded	conclud	concluded
So	so	So
,	,	,
I	i	I
think	think	think
there	there	there
was	was	wa
a	a	a
significant	signific	significant
downside	downsid	downside
to	to	to
those	those	those
of	of	of
us	us	u
who	who	who
became	becam	became
political	polit	political
in	in	in
that	that	that
moment	moment	moment
.	.	.
So	so	So
,	,	,
if	if	if
I	i	I
could	could	could
have	have	have
thought	thought	thought
of	of	of
that	that	that
,	,	,
would	would	would
I	i	I
have	have	have
ended	end	ended
up	up	up
in	in	in
a	a	a
different	differ	different
place	place	place
?	?	?
I	i	I
don	don	don
t	t	t
know	know	know
.	.	.
But	but	But
it	it	it
s	s	s
something	someth	something
I	i	I
didn	didn	didn
t	t	t
think	think	think
about	about	about
.	.	.
