After	after	After
a	a	a
business	busi	business
meeting	meet	meeting
before	befor	before
the	the	the
Miss	miss	Miss
Universe	univers	Universe
Pageant	pageant	Pageant
in	in	in
2013	2013	2013
,	,	,
a	a	a
Russian	russian	Russian
participant	particip	participant
offered	offer	offered
to	to	to
send	send	send
five	five	five
women	women	woman
to	to	to
Donald	donald	Donald
Trump	trump	Trump
s	s	s
hotel	hotel	hotel
room	room	room
in	in	in
Moscow	moscow	Moscow
,	,	,
his	his	his
longtime	longtim	longtime
bodyguard	bodyguard	bodyguard
told	told	told
Congress	congress	Congress
this	this	this
week	week	week
,	,	,
according	accord	according
to	to	to
three	three	three
sources	sourc	source
who	who	who
were	were	were
present	present	present
for	for	for
the	the	the
interview	interview	interview
.	.	.
Two	two	Two
of	of	of
the	the	the
sources	sourc	source
said	said	said
the	the	the
bodyguard	bodyguard	bodyguard
,	,	,
Keith	keith	Keith
Schiller	schiller	Schiller
,	,	,
viewed	view	viewed
the	the	the
offer	offer	offer
as	as	a
a	a	a
joke	joke	joke
,	,	,
and	and	and
immediately	immedi	immediately
responded	respond	responded
,	,	,
We	we	We
don	don	don
t	t	t
do	do	do
that	that	that
type	type	type
of	of	of
stuff	stuff	stuff
.	.	.

The	the	The
two	two	two
sources	sourc	source
said	said	said
Schiller	schiller	Schiller
s	s	s
comments	comment	comment
came	came	came
in	in	in
the	the	the
context	context	context
of	of	of
him	him	him
adamantly	adam	adamantly
disputing	disput	disputing
the	the	the
allegations	alleg	allegation
made	made	made
in	in	in
the	the	the
Trump	trump	Trump
dossier	dossier	dossier
,	,	,
written	written	written
by	by	by
a	a	a
former	former	former
British	british	British
intelligence	intellig	intelligence
operative	oper	operative
,	,	,
which	which	which
describes	describ	describes
Trump	trump	Trump
having	have	having
an	an	an
encounter	encount	encounter
with	with	with
prostitutes	prostitut	prostitute
at	at	at
the	the	the
hotel	hotel	hotel
during	dure	during
the	the	the
pageant	pageant	pageant
.	.	.

Schiller	schiller	Schiller
described	describ	described
his	his	his
reaction	reaction	reaction
to	to	to
that	that	that
story	stori	story
as	as	a
being	be	being
,	,	,
Oh	oh	Oh
my	my	my
God	god	God
,	,	,
that	that	that
s	s	s
bull	bull	bull
-	-	-
,	,	,
two	two	two
sources	sourc	source
said	said	said
.	.	.
The	the	The
conversation	convers	conversation
with	with	with
the	the	the
Russian	russian	Russian
about	about	about
the	the	the
five	five	five
women	women	woman
took	took	took
place	place	place
after	after	after
a	a	a
morning	morn	morning
meeting	meet	meeting
about	about	about
the	the	the
pageant	pageant	pageant
in	in	in
Moscow	moscow	Moscow
broke	broke	broke
up	up	up
,	,	,
two	two	two
sources	sourc	source
said	said	said
.	.	.
That	that	That
night	night	night
,	,	,
two	two	two
sources	sourc	source
said	said	said
,	,	,
Schiller	schiller	Schiller
said	said	said
he	he	he
discussed	discuss	discussed
the	the	the
conversation	convers	conversation
with	with	with
Trump	trump	Trump
as	as	a
Trump	trump	Trump
was	was	wa
walking	walk	walking
back	back	back
to	to	to
his	his	his
hotel	hotel	hotel
room	room	room
,	,	,
and	and	and
Schiller	schiller	Schiller
said	said	said
the	the	the
two	two	two
men	men	men
laughed	laugh	laughed
about	about	about
it	it	it
as	as	a
