When	when	When
Donald	donald	Donald
Trump	trump	Trump
launched	launch	launched
his	his	his
presidential	presidenti	presidential
campaign	campaign	campaign
he	he	he
bragged	brag	bragged
that	that	that
because	becaus	because
was	was	wa
worth	worth	worth
10	10	10
billion	billion	billion
he	he	he
would	would	would
not	not	not
have	have	have
to	to	to
concern	concern	concern
himself	himself	himself
with	with	with
raising	rais	raising
money	money	money
and	and	and
could	could	could
self	self	self
-finance	-financ	-finance
his	his	his
campaign	campaign	campaign
.	.	.

Thanks	thank	Thanks
to	to	to
his	his	his
weak	weak	weak
competition	competit	competition
in	in	in
the	the	the
Republican	republican	Republican
primary	primari	primary
,	,	,
Trump	trump	Trump
did	did	did
not	not	not
have	have	have
to	to	to
spend	spend	spend
much	much	much
to	to	to
get	get	get
an	an	an
advantage	advantag	advantage
over	over	over
rival	rival	rival
campaigns	campaign	campaign
and	and	and
Super	super	Super
PACs	pac	PACs
,	,	,
but	but	but
in	in	in
the	the	the
general	general	general
election	elect	election
it	it	it
is	is	is
unlikely	unlik	unlikely
that	that	that
Trump	trump	Trump
can	can	can
get	get	get
by	by	by
simply	simpli	simply
based	base	based
on	on	on
tweets	tweet	tweet
and	and	and
bombast	bombast	bombast
as	as	a
he	he	he
did	did	did
with	with	with
Bush	bush	Bush
,	,	,
Cruz	cruz	Cruz
,	,	,
and	and	and
Rubio	rubio	Rubio
.	.	.
On	on	On
Monday	monday	Monday
night	night	night
Trump	trump	Trump
filed	file	filed
his	his	his
finance	financ	finance
report	report	report
with	with	with
the	the	the
Federal	feder	Federal
Election	elect	Election
Commission	commiss	Commission
FEC	fec	FEC
and	and	and
the	the	the
failure	failur	failure
of	of	of
his	his	his
campaign	campaign	campaign
to	to	to
bring	bring	bring
in	in	in
money	money	money
is	is	is
nothing	noth	nothing
less	less	le
than	than	than
amazing	amaz	amazing
.	.	.
In	in	In
May	may	May
of	of	of
2016	2016	2016
,	,	,
Trump	trump	Trump
only	onli	only
raised	rais	raised
3	3	3
.	.	.
1	1	1
million	million	million
from	from	from
contributors	contributor	contributor
and	and	and
loaned	loan	loaned
his	his	his
campaign	campaign	campaign
an	an	an
additional	addit	additional
2	2	2
.	.	.
2	2	2
million	million	million
.	.	.

At	at	At
the	the	the
end	end	end
of	of	of
the	the	the
month	month	month
the	the	the
campaign	campaign	campaign
only	onli	only
had	had	had
a	a	a
shocking	shock	shocking
1	1	1
.	.	.
3	3	3
million	million	million
dollars	dollar	dollar
in	in	in
cash	cash	cash
on	on	on
hand	hand	hand
.	.	.
As	as	As
journalists	journalist	journalist
quickly	quick	quickly
pointed	point	pointed
out	out	out
,	,	,
Trump	trump	Trump
s	s	s
fundraising	fundrais	fundraising
more	more	more
likely	like	likely
resembled	resembl	resembled
a	a	a
House	hous	House
member	member	member
with	with	with
a	a	a
semi	semi	semi
-competitive	-competit	-competitive
seat	seat	seat
or	or	or
a	a	a
safe	safe	safe
Senate	senat	Senate
seat	seat	seat
in	in	in
a	a	a
deep	deep	deep
red	red	red
state	state	state
.	.	.

The	the	The
numbers	number	number
are	are	are
definitely	definit	definitely
not	not	not
the	the	the
sort	sort	sort
of	of	of
figures	figur	figure
associated	associ	associated
with	with	with
a	a	a
national	nation	national
presidential	presidenti	presidential
campaign	campaign	campaign
.	.	.
The	the	The
results	result	result
look	look	look
even	even	even
worse	wors	worse
compared	compar	compared
to	to	to
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.

At	at	At
the	the	the
end	end	end
of	of	of
May	may	May
,	,	,
her	her	her
campaign	campaign	campaign
had	had	had
42	42	42
million	million	million
on	on	on
hand	hand	hand
,	,	,
an	an	an
amazing	amaz	amazing
disparity	dispar	disparity
of	of	of
40	40	40
million	million	million
between	between	between
the	the	the
two	two	two
campaigns	campaign	campaign
.	.	.
And	and	And
while	while	while
donors	donor	donor
have	have	have
said	said	said
they	they	they
are	are	are
still	still	still
unable	unabl	unable
to	to	to
determine	determin	determine
which	which	which
Super	super	Super
PAC	pac	PAC
to	to	to
donate	donat	donate
to	to	to
in	in	in
order	order	order
to	to	to
support	support	support
Trump	trump	Trump
,	,	,
the	the	the
Super	super	Super
PAC	pac	PAC
backing	back	backing
Clinton	clinton	Clinton
,	,	,
Priorities	prioriti	Priorities
USA	usa	USA
,	,	,
had	had	had
its	it	it
biggest	biggest	biggest
month	month	month
ever	ever	ever
with	with	with
12	12	12
million	million	million
in	in	in
donations	donat	donation
.	.	.
Even	even	Even
compared	compar	compared
to	to	to
fellow	fellow	fellow
Republicans	republican	Republicans
,	,	,
Trump	trump	Trump
s	s	s
numbers	number	number
are	are	are
pathetic	pathet	pathetic
.	.	.

In	in	In
May	may	May
of	of	of
2012	2012	2012
,	,	,
Mitt	mitt	Mitt
Romney	romney	Romney
s	s	s
presidential	presidenti	presidential
campaign	campaign	campaign
and	and	and
the	the	the
Republican	republican	Republican
Party	parti	Party
raised	rais	raised
78	78	78
million	million	million
dollars	dollar	dollar
.	.	.

The	the	The
current	current	current
GOP	gop	GOP
only	onli	only
raised	rais	raised
12	12	12
million	million	million
this	this	this
May	may	May
.	.	.
