If	if	If
Republicans	republican	Republicans
have	have	have
their	their	their
way	way	way
,	,	,
rape	rape	rape
victims	victim	victim
will	will	will
continue	continu	continue
to	to	to
be	be	be
terrorized	terror	terrorized
by	by	by
their	their	their
rapists	rapist	rapist
.	.	.
The	the	The
victim	victim	victim
was	was	wa
only	onli	only
12	12	12
years	year	year
old	old	old
when	when	when
Christopher	christoph	Christopher
Mirasolo	mirasolo	Mirasolo
raped	rape	raped
her	her	her
and	and	and
impregnated	impregn	impregnated
her	her	her
.	.	.

Despite	despit	Despite
also	also	also
threatening	threaten	threatening
her	her	her
life	life	life
,	,	,
Mirasolo	mirasolo	Mirasolo
only	onli	only
spent	spent	spent
six	six	six
months	month	month
in	in	in
prison	prison	prison
,	,	,
only	onli	only
to	to	to
spend	spend	spend
four	four	four
more	more	more
years	year	year
in	in	in
prison	prison	prison
for	for	for
sexually	sexual	sexually
assaulting	assault	assaulting
a	a	a
13	13	13
-year-old	-year-old	-year-old
girl	girl	girl
.	.	.
That	that	That
being	be	being
said	said	said
,	,	,
Mirasolo	mirasolo	Mirasolo
should	should	should
NOT	not	NOT
be	be	be
allowed	allow	allowed
anywhere	anywher	anywhere
near	near	near
a	a	a
child	child	child
and	and	and
should	should	should
still	still	still
be	be	be
rotting	rot	rotting
in	in	in
prison	prison	prison
.	.	.
But	but	But
a	a	a
Michigan	michigan	Michigan
judge	judg	judge
has	has	ha
decided	decid	decided
that	that	that
Mirasolo	mirasolo	Mirasolo
should	should	should
have	have	have
joint	joint	joint
custody	custodi	custody
of	of	of
the	the	the
child	child	child
his	his	his
victim	victim	victim
gave	gave	gave
birth	birth	birth
to	to	to
eight	eight	eight
years	year	year
ago	ago	ago
.	.	.
According	accord	According
to	to	to
The	the	The
Detroit	detroit	Detroit
News	news	News
,	,	,
county	counti	county
officials	offici	official
surveyed	survey	surveyed
the	the	the
victim	victim	victim
s	s	s
use	use	use
of	of	of
food	food	food
stamps	stamp	stamp
,	,	,
aid	aid	aid
she	she	she
relies	reli	relies
on	on	on
to	to	to
take	take	take
care	care	care
of	of	of
her	her	her
eight	eight	eight
-year-old	-year-old	-year-old
son	son	son
.	.	.
For	for	For
some	some	some
reason	reason	reason
,	,	,
the	the	the
county	counti	county
connected	connect	connected
her	her	her
to	to	to
Mirasolo	mirasolo	Mirasolo
and	and	and
a	a	a
DNA	dna	DNA
test	test	test
was	was	wa
taken	taken	taken
.	.	.

It	it	It
appears	appear	appears
the	the	the
county	counti	county
was	was	wa
searching	search	searching
for	for	for
a	a	a
reason	reason	reason
to	to	to
kick	kick	kick
her	her	her
and	and	and
her	her	her
son	son	son
off	off	off
the	the	the
food	food	food
stamp	stamp	stamp
program	program	program
so	so	so
they	they	they
did	did	did
all	all	all
of	of	of
this	this	this
without	without	without
her	her	her
consent	consent	consent
.	.	.
Well	well	Well
,	,	,
despite	despit	despite
the	the	the
fact	fact	fact
that	that	that
Mirasolo	mirasolo	Mirasolo
is	is	is
the	the	the
victim	victim	victim
s	s	s
rapist	rapist	rapist
,	,	,
Sanilac	sanilac	Sanilac
County	counti	County
Circuit	circuit	Circuit
Judge	judg	Judge
Gregory	gregori	Gregory
S	s	S
.	.	.

Ross	ross	Ross
gave	gave	gave
him	him	him
joint	joint	joint
custody	custodi	custody
of	of	of
child	child	child
,	,	,
ordered	order	ordered
the	the	the
victim	victim	victim
to	to	to
move	move	move
back	back	back
to	to	to
Michigan	michigan	Michigan
,	,	,
and	and	and
gave	gave	gave
her	her	her
address	address	address
to	to	to
Mirasolo	mirasolo	Mirasolo
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
Judge	judg	Judge
Ross	ross	Ross
just	just	just
put	put	put
a	a	a
woman	woman	woman
s	s	s
life	life	life
in	in	in
danger	danger	danger
and	and	and
endangered	endang	endangered
a	a	a
child	child	child
.	.	.
And	and	And
by	by	by
giving	give	giving
Mirasolo	mirasolo	Mirasolo
joint	joint	joint
custody	custodi	custody
,	,	,
he	he	he
is	is	is
allowing	allow	allowing
a	a	a
rapist	rapist	rapist
to	to	to
continue	continu	continue
terrorizing	terror	terrorizing
his	his	his
victim	victim	victim
.	.	.

I	i	I
think	think	think
this	this	this
is	is	is
all	all	all
crazy	crazi	crazy
,	,	,
the	the	the
victim	victim	victim
told	told	told
The	the	The
Detroit	detroit	Detroit
News	news	News
.	.	.

They	they	They
never	never	never
explained	explain	explained
anything	anyth	anything
to	to	to
me	me	me
.	.	.

I	i	I
was	was	wa
receiving	receiv	receiving
about	about	about
260	260	260
a	a	a
month	month	month
in	in	in
food	food	food
stamps	stamp	stamp
for	for	for
me	me	me
and	and	and
my	my	my
son	son	son
and	and	and
health	health	health
insurance	insur	insurance
for	for	for
him	him	him
.	.	.

I	i	I
guess	guess	guess
they	they	they
were	were	were
trying	tri	trying
to	to	to
see	see	see
how	how	how
to	to	to
get	get	get
some	some	some
of	of	of
the	the	the
money	money	money
back	back	back
.	.	.

Her	her	Her
attorney	attorney	attorney
is	is	is
also	also	also
rightfully	right	rightfully
pissed	piss	pissed
off	off	off
.	.	.
This	this	This
is	is	is
insane	insan	insane
,	,	,
attorney	attorney	attorney
Rebecca	rebecca	Rebecca
Kiessling	kiessl	Kiessling
said	said	said
.	.	.

Nothing	noth	Nothing
has	has	ha
been	been	been
right	right	right
about	about	about
this	this	this
since	sinc	since
it	it	it
was	was	wa
originally	origin	originally
investigated	investig	investigated
.	.	.

He	he	He
was	was	wa
never	never	never
properly	proper	properly
charged	charg	charged
and	and	and
should	should	should
still	still	still
be	be	be
sitting	sit	sitting
behind	behind	behind
bars	bar	bar
somewhere	somewher	somewhere
,	,	,
but	but	but
the	the	the
system	system	system
is	is	is
victimizing	victim	victimizing
my	my	my
client	client	client
,	,	,
who	who	who
was	was	wa
a	a	a
child	child	child
herself	herself	herself
when	when	when
this	this	this
all	all	all
happened	happen	happened
.	.	.

And	and	And
the	the	the
same	same	same
scenario	scenario	scenario
could	could	could
play	play	play
out	out	out
across	across	across
the	the	the
nation	nation	nation
if	if	if
Republicans	republican	Republicans
have	have	have
their	their	their
way	way	way
.	.	.

House	hous	House
Republicans	republican	Republicans
recently	recent	recently
passed	pass	passed
a	a	a
bill	bill	bill
banning	ban	banning
abortion	abort	abortion
after	after	after
20	20	20
weeks	week	week
and	and	and
you	you	you
can	can	can
be	be	be
damn	damn	damn
sure	sure	sure
they	they	they
will	will	will
keep	keep	keep
trying	tri	trying
to	to	to
ban	ban	ban
abortion	abort	abortion
entirely	entir	entirely
,	,	,
with	with	with
zero	zero	zero
exceptions	except	exception
for	for	for
rape	rape	rape
victims	victim	victim
.	.	.

That	that	That
means	mean	mean
rapists	rapist	rapist
will	will	will
be	be	be
able	abl	able
to	to	to
seek	seek	seek
joint	joint	joint
custody	custodi	custody
in	in	in
order	order	order
to	to	to
make	make	make
their	their	their
victim	victim	victim
s	s	s
lives	live	life
a	a	a
living	live	living
hell	hell	hell
.	.	.

Imagine	imagin	Imagine
having	have	having
to	to	to
interact	interact	interact
with	with	with
the	the	the
person	person	person
who	who	who
raped	rape	raped
you	you	you
and	and	and
having	have	having
to	to	to
hand	hand	hand
your	your	your
child	child	child
over	over	over
to	to	to
them	them	them
.	.	.
It	it	It
s	s	s
a	a	a
terrifying	terrifi	terrifying
scenario	scenario	scenario
that	that	that
no	no	no
rape	rape	rape
victim	victim	victim
should	should	should
have	have	have
to	to	to
face	face	face
