At	at	At
200	200	200
a	a	a
pop	pop	pop
even	even	even
a	a	a
poor	poor	poor
jihadi	jihadi	jihadi
can	can	can
find	find	find
a	a	a
new	new	new
home	home	home
in	in	in
America	america	America
U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
officials	offici	official
are	are	are
warning	warn	warning
that	that	that
the	the	the
Islamic	islam	Islamic
State	state	State
terrorist	terrorist	terrorist
group	group	group
may	may	may
have	have	have
seized	seiz	seized
an	an	an
official	offici	official
government	govern	government
passport	passport	passport
printing	print	printing
machine	machin	machine
and	and	and
a	a	a
trove	trove	trove
of	of	of
blank	blank	blank
passports	passport	passport
in	in	in
Syria	syria	Syria
and	and	and
could	could	could
be	be	be
printing	print	printing
fake	fake	fake
passports	passport	passport
that	that	that
would	would	would
allow	allow	allow
some	some	some
of	of	of
its	it	it
followers	follow	follower
to	to	to
infiltrate	infiltr	infiltrate
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
border	border	border
.	.	.
The	the	The
terror	terror	terror
group	group	group
has	has	ha
reportedly	report	reportedly
been	been	been
able	abl	able
to	to	to
print	print	print
legitimate	legitim	legitimate
-looking	-look	-looking
Syrian	syrian	Syrian
passports	passport	passport
since	sinc	since
taking	take	taking
over	over	over
the	the	the
city	citi	city
of	of	of
Deir	deir	Deir
ez	ez	ez
-Zour	-zour	-Zour
last	last	last
summer	summer	summer
,	,	,
home	home	home
to	to	to
a	a	a
passport	passport	passport
office	offic	office
with	with	with
boxes	box	box
of	of	of
blank	blank	blank
passports	passport	passport
and	and	and
a	a	a
passport	passport	passport
printing	print	printing
machine	machin	machine
,	,	,
according	accord	according
to	to	to
a	a	a
Homeland	homeland	Homeland
Security	secur	Security
Investigations	investig	Investigations
Intelligence	intellig	Intelligence
Report	report	Report
issued	issu	issued
to	to	to
law	law	law
enforcement	enforc	enforcement
last	last	last
week	week	week
and	and	and
reviewed	review	reviewed
by	by	by
ABC	abc	ABC
news	news	news
.	.	.
Another	anoth	Another
passport	passport	passport
office	offic	office
was	was	wa
located	locat	located
in	in	in
Raqqa	raqqa	Raqqa
,	,	,
Syria	syria	Syria
,	,	,
where	where	where
the	the	the
terror	terror	terror
group	group	group
has	has	ha
long	long	long
maintained	maintain	maintained
its	it	it
de	de	de
facto	facto	facto
capital	capit	capital
.	.	.
Since	sinc	Since
more	more	more
than	than	than
17	17	17
months	month	month
have	have	have
passed	pass	passed
since	sinc	since
Raqqa	raqqa	Raqqa
and	and	and
Deir	deir	Deir
ez	ez	ez
-Zour	-zour	-Zour
fell	fell	fell
to	to	to
ISIS	isi	ISIS
,	,	,
it	it	it
is	is	is
possible	possibl	possible
that	that	that
individuals	individu	individual
from	from	from
Syria	syria	Syria
with	with	with
passports	passport	passport
issued	issu	issued
in	in	in
these	these	these
ISIS	isi	ISIS
controlled	control	controlled
cities	citi	city
or	or	or
who	who	who
had	had	had
passport	passport	passport
blanks	blank	blank
,	,	,
may	may	may
have	have	have
traveled	travel	traveled
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
,	,	,
