CNN	cnn	CNN
political	polit	political
commentator	comment	commentator
Van	van	Van
Jones	jone	Jones
on	on	on
Wednesday	wednesday	Wednesday
visited	visit	visited
ABC	abc	ABC
s	s	s
The	the	The
View	view	View
,	,	,
where	where	where
he	he	he
criticized	critic	criticized
fellow	fellow	fellow
liberals	liber	liberal
for	for	for
being	be	being
mad	mad	mad
at	at	at
every	everi	every
single	singl	single
person	person	person
who	who	who
voted	vote	voted
for	for	for
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Jones	jone	Jones
tells	tell	tell
the	the	the
women	women	woman
that	that	that
the	the	the
Democrats	democrat	Democrats
need	need	need
to	to	to
make	make	make
their	their	their
tent	tent	tent
bigger	bigger	bigger
to	to	to
include	includ	include
folks	folk	folk
in	in	in
Appalachia	appalachia	Appalachia
Really	realli	Really
?	?	?
He	he	He
goes	goe	go
on	on	on
to	to	to
say	say	say
that	that	that
they	they	they
ve	ve	ve
been	been	been
embracing	embrac	embracing
Muslims	muslim	Muslims
and	and	and
other	other	other
minorities	minor	minority
but	but	but
need	need	need
to	to	to
include	includ	include
the	the	the
miner	miner	miner
with	with	with
black	black	black
lung	lung	lung
Huh	huh	Huh
?	?	?
?	?	?
?	?	?
Basically	basic	Basically
,	,	,
he	he	he
s	s	s
saying	say	saying
the	the	the
Democrats	democrat	Democrats
are	are	are
willing	will	willing
to	to	to
toss	toss	toss
their	their	their
remaining	remain	remaining
policies	polici	policy
to	to	to
wh	wh	wh
re	re	re
themselves	themselv	themselves
out	out	out
for	for	for
votes	vote	vote
any	ani	any
votes	vote	vote
they	they	they
can	can	can
get	get	get
from	from	from
any	ani	any
warm	warm	warm
body	bodi	body
they	they	they
can	can	can
drag	drag	drag
to	to	to
the	the	the
polls	poll	poll
.	.	.
Is	is	Is
anyone	anyon	anyone
else	els	else
out	out	out
there	there	there
as	as	a
offended	offend	offended
by	by	by
this	this	this
as	as	a
we	we	we
are	are	are
?	?	?
Jones	jone	Jones
first	first	first
argued	argu	argued
that	that	that
,	,	,
while	while	while
the	the	the
tent	tent	tent
of	of	of
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
is	is	is
diverse	divers	diverse
,	,	,
it	it	it
is	is	is
not	not	not
as	as	a
inclusive	inclus	inclusive
as	as	a
it	it	it
could	could	could
be	be	be
.	.	.
Right	right	Right
now	now	now
I	i	I
don	don	don
t	t	t
see	see	see
Democrats	democrat	Democrats
looking	look	looking
at	at	at
the	the	the
situation	situat	situation
and	and	and
saying	say	saying
,	,	,
you	you	you
know	know	know
what	what	what
,	,	,
maybe	mayb	maybe
we	we	we
drew	drew	drew
our	our	our
circle	circl	circle
too	too	too
small	small	small
,	,	,
Jones	jone	Jones
said	said	said
.	.	.
I	i	I
love	love	love
that	that	that
we	we	we
re	re	re
hugging	hug	hugging
LGBT	lgbt	LGBT
and	and	and
Muslims	muslim	Muslims
and	and	and
all	all	all
the	the	the
people	peopl	people
who	who	who
usually	usual	usually
don	don	don
t	t	t
get	get	get
a	a	a
hug	hug	hug
.	.	.
We	we	We
re	re	re
hugging	hug	hugging
them	them	them
,	,	,
but	but	but
maybe	mayb	maybe
we	we	we
need	need	need
a	a	a
bigger	bigger	bigger
hug	hug	hug
,	,	,
and	and	and
include	includ	include
some	some	some
of	of	of
those	those	those
folks	folk	folk
in	in	in
Appalachia	appalachia	Appalachia
.	.	.
That	that	That
s	s	s
exactly	exact	exactly
what	what	what
the	the	the
DNC	dnc	DNC
chair	chair	chair
said	said	said
,	,	,
co	co	co
-host	-host	-host
Sunny	sunni	Sunny
Hostin	hostin	Hostin
insisted	insist	insisted
.	.	.
We	we	We
had	had	had
Tom	tom	Tom
Perez	perez	Perez
on	on	on
the	the	the
show	show	show
,	,	,
and	and	and
that	that	that
s	s	s
exactly	exact	exactly
what	what	what
he	he	he
said	said	said
.	.	.
They	they	They
are	are	are
trying	tri	trying
to	to	to
do	do	do
that	that	that
,	,	,
co	co	co
-host	-host	-host
Joy	joy	Joy
Behar	behar	Behar
affirmed	affirm	affirmed
.	.	.
Listen	listen	Listen
,	,	,
there	there	there
may	may	may
be	be	be
some	some	some
leaders	leader	leader
who	who	who
are	are	are
.	.	.
Unfortunately	unfortun	Unfortunately
,	,	,
and	and	and
I	i	I
have	have	have
to	to	to
be	be	be
honest	honest	honest
I	i	I
get	get	get
in	in	in
trouble	troubl	trouble
because	becaus	because
I	i	I
m	m	m
honest	honest	honest
,	,	,
Jones	jone	Jones
said	said	said
.	.	.
I	i	I
know	know	know
you	you	you
do	do	do
,	,	,
Hostin	hostin	Hostin
interjected	interject	interjected
.	.	.
When	when	When
I	i	I
listen	listen	listen
to	to	to
liberals	liber	liberal
,	,	,
when	when	when
they	they	they
re	re	re
not	not	not
on	on	on
TV	tv	TV
trying	tri	trying
to	to	to
make	make	make
it	it	it
sound	sound	sound
good	good	good
,	,	,
we	we	we
re	re	re
still	still	still
in	in	in
grief	grief	grief
;	;	;
we	we	we
re	re	re
still	still	still
mad	mad	mad
,	,	,
Jones	jone	Jones
said	said	said
.	.	.
And	and	And
we	we	we
re	re	re
not	not	not
just	just	just
mad	mad	mad
at	at	at
Trump	trump	Trump
,	,	,
who	who	who
we	we	we
should	should	should
be	be	be
mad	mad	mad
at	at	at
.	.	.
We	we	We
re	re	re
mad	mad	mad
at	at	at
every	everi	every
single	singl	single
person	person	person
who	who	who
voted	vote	voted
for	for	for
Trump	trump	Trump
,	,	,
even	even	even
people	peopl	people
who	who	who
have	have	have
no	no	no
jobs	job	job
,	,	,
even	even	even
coal	coal	coal
miners	miner	miner
who	who	who
have	have	have
black	black	black
lung	lung	lung
disease	diseas	disease
and	and	and
who	who	who
are	are	are
dying	die	dying
and	and	and
Democrats	democrat	Democrats
don	don	don
t	t	t
have	have	have
anything	anyth	anything
to	to	to
say	say	say
about	about	about
it	it	it
for	for	for
years	year	year
.	.	.
Behar	behar	Behar
and	and	and
co	co	co
-host	-host	-host
Whoopi	whoopi	Whoopi
Goldberg	goldberg	Goldberg
interrupted	interrupt	interrupted
Jones	jone	Jones
to	to	to
take	take	take
issue	issu	issue
with	with	with
the	the	the
idea	idea	idea
that	that	that
liberals	liber	liberal
are	are	are
mad	mad	mad
at	at	at
Trump	trump	Trump
voters	voter	voter
,	,	,
asking	ask	asking
Jones	jone	Jones
specifically	specif	specifically
who	who	who
he	he	he
was	was	wa
talking	talk	talking
about	about	about
.	.	.
Jones	jone	Jones
explained	explain	explained
his	his	his
point	point	point
of	of	of
view	view	view
comes	come	come
from	from	from
conversations	convers	conversation
with	with	with
liberals	liber	liberal
.	.	.
In	in	In
my	my	my
conversations	convers	conversation
with	with	with
liberals	liber	liberal
,	,	,
it	it	it
s	s	s
like	like	like
they	they	they
,	,	,
those	those	those
Trump	trump	Trump
voters	voter	voter
,	,	,
them	them	them
.	.	.
I	i	I
don	don	don
t	t	t
understand	understand	understand
how	how	how
those	those	those
people	peopl	people
could	could	could
ever	ever	ever
do	do	do
that	that	that
.	.	.
In	in	In
America	america	America
,	,	,
we	we	we
don	don	don
t	t	t
have	have	have
to	to	to
agree	agre	agree
.	.	.
We	we	We
have	have	have
to	to	to
try	tri	try
to	to	to
understand	understand	understand
,	,	,
he	he	he
said	said	said
.	.	.
Via	via	Via
WFB	wfb	WFB
