Now	now	Now
that	that	that
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
scared	scare	scared
and	and	and
fleeced	fleec	fleeced
uneducated	uneduc	uneducated
,	,	,
gullible	gullibl	gullible
people	peopl	people
into	into	into
giving	give	giving
him	him	him
the	the	the
White	white	White
House	hous	House
,	,	,
there	there	there
are	are	are
many	mani	many
concerns	concern	concern
regarding	regard	regarding
many	mani	many
of	of	of
his	his	his
campaign	campaign	campaign
promises	promis	promise
namely	name	namely
the	the	the
insane	insan	insane
so	so	so
-called	-call	-called
deportation	deport	deportation
force	forc	force
that	that	that
will	will	will
round	round	round
people	peopl	people
up	up	up
and	and	and
ship	ship	ship
them	them	them
from	from	from
the	the	the
country	countri	country
.	.	.

Thanks	thank	Thanks
to	to	to
the	the	the
many	mani	many
,	,	,
many	mani	many
protests	protest	protest
regarding	regard	regarding
Trump	trump	Trump
s	s	s
win	win	win
,	,	,
it	it	it
is	is	is
now	now	now
up	up	up
to	to	to
the	the	the
leadership	leadership	leadership
of	of	of
the	the	the
GOP	gop	GOP
to	to	to
clean	clean	clean
up	up	up
Trump	trump	Trump
s	s	s
mess	mess	mess
,	,	,
because	becaus	because
he	he	he
is	is	is
incapable	incap	incapable
of	of	of
doing	do	doing
so	so	so
himself	himself	himself
.	.	.

Therefore	therefor	Therefore
,	,	,
House	hous	House
Speaker	speaker	Speaker
Paul	paul	Paul
Ryan	ryan	Ryan
went	went	went
on	on	on
CNN	cnn	CNN
s	s	s
State	state	State
of	of	of
the	the	the
Union	union	Union
to	to	to
speak	speak	speak
to	to	to
Jake	jake	Jake
Tapper	tapper	Tapper
on	on	on
Sunday	sunday	Sunday
,	,	,
in	in	in
which	which	which
he	he	he
addressed	address	addressed
the	the	the
promise	promis	promise
of	of	of
mass	mass	mass
deportations	deport	deportation
.	.	.

Ryan	ryan	Ryan
said	said	said
We	we	We
are	are	are
not	not	not
planning	plan	planning
on	on	on
erecting	erect	erecting
a	a	a
deportation	deport	deportation
force	forc	force
.	.	.

Donald	donald	Donald
Trump	trump	Trump
is	is	is
not	not	not
planning	plan	planning
on	on	on
that	that	that
.	.	.

That	that	That
s	s	s
not	not	not
what	what	what
we	we	we
re	re	re
focused	focus	focused
on	on	on
.	.	.

