Photo	photo	Photo
illustration	illustr	illustration
by	by	by
Patrick	patrick	Patrick
Henningsen	henningsen	Henningsen
@21WIRE	@21wire	@21WIRE
Nader	nader	Nader
Talebzadeh	talebzadeh	Talebzadeh
21st	21st	21st
Century	centuri	Century
WireThe	wireth	WireThe
American	american	American
enlightenment	enlighten	enlightenment
has	has	ha
started	start	started
.	.	.

The	the	The
dormancy	dormanc	dormancy
of	of	of
over	over	over
three	three	three
decades	decad	decade
,	,	,
and	and	and
the	the	the
miseries	miseri	misery
that	that	that
the	the	the
United	unit	United
States	state	States
has	has	ha
put	put	put
dozens	dozen	dozen
of	of	of
nations	nation	nation
through	through	through
,	,	,
have	have	have
begun	begun	begun
to	to	to
cease	ceas	cease
.	.	.

The	the	The
torment	torment	torment
that	that	that
the	the	the
Vietnamese	vietnames	Vietnamese
went	went	went
through	through	through
and	and	and
the	the	the
innocent	innoc	innocent
lives	live	life
that	that	that
perished	perish	perished
under	under	under
US	us	US
drones	drone	drone
in	in	in
Afghanistan	afghanistan	Afghanistan
and	and	and
Pakistan	pakistan	Pakistan
are	are	are
beginning	begin	beginning
to	to	to
find	find	find
their	their	their
answers	answer	answer
.	.	.

But	but	But
not	not	not
in	in	in
international	intern	international
tribunals	tribun	tribunal
or	or	or
world	world	world
system	system	system
of	of	of
justice	justic	justice
.	.	.

No	no	No
.	.	.
In	in	In
people	peopl	people
s	s	s
conscious	conscious	conscious
,	,	,
the	the	the
great	great	great
divide	divid	divide
in	in	in
the	the	the
American	american	American
population	popul	population
is	is	is
the	the	the
first	first	first
sure	sure	sure
sign	sign	sign
of	of	of
a	a	a
change	chang	change
to	to	to
come	come	come
.	.	.
Ever	ever	Ever
since	sinc	since
the	the	the
unwelcome	unwelcom	unwelcome
appearance	appear	appearance
of	of	of
Donald	donald	Donald
Trump	trump	Trump
on	on	on
the	the	the
US	us	US
governmental	government	governmental
scene	scene	scene
,	,	,
the	the	the
first	first	first
president	presid	president
not	not	not
to	to	to
be	be	be
placed	place	placed
into	into	into
position	posit	position
by	by	by
the	the	the
deep	deep	deep
state	state	state
,	,	,
the	the	the
inquisition	inquisit	inquisition
over	over	over
what	what	what
is	is	is
going	go	going
on	on	on
has	has	ha
begun	begun	begun
.	.	.
Americans	american	Americans
,	,	,
more	more	more
than	than	than
ever	ever	ever
are	are	are
perplexed	perplex	perplexed
about	about	about
their	their	their
future	futur	future
.	.	.

Their	their	Their
past	past	past
is	is	is
vague	vagu	vague
,	,	,
and	and	and
no	no	no
matter	matter	matter
how	how	how
hard	hard	hard
they	they	they
peer	peer	peer
into	into	into
the	the	the
rear	rear	rear
view	view	view
mirror	mirror	mirror
for	for	for
those	those	those
Americans	american	Americans
,	,	,
it	it	it
doesn	doesn	doesn
t	t	t
make	make	make
sense	sens	sense
.	.	.
9	9	9
11	11	11
doesn	doesn	doesn
t	t	t
make	make	make
sense	sens	sense
.	.	.
The	the	The
occupation	occup	occupation
of	of	of
Iraq	iraq	Iraq
and	and	and
Afghanistan	afghanistan	Afghanistan
doesn	doesn	doesn
t	t	t
make	make	make
sense	sens	sense
.	.	.
The	the	The
admittance	admitt	admittance
to	to	to
not	not	not
finding	find	finding
any	ani	any
WMDs	wmds	WMDs
in	in	in
Iraq	iraq	Iraq
and	and	and
yet	yet	yet
occupying	occupi	occupying
it	it	it
,	,	,
