Time	time	Time
and	and	and
time	time	time
again	again	again
,	,	,
Donald	donald	Donald
Trump	trump	Trump
appeared	appear	appeared
on	on	on
the	the	the
Howard	howard	Howard
Stern	stern	Stern
Show	show	Show
.	.	.

During	dure	During
his	his	his
interviews	interview	interview
,	,	,
he	he	he
rated	rate	rated
women	women	woman
on	on	on
a	a	a
scale	scale	scale
from	from	from
one	one	one
to	to	to
ten	ten	ten
,	,	,
told	told	told
Stern	stern	Stern
it	it	it
was	was	wa
okay	okay	okay
to	to	to
call	call	call
his	his	his
daughter	daughter	daughter
Ivanka	ivanka	Ivanka
a	a	a
piece	piec	piece
of	of	of
ass	ass	as
,	,	,
and	and	and
bragged	brag	bragged
about	about	about
his	his	his
own	own	own
sex	sex	sex
life	life	life
.	.	.

I	i	I
ll	ll	ll
wait	wait	wait
while	while	while
you	you	you
gag	gag	gag
.	.	.
These	these	These
comments	comment	comment
have	have	have
come	come	come
back	back	back
to	to	to
bite	bite	bite
Trump	trump	Trump
in	in	in
his	his	his
orange	orang	orange
derriere	derrier	derriere
repeatedly	repeat	repeatedly
throughout	throughout	throughout
his	his	his
run	run	run
for	for	for
the	the	the
White	white	White
House	hous	House
.	.	.
Howard	howard	Howard
Stern	stern	Stern
,	,	,
who	who	who
happens	happen	happens
to	to	to
be	be	be
a	a	a
Democrat	democrat	Democrat
,	,	,
is	is	is
finally	final	finally
commenting	comment	commenting
on	on	on
the	the	the
impact	impact	impact
his	his	his
past	past	past
shows	show	show
have	have	have
had	had	had
on	on	on
this	this	this
year	year	year
s	s	s
election	elect	election
.	.	.

He	he	He
said	said	said
that	that	that
having	have	having
the	the	the
billionaire	billionair	billionaire
on	on	on
his	his	his
show	show	show
to	to	to
talk	talk	talk
about	about	about
sex	sex	sex
and	and	and
degrade	degrad	degrade
women	women	woman
was	was	wa
no	no	no
accident	accid	accident
,	,	,
Trump	trump	Trump
fit	fit	fit
the	the	the
part	part	part
by	by	by
nature	natur	nature
.	.	.

Stern	stern	Stern
also	also	also
said	said	said
that	that	that
he	he	he
was	was	wa
not	not	not
replaying	replay	replaying
the	the	the
tapes	tape	tape
of	of	of
the	the	the
GOP	gop	GOP
nominee	nomine	nominee
s	s	s
old	old	old
interviews	interview	interview
because	becaus	because
he	he	he
considers	consid	considers
Trump	trump	Trump
a	a	a
friend	friend	friend
and	and	and
doing	do	doing
so	so	so
would	would	would
be	be	be
a	a	a
betrayal	betray	betrayal
.	.	.

Donald	donald	Donald
Trump	trump	Trump
did	did	did
the	the	the
show	show	show
in	in	in
an	an	an
effort	effort	effort
to	to	to
be	be	be
entertaining	entertain	entertaining
and	and	and
have	have	have
fun	fun	fun
with	with	with
us	us	u
,	,	,
Stern	stern	Stern
said	said	said
on	on	on
his	his	his
Sirius	sirius	Sirius
satellite	satellit	satellite
radio	radio	radio
show	show	show
.	.	.

I	i	I
fully	fulli	fully
knew	knew	knew
what	what	what
I	i	I
was	was	wa
doing	do	doing
when	when	when
I	i	I
interviewed	interview	interviewed
Trump	trump	Trump
.	.	.

I	i	I
knew	knew	knew
I	i	I
had	had	had
a	a	a
guy	guy	guy
who	who	who
loved	love	loved
to	to	to
talk	talk	talk
about	about	about
sex	sex	sex
.	.	.

I	i	I
had	had	had
a	a	a
guy	guy	guy
who	who	who
loved	love	loved
to	to	to
evaluate	evalu	evaluate
women	women	woman
on	on	on
a	a	a
scale	scale	scale
of	of	of
1	1	1
to	to	to
10	10	10
.	.	.

These	these	These
are	are	are
avenues	avenu	avenue
I	i	I
went	went	went
down	down	down
because	becaus	because
I	i	I
knew	knew	knew
it	it	it
would	would	would
entertain	entertain	entertain
the	the	the
audience	audienc	audience
.	.	.

Stern	stern	Stern
said	said	said
that	that	that
he	he	he
was	was	wa
stunned	stun	stunned
that	that	that
the	the	the
tapes	tape	tape
from	from	from
his	his	his
show	show	show
hadn	hadn	hadn
t	t	t
surfaced	surfac	surfaced
earlier	earlier	earlier
.	.	.

He	he	He
added	ad	added
that	that	that
he	he	he
had	had	had
asked	ask	asked
Trump	trump	Trump
what	what	what
the	the	the
heck	heck	heck
he	he	he
was	was	wa
thinking	think	thinking
when	when	when
he	he	he
launched	launch	launched
his	his	his
bid	bid	bid
for	for	for
the	the	the
presidency	presid	presidency
.	.	.

I	i	I
said	said	said
,	,	,
Why	whi	Why
are	are	are
you	you	you
doing	do	doing
this	this	this
?	?	?

Why	whi	Why
would	would	would
a	a	a
guy	guy	guy
with	with	with
billions	billion	billion
of	of	of
dollars	dollar	dollar
run	run	run
for	for	for
president	presid	president
?	?	?

Don	don	Don
t	t	t
you	you	you
know	know	know
what	what	what
they	they	they
re	re	re
gonna	gonna	gonna
do	do	do
to	to	to
you	you	you
?	?	?

Don	don	Don
t	t	t
you	you	you
know	know	know
they	they	they
re	re	re
gonna	gonna	gonna
open	open	open
up	up	up
everything	everyth	everything
?	?	?
'	'	'
The	the	The
shock	shock	shock
jock	jock	jock
also	also	also
weighed	weigh	weighed
in	in	in
on	on	on
the	the	the
Pu	pu	Pu
ygate	ygate	ygate
tapes	tape	tape
that	that	that
recently	recent	recently
turned	turn	turned
up	up	up
in	in	in
which	which	which
Trump	trump	Trump
bragged	brag	bragged
that	that	that
he	he	he
could	could	could
sexually	sexual	sexually
assault	assault	assault
women	women	woman
because	becaus	because
he	he	he
is	is	is
a	a	a
star	star	star
.	.	.

Stern	stern	Stern
is	is	is
known	known	known
for	for	for
his	his	his
raunchiness	raunchi	raunchiness
,	,	,
but	but	but
even	even	even
he	he	he
said	said	said
that	that	that
Trump	trump	Trump
s	s	s
locker	locker	locker
room	room	room
talk	talk	talk
defense	defens	defense
was	was	wa
a	a	a
load	load	load
of	of	of
crap	crap	crap
.	.	.

I	i	I
have	have	have
never	never	never
been	been	been
in	in	in
the	the	the
room	room	room
when	when	when
someone	someon	someone
has	has	ha
said	said	said
,	,	,
Grab	grab	Grab
them	them	them
by	by	by
the	the	the
pussy	pussi	pussy
,	,	,
'	'	'
said	said	said
Stern	stern	Stern
.	.	.

No	no	No
one	one	one
s	s	s
ever	ever	ever
advocated	advoc	advocated
going	go	going
that	that	that
step	step	step
where	where	where
you	you	you
get	get	get
a	a	a
little	littl	little
bit	bit	bit
,	,	,
Hey	hey	Hey
I	i	I
m	m	m
going	go	going
to	to	to
invade	invad	invade
someone	someon	someone
s	s	s
space	space	space
.	.	.
'	'	'
Featured	featur	Featured
image	imag	image
via	via	via
Steve	steve	Steve
Pope	pope	Pope
Getty	getti	Getty
Images	imag	Images
and	and	and
Jamie	jami	Jamie
McCarthy	mccarthi	McCarthy
Getty	getti	Getty
Images	imag	Images

