Conservatives	conserv	Conservatives
are	are	are
busy	busi	busy
mourning	mourn	mourning
the	the	the
death	death	death
of	of	of
Antonin	antonin	Antonin
Scalia	scalia	Scalia
,	,	,
and	and	and
coming	come	coming
up	up	up
with	with	with
ways	way	way
to	to	to
make	make	make
sure	sure	sure
that	that	that
no	no	no
one	one	one
President	presid	President
Obama	obama	Obama
picks	pick	pick
will	will	will
make	make	make
it	it	it
through	through	through
to	to	to
the	the	the
court	court	court
.	.	.

Well	well	Well
,	,	,
if	if	if
they	they	they
are	are	are
angry	angri	angry
and	and	and
scheming	scheme	scheming
right	right	right
now	now	now
,	,	,
this	this	this
next	next	next
prediction	predict	prediction
will	will	will
have	have	have
the	the	the
right	right	right
positively	posit	positively
fuming	fume	fuming
.	.	.
According	accord	According
to	to	to
NBC	nbc	NBC
News	news	News
,	,	,
Tom	tom	Tom
Goldstein	goldstein	Goldstein
,	,	,
the	the	the
Supreme	suprem	Supreme
Court	court	Court
expert	expert	expert
who	who	who
is	is	is
the	the	the
mastermind	mastermind	mastermind
behind	behind	behind
SCOTUSblog	scotusblog	SCOTUSblog
,	,	,
is	is	is
predicting	predict	predicting
that	that	that
President	presid	President
Obama	obama	Obama
will	will	will
nominate	nomin	nominate
current	current	current
Attorney	attorney	Attorney
General	general	General
Loretta	loretta	Loretta
Lynch	lynch	Lynch
to	to	to
replace	replac	replace
the	the	the
recently	recent	recently
deceased	deceas	deceased
Scalia	scalia	Scalia
.	.	.

Calling	call	Calling
Lynch	lynch	Lynch
a	a	a
very	veri	very
serious	serious	serious
possibility	possibl	possibility
,	,	,
Goldstein	goldstein	Goldstein
went	went	went
on	on	on
to	to	to
say	say	say
The	the	The
fact	fact	fact
that	that	that
Lynch	lynch	Lynch
was	was	wa
vetted	vet	vetted
so	so	so
recently	recent	recently
for	for	for
attorney	attorney	attorney
general	general	general
also	also	also
makes	make	make
it	it	it
practical	practic	practical
for	for	for
the	the	the
president	presid	president
to	to	to
nominate	nomin	nominate
her	her	her
in	in	in
relatively	relat	relatively
short	short	short
order	order	order
.	.	.

Goldstein	goldstein	Goldstein
s	s	s
predictions	predict	prediction
are	are	are
in	in	in
sharp	sharp	sharp
contrast	contrast	contrast
to	to	to
those	those	those
of	of	of
Robert	robert	Robert
