Imagine	imagin	Imagine
your	your	your
child	child	child
was	was	wa
playing	play	playing
outside	outsid	outside
,	,	,
runs	run	run
into	into	into
the	the	the
house	hous	house
for	for	for
a	a	a
drink	drink	drink
,	,	,
turns	turn	turn
on	on	on
the	the	the
tap	tap	tap
and	and	and
nothing	noth	nothing
comes	come	come
out	out	out
.	.	.

Your	your	Your
baby	babi	baby
is	is	is
standing	stand	standing
there	there	there
sweating	sweat	sweating
and	and	and
thirsty	thirsti	thirsty
all	all	all
because	becaus	because
the	the	the
city	citi	city
you	you	you
live	live	live
in	in	in
has	has	ha
decided	decid	decided
that	that	that
your	your	your
family	famili	family
deserved	deserv	deserved
to	to	to
be	be	be
punished	punish	punished
for	for	for
being	be	being
poor	poor	poor
and	and	and
shut	shut	shut
your	your	your
water	water	water
off	off	off
.	.	.

When	when	When
you	you	you
realize	realiz	realize
what	what	what
has	has	ha
happened	happen	happened
,	,	,
you	you	you
send	send	send
your	your	your
child	child	child
to	to	to
your	your	your
neighbor	neighbor	neighbor
s	s	s
house	hous	house
to	to	to
get	get	get
a	a	a
glass	glass	glass
of	of	of
water	water	water
there	there	there
,	,	,
but	but	but
their	their	their
water	water	water
has	has	ha
been	been	been
shut	shut	shut
off	off	off
too	too	too
,	,	,
and	and	and
thousands	thousand	thousand
of	of	of
other	other	other
people	peopl	people
in	in	in
the	the	the
city	citi	city
are	are	are
facing	face	facing
the	the	the
same	same	same
dilemma	dilemma	dilemma
.	.	.

Elderly	elder	Elderly
people	peopl	people
,	,	,
families	famili	family
with	with	with
children	children	child
,	,	,
young	young	young
couples	coupl	couple
,	,	,
students	student	student
,	,	,
all	all	all
without	without	without
water	water	water
that	that	that
s	s	s
what	what	what
s	s	s
happening	happen	happening
in	in	in
Detroit	detroit	Detroit
,	,	,
Michigan	michigan	Michigan
.	.	.
Roughly	rough	Roughly
20	20	20
,	,	,
000	000	000
people	peopl	people
are	are	are
in	in	in
danger	danger	danger
of	of	of
having	have	having
their	their	their
water	water	water
turned	turn	turned
off	off	off
today	today	today
,	,	,
according	accord	according
to	to	to
Detroit	detroit	Detroit
s	s	s
ABC	abc	ABC
7	7	7
News	news	News
The	the	The
water	water	water
is	is	is
still	still	still
on	on	on
for	for	for
Detroit	detroit	Detroit
residents	resid	resident
behind	behind	behind
on	on	on
their	their	their
bills	bill	bill
,	,	,
but	but	but
not	not	not
for	for	for
long	long	long
.	.	.

Detroit	detroit	Detroit
Water	water	Water
and	and	and
Sewerage	sewerag	Sewerage
announced	announc	announced
they	they	they
re	re	re
shutting	shut	shutting
off	off	off
service	servic	service
to	to	to
those	those	those
who	who	who
owe	owe	owe
them	them	them
payments	payment	payment
.	.	.

About	about	About
20	20	20
,	,	,
000	000	000
people	peopl	people
could	could	could
see	see	see
their	their	their
water	water	water
shut	shut	shut
off	off	off
,	,	,
starting	start	starting
May	may	May
3rd	3rd	3rd
at	at	at
8	8	8
a	a	a
.	.	.
m	m	m
.	.	.
Since	sinc	Since
2014	2014	2014
,	,	,
the	the	the
people	peopl	people
of	of	of
one	one	one
of	of	of
the	the	the
poorest	poorest	poorest
cities	citi	city
in	in	in
the	the	the
country	countri	country
have	have	have
been	been	been
fighting	fight	fighting
to	to	to
keep	keep	keep
their	their	their
water	water	water
on	on	on
.	.	.

The	the	The
Detroit	detroit	Detroit
Water	water	Water
Crisis	crisi	Crisis
is	is	is
so	so	so
bad	bad	bad
that	that	that
experts	expert	expert
from	from	from
the	the	the
United	unit	United
Nations	nation	Nations
have	have	have
accused	accus	accused
the	the	the
city	citi	city
of	of	of
violating	violat	violating
human	human	human
rights	right	right
.	.	.

In	in	In
June	june	June
2014	2014	2014
,	,	,
the	the	the
group	group	group
put	put	put
out	out	out
a	a	a
press	press	press
release	releas	release
saying	say	saying
Disconnection	disconnect	Disconnection
of	of	of
water	water	water
services	servic	service
because	becaus	because
of	of	of
failure	failur	failure
to	to	to
pay	pay	pay
due	due	due
to	to	to
lack	lack	lack
of	of	of
means	mean	mean
constitutes	constitut	constitutes
a	a	a
violation	violat	violation
of	of	of
the	the	the
human	human	human
right	right	right
to	to	to
water	water	water
and	and	and
other	other	other
international	intern	international
human	human	human
rights	right	right
Disconnections	disconnect	Disconnections
due	due	due
to	to	to
non	non	non
-payment	-payment	-payment
are	are	are
only	onli	only
permissible	permiss	permissible
if	if	if
it	it	it
can	can	can
be	be	be
shown	shown	shown
that	that	that
the	the	the
resident	resid	resident
is	is	is
able	abl	able
to	to	to
pay	pay	pay
but	but	but
is	is	is
not	not	not
paying	pay	paying
.	.	.

In	in	In
other	other	other
words	word	word
,	,	,
when	when	when
there	there	there
is	is	is
genuine	genuin	genuine
inability	inabl	inability
to	to	to
pay	pay	pay
,	,	,
human	human	human
rights	right	right
simply	simpli	simply
forbids	forbid	forbids
disconnections	disconnect	disconnection
.	.	.

Nearly	near	Nearly
two	two	two
years	year	year
later	later	later
the	the	the
fight	fight	fight
over	over	over
water	water	water
is	is	is
still	still	still
going	go	going
on	on	on
and	and	and
city	citi	city
officials	offici	official
are	are	are
claiming	claim	claiming
that	that	that
they	they	they
don	don	don
t	t	t
want	want	want
to	to	to
turn	turn	turn
the	the	the
services	servic	service
off	off	off
,	,	,
but	but	but
they	they	they
have	have	have
to	to	to
if	if	if
residents	resid	resident
do	do	do
not	not	not
ask	ask	ask
to	to	to
be	be	be
put	put	put
on	on	on
payment	payment	payment
plans	plan	plan
.	.	.

Detroit	detroit	Detroit
Water	water	Water
and	and	and
Sewerage	sewerag	Sewerage
Director	director	Director
Gary	gari	Gary
Brown	brown	Brown
said	said	said
,	,	,
We	we	We
don	don	don
t	t	t
want	want	want
to	to	to
shut	shut	shut
anyone	anyon	anyone
s	s	s
water	water	water
off	off	off
.	.	.

Come	come	Come
in	in	in
,	,	,
ask	ask	ask
for	for	for
assistance	assist	assistance
,	,	,
get	get	get
on	on	on
a	a	a
payment	payment	payment
plan	plan	plan
.	.	.

Residents	resid	Residents
who	who	who
have	have	have
bills	bill	bill
of	of	of
up	up	up
to	to	to
700	700	700
will	will	will
have	have	have
the	the	the
balance	balanc	balance
frozen	frozen	frozen
and	and	and
be	be	be
allowed	allow	allowed
to	to	to
pay	pay	pay
25	25	25
a	a	a
month	month	month
.	.	.
While	while	While
it	it	it
may	may	may
