When	when	When
thinking	think	thinking
about	about	about
who	who	who
would	would	would
be	be	be
the	the	the
perfect	perfect	perfect
person	person	person
to	to	to
send	send	send
to	to	to
a	a	a
Donald	donald	Donald
Trump	trump	Trump
campaign	campaign	campaign
rally	ralli	rally
to	to	to
interview	interview	interview
supporters	support	supporter
,	,	,
there	there	there
really	realli	really
is	is	is
no	no	no
one	one	one
better	better	better
than	than	than
Drag	drag	Drag
Queen	queen	Queen
Courtney	courtney	Courtney
Act	act	Act
,	,	,
previously	previous	previously
of	of	of
Rupaul	rupaul	Rupaul
s	s	s
Drag	drag	Drag
Race	race	Race
.	.	.
She	she	She
left	left	left
the	the	the
comforts	comfort	comfort
of	of	of
Provincetown	provincetown	Provincetown
,	,	,
MA	ma	MA
,	,	,
and	and	and
went	went	went
over	over	over
to	to	to
Fairfield	fairfield	Fairfield
,	,	,
CT	ct	CT
,	,	,
to	to	to
talk	talk	talk
to	to	to
Trump	trump	Trump
minions	minion	minion
.	.	.
It	it	It
was	was	wa
there	there	there
that	that	that
she	she	she
met	met	met
all	all	all
sorts	sort	sort
of	of	of
interesting	interest	interesting
folks	folk	folk
Islamophobes	islamophob	Islamophobes
,	,	,
racists	racist	racist
,	,	,
misogynists	misogynist	misogynist
You	you	You
know	know	know
,	,	,
pretty	pretti	pretty
much	much	much
everyone	everyon	everyone
you	you	you
think	think	think
you	you	you
d	d	d
find	find	find
at	at	at
a	a	a
Trump	trump	Trump
rally	ralli	rally
.	.	.
Courtney	courtney	Courtney
talked	talk	talked
to	to	to
quite	quit	quite
a	a	a
few	few	few
people	peopl	people
,	,	,
including	includ	including
a	a	a
man	man	man
with	with	with
Trump	trump	Trump
that	that	that
B	b	B
tch	tch	tch
t	t	t
-shirts	-shirt	-shirts
,	,	,
another	anoth	another
man	man	man
with	with	with
a	a	a
Made	made	Made
in	in	in
China	china	China
Trump	trump	Trump
hat	hat	hat
,	,	,
as	as	a
well	well	well
as	as	a
a	a	a
white	white	white
supremacy	supremaci	supremacy
group	group	group
,	,	,
but	but	but
one	one	one
woman	woman	woman
really	realli	really
embodied	embodi	embodied
everything	everyth	everything
Trump	trump	Trump
.	.	.
This	this	This
lady	ladi	lady
told	told	told
Courtney	courtney	Courtney
It	it	It
doesn	doesn	doesn
t	t	t
matter	matter	matter
what	what	what
your	your	your
religion	religion	religion
is	is	is
,	,	,
but	but	but
I	i	I
do	do	do
believe	believ	believe
that	that	that
the	the	the
Muslim	muslim	Muslim
is	is	is
not	not	not
a	a	a
religion	religion	religion
.	.	.

I	i	I
believe	believ	believe
it	it	it
s	s	s
more	more	more
of	of	of
a	a	a
cult	cult	cult
and	and	and
if	if	if
people	peopl	people
got	got	got
together	togeth	together
and	and	and
sacrificed	sacrif	sacrificed
a	a	a
human	human	human
baby	babi	baby
or	or	or
sacrificed	sacrif	sacrificed
a	a	a
woman	woman	woman
at	at	at
the	the	the
stake	stake	stake
,	,	,
I	i	I
would	would	would
say	say	say
that	that	that
people	peopl	people
would	would	would
probably	probabl	probably
say	say	say
that	that	that
s	s	s
not	not	not
a	a	a
good	good	good
religion	religion	religion
.	.	.

Like	like	Like
Satanic	satan	Satanic
cults	cult	cult
,	,	,
for	for	for
instance	instanc	instance
,	,	,
they	they	they
re	re	re
not	not	not
legal	legal	legal
in	in	in
our	our	our
country	countri	country
and	and	and
therefore	therefor	therefore
I	i	I
don	don	don
t	t	t
believe	believ	believe
Sharia	sharia	Sharia
law	law	law
should	should	should
be	be	be
legal	legal	legal
either	either	either
.	.	.

Besides	besid	Besides
all	all	all
the	the	the
factual	factual	factual
inaccuracies	inaccuraci	inaccuracy
and	and	and
crazy	crazi	crazy
within	within	within
all	all	all
that	that	that
,	,	,
it	it	it
doesn	doesn	doesn
t	t	t
quite	quit	quite
seem	seem	seem
