Former	former	Former
Republican	republican	Republican
Party	parti	Party
chairman	chairman	chairman
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
Senate	senat	Senate
candidate	candid	candidate
Michael	michael	Michael
Steele	steel	Steele
,	,	,
who	who	who
is	is	is
black	black	black
,	,	,
has	has	ha
made	made	made
some	some	some
interesting	interest	interesting
revelations	revel	revelation
about	about	about
what	what	what
it	it	it
s	s	s
like	like	like
to	to	to
be	be	be
a	a	a
black	black	black
Republican	republican	Republican
running	run	running
for	for	for
office	offic	office
.	.	.
Steele	steel	Steele
spoke	spoke	spoke
to	to	to
The	the	The
Huffington	huffington	Huffington
Post	post	Post
for	for	for
their	their	their
series	seri	series
Candidate	candid	Candidate
Confessional	confession	Confessional
,	,	,
where	where	where
past	past	past
candidates	candid	candidate
reveal	reveal	reveal
the	the	the
inner	inner	inner
workings	work	working
of	of	of
their	their	their
campaigns	campaign	campaign
.	.	.
Steele	steel	Steele
notes	note	note
that	that	that
while	while	while
he	he	he
was	was	wa
the	the	the
party	parti	party
chairman	chairman	chairman
the	the	the
RNC	rnc	RNC
took	took	took
back	back	back
the	the	the
house	hous	house
in	in	in
2010	2010	2010
,	,	,
but	but	but
a	a	a
series	seri	series
of	of	of
controversies	controversi	controversy
ensured	ensur	ensured
that	that	that
he	he	he
would	would	would
not	not	not
be	be	be
re	re	re
-elected	-elect	-elected
to	to	to
the	the	the
position	posit	position
,	,	,
now	now	now
held	held	held
by	by	by
Reince	reinc	Reince
Priebus	priebus	Priebus
who	who	who
remains	remain	remains
party	parti	party
chairman	chairman	chairman
even	even	even
after	after	after
the	the	the
RNC	rnc	RNC
lost	lost	lost
in	in	in
a	a	a
major	major	major
way	way	way
against	against	against
President	presid	President
Obama	obama	Obama
in	in	in
2012	2012	2012
.	.	.
During	dure	During
his	his	his
time	time	time
at	at	at
the	the	the
RNC	rnc	RNC
,	,	,
Steele	steel	Steele
says	say	say
members	member	member
of	of	of
the	the	the
committee	committe	committee
told	told	told
him	him	him
You	you	You
sound	sound	sound
too	too	too
black	black	black
.	.	.
Steele	steel	Steele
also	also	also
explains	explain	explains
that	that	that
it	it	it
was	was	wa
a	a	a
problem	problem	problem
for	for	for
members	member	member
of	of	of
the	the	the
party	parti	party
that	that	that
his	his	his
chief	chief	chief
of	of	of
staff	staff	staff
was	was	wa
black	black	black
.	.	.
I	i	I
had	had	had
a	a	a
black	black	black
chief	chief	chief
of	of	of
staff	staff	staff
and	and	and
everyone	everyon	everyone
threw	threw	threw
a	a	a
hissy	hissi	hissy
fit	fit	fit
,	,	,
didn	didn	didn
t	t	t
know	know	know
how	how	how
to	to	to
deal	deal	deal
with	with	with
the	the	the
brother	brother	brother
,	,	,
Steele	steel	Steele
said	said	said
.	.	.
I	i	I
m	m	m
like	like	like
,	,	,
Dude	dude	Dude
,	,	,
he	he	he
s	s	s
a	a	a
political	polit	political
operative	oper	operative
like	like	like
everybody	everybodi	everybody
else	els	else
.	.	.
He	he	He
s	s	s
a	a	a
chief	chief	chief
of	of	of
staff	staff	staff
.	.	.
Just	just	Just
deal	deal	deal
with	with	with
him	him	him
.	.	.
But	but	But
that	that	that
was	was	wa
a	a	a
problem	problem	problem
.	.	.
In	in	In
2006	2006	2006
,	,	,
Steele	steel	Steele
attempted	attempt	attempted
to	to	to
run	run	run
for	for	for
Senate	senat	Senate
in	in	in
Maryland	maryland	Maryland
,	,	,
eventually	eventu	eventually
losing	lose	losing
by	by	by
10	10	10
to	to	to
now	now	now
-Senator	-senat	-Senator
Ben	ben	Ben
Cardin	cardin	Cardin
.	.	.
In	in	In
that	that	that
run	run	run
,	,	,
Steele	steel	Steele
was	was	wa
picked	pick	picked
to	to	to
be	be	be
pushed	push	pushed
by	by	by
the	the	the
party	parti	party
because	becaus	because
he	he	he
was	was	wa
a	a	a
black	black	black
candidate	candid	candidate
in	in	in
a	a	a
state	state	state
with	with	with
a	a	a
large	larg	large
black	black	black
population	popul	population
.	.	.
But	but	But
they	they	they
had	had	had
problems	problem	problem
finding	find	finding
black	black	black
staffers	staffer	staffer
for	for	for
his	his	his
campaign	campaign	campaign
.	.	.
Steele	steel	Steele
,	,	,
for	for	for
example	exampl	example
,	,	,
said	said	said
he	he	he
knew	knew	knew
there	there	there
d	d	d
be	be	be
questions	question	question
about	about	about
why	whi	why
there	there	there
weren	weren	weren
t	t	t
any	ani	any
African	african	African
Americans	american	Americans
on	on	on
his	his	his
campaign	campaign	campaign
staff	staff	staff
.	.	.
The	the	The
reason	reason	reason
was	was	wa
easy	easi	easy
to	to	to
explain	explain	explain
.	.	.
The	the	The
Republican	republican	Republican
party	parti	party
s	s	s
never	never	never
taken	taken	taken
the	the	the
time	time	time
to	to	to
actually	actual	actually
groom	groom	groom
blacks	black	black
to	to	to
be	be	be
political	polit	political
operatives	oper	operative
,	,	,
to	to	to
be	be	be
campaign	campaign	campaign
managers	manag	manager
,	,	,
political	polit	political
directors	director	director
,	,	,
communication	communic	communication
directors	director	director
,	,	,
finance	financ	finance
directors	director	director
,	,	,
Steele	steel	Steele
said	said	said
.	.	.
So	so	So
when	when	when
I	i	I
have	have	have
to	to	to
go	go	go
as	as	a
a	a	a
candidate	candid	candidate
into	into	into
a	a	a
statewide	statewid	statewide
campaign	campaign	campaign
,	,	,
or	or	or
even	even	even
if	if	if
I	i	I
m	m	m
running	run	running
for	for	for
local	local	local
sheriff	sheriff	sheriff
,	,	,
what	what	what
pool	pool	pool
of	of	of
talent	talent	talent
am	am	am
I	i	I
gonna	gonna	gonna
pull	pull	pull
from	from	from
?	?	?
I	i	I
m	m	m
gonna	gonna	gonna
pull	pull	pull
from	from	from
the	the	the
established	establish	established
talent	talent	talent
that	that	that
has	has	ha
been	been	been
developed	develop	developed
by	by	by
the	the	the
white	white	white
infrastructure	infrastructur	infrastructure
,	,	,
which	which	which
is	is	is
largely	larg	largely
white	white	white
males	male	male
.	.	.
In	in	In
the	the	the
almost	almost	almost
post	post	post
-Obama	-obama	-Obama
era	era	era
,	,	,
Steele	steel	Steele
s	s	s
revelations	revel	revelation
almost	almost	almost
feel	feel	feel
quaint	quaint	quaint
.	.	.
After	after	After
the	the	the
post	post	post
-2012	-2012	-2012
election	elect	election
that	that	that
warned	warn	warned
the	the	the
GOP	gop	GOP
that	that	that
they	they	they
need	need	need
to	to	to
appeal	appeal	appeal
to	to	to
minority	minor	minority
voters	voter	voter
in	in	in
order	order	order
to	to	to
be	be	be
a	a	a
viable	viabl	viable
presidential	presidenti	presidential
party	parti	party
,	,	,
the	the	the
GOP	gop	GOP
has	has	ha
gone	gone	gone
even	even	even
more	more	more
anti	anti	anti
-minority	-minor	-minority
,	,	,
expressed	express	expressed
in	in	in
the	the	the
campaign	campaign	campaign
of	of	of
current	current	current
Republican	republican	Republican
front	front	front
runner	runner	runner
Donald	donald	Donald
Trump	trump	Trump
,	,	,
who	who	who
has	has	ha
egged	eg	egged
his	his	his
supporters	support	supporter
on	on	on
to	to	to
beat	beat	beat
up	up	up
black	black	black
protesters	protest	protester
while	while	while
himself	himself	himself
smearing	smear	smearing
the	the	the
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
movement	movement	movement
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
Wikimedia	wikimedia	Wikimedia
Commons	common	Commons
