Meanwhile	meanwhil	Meanwhile
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
keeps	keep	keep
funding	fund	funding
the	the	the
war	war	war
in	in	in
Syria	syria	Syria
that	that	that
drove	drove	drove
the	the	the
refugees	refuge	refugee
out	out	out
of	of	of
their	their	their
homes	home	home
in	in	in
the	the	the
first	first	first
place	place	place
Refugees	refuge	Refugees
receive	receiv	receive
a	a	a
plethora	plethora	plethora
of	of	of
services	servic	service
and	and	and
assistance	assist	assistance
when	when	when
they	they	they
reach	reach	reach
the	the	the
shores	shore	shore
of	of	of
the	the	the
America	america	America
,	,	,
according	accord	according
to	to	to
a	a	a
recently	recent	recently
released	releas	released
study	studi	study
.	.	.
The	the	The
United	unit	United
States	state	States
Conference	confer	Conference
of	of	of
Catholic	cathol	Catholic
Bishops	bishop	Bishops
posted	post	posted
a	a	a
PDF	pdf	PDF
on	on	on
their	their	their
website	websit	website
breaking	break	breaking
down	down	down
available	avail	available
assistance	assist	assistance
for	for	for
refugees	refuge	refugee
resettled	resettl	resettled
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.
The	the	The
information	inform	information
is	is	is
based	base	based
on	on	on
a	a	a
report	report	report
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Government	govern	Government
Accountability	account	Accountability
Office	offic	Office
.	.	.
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
initially	initi	initially
said	said	said
he	he	he
wanted	want	wanted
to	to	to
bring	bring	bring
in	in	in
10	10	10
,	,	,
000	000	000
Syrian	syrian	Syrian
refugees	refuge	refugee
.	.	.
The	the	The
White	white	White
House	hous	House
is	is	is
now	now	now
discussing	discuss	discussing
raising	rais	raising
that	that	that
from	from	from
70	70	70
,	,	,
000	000	000
this	this	this
year	year	year
to	to	to
85	85	85
,	,	,
000	000	000
in	in	in
2016	2016	2016
and	and	and
100	100	100
,	,	,
000	000	000
in	in	in
fiscal	fiscal	fiscal
2017	2017	2017
,	,	,
administration	administr	administration
officials	offici	official
told	told	told
Bloomberg	bloomberg	Bloomberg
News	news	News
.	.	.
The	the	The
numbers	number	number
of	of	of
refugees	refuge	refugee
appear	appear	appear
on	on	on
track	track	track
to	to	to
grow	grow	grow
and	and	and
each	each	each
refugee	refuge	refugee
is	is	is
offered	offer	offered
a	a	a
placement	placement	placement
grant	grant	grant
of	of	of
1	1	1
,	,	,
850	850	850
from	from	from
the	the	the
Department	depart	Department
of	of	of
State	state	State
.	.	.
This	this	This
includes	includ	includes
pre	pre	pre
-arrival	-arriv	-arrival
,	,	,
reception	recept	reception
,	,	,
initial	initi	initial
housing	hous	housing
food	food	food
,	,	,
clothing	cloth	clothing
,	,	,
referral	referr	referral
services	servic	service
and	and	and
social	social	social
programs	program	program
.	.	.
The	the	The
benefit	benefit	benefit
eligibility	elig	eligibility
are	are	are
for	for	for
those	those	those
refugees	refuge	refugee
who	who	who
have	have	have
been	been	been
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
for	for	for
up	up	up
to	to	to
three	three	three
months	month	month
.	.	.
Refugees	refuge	Refugees
needing	need	needing
cash	cash	cash
assistance	assist	assistance
can	can	can
get	get	get
it	it	it
through	through	through
Temporary	temporari	Temporary
Assistance	assist	Assistance
for	for	for
Needy	needi	Needy
Families	famili	Families
TANF	tanf	TANF
.	.	.
This	this	This
is	is	is
temporary	temporari	temporary
financial	financi	financial
assistance	assist	assistance
and	and	and
social	social	social
services	servic	service
for	for	for
those	those	those
eligible	elig	eligible
low	low	low
-income	-incom	-income
refugees	refuge	refugee
with	with	with
dependent	depend	dependent
children	children	child
.	.	.
Cash	cash	Cash
assistance	assist	assistance
for	for	for
refugees	refuge	refugee
who	who	who
do	do	do
not	not	not
qualify	qualifi	qualify
for	for	for
TANF	tanf	TANF
can	can	can
also	also	also
be	be	be
obtained	obtain	obtained
through	through	through
Refugee	refuge	Refugee
Cash	cash	Cash
Assistance	assist	Assistance
.	.	.
This	this	This
is	is	is
available	avail	available
for	for	for
those	those	those
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
for	for	for
up	up	up
to	to	to
8	8	8
months	month	month
.	.	.
Supplemental	supplement	Supplemental
Security	secur	Security
Income	incom	Income
SSI	ssi	SSI
is	is	is
also	also	also
an	an	an
option	option	option
for	for	for
incoming	incom	incoming
refugees	refuge	refugee
and	and	and
those	those	those
who	who	who
settled	settl	settled
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
for	for	for
up	up	up
to	to	to
nine	nine	nine
years	year	year
.	.	.
This	this	This
is	is	is
cash	cash	cash
is	is	is
cash	cash	cash
assistance	assist	assistance
for	for	for
those	those	those
low	low	low
-income	-incom	-income
individuals	individu	individual
who	who	who
may	may	may
be	be	be
elderly	elder	elderly
,	,	,
blind	blind	blind
,	,	,
or	or	or
disabled	disabl	disabled
.	.	.
Refugees	refuge	Refugees
who	who	who
ve	ve	ve
been	been	been
in	in	in
the	the	the
United	unit	United
States	state	States
up	up	up
to	to	to
seven	seven	seven
years	year	year
are	are	are
also	also	also
offered	offer	offered
medical	medic	medical
financial	financi	financial
assistance	assist	assistance
through	through	through
Medicaid	medicaid	Medicaid
as	as	a
well	well	well
as	as	a
through	through	through
the	the	the
State	state	State
Children	children	Children
s	s	s
Health	health	Health
Insurance	insur	Insurance
Program	program	Program
SCHIP	schip	SCHIP
.	.	.
