We	we	We
all	all	all
heard	heard	heard
the	the	the
reasons	reason	reason
why	whi	why
Republicans	republican	Republicans
,	,	,
mainly	main	mainly
Mitch	mitch	Mitch
McConnell	mcconnel	McConnell
,	,	,
swear	swear	swear
that	that	that
they	they	they
will	will	will
not	not	not
confirm	confirm	confirm
President	presid	President
Obama	obama	Obama
s	s	s
SCOTUS	scotus	SCOTUS
nominee	nomine	nominee
.	.	.

It	it	It
s	s	s
all	all	all
about	about	about
the	the	the
process	process	process
or	or	or
about	about	about
rules	rule	rule
that	that	that
don	don	don
t	t	t
actually	actual	actually
exist	exist	exist
.	.	.

That	that	That
s	s	s
what	what	what
Mitch	mitch	Mitch
keeps	keep	keep
saying	say	saying
anyway	anyway	anyway
.	.	.

It	it	It
turns	turn	turn
out	out	out
he	he	he
s	s	s
nothing	noth	nothing
but	but	but
a	a	a
damned	damn	damned
liar	liar	liar
,	,	,
and	and	and
the	the	the
hard	hard	hard
evidence	evid	evidence
is	is	is
in	in	in
the	the	the
video	video	video
below	below	below
.	.	.
Do	do	Do
you	you	you
remember	rememb	remember
what	what	what
Mitch	mitch	Mitch
has	has	ha
been	been	been
saying	say	saying
about	about	about
why	whi	why
he	he	he
s	s	s
blocking	block	blocking
the	the	the
nominee	nomine	nominee
?	?	?

It	it	It
s	s	s
up	up	up
to	to	to
the	the	the
next	next	next
elected	elect	elected
president	presid	president
to	to	to
appoint	appoint	appoint
a	a	a
replacement	replac	replacement
.	.	.

These	these	These
were	were	were
literally	liter	literally
his	his	his
exact	exact	exact
words	word	word
for	for	for
weeks	week	week
.	.	.

He	he	He
and	and	and
other	other	other
Republicans	republican	Republicans
claim	claim	claim
it	it	it
will	will	will
give	give	give
the	the	the
American	american	American
people	peopl	people
a	a	a
voice	voic	voice
by	by	by
voting	vote	voting
for	for	for
president	presid	president
,	,	,
allowing	allow	allowing
them	them	them
to	to	to
determine	determin	determine
what	what	what
side	side	side
gets	get	get
to	to	to
pick	pick	pick
a	a	a
replacement	replac	replacement
on	on	on
the	the	the
Supreme	suprem	Supreme
Court	court	Court
.	.	.
With	with	With
McConnell	mcconnel	McConnell
s	s	s
exact	exact	exact
words	word	word
in	in	in
mind	mind	mind
,	,	,
CNN	cnn	CNN
host	host	host
Dana	dana	Dana
Bash	bash	Bash
asked	ask	asked
Mitch	mitch	Mitch
if	if	if
Hillary	hillari	Hillary
or	or	or
Bernie	berni	Bernie
won	won	won
in	in	in
November	novemb	November
,	,	,
would	would	would
Republicans	republican	Republicans
then	then	then
concede	conced	concede
to	to	to
the	the	the
will	will	will
of	of	of
the	the	the
people	peopl	people
and	and	and
vote	vote	vote
on	on	on
and	and	and
or	or	or
confirm	confirm	confirm
Merrick	merrick	Merrick
Garland	garland	Garland
during	dure	during
the	the	the
final	final	final
months	month	month
of	of	of
the	the	the
Obama	obama	Obama
presidency	presid	presidency
?	?	?
The	the	The
context	context	context
is	is	is
obvious	obvious	obvious
.	.	.

If	if	If
Democrats	democrat	Democrats
retain	retain	retain
control	control	control
of	of	of
the	the	the
presidency	presid	presidency
and	and	and
the	the	the
nominee	nomine	nominee
was	was	wa
content	content	content
with	with	with
Garland	garland	Garland
,	,	,
then	then	then
the	the	the
people	peopl	people
have	have	have
spoken	spoken	spoken
and	and	and
a	a	a
Democratic	democrat	Democratic
nominee	nomine	nominee
should	should	should
get	get	get
a	a	a
hearing	hear	hearing
and	and	and
be	be	be
confirmed	confirm	confirmed
.	.	.

It	it	It
would	would	would
be	be	be
the	the	the
will	will	will
of	of	of
the	the	the
people	peopl	people
,	,	,
as	as	a
Mitch	mitch	Mitch
keeps	keep	keep
saying	say	saying
.	.	.
This	this	This
is	is	is
the	the	the
part	part	part
where	where	where
Mitch	mitch	Mitch
forgot	forgot	forgot
what	what	what
he	he	he
was	was	wa
doing	do	doing
and	and	and
accidentally	accident	accidentally
spoke	spoke	spoke
truthfully	truth	truthfully
.	.	.
Mitch	mitch	Mitch
s	s	s
answer	answer	answer
to	to	to
Dana	dana	Dana
was	was	wa
a	a	a
total	total	total
contradiction	contradict	contradiction
to	to	to
every	everi	every
reason	reason	reason
he	he	he
s	s	s
been	been	been
giving	give	giving
about	about	about
why	whi	why
he	he	he
is	is	is
holding	hold	holding
up	up	up
the	the	the
confirmation	confirm	confirmation
process	process	process
.	.	.

Mitch	mitch	Mitch
flat	flat	flat
out	out	out
said	said	said
that	that	that
Republicans	republican	Republicans
would	would	would
NEVER	never	NEVER
allow	allow	allow
President	presid	President
Obama	obama	Obama
s	s	s
nominee	nomine	nominee
to	to	to
be	be	be
placed	place	placed
on	on	on
the	the	the
Supreme	suprem	Supreme
Court	court	Court
,	,	,
even	even	even
if	if	if
Democrats	democrat	Democrats
won	won	won
the	the	the
presidential	presidenti	presidential
election	elect	election
in	in	in
November	novemb	November
.	.	.

He	he	He
literally	liter	literally
went	went	went
from	from	from
saying	say	saying
if	if	if
Democrats	democrat	Democrats
win	win	win
they	they	they
get	get	get
their	their	their
pick	pick	pick
,	,	,
to	to	to
saying	say	saying
even	even	even
if	if	if
they	they	they
won	won	won
Republicans	republican	Republicans
would	would	would
not	not	not
confirm	confirm	confirm
their	their	their
appointment	appoint	appointment
.	.	.

McConnell	mcconnel	McConnell
s	s	s
lame	lame	lame
excuse	excus	excuse
was	was	wa
that	that	that
the	the	the
NRA	nra	NRA
opposed	oppos	opposed
Garland	garland	Garland
.	.	.

Great	great	Great
.	.	.
.	.	.

Here	here	Here
we	we	we
go	go	go
with	with	with
the	the	the
NRA	nra	NRA
again	again	again
.	.	.
At	at	At
this	this	this
point	point	point
,	,	,
it	it	it
s	s	s
hard	hard	hard
to	to	to
say	say	say
if	if	if
this	this	this
is	is	is
a	a	a
personal	person	personal
grudge	grudg	grudge
McConnell	mcconnel	McConnell
has	has	ha
with	with	with
Obama	obama	Obama
,	,	,
or	or	or
if	if	if
this	this	this
is	is	is
really	realli	really
the	the	the
will	will	will
of	of	of
the	the	the
Republican	republican	Republican
establishment	establish	establishment
.	.	.

Mitch	mitch	Mitch
has	has	ha
been	been	been
working	work	working
very	veri	very
hard	hard	hard
for	for	for
8	8	8
long	long	long
years	year	year
to	to	to
sabotage	sabotag	sabotage
the	the	the
president	presid	president
while	while	while
Obama	obama	Obama
just	just	just
keeps	keep	keep
handing	hand	handing
him	him	him
defeat	defeat	defeat
after	after	after
defeat	defeat	defeat
.	.	.

Now	now	Now
,	,	,
Mitch	mitch	Mitch
s	s	s
irrationally	irrate	irrationally
racist	racist	racist
obsession	obsess	obsession
with	with	with
soiling	soil	soiling
the	the	the
legacy	legaci	legacy
of	of	of
our	our	our
first	first	first
black	black	black
president	presid	president
will	will	will
officially	offici	officially
extend	extend	extend
beyond	beyond	beyond
Obama	obama	Obama
s	s	s
second	second	second
term	term	term
in	in	in
office	offic	office
.	.	.
One	one	One
thing	thing	thing
s	s	s
for	for	for
sure	sure	sure
.	.	.

Mitch	mitch	Mitch
just	just	just
proved	prove	proved
what	what	what
a	a	a
total	total	total
liar	liar	liar
he	he	he
is	is	is
,	,	,
that	that	that
Republicans	republican	Republicans
do	do	do
not	not	not
actually	actual	actually
care	care	care
about	about	about
the	the	the
will	will	will
of	of	of
the	the	the
voters	voter	voter
,	,	,
and	and	and
that	that	that
nobody	nobodi	nobody
can	can	can
ever	ever	ever
trust	trust	trust
a	a	a
Republican	republican	Republican
for	for	for
any	ani	any
reason	reason	reason
.	.	.
Watch	watch	Watch
Mitch	mitch	Mitch
McConnel	mcconnel	McConnel
prove	prove	prove
what	what	what
a	a	a
liar	liar	liar
he	he	he
is	is	is
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture

