According	accord	According
to	to	to
Donald	donald	Donald
Trump	trump	Trump
,	,	,
he	he	he
didn	didn	didn
t	t	t
lose	lose	lose
in	in	in
the	the	the
Republican	republican	Republican
Iowa	iowa	Iowa
Caucus	caucus	Caucus
.	.	.
He	he	He
came	came	came
in	in	in
second	second	second
,	,	,
which	which	which
is	is	is
really	realli	really
the	the	the
same	same	same
thing	thing	thing
as	as	a
winning	win	winning
when	when	when
you	you	you
really	realli	really
think	think	think
about	about	about
it	it	it
.	.	.
Except	except	Except
it	it	it
s	s	s
not	not	not
.	.	.
However	howev	However
,	,	,
to	to	to
Trump	trump	Trump
s	s	s
fragile	fragil	fragile
ego	ego	ego
,	,	,
and	and	and
what	what	what
he	he	he
tells	tell	tell
himself	himself	himself
in	in	in
the	the	the
mirror	mirror	mirror
each	each	each
night	night	night
,	,	,
is	is	is
that	that	that
he	he	he
really	realli	really
won	won	won
,	,	,
because	becaus	because
Ted	ted	Ted
Cruz	cruz	Cruz
was	was	wa
a	a	a
meanie	meani	meanie
and	and	and
cheated	cheat	cheated
.	.	.
Now	now	Now
,	,	,
to	to	to
prepare	prepar	prepare
himself	himself	himself
for	for	for
loss	loss	loss
everywhere	everywher	everywhere
he	he	he
goes	goe	go
,	,	,
Trump	trump	Trump
has	has	ha
now	now	now
taken	taken	taken
to	to	to
telling	tell	telling
everyone	everyon	everyone
he	he	he
doesn	doesn	doesn
t	t	t
actually	actual	actually
have	have	have
to	to	to
win	win	win
a	a	a
state	state	state
.	.	.
In	in	In
this	this	this
case	case	case
,	,	,
New	new	New
Hampshire	hampshir	Hampshire
.	.	.
Someone	someon	Someone
should	should	should
probably	probabl	probably
let	let	let
Trump	trump	Trump
know	know	know
that	that	that
in	in	in
order	order	order
to	to	to
win	win	win
the	the	the
Republican	republican	Republican
Party	parti	Party
nomination	nomin	nomination
he	he	he
s	s	s
going	go	going
to	to	to
have	have	have
to	to	to
not	not	not
only	onli	only
win	win	win
states	state	state
,	,	,
but	but	but
win	win	win
a	a	a
lot	lot	lot
of	of	of
them	them	them
,	,	,
not	not	not
come	come	come
in	in	in
second	second	second
,	,	,
but	but	but
actually	actual	actually
,	,	,
in	in	in
all	all	all
legitimacy	legitimaci	legitimacy
,	,	,
win	win	win
.	.	.
However	howev	However
,	,	,
Trump	trump	Trump
being	be	being
Trump	trump	Trump
,	,	,
and	and	and
with	with	with
his	his	his
narcissistic	narcissist	narcissistic
personality	person	personality
disorder	disord	disorder
preventing	prevent	preventing
him	him	him
from	from	from
being	be	being
able	abl	able
to	to	to
wrap	wrap	wrap
his	his	his
giant	giant	giant
head	head	head
around	around	around
a	a	a
loss	loss	loss
,	,	,
even	even	even
losing	lose	losing
is	is	is
a	a	a
win	win	win
to	to	to
him	him	him
.	.	.
He	he	He
even	even	even
told	told	told
CNN	cnn	CNN
s	s	s
Jake	jake	Jake
Tapper	tapper	Tapper
on	on	on
State	state	State
of	of	of
the	the	the
Union	union	Union
I	i	I
want	want	want
to	to	to
win	win	win
New	new	New
Hampshire	hampshir	Hampshire
,	,	,
but	but	but
I	i	I
don	don	don
t	t	t
think	think	think
I	i	I
have	have	have
to	to	to
win	win	win
it	it	it
.	.	.
He	he	He
s	s	s
clearly	clear	clearly
preparing	prepar	preparing
himself	himself	himself
for	for	for
a	a	a
loss	loss	loss
,	,	,
despite	despit	despite
having	have	having
a	a	a
monster	monster	monster
lead	lead	lead
in	in	in
the	the	the
Granite	granit	Granite
State	state	State
,	,	,
but	but	but
after	after	after
Iowa	iowa	Iowa
,	,	,
he	he	he
s	s	s
probably	probabl	probably
thinking	think	thinking
all	all	all
bets	bet	bet
are	are	are
off	off	off
.	.	.
Donald	donald	Donald
Trump	trump	Trump
will	will	will
never	never	never
admit	admit	admit
to	to	to
