Donald	donald	Donald
Trump	trump	Trump
and	and	and
the	the	the
GOP	gop	GOP
appear	appear	appear
to	to	to
have	have	have
finally	final	finally
found	found	found
the	the	the
messaging	messag	messaging
that	that	that
they	they	they
are	are	are
using	use	using
to	to	to
sell	sell	sell
Trump	trump	Trump
s	s	s
flip	flip	flip
-flop	-flop	-flop
on	on	on
banning	ban	banning
Muslims	muslim	Muslims
from	from	from
entering	enter	entering
the	the	the
United	unit	United
States	state	States
.	.	.
During	dure	During
an	an	an
interview	interview	interview
on	on	on
MSNBC	msnbc	MSNBC
s	s	s
Meet	meet	Meet
the	the	the
Press	press	Press
Sunday	sunday	Sunday
morning	morn	morning
,	,	,
Trump	trump	Trump
told	told	told
the	the	the
Chuck	chuck	Chuck
Todd	todd	Todd
that	that	that
he	he	he
doesn	doesn	doesn
t	t	t
consider	consid	consider
his	his	his
recent	recent	recent
changes	chang	change
to	to	to
his	his	his
proposal	propos	proposal
to	to	to
ban	ban	ban
Muslims	muslim	Muslims
from	from	from
entering	enter	entering
the	the	the
United	unit	United
States	state	States
a	a	a
rollback	rollback	rollback
.	.	.
I	i	I
actually	actual	actually
don	don	don
t	t	t
think	think	think
it	it	it
s	s	s
a	a	a
rollback	rollback	rollback
.	.	.
In	in	In
fact	fact	fact
,	,	,
you	you	you
could	could	could
say	say	say
it	it	it
s	s	s
an	an	an
expansion	expans	expansion
.	.	.
I	i	I
m	m	m
looking	look	looking
now	now	now
at	at	at
territory	territori	territory
,	,	,
Trump	trump	Trump
told	told	told
Todd	todd	Todd
.	.	.
People	peopl	People
were	were	were
so	so	so
upset	upset	upset
when	when	when
I	i	I
used	use	used
the	the	the
word	word	word
Muslim	muslim	Muslim
.	.	.
Oh	oh	Oh
,	,	,
you	you	you
can	can	can
t	t	t
use	use	use
the	the	the
word	word	word
Muslim	muslim	Muslim
.	.	.
Remember	rememb	Remember
this	this	this
.	.	.
And	and	And
I	i	I
m	m	m
okay	okay	okay
with	with	with
that	that	that
,	,	,
because	becaus	because
I	i	I
m	m	m
talking	talk	talking
territory	territori	territory
instead	instead	instead
of	of	of
Muslim	muslim	Muslim
.	.	.
We	we	We
re	re	re
going	go	going
to	to	to
have	have	have
tough	tough	tough
standards	standard	standard
,	,	,
Trump	trump	Trump
went	went	went
on	on	on
to	to	to
say	say	say
.	.	.
And	and	And
if	if	if
a	a	a
person	person	person
can	can	can
t	t	t
prove	prove	prove
that	that	that
they	they	they
re	re	re
from	from	from
an	an	an
area	area	area
,	,	,
and	and	and
if	if	if
a	a	a
person	person	person
can	can	can
t	t	t
prove	prove	prove
what	what	what
they	they	they
have	have	have
to	to	to
be	be	be
able	abl	able
to	to	to
prove	prove	prove
,	,	,
they	they	they
re	re	re
not	not	not
coming	come	coming
into	into	into
this	this	this
country	countri	country
.	.	.
And	and	And
I	i	I
would	would	would
stop	stop	stop
the	the	the
Syrian	syrian	Syrian
migration	migrat	migration
and	and	and
a	a	a
Syrian	syrian	Syrian
from	from	from
coming	come	coming
into	into	into
this	this	this
country	countri	country
in	in	in
two	two	two
seconds	second	second
.	.	.
Let	let	Let
s	s	s
be	be	be
clear	clear	clear
,	,	,
Trump	trump	Trump
s	s	s
proposal	propos	proposal
is	is	is
a	a	a
rollback	rollback	rollback
.	.	.
His	his	His
initial	initi	initial
call	call	call
for	for	for
a	a	a
unilateral	unilater	unilateral
ban	ban	ban
on	on	on
Muslims	muslim	Muslims
entering	enter	entering
the	the	the
United	unit	United
States	state	States
is	is	is
both	both	both
incredibly	incred	incredibly
bigoted	bigot	bigoted
and	and	and
unconstitutional	unconstitut	unconstitutional
.	.	.
It	it	It
also	also	also
happens	happen	happens
to	to	to
be	be	be
impossible	imposs	impossible
to	to	to
enforce	enforc	enforce
and	and	and
would	would	would
severely	sever	severely
damage	damag	damage
the	the	the
United	unit	United
States	state	States
reputation	reput	reputation
.	.	.
Even	even	Even
if	if	if
Trump	trump	Trump
were	were	were
to	to	to
become	becom	become
president	presid	president
,	,	,
it	it	it
is	is	is
hard	hard	hard
to	to	to
see	see	see
how	how	how
such	such	such
a	a	a
proposal	propos	proposal
would	would	would
actually	actual	actually
be	be	be
implemented	implement	implemented
.	.	.
That	that	That
s	s	s
why	whi	why
this	this	this
rollbacked	rollback	rollbacked
version	version	version
of	of	of
his	his	his
proposal	propos	proposal
is	is	is
actually	actual	actually
far	far	far
worse	wors	worse
.	.	.
That	that	That
s	s	s
because	becaus	because
it	it	it
can	can	can
actually	actual	actually
be	be	be
implemented	implement	implemented
.	.	.
While	while	While
still	still	still
divisive	divis	divisive
among	among	among
the	the	the
GOP	gop	GOP
,	,	,
Trump	trump	Trump
would	would	would
have	have	have
far	far	far
more	more	more
support	support	support
for	for	for
his	his	his
modified	modifi	modified
approval	approv	approval
.	.	.
More	more	More
than	than	than
half	half	half
of	of	of
the	the	the
governors	governor	governor
in	in	in
the	the	the
United	unit	United
States	state	States
want	want	want
to	to	to
ban	ban	ban
Syrians	syrian	Syrians
from	from	from
entering	enter	entering
the	the	the
United	unit	United
States	state	States
as	as	a
of	of	of
last	last	last
year	year	year
.	.	.
There	there	There
are	are	are
even	even	even
a	a	a
few	few	few
Democrats	democrat	Democrats
who	who	who
would	would	would
jump	jump	jump
on	on	on
board	board	board
the	the	the
xenophobia	xenophobia	xenophobia
train	train	train
.	.	.
So	so	So
,	,	,
yes	yes	yes
this	this	this
is	is	is
a	a	a
rollback	rollback	rollback
.	.	.
It	it	It
s	s	s
also	also	also
an	an	an
expansion	expans	expansion
as	as	a
Trump	trump	Trump
refers	refer	refers
to	to	to
it	it	it
,	,	,
in	in	in
the	the	the
sense	sens	sense
that	that	that
it	it	it
is	is	is
something	someth	something
that	that	that
could	could	could
actually	actual	actually
become	becom	become
policy	polici	policy
.	.	.
https://www.youtube.com/watch?v=bhpwEO7b7eoFeatured	https://www.youtube.com/watch?v=bhpweo7b7eofeatur	https://www.youtube.com/watch?v=bhpwEO7b7eoFeatured
image	imag	image
via	via	via
video	video	video
screenshot	screenshot	screenshot
