Radical	radic	Radical
Democratic	democrat	Democratic
Chair	chair	Chair
Tom	tom	Tom
Perez	perez	Perez
was	was	wa
being	be	being
interviewed	interview	interviewed
by	by	by
MSNBC	msnbc	MSNBC
s	s	s
Joy	joy	Joy
Reid	reid	Reid
about	about	about
what	what	what
Democrats	democrat	Democrats
need	need	need
to	to	to
do	do	do
to	to	to
ensure	ensur	ensure
they	they	they
win	win	win
more	more	more
seats	seat	seat
in	in	in
Congress	congress	Congress
.	.	.

Joy	joy	Joy
Reid	reid	Reid
asked	ask	asked
her	her	her
viewers	viewer	viewer
,	,	,
How	how	How
do	do	do
Democrats	democrat	Democrats
turn	turn	turn
enthusiasm	enthusiasm	enthusiasm
and	and	and
better	better	better
vibes	vibe	vibe
,	,	,
along	along	along
with	with	with
real	real	real
anger	anger	anger
at	at	at
Donald	donald	Donald
Trump	trump	Trump
into	into	into
the	the	the
only	onli	only
thing	thing	thing
that	that	that
matters	matter	matter
,	,	,
winning	win	winning
elections	elect	election
?	?	?

Reid	reid	Reid
then	then	then
turned	turn	turned
to	to	to
DNC	dnc	DNC
Chair	chair	Chair
Tom	tom	Tom
Perez	perez	Perez
for	for	for
answers	answer	answer
.	.	.

As	as	As
Perez	perez	Perez
started	start	started
to	to	to
speak	speak	speak
from	from	from
a	a	a
location	locat	location
in	in	in
Portland	portland	Portland
Oregon	oregon	Oregon
,	,	,
where	where	where
he	he	he
was	was	wa
appearing	appear	appearing
with	with	with
Bernie	berni	Bernie
Sanders	sander	Sanders
for	for	for
an	an	an
event	event	event
,	,	,
viewers	viewer	viewer
can	can	can
see	see	see
people	peopl	people
in	in	in
the	the	the
background	background	background
setting	set	setting
up	up	up
for	for	for
an	an	an
apparent	appar	apparent
event	event	event
.	.	.

Only	onli	Only
Democrats	democrat	Democrats
would	would	would
have	have	have
people	peopl	people
setting	set	setting
up	up	up
their	their	their
stage	stage	stage
who	who	who
have	have	have
absolutely	absolut	absolutely
no	no	no
respect	respect	respect
for	for	for
our	our	our
American	american	American
flag	flag	flag
.	.	.
Watch	watch	Watch
the	the	the
people	peopl	people
tasked	task	tasked
with	with	with
setting	set	setting
up	up	up
the	the	the
Americans	american	Americans
flags	flag	flag
,	,	,
as	as	a
they	they	they
drag	drag	drag
the	the	the
flag	flag	flag
on	on	on
right	right	right
side	side	side
of	of	of
the	the	the
screen	screen	screen
across	across	across
the	the	the
ground	ground	ground
before	befor	before
attempting	attempt	attempting
to	to	to
set	set	set
it	it	it
up	up	up
.	.	.

As	as	As
the	the	the
interview	interview	interview
continues	continu	continues
,	,	,
it	it	it
s	s	s
only	onli	only
fitting	fit	fitting
that	that	that
while	while	while
Perez	perez	Perez
is	is	is
talking	talk	talking
about	about	about
the	the	the
email	email	email
list	list	list
Hillary	hillari	Hillary
Clinton	clinton	Clinton
gave	gave	gave
the	the	the
DNC	dnc	DNC
from	from	from
her	her	her
campaign	campaign	campaign
,	,	,
that	that	that
our	our	our
American	american	American
flag	flag	flag
after	after	after
being	be	being
dragged	drag	dragged
across	across	across
the	the	the
ground	ground	ground
would	would	would
fall	fall	fall
onto	onto	onto
the	the	the
stage	stage	stage
.	.	.

Perez	perez	Perez
goes	goe	go
on	on	on
to	to	to
discuss	discuss	discus
Democratic	democrat	Democratic
values	valu	value
.	.	.

Sorry	sorri	Sorry
Tom	tom	Tom
,	,	,
but	but	but
for	for	for
most	most	most
of	of	of
us	us	u
who	who	who
ve	ve	ve
been	been	been
witnessing	wit	witnessing
the	the	the
childish	childish	childish
,	,	,
violent	violent	violent
and	and	and
unAmerican	unamerican	unAmerican
behavior	behavior	behavior
of	of	of
Democrats	democrat	Democrats
following	follow	following
Hillary	hillari	Hillary
s	s	s
loss	loss	loss
to	to	to
President	presid	President
Trump	trump	Trump
,	,	,
we	we	we
all	all	all
became	becam	became
keenly	keen	keenly
aware	awar	aware
of	of	of
your	your	your
Democratic	democrat	Democratic
values	valu	value
.	.	.

When	when	When
our	our	our
American	american	American
flag	flag	flag
fell	fell	fell
to	to	to
the	the	the
ground	ground	ground
,	,	,
almost	almost	almost
on	on	on
cue	cue	cue
while	while	while
mentioning	mention	mentioning
Hillary	hillari	Hillary
s	s	s
name	name	name
that	that	that
pretty	pretti	pretty
much	much	much
summed	sum	summed
up	up	up
your	your	your
party	parti	party
.	.	.
Here	here	Here
s	s	s
the	the	the
Perez	perez	Perez
interview	interview	interview
in	in	in
its	it	it
entirety	entireti	entirety
.	.	.

The	the	The
Tom	tom	Tom
