On	on	On
December	decemb	December
26	26	26
,	,	,
the	the	the
father	father	father
of	of	of
19	19	19
-year-old	-year-old	-year-old
Quintonio	quintonio	Quintonio
LeGrier	legrier	LeGrier
called	call	called
the	the	the
police	polic	police
in	in	in
hopes	hope	hope
that	that	that
they	they	they
would	would	would
help	help	help
him	him	him
deal	deal	deal
with	with	with
a	a	a
situation	situat	situation
he	he	he
felt	felt	felt
unqualified	unqualifi	unqualified
to	to	to
handle	handl	handle
.	.	.
During	dure	During
an	an	an
interview	interview	interview
with	with	with
CNN	cnn	CNN
,	,	,
the	the	the
teen	teen	teen
s	s	s
father	father	father
said	said	said
that	that	that
after	after	after
hearing	hear	hearing
his	his	his
son	son	son
bang	bang	bang
on	on	on
the	the	the
door	door	door
,	,	,
he	he	he
grabbed	grab	grabbed
the	the	the
phone	phone	phone
and	and	and
called	call	called
the	the	the
police	polic	police
,	,	,
because	becaus	because
I	i	I
wasn	wasn	wasn
t	t	t
equipped	equip	equipped
with	with	with
being	be	being
able	abl	able
to	to	to
understand	understand	understand
how	how	how
to	to	to
deal	deal	deal
with	with	with
my	my	my
angry	angri	angry
son	son	son
at	at	at
that	that	that
time	time	time
.	.	.

The	the	The
grieving	griev	grieving
father	father	father
went	went	went
on	on	on
to	to	to
say	say	say
,	,	,
I	i	I
figured	figur	figured
the	the	the
police	polic	police
would	would	would
know	know	know
better	better	better
how	how	how
to	to	to
handle	handl	handle
an	an	an
angry	angri	angry
situation	situat	situation
my	my	my
teenage	teenag	teenage
son	son	son
was	was	wa
going	go	going
through	through	through
.	.	.

During	dure	During
the	the	the
call	call	call
,	,	,
LeGrier	legrier	LeGrier
described	describ	described
his	his	his
son	son	son
s	s	s
behavior	behavior	behavior
as	as	a
a	a	a
little	littl	little
bit	bit	bit
agitated	agit	agitated
.	.	.

Far	far	Far
from	from	from
assisting	assist	assisting
LeGrier	legrier	LeGrier
s	s	s
family	famili	family
,	,	,
Chicago	chicago	Chicago
police	polic	police
shot	shot	shot
and	and	and
killed	kill	killed
both	both	both
the	the	the
teen	teen	teen
and	and	and
a	a	a
neighbor	neighbor	neighbor
,	,	,
a	a	a
55	55	55
-year-old	-year-old	-year-old
grandmother	grandmoth	grandmother
whose	whose	whose
name	name	name
was	was	wa
Bettie	betti	Bettie
Jones	jone	Jones
.	.	.
Contrary	contrari	Contrary
to	to	to
police	polic	police
statements	statement	statement
,	,	,
we	we	we
know	know	know
from	from	from
witness	wit	witness
statements	statement	statement
that	that	that
the	the	the
officer	offic	officer
who	who	who
killed	kill	killed
Quintonio	quintonio	Quintonio
LeGrier	legrier	LeGrier
opened	open	opened
fire	fire	fire
from	from	from
outside	outsid	outside
the	the	the
house	hous	house
,	,	,
shooting	shoot	shooting
him	him	him
seven	seven	seven
times	time	time
,	,	,
from	from	from
a	a	a
distance	distanc	distance
of	of	of
at	at	at
least	least	least
20	20	20
feet	feet	foot
away	away	away
.	.	.

We	we	We
also	also	also
know	know	know
police	polic	police
made	made	made
no	no	no
attempt	attempt	attempt
to	to	to
talk	talk	talk
to	to	to
the	the	the
teen	teen	teen
.	.	.

Instead	instead	Instead
,	,	,
witnesses	wit	witness
say	say	say
they	they	they
opened	open	opened
fire	fire	fire
right	right	right
away	away	away
.	.	.

LeGrier	legrier	LeGrier
s	s	s
father	father	father
was	was	wa
still	still	still
upstairs	upstair	upstairs
when	when	when
his	his	his
son	son	son
was	was	wa
killed	kill	killed
.	.	.

His	his	His
parents	parent	parent
report	report	report
that	that	that
there	there	there
are	are	are
bullet	bullet	bullet
holes	hole	hole
in	in	in
the	the	the
front	front	front
door	door	door
of	of	of
the	the	the
family	famili	family
s	s	s
home	home	home
.	.	.
The	the	The
officer	offic	officer
who	who	who
pulled	pull	pulled
trigger	trigger	trigger
,	,	,
described	describ	described
as	as	a
a	a	a
former	former	former
marine	marin	marine
in	in	in
his	his	his
early	earli	early
twenties	twenti	twenty
,	,	,
whose	whose	whose
name	name	name
has	has	ha
not	not	not
been	been	been
released	releas	released
to	to	to
the	the	the
media	media	medium
,	,	,
reportedly	report	reportedly
said	said	said
,	,	,
F	f	F
,	,	,
no	no	no
,	,	,
no	no	no
,	,	,
no	no	no
.	.	.

I	i	I
thought	thought	thought
he	he	he
was	was	wa
lunging	lung	lunging
at	at	at
me	me	me
with	with	with
the	the	the
baseball	basebal	baseball
bat	bat	bat
.	.	.

A	a	A
neighbor	neighbor	neighbor
who	who	who
spoke	spoke	spoke
to	to	to
Mother	mother	Mother
Jones	jone	Jones
,	,	,
identified	identifi	identified
as	as	a
DeSean	desean	DeSean
,	,	,
also	also	also
witnessed	wit	witnessed
the	the	the
murder	murder	murder
of	of	of
LeGrier	legrier	LeGrier
s	s	s
neighbor	neighbor	neighbor
,	,	,
Bettie	betti	Bettie
Jones	jone	Jones
.	.	.
One	one	One
of	of	of
the	the	the
officers	offic	officer
walked	walk	walked
up	up	up
the	the	the
stairs	stair	stair
and	and	and
knocked	knock	knocked
.	.	.

Then	then	Then
he	he	he
ran	ran	ran
back	back	back
to	to	to
the	the	the
sidewalk	sidewalk	sidewalk
and	and	and
drew	drew	drew
his	his	his
gun	gun	gun
like	like	like
he	he	he
was	was	wa
in	in	in
position	posit	position
to	to	to
shoot	shoot	shoot
.	.	.

The	the	The
officer	offic	officer
didn	didn	didn
t	t	t
say	say	say
anything	anyth	anything
when	when	when
he	he	he
knocked	knock	knocked
on	on	on
the	the	the
door	door	door
,	,	,
DeSean	desean	DeSean
said	said	said
.	.	.

Jones	jone	Jones
opened	open	opened
the	the	the
door	door	door
a	a	a
few	few	few
minutes	minut	minute
later	later	later
,	,	,
he	he	he
recalled	recal	recalled
.	.	.

When	when	When
Jones	jone	Jones
opened	open	opened
that	that	that
door	door	door
she	she	she
was	was	wa
like	like	like
,	,	,
Whoa	whoa	Whoa
,	,	,
whoa	whoa	whoa
,	,	,
whoa	whoa	whoa
!	!	!

Like	like	Like
,	,	,
Slow	slow	Slow
down	down	down
wait	wait	wait
,	,	,
wait	wait	wait
,	,	,
wait	wait	wait
!	!	!

That	that	That
s	s	s
what	what	what
she	she	she
meant	meant	meant
.	.	.

He	he	He
said	said	said
there	there	there
had	had	had
been	been	been
15	15	15
or	or	or
20	20	20
seconds	second	second
between	between	between
when	when	when
Jones	jone	Jones
opened	open	opened
the	the	the
door	door	door
and	and	and
when	when	when
the	the	the
officer	offic	officer
opened	open	opened
fire	fire	fire
.	.	.
Police	polic	Police
have	have	have
referred	refer	referred
to	to	to
this	this	this
shooting	shoot	shooting
as	as	a
an	an	an
accident	accid	accident
.	.	.

It	it	It
s	s	s
clear	clear	clear
from	from	from
witness	wit	witness
statements	statement	statement
that	that	that
there	there	there
was	was	wa
nothing	noth	nothing
accidental	accident	accidental
about	about	about
it	it	it
.	.	.
The	the	The
police	polic	police
knocked	knock	knocked
on	on	on
her	her	her
door	door	door
.	.	.

Waited	wait	Waited
for	for	for
her	her	her
to	to	to
open	open	open
,	,	,
then	then	then
immediately	immedi	immediately
shot	shot	shot
her	her	her
dead	dead	dead
.	.	.
According	accord	According
to	to	to
the	the	the
Chicago	chicago	Chicago
Sun	sun	Sun
-Times	-time	-Times
,	,	,
Larry	larri	Larry
Rogers	roger	Rogers
Jr	jr	Jr
.	.	.
,	,	,
an	an	an
attorney	attorney	attorney
for	for	for
the	the	the
Jones	jone	Jones
family	famili	family
,	,	,
said	said	said
police	polic	police
need	need	need
to	to	to
be	be	be
held	held	held
accountable	account	accountable
for	for	for
how	how	how
they	they	they
treated	treat	treated
Jones	jone	Jones
daughter	daughter	daughter
.	.	.

The	the	The
insensitivity	insensit	insensitivity
that	that	that
was	was	wa
shown	shown	shown
by	by	by
the	the	the
police	polic	police
after	after	after
the	the	the
shooting	shoot	shooting
occurred	occur	occurred
is	is	is
of	of	of
extreme	extrem	extreme
concern	concern	concern
for	for	for
the	the	the
family	famili	family
.	.	.

One	one	One
of	of	of
the	the	the
daughters	daughter	daughter
asked	ask	asked
one	one	one
of	of	of
the	the	the
police	polic	police
officers	offic	officer
,	,	,
Why	whi	Why
did	did	did
you	you	you
shoot	shoot	shoot
my	my	my
mother	mother	mother
?	?	?

His	his	His
response	respons	response
was	was	wa
Your	your	Your
mother	mother	mother
s	s	s
dead	dead	dead
.	.	.

Get	get	Get
over	over	over
it	it	it
,	,	,
Rogers	roger	Rogers
said	said	said
Sunday	sunday	Sunday
.	.	.

You	you	You
know	know	know
what	what	what
s	s	s
insensitive	insensit	insensitive
?	?	?

said	said	said
attorney	attorney	attorney
Sam	sam	Sam
Adam	adam	Adam
Jr	jr	Jr
.	.	.
,	,	,
who	who	who
also	also	also
represents	repres	represents
the	the	the
Jones	jone	Jones
family	famili	family
,	,	,
gesturing	gestur	gesturing
to	to	to
the	the	the
presence	presenc	presence
of	of	of
Jones	jone	Jones
two	two	two
daughters	daughter	daughter
,	,	,
LaToya	latoya	LaToya
and	and	and
LaTarsha	latarsha	LaTarsha
Jones	jone	Jones
.	.	.

They	they	They
could	could	could
at	at	at
least	least	least
send	send	send
someone	someon	someone
to	to	to
clean	clean	clean
up	up	up
their	their	their
mother	mother	mother
s	s	s
blood	blood	blood
the	the	the
day	day	day
after	after	after
Christmas	christma	Christmas
.	.	.

When	when	When
the	the	the
doorbell	doorbel	doorbell
rang	rang	rang
,	,	,
she	she	she
answered	answer	answered
the	the	the
doorbell	doorbel	doorbell
and	and	and
shortly	short	shortly
after	after	after
that	that	that
she	she	she
was	was	wa
shot	shot	shot
to	to	to
death	death	death
,	,	,
Adam	adam	Adam
said	said	said
.	.	.
No	no	No
attempt	attempt	attempt
was	was	wa
ever	ever	ever
made	made	made
by	by	by
police	polic	police
or	or	or
rescue	rescu	rescue
workers	worker	worker
to	to	to
provide	provid	provide
medical	medic	medical
attention	attent	attention
to	to	to
the	the	the
two	two	two
victims	victim	victim
.	.	.
During	dure	During
an	an	an
episode	episod	episode
of	of	of
The	the	The
Young	young	Young
Turks	turk	Turks
,	,	,
published	publish	published
on	on	on
December	decemb	December
31	31	31
,	,	,
host	host	host
Cenk	cenk	Cenk
Uygur	uygur	Uygur
expressed	express	expressed
outrage	outrag	outrage
over	over	over
the	the	the
killing	kill	killing
and	and	and
the	the	the
apathy	apathi	apathy
of	of	of
white	white	white
Americans	american	Americans
,	,	,
when	when	when
it	it	it
comes	come	come
to	to	to
brutal	brutal	brutal
,	,	,
officer	offic	officer
-involved	-involv	-involved
killings	kill	killing
such	such	such
as	as	a
this	this	this
one	one	one
.	.	.
Watch	watch	Watch
the	the	the
video	video	video
here	here	here
,	,	,
courtesy	courtesi	courtesy
of	of	of
The	the	The
Young	young	Young
Turks	turk	Turks
on	on	on
Facebook	facebook	Facebook
.	.	.

!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
fjs	fjs	fjs
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
