Alex	alex	Alex
Roubian	roubian	Roubian
,	,	,
head	head	head
of	of	of
the	the	the
New	new	New
Jersey	jersey	Jersey
2nd	2nd	2nd
Amendment	amend	Amendment
Society	societi	Society
goes	goe	go
undercover	undercov	undercover
to	to	to
expose	expos	expose
the	the	the
truth	truth	truth
about	about	about
how	how	how
the	the	the
state	state	state
of	of	of
New	new	New
Jersey	jersey	Jersey
makes	make	make
it	it	it
almost	almost	almost
impossible	imposs	impossible
to	to	to
obtain	obtain	obtain
a	a	a
gun	gun	gun
permit	permit	permit
.	.	.

Here	here	Here
,	,	,
he	he	he
explains	explain	explains
to	to	to
New	new	New
Jersey	jersey	Jersey
101	101	101
.	.	.
5	5	5
radio	radio	radio
host	host	host
why	whi	why
he	he	he
made	made	made
the	the	the
video	video	video
and	and	and
what	what	what
he	he	he
found	found	found
Here	here	Here
is	is	is
the	the	the
actual	actual	actual
undercover	undercov	undercover
footage	footag	footage
The	the	The
group	group	group
s	s	s
president	presid	president
,	,	,
Alexander	alexand	Alexander
P	p	P
.	.	.

Roubian	roubian	Roubian
,	,	,
said	said	said
on	on	on
the	the	the
New	new	New
Jersey	jersey	Jersey
101	101	101
.	.	.
5	5	5
radio	radio	radio
show	show	show
Tuesday	tuesday	Tuesday
morning	morn	morning
he	he	he
s	s	s
distributing	distribut	distributing
an	an	an
undercover	undercov	undercover
video	video	video
each	each	each
day	day	day
this	this	this
week	week	week
exposing	expos	exposing
how	how	how
difficult	difficult	difficult
it	it	it
is	is	is
to	to	to
apply	appli	apply
for	for	for
a	a	a
gun	gun	gun
permit	permit	permit
.	.	.

The	the	The
latest	latest	latest
video	video	video
is	is	is
the	the	the
raw	raw	raw
,	,	,
uncut	uncut	uncut
footage	footag	footage
that	that	that
shows	show	show
not	not	not
only	onli	only
the	the	the
sexism	sexism	sexism
which	which	which
has	has	ha
been	been	been
occurring	occur	occurring
,	,	,
but	but	but
also	also	also
the	the	the
discrimination	discrimin	discrimination
against	against	against
the	the	the
disabled	disabl	disabled
,	,	,
discrimination	discrimin	discrimination
against	against	against
the	the	the
young	young	young
,	,	,
discrimination	discrimin	discrimination
against	against	against
the	the	the
old	old	old
,	,	,
where	where	where
a	a	a
police	polic	police
officer	offic	officer
arbitrarily	arbitrarili	arbitrarily
states	state	state
that	that	that
he	he	he
wants	want	want
to	to	to
deny	deni	deny
people	peopl	people
and	and	and
he	he	he
is	is	is
denying	deni	denying
people	peopl	people
because	becaus	because
of	of	of
his	his	his
feelings	feel	feeling
.	.	.

Not	not	Not
because	becaus	because
of	of	of
anything	anyth	anything
else	els	else
except	except	except
for	for	for
his	his	his
feelings	feel	feeling
,	,	,
Roubian	roubian	Roubian
said	said	said
.	.	.
He	he	He
gave	gave	gave
the	the	the
example	exampl	example
of	of	of
Chris	chris	Chris
Garey	garey	Garey
,	,	,
Detective	detect	Detective
Sergeant	sergeant	Sergeant
not	not	not
wanting	want	wanting
to	to	to
give	give	give
a	a	a
petite	petit	petite
woman	woman	woman
a	a	a
gun	gun	gun
because	becaus	because
he	he	he
thinks	think	think
she	she	she
might	might	might
not	not	not
be	be	be
able	abl	able
to	to	to
handle	handl	handle
it	it	it
.	.	.

This	this	This
has	has	ha
been	been	been
going	go	going
on	on	on
for	for	for
years	year	year
,	,	,
Roubian	roubian	Roubian
said	said	said
.	.	.

This	this	This
is	is	is
no	no	no
secret	secret	secret
.	.	.

What	what	What
we	we	we
re	re	re
doing	do	doing
is	is	is
documenting	document	documenting
it	it	it
.	.	.

According	accord	According
to	to	to
Roubian	roubian	Roubian
,	,	,
the	the	the
discrimination	discrimin	discrimination
is	is	is
allowed	allow	allowed
to	to	to
happen	happen	happen
because	becaus	because
it	it	it
s	s	s
done	done	done
by	by	by
the	the	the
government	govern	government
,	,	,
but	but	but
if	if	if
ordinary	ordinari	ordinary
citizens	citizen	citizen
were	were	were
to	to	to
discriminate	discrimin	discriminate
like	like	like
this	this	this
,	,	,
there	there	there
would	would	would
be	be	be
consequences	consequ	consequence
.	.	.

He	he	He
s	s	s
asking	ask	asking
people	peopl	people
to	to	to
watch	watch	watch
the	the	the
videos	video	video
and	and	and
to	to	to
hold	hold	hold
Gov	gov	Gov
.	.	.

Chris	chris	Chris
Christie	christi	Christie
and	and	and
New	new	New
Jersey	jersey	Jersey
s	s	s
police	polic	police
departments	depart	department
accountable	account	accountable
by	by	by
asking	ask	asking
them	them	them
whether	whether	whether
they	they	they
condone	condon	condone
or	or	or
condemn	condemn	condemn
this	this	this
type	type	type
of	of	of
conduct	conduct	conduct
.	.	.
Roubian	roubian	Roubian
also	also	also
called	call	called
criticisms	critic	criticism
of	of	of
private	privat	private
,	,	,
home	home	home
gun	gun	gun
shops	shop	shop
fear	fear	fear
-mongering	-monger	-mongering
at	at	at
its	it	it
best	best	best
.	.	.

He	he	He
noted	note	noted
that	that	that
in	in	in
45	45	45
other	other	other
states	state	state
police	polic	police
have	have	have
no	no	no
interaction	interact	interaction
with	with	with
people	peopl	people
applying	appli	applying
for	for	for
gun	gun	gun
permits	permit	permit
.	.	.

Instead	instead	Instead
,	,	,
your	your	your
background	background	background
check	check	check
is	is	is
executed	execut	executed
by	by	by
a	a	a
gun	gun	gun
store	store	store
.	.	.

This	this	This
isn	isn	isn
t	t	t
about	about	about
being	be	being
pro	pro	pro
-cop	-cop	-cop
anti	anti	anti
-cop	-cop	-cop
.	.	.

It	it	It
s	s	s
about	about	about
the	the	the
system	system	system
,	,	,
Roubian	roubian	Roubian
said	said	said
.	.	.
Roubian	roubian	Roubian
and	and	and
I	i	I
stand	stand	stand
as	as	a
supporters	support	supporter
of	of	of
home	home	home
gun	gun	gun
shops	shop	shop
,	,	,
and	and	and
agreed	agre	agreed
that	that	that
they	they	they
should	should	should
be	be	be
allowed	allow	allowed
to	to	to
exist	exist	exist
.	.	.

After	after	After
all	all	all
,	,	,
there	there	there
isn	isn	isn
t	t	t
any	ani	any
documented	document	documented
case	case	case
of	of	of
an	an	an
issue	issu	issue
with	with	with
these	these	these
federally	feder	federally
permitted	permit	permitted
stores	store	store
.	.	.
Interestingly	interest	Interestingly
enough	enough	enough
,	,	,
near	near	near
the	the	the
end	end	end
of	of	of
the	the	the
video	video	video
,	,	,
the	the	the
police	polic	police
officer	offic	officer
featured	featur	featured
in	in	in
this	this	this
video	video	video
admits	admit	admits
he	he	he
