What	what	What
in	in	in
the	the	the
world	world	world
is	is	is
wrong	wrong	wrong
with	with	with
these	these	these
press	press	press
people	peopl	people
at	at	at
the	the	the
State	state	State
Department	depart	Department
!	!	!

Is	is	Is
the	the	the
guy	guy	guy
asking	ask	asking
the	the	the
question	question	question
really	realli	really
serious	serious	serious
when	when	when
he	he	he
asks	ask	asks
the	the	the
most	most	most
idiotic	idiot	idiotic
question	question	question
about	about	about
the	the	the
timing	time	timing
of	of	of
the	the	the
announcements	announc	announcement
over	over	over
the	the	the
release	releas	release
and	and	and
then	then	then
death	death	death
of	of	of
Otto	otto	Otto
Warmbier	warmbier	Warmbier
.	.	.

We	we	We
wish	wish	wish
we	we	we
knew	knew	knew
the	the	the
name	name	name
of	of	of
the	the	the
jackhole	jackhol	jackhole
reporter	report	reporter
who	who	who
asked	ask	asked
the	the	the
question	question	question
!	!	!

Listen	listen	Listen
to	to	to
this	this	this
condescending	condescend	condescending
jerk	jerk	jerk
THE	the	THE
STATE	state	STATE
DEPARTMENT	depart	DEPARTMENT
did	did	did
release	releas	release
a	a	a
statement	statement	statement
when	when	when
Warmbier	warmbier	Warmbier
was	was	wa
released	releas	released
and	and	and
when	when	when
he	he	he
passed	pass	passed
away	away	away
.	.	.

So	so	So
the	the	the
question	question	question
is	is	is
just	just	just
the	the	the
nasty	nasti	nasty
press	press	press
being	be	being
nasty	nasti	nasty
.	.	.
UPON	upon	UPON
HIS	his	HIS
RELEASE	releas	RELEASE
PRESS	press	PRESS
STATEMENT	statement	STATEMENT
Press	press	Press
Statement	statement	Statement
Rex	rex	Rex
W	w	W
.	.	.

Tillerson	tillerson	Tillerson
Secretary	secretari	Secretary
of	of	of
State	state	State
Washington	washington	Washington
,	,	,
DC	dc	DC
June	june	June
13	13	13
,	,	,
2017At	2017at	2017At
the	the	the
direction	direct	direction
of	of	of
the	the	the
President	presid	President
,	,	,
the	the	the
Department	depart	Department
of	of	of
State	state	State
has	has	ha
secured	secur	secured
the	the	the
release	releas	release
of	of	of
Otto	otto	Otto
Warmbier	warmbier	Warmbier
from	from	from
North	north	North
Korea	korea	Korea
.	.	.

Mr	mr	Mr
.	.	.
Warmbier	warmbier	Warmbier
is	is	is
en	en	en
route	rout	route
to	to	to
the	the	the
United	unit	United
States	state	States
,	,	,
where	where	where
he	he	he
will	will	will
be	be	be
reunited	reunit	reunited
with	with	with
his	his	his
family	famili	family
.	.	.

The	the	The
Department	depart	Department
of	of	of
State	state	State
continues	continu	continues
to	to	to
have	have	have
discussions	discuss	discussion
with	with	with
the	the	the
DPRK	dprk	DPRK
regarding	regard	regarding
three	three	three
other	other	other
U	u	U
.	.	.
S	s	S
.	.	.
citizens	citizen	citizen
reported	report	reported
detained	detain	detained
.	.	.
Out	out	Out
of	of	of
respect	respect	respect
for	for	for
the	the	the
privacy	privaci	privacy
of	of	of
Mr	mr	Mr
.	.	.
Warmbier	warmbier	Warmbier
and	and	and
his	his	his
family	famili	family
,	,	,
we	we	we
have	have	have
no	no	no
further	further	further
comment	comment	comment
on	on	on
Mr	mr	Mr
.	.	.
Warmbier	warmbier	Warmbier
.	.	.
UPON	upon	UPON
HIS	his	HIS
PASSING	pass	PASSING
PRESS	press	PRESS
STATEMENT	statement	STATEMENT
Press	press	Press
Statement	statement	Statement
Rex	rex	Rex
W	w	W
.	.	.

Tillerson	tillerson	Tillerson
Secretary	secretari	Secretary
of	of	of
State	state	State
Washington	washington	Washington
,	,	,
DC	dc	DC
June	june	June
19	19	19
,	,	,
2017Today	2017today	2017Today
we	we	we
received	receiv	received
with	with	with
deep	deep	deep
sadness	sad	sadness
the	the	the
news	news	news
that	that	that
Otto	otto	Otto
Warmbier	warmbier	Warmbier
has	has	ha
passed	pass	passed
away	away	away
.	.	.
On	on	On
behalf	behalf	behalf
of	of	of
the	the	the
entire	entir	entire
State	state	State
Department	depart	Department
and	and	and
the	the	the
United	unit	United
States	state	States
government	govern	government
,	,	,
I	i	I
extend	extend	extend
my	my	my
condolences	condol	condolence
to	to	to
the	the	the
Warmbier	warmbier	Warmbier
family	famili	family
,	,	,
and	and	and
offer	offer	offer
my	my	my
prayers	prayer	prayer
as	as	a
they	they	they
enter	enter	enter
a	a	a
time	time	time
of	of	of
grief	grief	grief
no	no	no
parent	parent	parent
should	should	should
ever	ever	ever
know	know	know
.	.	.
We	we	We
hold	hold	hold
North	north	North
Korea	korea	Korea
accountable	account	accountable
for	for	for
Otto	otto	Otto
Warmbier	warmbier	Warmbier
s	s	s
unjust	unjust	unjust
imprisonment	imprison	imprisonment
,	,	,
and	and	and
demand	demand	demand
the	the	the
release	releas	release
of	of	of
three	three	three
other	other	other
Americans	american	Americans
who	who	who
have	have	have
been	been	been
illegally	illeg	illegally
detained	detain	detained
.	.	.
WOULDN	wouldn	WOULDN
Y	y	Y
A	a	A
BETTER	better	BETTER
QUESTION	question	QUESTION
HAVE	have	HAVE
BEEN	been	BEEN
WHY	whi	WHY
OBAMA	obama	OBAMA
DID	did	DID
NOTHING	noth	NOTHING
TO	to	TO
HELP	help	HELP
WITH	with	WITH
THE	the	THE
RELEASE	releas	RELEASE
OF	of	OF
WARMBIER	warmbier	WARMBIER
?	?	?

