On	on	On
Thursday	thursday	Thursday
,	,	,
the	the	the
California	california	California
state	state	state
legislature	legislatur	legislature
passed	pass	passed
a	a	a
series	seri	series
of	of	of
legislation	legisl	legislation
described	describ	described
as	as	a
the	the	the
most	most	most
ambitious	ambiti	ambitious
action	action	action
ever	ever	ever
taken	taken	taken
to	to	to
protect	protect	protect
communities	communiti	community
from	from	from
gun	gun	gun
violence	violenc	violence
.	.	.
According	accord	According
to	to	to
the	the	the
San	san	San
Francisco	francisco	Francisco
Chronicle	chronicl	Chronicle
,	,	,
the	the	the
legislation	legisl	legislation
includes	includ	includes
nearly	near	nearly
a	a	a
dozen	dozen	dozen
bills	bill	bill
designed	design	designed
to	to	to
protect	protect	protect
the	the	the
state	state	state
s	s	s
communities	communiti	community
from	from	from
devastating	devast	devastating
acts	act	act
of	of	of
violence	violenc	violence
like	like	like
the	the	the
mass	mass	mass
shooting	shoot	shooting
that	that	that
occurred	occur	occurred
in	in	in
San	san	San
Bernardino	bernardino	Bernardino
in	in	in
December	decemb	December
of	of	of
2015	2015	2015
.	.	.
The	the	The
attack	attack	attack
,	,	,
which	which	which
left	left	left
14	14	14
people	peopl	people
dead	dead	dead
and	and	and
another	anoth	another
22	22	22
injured	injur	injured
,	,	,
was	was	wa
the	the	the
second	second	second
worst	worst	worst
mass	mass	mass
shooting	shoot	shooting
in	in	in
California	california	California
history	histori	history
.	.	.
In	in	In
response	respons	response
to	to	to
the	the	the
shooting	shoot	shooting
,	,	,
democratic	democrat	democratic
lawmakers	lawmak	lawmaker
passed	pass	passed
a	a	a
comprehensive	comprehens	comprehensive
series	seri	series
of	of	of
bills	bill	bill
designed	design	designed
to	to	to
reduce	reduc	reduce
gun	gun	gun
violence	violenc	violence
.	.	.
A	a	A
total	total	total
of	of	of
eleven	eleven	eleven
bills	bill	bill
were	were	were
passed	pass	passed
.	.	.
Not	not	Not
surprisingly	surpris	surprisingly
,	,	,
nearly	near	nearly
all	all	all
of	of	of
them	them	them
were	were	were
passed	pass	passed
without	without	without
support	support	support
from	from	from
republican	republican	republican
members	member	member
of	of	of
the	the	the
state	state	state
legislature	legislatur	legislature
.	.	.
The	the	The
package	packag	package
included	includ	included
a	a	a
bill	bill	bill
which	which	which
requires	requir	requires
people	peopl	people
selling	sell	selling
ammunition	ammunit	ammunition
to	to	to
obtain	obtain	obtain
a	a	a
license	licens	license
,	,	,
as	as	a
well	well	well
as	as	a
mandatory	mandatori	mandatory
background	background	background
checks	check	check
for	for	for
those	those	those
purchasing	purchas	purchasing
ammunition	ammunit	ammunition
.	.	.
Another	anoth	Another
bill	bill	bill
outlaws	outlaw	outlaw
the	the	the
manufacture	manufactur	manufacture
and	and	and
sale	sale	sale
of	of	of
semiautomatic	semiautomat	semiautomatic
rifles	rifl	rifle
with	with	with
detachable	detach	detachable
magazines	magazin	magazine
.	.	.
SB1446	sb1446	SB1446
would	would	would
ban	ban	ban
magazines	magazin	magazine
that	that	that
hold	hold	hold
more	more	more
than	than	than
10	10	10
rounds	round	round
of	of	of
ammunition	ammunit	ammunition
.	.	.
The	the	The
only	onli	only
bill	bill	bill
to	to	to
gain	gain	gain
republican	republican	republican
support	support	support
,	,	,
AB1176	ab1176	AB1176
,	,	,
would	would	would
make	make	make
it	it	it
