Donald	donald	Donald
Trump	trump	Trump
is	is	is
making	make	making
a	a	a
lot	lot	lot
of	of	of
money	money	money
thanks	thank	thanks
to	to	to
the	the	the
donors	donor	donor
giving	give	giving
money	money	money
to	to	to
his	his	his
presidential	presidenti	presidential
campaign	campaign	campaign
,	,	,
and	and	and
it	it	it
s	s	s
all	all	all
legal	legal	legal
.	.	.
Even	even	Even
though	though	though
Trump	trump	Trump
s	s	s
actual	actual	actual
wealth	wealth	wealth
is	is	is
still	still	still
a	a	a
secret	secret	secret
thanks	thank	thanks
to	to	to
his	his	his
refusal	refus	refusal
to	to	to
release	releas	release
his	his	his
tax	tax	tax
returns	return	return
,	,	,
he	he	he
is	is	is
required	requir	required
by	by	by
law	law	law
to	to	to
submit	submit	submit
annual	annual	annual
spending	spend	spending
reports	report	report
on	on	on
the	the	the
behalf	behalf	behalf
of	of	of
his	his	his
campaign	campaign	campaign
to	to	to
the	the	the
Federal	feder	Federal
Elections	elect	Elections
Commission	commiss	Commission
.	.	.
The	the	The
latest	latest	latest
filing	file	filing
from	from	from
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
shows	show	show
a	a	a
new	new	new
way	way	way
that	that	that
Trump	trump	Trump
has	has	ha
found	found	found
to	to	to
make	make	make
money	money	money
,	,	,
and	and	and
it	it	it
comes	come	come
directly	direct	directly
from	from	from
those	those	those
who	who	who
believe	believ	believe
he	he	he
should	should	should
be	be	be
president	presid	president
and	and	and
are	are	are
giving	give	giving
them	them	them
his	his	his
money	money	money
.	.	.
Trump	trump	Trump
nearly	near	nearly
quintupled	quintupl	quintupled
the	the	the
monthly	month	monthly
rent	rent	rent
his	his	his
presidential	presidenti	presidential
campaign	campaign	campaign
pays	pay	pay
for	for	for
its	it	it
headquarters	headquart	headquarters
at	at	at
Trump	trump	Trump
Tower	tower	Tower
to	to	to
169	169	169
,	,	,
758	758	758
in	in	in
July	juli	July
,	,	,
when	when	when
he	he	he
was	was	wa
raising	rais	raising
funds	fund	fund
from	from	from
donors	donor	donor
,	,	,
compared	compar	compared
with	with	with
March	march	March
,	,	,
when	when	when
he	he	he
was	was	wa
self	self	self
-funding	-fund	-funding
his	his	his
campaign	campaign	campaign
,	,	,
according	accord	according
to	to	to
a	a	a
Huffington	huffington	Huffington
Post	post	Post
review	review	review
of	of	of
Federal	feder	Federal
Election	elect	Election
Commission	commiss	Commission
filings	file	filing
.	.	.
The	the	The
rent	rent	rent
jumped	jump	jumped
even	even	even
though	though	though
he	he	he
was	was	wa
paying	pay	paying
fewer	fewer	fewer
staff	staff	staff
in	in	in
July	juli	July
than	than	than
he	he	he
did	did	did
in	in	in
March	march	March
.	.	.
The	the	The
Trump	trump	Trump
campaign	campaign	campaign
paid	paid	paid
Trump	trump	Trump
Tower	tower	Tower
Commercial	commerci	Commercial
LLC	llc	LLC
35	35	35
,	,	,
458	458	458
in	in	in
March	march	March
the	the	the
same	same	same
amount	amount	amount
it	it	it
had	had	had
been	been	been
paying	pay	paying
since	sinc	since
last	last	last
summer	summer	summer
and	and	and
had	had	had
197	197	197
paid	paid	paid
employees	employe	employee
and	and	and
consultants	consult	consultant
.	.	.
In	in	In
July	juli	July
,	,	,
it	it	it
paid	paid	paid
172	172	172
employees	employe	employee
and	and	and
consultants	consult	consultant
.	.	.
The	the	The
filing	file	filing
is	is	is
the	the	the
latest	latest	latest
piece	piec	piece
in	in	in
the	the	the
ongoing	ongo	ongoing
mystery	mysteri	mystery
that	that	that
has	has	ha
