The	the	The
Republican	republican	Republican
race	race	race
towards	toward	towards
the	the	the
White	white	White
House	hous	House
is	is	is
getting	get	getting
more	more	more
terrifying	terrifi	terrifying
by	by	by
the	the	the
day	day	day
.	.	.
We	we	We
have	have	have
the	the	the
front	front	front
-runner	-runner	-runner
,	,	,
Donald	donald	Donald
Trump	trump	Trump
,	,	,
saying	say	saying
at	at	at
his	his	his
rallies	ralli	rally
that	that	that
not	not	not
only	onli	only
does	doe	doe
he	he	he
want	want	want
his	his	his
crowd	crowd	crowd
of	of	of
supporters	support	supporter
to	to	to
be	be	be
violent	violent	violent
towards	toward	towards
protesters	protest	protester
,	,	,
but	but	but
he	he	he
s	s	s
also	also	also
saying	say	saying
that	that	that
he	he	he
ll	ll	ll
pay	pay	pay
their	their	their
legal	legal	legal
fees	fee	fee
.	.	.
Now	now	Now
,	,	,
we	we	we
have	have	have
Ted	ted	Ted
Cruz	cruz	Cruz
,	,	,
who	who	who
s	s	s
currently	current	currently
in	in	in
second	second	second
place	place	place
,	,	,
saying	say	saying
that	that	that
he	he	he
ll	ll	ll
back	back	back
Trump	trump	Trump
unless	unless	unless
he	he	he
were	were	were
to	to	to
shoot	shoot	shoot
someone	someon	someone
.	.	.
Cruz	cruz	Cruz
,	,	,
while	while	while
being	be	being
interviewed	interview	interviewed
Monday	monday	Monday
and	and	and
asked	ask	asked
if	if	if
he	he	he
s	s	s
still	still	still
sticking	stick	sticking
to	to	to
his	his	his
loyalty	loyalti	loyalty
pledge	pledg	pledge
to	to	to
back	back	back
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
,	,	,
said	said	said
Well	well	Well
,	,	,
I	i	I
can	can	can
give	give	give
you	you	you
one	one	one
example	exampl	example
where	where	where
I	i	I
would	would	would
no	no	no
longer	longer	longer
support	support	support
Donald	donald	Donald
Trump	trump	Trump
.	.	.
If	if	If
,	,	,
for	for	for
example	exampl	example
,	,	,
he	he	he
were	were	were
to	to	to
go	go	go
out	out	out
on	on	on
Fifth	fifth	Fifth
Avenue	avenu	Avenue
and	and	and
shoot	shoot	shoot
somebody	somebodi	somebody
,	,	,
I	i	I
would	would	would
not	not	not
be	be	be
willing	will	willing
to	to	to
support	support	support
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Cruz	cruz	Cruz
is	is	is
referring	refer	referring
to	to	to
when	when	when
Trump	trump	Trump
said	said	said
that	that	that
his	his	his
supporters	support	supporter
love	love	love
him	him	him
so	so	so
much	much	much
,	,	,
he	he	he
could	could	could
even	even	even
shoot	shoot	shoot
someone	someon	someone
in	in	in
the	the	the
middle	middl	middle
of	of	of
Fifth	fifth	Fifth
Avenue	avenu	Avenue
and	and	and
they	they	they
would	would	would
still	still	still
love	love	love
him	him	him
.	.	.
When	when	When
pressed	press	pressed
on	on	on
the	the	the
subject	subject	subject
of	of	of
violence	violenc	violence
at	at	at
Trump	trump	Trump
rallies	ralli	rally
by	by	by
a	a	a
reporter	report	reporter
and	and	and
if	if	if
he	he	he
has	has	ha
reconsidered	reconsid	reconsidered
his	his	his
pledge	pledg	pledge
due	due	due
to	to	to
recent	recent	recent
developments	develop	development
,	,	,
Cruz	cruz	Cruz
insisted	insist	insisted
that	that	that
he	he	he
ll	ll	ll
still	still	still
back	back	back
Trump	trump	Trump
.	.	.
Cruz	cruz	Cruz
said	said	said
I	i	I
know	know	know
it	it	it
is	is	is
a	a	a
shocking	shock	shocking
concept	concept	concept
to	to	to
member	member	member
of	of	of
the	the	the
media	media	medium
.	.	.
A	a	A
shocking	shock	shocking
concept	concept	concept
that	that	that
an	an	an
elected	elect	elected
official	offici	official
