If	if	If
there	there	there
is	is	is
anyone	anyon	anyone
who	who	who
is	is	is
as	as	a
big	big	big
a	a	a
bully	bulli	bully
as	as	a
Donald	donald	Donald
Trump	trump	Trump
,	,	,
it	it	it
is	is	is
Fox	fox	Fox
News	news	News
Bill	bill	Bill
O	o	O
Reilly	reilli	Reilly
.	.	.

Whenever	whenev	Whenever
he	he	he
has	has	ha
a	a	a
guest	guest	guest
on	on	on
his	his	his
show	show	show
that	that	that
has	has	ha
a	a	a
differing	differ	differing
opinion	opinion	opinion
than	than	than
him	him	him
,	,	,
he	he	he
cuts	cut	cut
them	them	them
off	off	off
,	,	,
yells	yell	yell
at	at	at
them	them	them
and	and	and
all	all	all
around	around	around
treats	treat	treat
them	them	them
like	like	like
shit	shit	shit
.	.	.

In	in	In
addition	addit	addition
to	to	to
the	the	the
way	way	way
he	he	he
treats	treat	treat
his	his	his
guests	guest	guest
,	,	,
he	he	he
lies	lie	lie
all	all	all
the	the	the
time	time	time
to	to	to
his	his	his
audience	audienc	audience
and	and	and
makes	make	make
inflammatory	inflammatori	inflammatory
claims	claim	claim
about	about	about
Democrats	democrat	Democrats
and	and	and
liberal	liber	liberal
organizations	organ	organization
.	.	.

His	his	His
love	love	love
for	for	for
outrage	outrag	outrage
was	was	wa
showcased	showcas	showcased
on	on	on
the	the	the
Wednesday	wednesday	Wednesday
night	night	night
episode	episod	episode
of	of	of
The	the	The
O	o	O
Reilly	reilli	Reilly
Factor	factor	Factor
where	where	where
he	he	he
accused	accus	accused
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
of	of	of
killing	kill	killing
Americans	american	Americans
.	.	.

O	o	O
Reilly	reilli	Reilly
introduced	introduc	introduced
the	the	the
Talking	talk	Talking
Points	point	Points
segment	segment	segment
of	of	of
his	his	his
show	show	show
by	by	by
saying	say	saying
,	,	,
How	how	How
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
is	is	is
killing	kill	killing
Americans	american	Americans
that	that	that
is	is	is
the	the	the
subject	subject	subject
of	of	of
tonight	tonight	tonight
s	s	s
talking	talk	talking
points	point	point
memo	memo	memo
.	.	.

He	he	He
went	went	went
on	on	on
to	to	to
say	say	say
that	that	that
the	the	the
movement	movement	movement
is	is	is
a	a	a
violent	violent	violent
subculture	subcultur	subculture
within	within	within
the	the	the
African	african	African
-American	-american	-American
community	communiti	community
.	.	.

Yes	yes	Yes
,	,	,
because	becaus	because
fighting	fight	fighting
for	for	for
the	the	the
rights	right	right
,	,	,
through	through	through
protests	protest	protest
and	and	and
demonstrations	demonstr	demonstration
,	,	,
is	is	is
SUPER	super	SUPER
offensive	offens	offensive
and	and	and
violent	violent	violent
.	.	.

He	he	He
claimed	claim	claimed
The	the	The
media	media	medium
will	will	will
not	not	not
spotlight	spotlight	spotlight
that	that	that
much	much	much
of	of	of
the	the	the
violent	violent	violent
crime	crime	crime
in	in	in
America	america	America
is	is	is
being	be	being
committed	commit	committed
right	right	right
now	now	now
by	by	by
young	young	young
black	black	black
men	men	men
.	.	.

Blacks	black	Blacks
of	of	of
all	all	all
ages	age	age
commit	commit	commit
homicide	homicid	homicide
at	at	at
a	a	a
rate	rate	rate
of	of	of
8	8	8
times	time	time
higher	higher	higher
than	than	than
whites	white	white
and	and	and
Hispanics	hispan	Hispanics
combined	combin	combined
.	.	.

Conclusion	conclus	Conclusion
There	there	There
is	is	is
a	a	a
violent	violent	violent
subculture	subcultur	subculture
in	in	in
the	the	the
African	african	African
American	american	American
community	communiti	community
that	that	that
should	should	should
be	be	be
exposed	expos	exposed
and	and	and
confronted	confront	confronted
.	.	.

I	i	I
would	would	would
love	love	love
to	to	to
know	know	know
where	where	where
Bill	bill	Bill
gets	get	get
his	his	his
statistics	statist	statistic
from	from	from
.	.	.

Obviously	obvious	Obviously
,	,	,
it	it	it
s	s	s
The	the	The
Bullshit	bullshit	Bullshit
Center	center	Center
For	for	For
White	white	White
Supremacist	supremacist	Supremacist
Studies	studi	Studies
.	.	.

This	this	This
tired	tire	tired
old	old	old
narrative	narrat	narrative
that	that	that
black	black	black
people	peopl	people
commit	commit	commit
more	more	more
crimes	crime	crime
than	than	than
white	white	white
people	peopl	people
is	is	is
,	,	,
exactly	exact	exactly
that	that	that
,	,	,
bullshit	bullshit	bullshit
.	.	.

According	accord	According
to	to	to
FBI	fbi	FBI
statistics	statist	statistic
,	,	,
African	african	African
-Americans	-american	-Americans
were	were	were
arrested	arrest	arrested
more	more	more
than	than	than
whites	white	white
for	for	for
murder	murder	murder
and	and	and
manslaughter	manslaught	manslaughter
,	,	,
but	but	but
the	the	the
numbers	number	number
varied	vari	varied
by	by	by
ONE	one	ONE
percent	percent	percent
.	.	.
However	howev	However
,	,	,
white	white	white
people	peopl	people
committed	commit	committed
far	far	far
more	more	more
violent	violent	violent
crimes	crime	crime
than	than	than
African	african	African
-Americans	-american	-Americans
.	.	.

Sixty	sixti	Sixty
-five	-five	-five
percent	percent	percent
of	of	of
the	the	the
people	peopl	people
arrested	arrest	arrested
for	for	for
forcible	forcibl	forcible
rape	rape	rape
were	were	were
white	white	white
,	,	,
that	that	that
s	s	s
double	doubl	double
the	the	the
32	32	32
percent	percent	percent
that	that	that
were	were	were
black	black	black
.	.	.

Aggravated	aggrav	Aggravated
assaults	assault	assault
?	?	?

62	62	62
.	.	.
8	8	8
percent	percent	percent
were	were	were
committed	commit	committed
by	by	by
whites	white	white
,	,	,
34	34	34
percent	percent	percent
by	by	by
blacks	black	black
.	.	.

Burglaries	burglari	Burglaries
?	?	?

67	67	67
.	.	.
1	1	1
percent	percent	percent
were	were	were
committed	commit	committed
by	by	by
whites	white	white
,	,	,
30	30	30
.	.	.
8	8	8
percent	percent	percent
by	by	by
blacks	black	black
.	.	.

The	the	The
FBI	fbi	FBI
found	found	found
that	that	that
58	58	58
.	.	.
7	7	7
percent	percent	percent
of	of	of
all	all	all
violent	violent	violent
crimes	crime	crime
were	were	were
committed	commit	committed
by	by	by
white	white	white
people	peopl	people
and	and	and
38	38	38
.	.	.
5	5	5
percent	percent	percent
by	by	by
African	african	African
-Americans	-american	-Americans
.	.	.
Table	tabl	Table
via	via	via
FBI	fbi	FBI
.	.	.
govDon	govdon	govDon
t	t	t
expect	expect	expect
O	o	O
Reilly	reilli	Reilly
to	to	to
amend	amend	amend
his	his	his
false	fals	false
claims	claim	claim
,	,	,
though	though	though
,	,	,
he	he	he
needs	need	need
to	to	to
keep	keep	keep
his	his	his
audience	audienc	audience
nice	nice	nice
and	and	and
outraged	outrag	outraged
.	.	.

He	he	He
needs	need	need
his	his	his
viewers	viewer	viewer
to	to	to
believe	believ	believe
that	that	that
black	black	black
thugs	thug	thug
are	are	are
murdering	murder	murdering
,	,	,
raping	rape	raping
and	and	and
robbing	rob	robbing
.	.	.

The	the	The
Republican	republican	Republican
Party	parti	Party
needs	need	need
him	him	him
to	to	to
spread	spread	spread
this	this	this
racist	racist	racist
,	,	,
bombastic	bombast	bombastic
nonsense	nonsens	nonsense
because	becaus	because
the	the	the
more	more	more
fearful	fear	fearful
white	white	white
folks	folk	folk
are	are	are
of	of	of
black	black	black
people	peopl	people
,	,	,
the	the	the
more	more	more
likely	like	likely
they	they	they
are	are	are
to	to	to
vote	vote	vote
for	for	for
people	peopl	people
like	like	like
Trump	trump	Trump
who	who	who
are	are	are
promising	promis	promising
to	to	to
take	take	take
the	the	the
country	countri	country
back	back	back
.	.	.

They	they	They
HATE	hate	HATE
that	that	that
a	a	a
black	black	black
guy	guy	guy
has	has	ha
taken	taken	taken
up	up	up
residence	resid	residence
in	in	in
their	their	their
White	white	White
House	hous	House
and	and	and
they	they	they
want	want	want
to	to	to
make	make	make
their	their	their
Oval	oval	Oval
Office	offic	Office
white	white	white
again	again	again
.	.	.

O	o	O
Reilly	reilli	Reilly
and	and	and
the	the	the
GOP	gop	GOP
know	know	know
that	that	that
this	this	this
is	is	is
how	how	how
their	their	their
vapid	vapid	vapid
base	base	base
feels	feel	feel
so	so	so
they	they	they
are	are	are
fear	fear	fear
-mongering	-monger	-mongering
HARD	hard	HARD
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Ilya	ilya	Ilya
S	s	S
.	.	.

Savenok	savenok	Savenok
Getty	getti	Getty
Images	imag	Images

