Token	Stem	Lemma
Child	child	Child
actor	actor	actor
Corey	corey	Corey
Feldman	feldman	Feldman
appeared	appear	appeared
on	on	on
The	the	The
View	view	View
in	in	in
2013	2013	2013
to	to	to
talk	talk	talk
about	about	about
his	his	his
book	book	book
that	that	that
exposed	expos	exposed
some	some	some
of	of	of
the	the	the
richest	richest	richest
and	and	and
most	most	most
powerful	power	powerful
people	peopl	people
in	in	in
the	the	the
business	busi	business
Hollywood	hollywood	Hollywood
who	who	who
are	are	are
pedophiles	pedophil	pedophile
that	that	that
prey	prey	prey
on	on	on
young	young	young
actors	actor	actor
Corey	corey	Corey
s	s	s
brave	brave	brave
admission	admiss	admission
of	of	of
his	his	his
experiences	experi	experience
in	in	in
Hollywood	hollywood	Hollywood
should	should	should
have	have	have
been	been	been
treated	treat	treated
as	as	a
a	a	a
public	public	public
service	servic	service
announcement	announc	announcement
for	for	for
parents	parent	parent
who	who	who
had	had	had
child	child	child
actors	actor	actor
working	work	working
in	in	in
Hollywood	hollywood	Hollywood
as	as	a
he	he	he
was	was	wa
giving	give	giving
them	them	them
a	a	a
heads	head	head
up	up	up
to	to	to
take	take	take
the	the	the
extra	extra	extra
steps	step	step
to	to	to
protect	protect	protect
them	them	them
Instead	instead	Instead
he	he	he
was	was	wa
shamed	shame	shamed
Feldman	feldman	Feldman
appeared	appear	appeared
in	in	in
a	a	a
2103	2103	2103
episode	episod	episode
of	of	of
The	the	The
View	view	View
where	where	where
Barbara	barbara	Barbara
Walters	walter	Walters
and	and	and
Star	star	Star
Jones	jone	Jones
went	went	went
out	out	out
of	of	of
their	their	their
way	way	way
to	to	to
discredit	discredit	discredit
and	and	and
shut	shut	shut
him	him	him
up	up	up
I	i	I
m	m	m
saying	say	saying
there	there	there
are	are	are
people	peopl	people
that	that	that
were	were	were
the	the	the
people	peopl	people
that	that	that
did	did	did
this	this	this
to	to	to
both	both	both
me	me	me
and	and	and
Corey	corey	Corey
Haim	haim	Haim
that	that	that
are	are	are
still	still	still
working	work	working
They	they	They
re	re	re
still	still	still
out	out	out
there	there	there
and	and	and
that	that	that
are	are	are
some	some	some
of	of	of
the	the	the
richest	richest	richest
most	most	most
powerful	power	powerful
people	peopl	people
in	in	in
this	this	this
business	busi	business
Walters	walter	Walters
tried	tri	tried
to	to	to
interupt	interupt	interupt
but	but	but
Feldman	feldman	Feldman
continued	continu	continued
And	and	And
they	they	they
do	do	do
not	not	not
want	want	want
me	me	me
saying	say	saying
what	what	what
I	i	I
am	am	am
saying	say	saying
right	right	right
now	now	now
Walters	walter	Walters
asked	ask	asked
Feldman	feldman	Feldman
Are	are	Are
you	you	you
saying	say	saying
they	they	they
are	are	are
pedophiles	pedophil	pedophile
and	and	and
that	that	that
they	they	they
are	are	are
still	still	still
in	in	in
this	this	this
business	busi	business
Feldman	feldman	Feldman
replied	repli	replied
Yes	yes	Yes
Feldman	feldman	Feldman
went	went	went
on	on	on
to	to	to
say	say	say
They	they	They
don	don	don
t	t	t
want	want	want
me	me	me
here	here	here
right	right	right
now	now	now
They	they	They
want	want	want
me	me	me
dead	dead	dead
Star	star	Star
Jones	jone	Jones
quickly	quick	quickly
jumped	jump	jumped
in	in	in
to	to	to
try	tri	try
to	to	to
shut	shut	shut
Feldman	feldman	Feldman
up	up	up
so	so	so
he	he	he
doesn	doesn	doesn
t	t	t
scare	scare	scare
parents	parent	parent
who	who	who
want	want	want
their	their	their
kids	kid	kid
in	in	in
the	the	the
industry	industri	industry
Feldman	feldman	Feldman
clarified	clarifi	clarified
that	that	that
he	he	he
s	s	s
just	just	just
warning	warn	warning
parents	parent	parent
to	to	to
be	be	be
careful	care	careful
what	what	what
you	you	you
wish	wish	wish
for	for	for
Don	don	Don
t	t	t
go	go	go
into	into	into
it	it	it
with	with	with
naivety	naiveti	naivety
Instead	instead	Instead
of	of	of
considering	consid	considering
Feldman	feldman	Feldman
s	s	s
warning	warn	warning
that	that	that
may	may	may
be	be	be
of	of	of
interest	interest	interest
to	to	to
parents	parent	parent
who	who	who
have	have	have
children	children	child
in	in	in
the	the	the
industry	industri	industry
Walters	walter	Walters
interrupted	interrupt	interrupted
him	him	him
to	to	to
admonish	admonish	admonish
him	him	him
You	you	You
re	re	re
damaging	damag	damaging
an	an	an
entire	entir	entire
industry	industri	industry
Feldman	feldman	Feldman
apologized	apolog	apologized
I	i	I
m	m	m
sorry	sorri	sorry
After	after	After
several	sever	several
years	year	year
of	of	of
being	be	being
shamed	shame	shamed
by	by	by
his	his	his
peers	peer	peer
and	and	and
high	high	high
-profile	-profil	-profile
women	women	woman
in	in	in
the	the	the
industry	industri	industry
like	like	like
Barbara	barbara	Barbara
Walters	walter	Walters
child	child	child
actor	actor	actor
Corey	corey	Corey
Feldman	feldman	Feldman
may	may	may
finally	final	finally
find	find	find
someone	someon	someone
who	who	who
will	will	will
finally	final	finally
take	take	take
him	him	him
seriously	serious	seriously
now	now	now
that	that	that
Harvey	harvey	Harvey
Weinstein	weinstein	Weinstein
has	has	ha
been	been	been
exposed	expos	exposed
Cernovich	cernovich	Cernovich
The	the	The
recent	recent	recent
exposure	exposur	exposure
of	of	of
serial	serial	serial
sexual	sexual	sexual
predator	predat	predator
and	and	and
Hollywood	hollywood	Hollywood
Democrat	democrat	Democrat
kingpin	kingpin	kingpin
Harvey	harvey	Harvey
Weinstein	weinstein	Weinstein
raises	rais	raise
even	even	even
more	more	more
questions	question	question
than	than	than
it	it	it
answers	answer	answer
In	in	In
a	a	a
now	now	now
famous	famous	famous
photo	photo	photo
Weinstein	weinstein	Weinstein
can	can	can
be	be	be
seen	seen	seen
grabbing	grab	grabbing
young	young	young
actress	actress	actress
Emma	emma	Emma
Watson	watson	Watson
in	in	in
a	a	a
compromising	compromis	compromising
position	posit	position
While	while	While
the	the	the
public	public	public
controversy	controversi	controversy
currently	current	currently
centers	center	center
around	around	around
Weinstein	weinstein	Weinstein
s	s	s
sexual	sexual	sexual
abuse	abus	abuse
of	of	of
power	power	power
over	over	over
young	young	young
women	women	woman
the	the	the
question	question	question
remains	remain	remains
how	how	how
young	young	young
were	were	were
Weinstein	weinstein	Weinstein
s	s	s
victims	victim	victim
Former	former	Former
child	child	child
actor	actor	actor
Corey	corey	Corey
Feldman	feldman	Feldman
has	has	ha
publicly	public	publicly
stated	state	stated
that	that	that
I	i	I
was	was	wa
molested	molest	molested
and	and	and
passed	pass	passed
around	around	around
while	while	while
discussing	discuss	discussing
how	how	how
in	in	in
Hollywood	hollywood	Hollywood
adult	adult	adult
males	male	male
in	in	in
the	the	the
industry	industri	industry
would	would	would
pass	pass	pas
young	young	young
stars	star	star
back	back	back
and	and	and
forth	forth	forth
to	to	to
each	each	each
other	other	other
Feldman	feldman	Feldman
revealed	reveal	revealed
that	that	that
his	his	his
co	co	co
-star	-star	-star
Corey	corey	Corey
Haim	haim	Haim
was	was	wa
raped	rape	raped
at	at	at
11	11	11
-years	-year	-years
-old	-old	-old
Actor	actor	Actor
Elijah	elijah	Elijah
Wood	wood	Wood
confirmed	confirm	confirmed
Feldman	feldman	Feldman
s	s	s
claims	claim	claim
in	in	in
May	may	May
2016	2016	2016
describing	describ	describing
Hollywood	hollywood	Hollywood
as	as	a
a	a	a
den	den	den
of	of	of
vipers	viper	viper
in	in	in
an	an	an
interview	interview	interview
and	and	and
saying	say	saying
If	if	If
you	you	you
can	can	can
imagine	imagin	imagine
it	it	it
it	it	it
s	s	s
probably	probabl	probably
happened	happen	happened
Wood	wood	Wood
said	said	said
he	he	he
was	was	wa
protected	protect	protected
from	from	from
abuse	abus	abuse
by	by	by
his	his	his
mother	mother	mother
who	who	who
didn	didn	didn
t	t	t
let	let	let
him	him	him
go	go	go
to	to	to
Hollywood	hollywood	Hollywood
parties	parti	party
but	but	but
he	he	he
said	said	said
other	other	other
young	young	young
child	child	child
actors	actor	actor
were	were	were
regularly	regular	regularly
preyed	prey	preyed
upon	upon	upon
by	by	by
those	those	those
in	in	in
power	power	power
Wood	wood	Wood
also	also	also
compared	compar	compared
Hollywood	hollywood	Hollywood
s	s	s
sexual	sexual	sexual
predators	predat	predator
with	with	with
known	known	known
pedophile	pedophil	pedophile
and	and	and
English	english	English
TV	tv	TV
personality	person	personality
Jimmy	jimmi	Jimmy
Savile	savil	Savile
You	you	You
all	all	all
grew	grew	grew
up	up	up
with	with	with
Savile	savil	Savile
Wood	wood	Wood
said	said	said
Jesus	jesus	Jesus
it	it	it
must	must	must
have	have	have
been	been	been
devastating	devast	devastating
Clearly	clear	Clearly
