One	one	One
of	of	of
the	the	the
things	thing	thing
that	that	that
Trump	trump	Trump
wants	want	want
to	to	to
do	do	do
over	over	over
the	the	the
next	next	next
four	four	four
years	year	year
is	is	is
continue	continu	continue
to	to	to
hold	hold	hold
huge	huge	huge
rallies	ralli	rally
for	for	for
the	the	the
purpose	purpos	purpose
of	of	of
stroking	stroke	stroking
his	his	his
ego	ego	ego
.	.	.
Apparently	appar	Apparently
,	,	,
that	that	that
s	s	s
already	alreadi	already
getting	get	getting
underway	underway	underway
.	.	.
He	he	He
s	s	s
planning	plan	planning
to	to	to
take	take	take
a	a	a
victory	victori	victory
lap	lap	lap
around	around	around
the	the	the
states	state	state
he	he	he
won	won	won
sometime	sometim	sometime
in	in	in
the	the	the
next	next	next
several	sever	several
weeks	week	week
,	,	,
rather	rather	rather
than	than	than
working	work	working
closely	close	closely
with	with	with
his	his	his
transition	transit	transition
team	team	team
to	to	to
make	make	make
sure	sure	sure
as	as	a
much	much	much
is	is	is
in	in	in
place	place	place
as	as	a
possible	possibl	possible
before	befor	before
Inauguration	inaugur	Inauguration
Day	day	Day
.	.	.
This	this	This
will	will	will
be	be	be
a	a	a
30	30	30
-state	-state	-state
tour	tour	tour
if	if	if
he	he	he
plans	plan	plan
on	on	on
visiting	visit	visiting
every	everi	every
state	state	state
that	that	that
voted	vote	voted
for	for	for
him	him	him
.	.	.
Since	sinc	Since
the	the	the
trip	trip	trip
seems	seem	seems
to	to	to
be	be	be
mostly	most	mostly
for	for	for
the	the	the
purpose	purpos	purpose
of	of	of
visiting	visit	visiting
the	the	the
states	state	state
he	he	he
won	won	won
,	,	,
it	it	it
s	s	s
hard	hard	hard
not	not	not
to	to	to
see	see	see
this	this	this
as	as	a
a	a	a
giant	giant	giant
middle	middl	middle
finger	finger	finger
to	to	to
the	the	the
states	state	state
he	he	he
lost	lost	lost
,	,	,
even	even	even
though	though	though
there	there	there
are	are	are
a	a	a
number	number	number
of	of	of
voters	voter	voter
in	in	in
rural	rural	rural
areas	area	area
of	of	of
blue	blue	blue
states	state	state
like	like	like
Illinois	illinoi	Illinois
who	who	who
voted	vote	voted
for	for	for
him	him	him
.	.	.
It	it	It
doesn	doesn	doesn
t	t	t
really	realli	really
jibe	jibe	jibe
with	with	with
his	his	his
ongoing	ongo	ongoing
assertions	assert	assertion
that	that	that
he	he	he
will	will	will
work	work	work
every	everi	every
day	day	day
for	for	for
ALL	all	ALL
Americans	american	Americans
shouldn	shouldn	shouldn
t	t	t
he	he	he
be	be	be
impossibly	imposs	impossibly
eager	eager	eager
to	to	to
get	get	get
to	to	to
down	down	down
to	to	to
business	busi	business
?	?	?
.	.	.
In	in	In
fact	fact	fact
,	,	,
it	it	it
doesn	doesn	doesn
t	t	t
jibe	jibe	jibe
with	with	with
the	the	the
idea	idea	idea
that	that	that
he	he	he
ll	ll	ll
do	do	do
any	ani	any
work	work	work
at	at	at
all	all	all
.	.	.
The	the	The
glow	glow	glow
of	of	of
winning	win	winning
a	a	a
presidential	presidenti	presidential
election	elect	election
already	alreadi	already
seems	seem	seems
to	to	to
be	be	be
wearing	wear	wearing
off	off	off
he	he	he
has	has	ha
to	to	to
continually	continu	continually
find	find	find
ways	way	way
of	of	of
feeling	feel	feeling
superior	superior	superior
and	and	and
getting	get	getting
the	the	the
instant	instant	instant
gratification	gratif	gratification
that	that	that
these	these	these
huge	huge	huge
,	,	,
cheering	cheer	cheering
crowds	crowd	crowd
give	give	give
him	him	him
