John	john	John
Kerry	kerri	Kerry
insinuated	insinu	insinuated
that	that	that
war	war	war
would	would	would
be	be	be
more	more	more
likely	like	likely
if	if	if
the	the	the
Iran	iran	Iran
Deal	deal	Deal
wasn	wasn	wasn
t	t	t
done	done	done
but	but	but
military	militari	military
experts	expert	expert
are	are	are
saying	say	saying
the	the	the
exact	exact	exact
opposite	opposit	opposite
.	.	.

I	i	I
would	would	would
have	have	have
to	to	to
agree	agre	agree
with	with	with
those	those	those
who	who	who
really	realli	really
know	know	know
what	what	what
they	they	they
re	re	re
talking	talk	talking
about	about	about
military	militari	military
leaders	leader	leader
and	and	and
intelligence	intellig	intelligence
officials	offici	official
.	.	.
The	the	The
nuclear	nuclear	nuclear
agreement	agreement	agreement
with	with	with
Iran	iran	Iran
will	will	will
increase	increas	increase
the	the	the
likelihood	likelihood	likelihood
of	of	of
military	militari	military
conflict	conflict	conflict
,	,	,
according	accord	according
to	to	to
a	a	a
council	council	council
of	of	of
prominent	promin	prominent
retired	retir	retired
military	militari	military
leaders	leader	leader
and	and	and
intelligence	intellig	intelligence
officials	offici	official
.	.	.
The	the	The
Jewish	jewish	Jewish
Institute	institut	Institute
for	for	for
National	nation	National
Security	secur	Security
Affair	affair	Affair
s	s	s
JINSA	jinsa	JINSA
Iran	iran	Iran
Strategy	strategi	Strategy
Council	council	Council
released	releas	released
a	a	a
report	report	report
Wednesday	wednesday	Wednesday
that	that	that
contends	contend	contends
that	that	that
the	the	the
United	unit	United
States	state	States
will	will	will
be	be	be
in	in	in
a	a	a
far	far	far
worse	wors	worse
position	posit	position
to	to	to
prevent	prevent	prevent
a	a	a
nuclear	nuclear	nuclear
Iran	iran	Iran
after	after	after
10	10	10
to	to	to
15	15	15
years	year	year
of	of	of
the	the	the
agreement	agreement	agreement
regarding	regard	regarding
Tehran	tehran	Tehran
s	s	s
nuclear	nuclear	nuclear
capacity	capac	capacity
,	,	,
known	known	known
as	as	a
the	the	the
Joint	joint	Joint
Comprehensive	comprehens	Comprehensive
Plan	plan	Plan
of	of	of
Action	action	Action
JCPOA	jcpoa	JCPOA
.	.	.

Implementing	implement	Implementing
JCPOA	jcpoa	JCPOA
will	will	will
have	have	have
significant	signific	significant
strategic	strateg	strategic
consequences	consequ	consequence
for	for	for
our	our	our
interests	interest	interest
and	and	and
allies	alli	ally
in	in	in
the	the	the
region	region	region
,	,	,
retired	retir	retired
Gen	gen	Gen
.	.	.

James	jame	James
Conway	conway	Conway
and	and	and
retired	retir	retired
Air	air	Air
Force	forc	Force
Gen	gen	Gen
.	.	.

Chuck	chuck	Chuck
Wald	wald	Wald
,	,	,
who	who	who
together	togeth	together
chair	chair	chair
the	the	the
council	council	council
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
According	accord	According
to	to	to
the	the	the
report	report	report
,	,	,
the	the	the
agreement	agreement	agreement
increases	increas	increase
both	both	both
the	the	the
probability	probabl	probability
and	and	and
danger	danger	danger
of	of	of
hostilities	hostil	hostility
with	with	with
Iran	iran	Iran
.	.	.

The	the	The
report	report	report
also	also	also
suggests	suggest	suggests
that	that	that
the	the	the
deal	deal	deal
will	will	will
allow	allow	allow
Iran	iran	Iran
to	to	to
grow	grow	grow
more	more	more
militarily	militarili	militarily
capable	capabl	capable
over	over	over
the	the	the
next	next	next
decade	decad	decade
as	as	a
the	the	the
United	unit	United
States	state	States
sees	see	see
an	an	an
erosion	eros	erosion
of	of	of
its	it	it
own	own	own
forces	forc	force
.	.	.

The	the	The
United	unit	United
States	state	States
is	is	is
in	in	in
a	a	a
far	far	far
better	better	better
position	posit	position
to	to	to
prevent	prevent	prevent
a	a	a
nuclear	nuclear	nuclear
Iran	iran	Iran
today	today	today
,	,	,
even	even	even
by	by	by
military	militari	military
means	mean	mean
if	if	if
necessary	necessari	necessary
,	,	,
than	than	than
when	when	when
the	the	the
JCPOA	jcpoa	JCPOA
sunsets	sunset	sunset
,	,	,
the	the	the
authors	author	author
say	say	say
.	.	.

The	the	The
strategic	strateg	strategic
environment	environ	environment
will	will	will
grow	grow	grow
much	much	much
more	more	more
treacherous	treacher	treacherous
in	in	in
the	the	the
next	next	next
15	15	15
years	year	year
.	.	.

Comparatively	compar	Comparatively
,	,	,
Iran	iran	Iran
will	will	will
be	be	be
economically	econom	economically
stronger	stronger	stronger
,	,	,
regionally	region	regionally
more	more	more
powerful	power	powerful
and	and	and
militarily	militarili	militarily
more	more	more
capable	capabl	capable
,	,	,
while	while	while
the	the	the
United	unit	United
States	state	States
will	will	will
have	have	have
a	a	a
smaller	smaller	smaller
,	,	,
less	less	le
capable	capabl	capable
fighting	fight	fighting
force	forc	force
,	,	,
diminished	diminish	diminished
credibility	credibl	credibility
and	and	and
fewer	fewer	fewer
allies	alli	ally
.	.	.

On	on	On
a	a	a
conference	confer	conference
call	call	call
with	with	with
reporters	report	reporter
Wednesday	wednesday	Wednesday
,	,	,
Conway	conway	Conway
warned	warn	warned
that	that	that
the	the	the
nuclear	nuclear	nuclear
deal	deal	deal
will	will	will
unleash	unleash	unleash
Iran	iran	Iran
in	in	in
ways	way	way
that	that	that
we	we	we
have	have	have
not	not	not
yet	yet	yet
witnessed	wit	witnessed
.	.	.

The	the	The
billions	billion	billion
Iran	iran	Iran
will	will	will
receive	receiv	receive
in	in	in
sanctions	sanction	sanction
relief	relief	relief
,	,	,
he	he	he
said	said	said
,	,	,
would	would	would
allow	allow	allow
the	the	the
country	countri	country
to	to	to
bolster	bolster	bolster
its	it	it
military	militari	military
and	and	and
conduct	conduct	conduct
nefarious	nefari	nefarious
activity	activ	activity
.	.	.

Indeed	inde	Indeed
,	,	,
the	the	the
report	report	report
argues	argu	argues
that	that	that
the	the	the
deal	deal	deal
will	will	will
provide	provid	provide
Iran	iran	Iran
with	with	with
the	the	the
means	mean	mean
to	to	to
increase	increas	increase
support	support	support
for	for	for
terrorist	terrorist	terrorist
and	and	and
insurgent	insurg	insurgent
proxies	proxi	proxy
,	,	,
aggravate	aggrav	aggravate
sectarian	sectarian	sectarian
conflict	conflict	conflict
and	and	and
trigger	trigger	trigger
both	both	both
nuclear	nuclear	nuclear
and	and	and
conventional	convent	conventional
proliferation	prolifer	proliferation
cascades	cascad	cascade
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
.	.	.
Conway	conway	Conway
suggested	suggest	suggested
that	that	that
the	the	the
finalized	final	finalized
deal	deal	deal
would	would	would
do	do	do
nothing	noth	nothing
to	to	to
discourage	discourag	discourage
Iran	iran	Iran
from	from	from
funding	fund	funding
terrorism	terror	terrorism
or	or	or
prevent	prevent	prevent
Iranians	iranian	Iranians
from	from	from
dispersing	dispers	dispersing
anti	anti	anti
-American	-american	-American
rhetoric	rhetor	rhetoric
.	.	.

A	a	A
few	few	few
days	day	day
after	after	after
they	they	they
sign	sign	sign
the	the	the
deal	deal	deal
,	,	,
they	they	they
re	re	re
still	still	still
chanting	chant	chanting
Death	death	Death
to	to	to
America	america	America
,	,	,
the	the	the
retired	retir	retired
general	general	general
said	said	said
.	.	.
Via	via	Via
WFB	wfb	WFB

