Apparently	appar	Apparently
,	,	,
the	the	the
arrogant	arrog	arrogant
88	88	88
-year-old	-year-old	-year-old
Congressman	congressman	Congressman
John	john	John
Conyers	conyer	Conyers
,	,	,
who	who	who
is	is	is
being	be	being
accused	accus	accused
of	of	of
sexual	sexual	sexual
misconduct	misconduct	misconduct
by	by	by
several	sever	several
women	women	woman
,	,	,
is	is	is
not	not	not
going	go	going
to	to	to
leave	leav	leave
the	the	the
halls	hall	hall
of	of	of
Congress	congress	Congress
on	on	on
his	his	his
own	own	own
.	.	.

Yesterday	yesterday	Yesterday
,	,	,
Black	black	Black
Caucus	caucus	Caucus
member	member	member
,	,	,
Congressman	congressman	Congressman
James	jame	James
Clyburn	clyburn	Clyburn
D	d	D
-SC	-sc	-SC
claimed	claim	claimed
that	that	that
the	the	the
women	women	woman
accusing	accus	accusing
Conyers	conyer	Conyers
of	of	of
sexual	sexual	sexual
misconduct	misconduct	misconduct
were	were	were
all	all	all
white	white	white
women	women	woman
or	or	or
racists	racist	racist
.	.	.

Today	today	Today
,	,	,
Conyers	conyer	Conyers
black	black	black
accuser	accus	accuser
is	is	is
speaking	speak	speaking
out	out	out
.	.	.
More	more	More
than	than	than
a	a	a
week	week	week
after	after	after
it	it	it
was	was	wa
first	first	first
reported	report	reported
that	that	that
Rep	rep	Rep
.	.	.

John	john	John
Conyers	conyer	Conyers
,	,	,
a	a	a
Democrat	democrat	Democrat
from	from	from
Detroit	detroit	Detroit
,	,	,
settled	settl	settled
a	a	a
sexual	sexual	sexual
harassment	harass	harassment
claim	claim	claim
in	in	in
2015	2015	2015
,	,	,
the	the	the
woman	woman	woman
he	he	he
settled	settl	settled
with	with	with
is	is	is
speaking	speak	speaking
out	out	out
.	.	.
WATCH	watch	WATCH
Can	can	Can
you	you	you
tell	tell	tell
me	me	me
what	what	what
you	you	you
say	say	say
John	john	John
Conyers	conyer	Conyers
did	did	did
when	when	when
you	you	you
were	were	were
his	his	his
employee	employe	employee
?	?	?
@savannahguthrie	@savannahguthri	@savannahguthrie
asks	ask	asks
Rep	rep	Rep
.	.	.

Conyers	conyer	Conyers
accuser	accus	accuser
Marion	marion	Marion
Brown	brown	Brown
pic.twitter.com/2jsszMStWj	pic.twitter.com/2jsszmstwj	pic.twitter.com/2jsszMStWj
TODAY	today	TODAY
@TODAYshow	@todayshow	@TODAYshow
November	novemb	November
30	30	30
,	,	,
2017Brown	2017brown	2017Brown
s	s	s
2014	2014	2014
complaint	complaint	complaint
,	,	,
and	and	and
a	a	a
settlement	settlement	settlement
she	she	she
reached	reach	reached
with	with	with
Conyers	conyer	Conyers
in	in	in
2015	2015	2015
,	,	,
were	were	were
first	first	first
reported	report	reported
by	by	by
BuzzFeed	buzzfe	BuzzFeed
News	news	News
last	last	last
week	week	week
.	.	.

The	the	The
report	report	report
did	did	did
not	not	not
identify	identifi	identify
Brown	brown	Brown
,	,	,
who	who	who
signed	sign	signed
a	a	a
non	non	non
-disclosure	-disclosur	-disclosure
agreement	agreement	agreement
as	as	a
part	part	part
of	of	of
the	the	the
settlement	settlement	settlement
that	that	that
prohibited	prohibit	prohibited
her	her	her
from	from	from
speaking	speak	speaking
about	about	about
it	it	it
.	.	.
The	the	The
report	report	report
included	includ	included
Brown	brown	Brown
s	s	s
accusation	accus	accusation
that	that	that
Conyers	conyer	Conyers
had	had	had
fired	fire	fired
her	her	her
after	after	after
she	she	she
rejected	reject	rejected
his	his	his
sexual	sexual	sexual
advances	advanc	advance
.	.	.

Since	sinc	Since
then	then	then
,	,	,
at	at	at
least	least	least
two	two	two
other	other	other
female	femal	female
former	former	former
staffers	staffer	staffer
have	have	have
accused	accus	accused
Conyers	conyer	Conyers
of	of	of
sexual	sexual	sexual
harassment	harass	harassment
.	.	.

Conyers	conyer	Conyers
denies	deni	denies
the	the	the
allegations	alleg	allegation
.	.	.
Lisa	lisa	Lisa
Bloom	bloom	Bloom
,	,	,
the	the	the
high	high	high
-profile	-profil	-profile
attorney	attorney	attorney
representing	repres	representing
Brown	brown	Brown
,	,	,
issued	issu	issued
a	a	a
statement	statement	statement
Sunday	sunday	Sunday
calling	call	calling
on	on	on
Conyers	conyer	Conyers
and	and	and
the	the	the
congressional	congression	congressional
Office	offic	Office
of	of	of
Compliance	complianc	Compliance
to	to	to
release	releas	release
her	her	her
client	client	client
from	from	from
the	the	the
non	non	non
-disclosure	-disclosur	-disclosure
agreement	agreement	agreement
.	.	.
Brown	brown	Brown
said	said	said
Thursday	thursday	Thursday
that	that	that
she	she	she
decided	decid	decided
to	to	to
break	break	break
the	the	the
agreement	agreement	agreement
and	and	and
speak	speak	speak
out	out	out
to	to	to
be	be	be
a	a	a
voice	voic	voice
for	for	for
other	other	other
women	women	woman
.	.	.

I	i	I
felt	felt	felt
it	it	it
was	was	wa
worth	worth	worth
the	the	the
risk	risk	risk
to	to	to
stand	stand	stand
up	up	up
for	for	for
all	all	all
the	the	the
women	women	woman
in	in	in
the	the	the
workforce	workforc	workforce
that	that	that
are	are	are
voiceless	voiceless	voiceless
ordinary	ordinari	ordinary
women	women	woman
like	like	like
myself	myself	myself
with	with	with
extraordinary	extraordinari	extraordinary
challenges	challeng	challenge
,	,	,
working	work	working
in	in	in
the	the	the
workforce	workforc	workforce
,	,	,
that	that	that
are	are	are
dominated	domin	dominated
by	by	by
men	men	men
,	,	,
she	she	she
said	said	said
.	.	.

Huffington	huffington	Huffington
PostWATCH	postwatch	PostWATCH
Did	did	Did
you	you	you
ever	ever	ever
tell	tell	tell
any	ani	any
of	of	of
your	your	your
superiors	superior	superior
?	?	?
@savannahguthrie	@savannahguthri	@savannahguthrie
asks	ask	asks
Rep	rep	Rep
.	.	.

Conyers	conyer	Conyers
accuser	accus	accuser
Marion	marion	Marion
Brown	brown	Brown
pic.twitter.com/EAsOYkU0Ry	pic.twitter.com/easoyku0ri	pic.twitter.com/EAsOYkU0Ry
TODAY	today	TODAY
@TODAYshow	@todayshow	@TODAYshow
November	novemb	November
30	30	30
,	,	,
2017Before	2017befor	2017Before
Conyer	conyer	Conyer
s	s	s
accuser	accus	accuser
Marion	marion	Marion
Brown	brown	Brown
came	came	came
out	out	out
and	and	and
courageously	courag	courageously
appeared	appear	appeared
on	on	on
the	the	the
Today	today	Today
Show	show	Show
,	,	,
Nancy	nanci	Nancy
Pelosi	pelosi	Pelosi
stood	stood	stood
firm	firm	firm
in	in	in
her	her	her
belief	belief	belief
that	that	that
Conyers	conyer	Conyers
was	was	wa
innocent	innoc	innocent
.	.	.

She	she	She
even	even	even
went	went	went
as	as	a
far	far	far
as	as	a
to	to	to
call	call	call
him	him	him
an	an	an
icon	icon	icon
during	dure	during
her	her	her
interview	interview	interview
with	with	with
Meet	meet	Meet
The	the	The
Press	press	Press
host	host	host
Chuck	chuck	Chuck
Todd	todd	Todd
.	.	.
@NancyPelosi	@nancypelosi	@NancyPelosi
Accused	accus	Accused
Congressman	congressman	Congressman
Conyers	conyer	Conyers
is	is	is
an	an	an
icon	icon	icon
in	in	in
our	our	our
country	countri	country
.	.	.

#MTP	#mtp	#MTP
pic.twitter.com/4QlKKJTIJP	pic.twitter.com/4qlkkjtijp	pic.twitter.com/4QlKKJTIJP
Meet	meet	Meet
the	the	the
Press	press	Press
@MeetThePress	@meetthepress	@MeetThePress
November	novemb	November
26	26	26
,	,	,
2017Now	2017now	2017Now
that	that	that
Conyer	conyer	Conyer
s	s	s
accuser	accus	accuser
has	has	ha
revealed	reveal	revealed
herself	herself	herself
to	to	to
the	the	the
public	public	public
and	and	and
is	is	is
being	be	being
represented	repres	represented
by	by	by
the	the	the
high	high	high
-profile	-profil	-profile
,	,	,
leftist	leftist	leftist
lawyer	lawyer	lawyer
,	,	,
Lisa	lisa	Lisa
Bloom	bloom	Bloom
,	,	,
Nancy	nanci	Nancy
has	has	ha
suddenly	sudden	suddenly
had	had	had
a	a	a
change	chang	change
of	of	of
heart	heart	heart
and	and	and
is	is	is
now	now	now
calling	call	calling
for	for	for
the	the	the
resignation	resign	resignation
of	of	of
Rep	rep	Rep
.	.	.

John	john	John
Conyers	conyer	Conyers
D	d	D
-MI	-mi	-MI
.	.	.
BREAKING	break	BREAKING
House	hous	House
Minority	minor	Minority
Leader	leader	Leader
Nancy	nanci	Nancy
Pelosi	pelosi	Pelosi
calls	call	call
for	for	for
resignation	resign	resignation
of	of	of
Rep	rep	Rep
.	.	.

John	john	John
Conyers	conyer	Conyers
https://t.co/wXXKqJGQKV	https://t.co/wxxkqjgqkv	https://t.co/wXXKqJGQKV
pic.twitter.com/D8cRNKAiNE	pic.twitter.com/d8crnkain	pic.twitter.com/D8cRNKAiNE
WXYZ	wxyz	WXYZ
Detroit	detroit	Detroit
@wxyzdetroit	@wxyzdetroit	@wxyzdetroit
November	novemb	November
30	30	30
,	,	,
2017Speaker	2017speaker	2017Speaker
of	of	of
the	the	the
House	hous	House
Paul	paul	Paul
Ryan	ryan	Ryan
joined	join	joined
the	the	the
chorus	chorus	chorus
today	today	today
and	and	and
called	call	called
for	for	for
the	the	the
resignation	resign	resignation
of	of	of
Congressman	congressman	Congressman
Conyers	conyer	Conyers
.	.	.
.	.	.
@SpeakerRyan	@speakerryan	@SpeakerRyan
on	on	on
Congressman	congressman	Congressman
Conyers	conyer	Conyers
Yes	yes	Yes
,	,	,
I	i	I
think	think	think
he	he	he
should	should	should
resign	resign	resign
.	.	.

I	i	I
think	think	think
he	he	he
should	should	should
resign	resign	resign
immediately	immedi	immediately
.	.	.
pic.twitter.com/z7NIHwOc2X	pic.twitter.com/z7nihwoc2x	pic.twitter.com/z7NIHwOc2X
CSPAN	cspan	CSPAN
