America	america	America
s	s	s
intelligence	intellig	intelligence
community	communiti	community
doesn	doesn	doesn
t	t	t
trust	trust	trust
Donald	donald	Donald
Trump	trump	Trump
.	.	.

At	at	At
all	all	all
.	.	.

Period	period	Period
.	.	.

While	while	While
both	both	both
Hillary	hillari	Hillary
and	and	and
Trump	trump	Trump
are	are	are
slated	slate	slated
to	to	to
start	start	start
getting	get	getting
intelligence	intellig	intelligence
briefings	brief	briefing
now	now	now
that	that	that
they	they	they
ve	ve	ve
formally	formal	formally
accepted	accept	accepted
their	their	their
parties	parti	party
nominations	nomin	nomination
,	,	,
many	mani	many
intelligence	intellig	intelligence
officials	offici	official
are	are	are
very	veri	very
wary	wari	wary
of	of	of
briefing	brief	briefing
Trump	trump	Trump
.	.	.

In	in	In
fact	fact	fact
,	,	,
one	one	one
senior	senior	senior
official	offici	official
had	had	had
nothing	noth	nothing
good	good	good
to	to	to
say	say	say
about	about	about
Trump	trump	Trump
when	when	when
it	it	it
comes	come	come
to	to	to
giving	give	giving
him	him	him
those	those	those
briefings	brief	briefing
.	.	.
The	the	The
official	offici	official
spoke	spoke	spoke
to	to	to
the	the	the
Washington	washington	Washington
Post	post	Post
on	on	on
the	the	the
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
,	,	,
but	but	but
didn	didn	didn
t	t	t
mince	minc	mince
words	word	word
at	at	at
all	all	all
I	i	I
would	would	would
refuse	refus	refuse
.	.	.

He	he	He
s	s	s
been	been	been
so	so	so
uninterested	uninterest	uninterested
in	in	in
the	the	the
truth	truth	truth
and	and	and
so	so	so
reckless	reckless	reckless
with	with	with
it	it	it
when	when	when
he	he	he
sees	see	see
it	it	it
.	.	.

Boom	boom	Boom
!	!	!

That	that	That
s	s	s
an	an	an
indictment	indict	indictment
of	of	of
Trump	trump	Trump
s	s	s
trustworthiness	trustworthi	trustworthiness
if	if	if
there	there	there
ever	ever	ever
was	was	wa
one	one	one
.	.	.
The	the	The
official	offici	official
is	is	is
understandably	understand	understandably
concerned	concern	concerned
with	with	with
Trump	trump	Trump
s	s	s
comments	comment	comment
about	about	about
Vladimir	vladimir	Vladimir
Putin	putin	Putin
,	,	,
but	but	but
in	in	in
addition	addit	addition
to	to	to
that	that	that
,	,	,
he	he	he
s	s	s
noticed	notic	noticed
that	that	that
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
want	want	want
to	to	to
actually	actual	actually
learn	learn	learn
anything	anyth	anything
about	about	about
,	,	,
well	well	well
,	,	,
anything	anyth	anything
.	.	.

He	he	He
s	s	s
absurdly	absurd	absurdly
stuck	stuck	stuck
on	on	on
what	what	what
he	he	he
thinks	think	think
are	are	are
his	his	his
own	own	own
merits	merit	merit
,	,	,
and	and	and
nobody	nobodi	nobody
s	s	s
going	go	going
to	to	to
dissuade	dissuad	dissuade
him	him	him
from	from	from
his	his	his
preconceived	preconceiv	preconceived
notions	notion	notion
.	.	.
Not	not	Not
even	even	even
intelligence	intellig	intelligence
officials	offici	official
.	.	.
The	the	The
issue	issu	issue
is	is	is
so	so	so
volatile	volatil	volatile
and	and	and
so	so	so
controversial	controversi	controversial
that	that	that
the	the	the
reason	reason	reason
these	these	these
officials	offici	official
talked	talk	talked
to	to	to
the	the	the
Post	post	Post
on	on	on
the	the	the
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
was	was	wa
just	just	just
so	so	so
they	they	they
could	could	could
comment	comment	comment
on	on	on
this	this	this
.	.	.

They	they	They
re	re	re
that	that	that
upset	upset	upset
with	with	with
his	his	his
plea	plea	plea
to	to	to
Russia	russia	Russia
to	to	to
hack	hack	hack
Hillary	hillari	Hillary
s	s	s
emails	email	email
,	,	,
which	which	which
Trump	trump	Trump
and	and	and
his	his	his
campaign	campaign	campaign
later	later	later
dismissed	dismiss	dismissed
as	as	a
sarcasm	sarcasm	sarcasm
and	and	and
as	as	a
a	a	a
call	call	call
to	to	to
Russia	russia	Russia
to	to	to
turn	turn	turn
over	over	over
any	ani	any
emails	email	email
they	they	they
already	alreadi	already
had	had	had
