REMEMBER	rememb	REMEMBER
THE	the	THE
OBAMAPHONE	obamaphon	OBAMAPHONE
LADY	ladi	LADY
?	?	?

Federal	feder	Federal
regulators	regul	regulator
were	were	were
instructed	instruct	instructed
to	to	to
keep	keep	keep
a	a	a
massive	massiv	massive
fraud	fraud	fraud
investigation	investig	investigation
under	under	under
wraps	wrap	wrap
until	until	until
a	a	a
day	day	day
after	after	after
a	a	a
controversial	controversi	controversial
vote	vote	vote
to	to	to
expand	expand	expand
a	a	a
program	program	program
that	that	that
was	was	wa
allegedly	alleg	allegedly
used	use	used
to	to	to
bilk	bilk	bilk
taxpayers	taxpay	taxpayer
of	of	of
tens	ten	ten
of	of	of
millions	million	million
of	of	of
dollars	dollar	dollar
,	,	,
one	one	one
those	those	those
regulators	regul	regulator
claims	claim	claim
.	.	.
The	the	The
Federal	feder	Federal
Communications	communic	Communications
Commission	commiss	Commission
on	on	on
Friday	friday	Friday
announced	announc	announced
that	that	that
it	it	it
would	would	would
seek	seek	seek
51	51	51
million	million	million
in	in	in
damages	damag	damage
from	from	from
a	a	a
cell	cell	cell
phone	phone	phone
company	compani	company
that	that	that
allegedly	alleg	allegedly
defrauded	defraud	defrauded
the	the	the
federal	feder	federal
Lifeline	lifelin	Lifeline
program	program	program
of	of	of
nearly	near	nearly
10	10	10
million	million	million
.	.	.
The	the	The
commission	commiss	commission
s	s	s
five	five	five
members	member	member
unanimously	unanim	unanimously
backed	back	backed
the	the	the
Notice	notic	Notice
of	of	of
Apparent	appar	Apparent
Liability	liabil	Liability
NAL	nal	NAL
,	,	,
but	but	but
Republican	republican	Republican
commissioner	commission	commissioner
Ajit	ajit	Ajit
Pai	pai	Pai
parted	part	parted
from	from	from
his	his	his
colleagues	colleagu	colleague
in	in	in
a	a	a
partial	partial	partial
dissent	dissent	dissent
.	.	.

According	accord	According
to	to	to
Pai	pai	Pai
,	,	,
he	he	he
and	and	and
other	other	other
commissioners	commission	commissioner
were	were	were
told	told	told
not	not	not
to	to	to
reveal	reveal	reveal
the	the	the
details	detail	detail
of	of	of
its	it	it
investigation	investig	investigation
until	until	until
April	april	April
1	1	1
,	,	,
a	a	a
day	day	day
after	after	after
the	the	the
FCC	fcc	FCC
voted	vote	voted
to	to	to
expand	expand	expand
the	the	the
Lifeline	lifelin	Lifeline
program	program	program
.	.	.

Commissioners	commission	Commissioners
