21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
says	say	say
When	when	When
the	the	the
UN	un	UN
released	releas	released
its	it	it
summary	summari	summary
of	of	of
their	their	their
chemical	chemic	chemical
weapons	weapon	weapon
report	report	report
on	on	on
August	august	August
30th	30th	30th
,	,	,
the	the	the
usual	usual	usual
suspects	suspect	suspect
led	led	led
by	by	by
the	the	the
US	us	US
,	,	,
UK	uk	UK
and	and	and
France	franc	France
,	,	,
immediately	immedi	immediately
rushed	rush	rushed
to	to	to
their	their	their
media	media	medium
pulpits	pulpit	pulpit
to	to	to
claim	claim	claim
that	that	that
this	this	this
was	was	wa
proof	proof	proof
that	that	that
Syria	syria	Syria
,	,	,
under	under	under
the	the	the
leadership	leadership	leadership
of	of	of
President	presid	President
Bashar	bashar	Bashar
al	al	al
Assad	assad	Assad
,	,	,
was	was	wa
somehow	somehow	somehow
guilty	guilti	guilty
again	again	again
of	of	of
the	the	the
charge	charg	charge
of	of	of
using	use	using
chlorine	chlorin	chlorine
bombs	bomb	bomb
against	against	against
its	it	it
own	own	own
people	peopl	people
.	.	.
This	this	This
latest	latest	latest
UN	un	UN
report	report	report
was	was	wa
the	the	the
result	result	result
of	of	of
a	a	a
year	year	year
-long	-long	-long
joint	joint	joint
inquiry	inquiri	inquiry
with	with	with
the	the	the
Organization	organ	Organization
for	for	for
the	the	the
Prohibition	prohibit	Prohibition
of	of	of
Chemical	chemic	Chemical
Weapons	weapon	Weapons
.	.	.
Before	befor	Before
the	the	the
full	full	full
report	report	report
was	was	wa
even	even	even
released	releas	released
,	,	,
western	western	western
officials	offici	official
and	and	and
their	their	their
media	media	medium
surrogates	surrog	surrogate
began	began	began
hysterically	hyster	hysterically
claiming	claim	claiming
that	that	that
it	it	it
was	was	wa
imperative	imper	imperative
for	for	for
the	the	the
UN	un	UN
Security	secur	Security
Council	council	Council
to	to	to
move	move	move
for	for	for
more	more	more
sanctions	sanction	sanction
against	against	against
Syria	syria	Syria
,	,	,
to	to	to
impose	impos	impose
a	a	a
Safe	safe	Safe
Zone	zone	Zone
No	no	No
-Fly	-fli	-Fly
Zone	zone	Zone
and	and	and
to	to	to
possibly	possibl	possibly
give	give	give
more	more	more
license	licens	license
to	to	to
increasing	increas	increasing
US	us	US
-led	-led	-led
military	militari	military
intervention	intervent	intervention
in	in	in
Syria	syria	Syria
.	.	.
When	when	When
confronted	confront	confronted
with	with	with
the	the	the
summary	summari	summary
of	of	of
the	the	the
yet	yet	yet
-to-be	-to-b	-to-be
released	releas	released
report	report	report
,	,	,
Russian	russian	Russian
Ambassador	ambassador	Ambassador
to	to	to
the	the	the
UN	un	UN
,	,	,
Vitaly	vitali	Vitaly
Churkin	churkin	Churkin
,	,	,
came	came	came
straight	straight	straight
out	out	out
of	of	of
the	the	the
gates	gate	gate
,	,	,
stating	state	stating
it	it	it
was	was	wa
wrong	wrong	wrong
to	to	to
jump	jump	jump
to	to	to
conclusions	conclus	conclusion
before	befor	before
actually	actual	actually
reading	read	reading
the	the	the
report	report	report
,	,	,
replying	repli	replying
simply	simpli	simply
,	,	,
There	there	There
are	are	are
a	a	a
number	number	number
of	of	of
questions	question	question
which	which	which
have	have	have
to	to	to
be	be	be
clarified	clarifi	clarified
before	befor	before
we	we	we
accept	accept	accept
all	all	all
the	the	the
findings	find	finding
of	of	of
the	the	the
report	report	report
.	.	.
Russian	russian	Russian
Ambassador	ambassador	Ambassador
to	to	to
the	the	the
UN	un	UN
,	,	,
Vitaly	vitali	Vitaly
Churkin	churkin	Churkin
.	.	.
This	this	This
week	week	week
the	the	the
full	full	full
report	report	report
was	was	wa
finally	final	finally
released	releas	released
,	,	,
and	and	and
as	as	a
it	it	it
turns	turn	turn
out	out	out
Russia	russia	Russia
s	s	s
Churkin	churkin	Churkin
was	was	wa
100	100	100
correct	correct	correct
.	.	.
The	the	The
report	report	report
,	,	,
as	as	a
with	with	with
many	mani	many
other	other	other
US	us	US
-led	-led	-led
attempts	attempt	attempt
to	to	to
fabricate	fabric	fabricate
cases	case	case
of	of	of
weapons	weapon	weapon
of	of	of
mass	mass	mass
destruction	destruct	destruction
against	against	against
governments	govern	government
it	it	it
wishes	wish	wish
to	to	to
depose	depos	depose
,	,	,
seems	seem	seems
at	at	at
the	the	the
very	veri	very
least	least	least
to	to	to
be	be	be
sexed	sex	sexed
-up	-up	-up
,	,	,
and	and	and
at	at	at
most	most	most
a	a	a
completely	complet	completely
fraudulent	fraudul	fraudulent
assessment	assess	assessment
of	of	of
events	event	event
on	on	on
the	the	the
ground	ground	ground
in	in	in
Syria	syria	Syria
.	.	.
The	the	The
only	onli	only
real	real	real
conclusive	conclus	conclusive
findings	find	finding
in	in	in
this	this	this
report	report	report
point	point	point
to	to	to
ISIS	isi	ISIS
using	use	using
sulfur	sulfur	sulfur
mustard	mustard	mustard
gas	gas	gas
in	in	in
Syria	syria	Syria
.	.	.
Once	onc	Once
again	again	again
,	,	,
the	the	the
West	west	West
,	,	,
led	led	led
by	by	by
the	the	the
United	unit	United
States	state	States
,	,	,
has	has	ha
attempted	attempt	attempted
to	to	to
position	posit	position
what	what	what
appears	appear	appears
to	to	to
be	be	be
another	anoth	another
fabricated	fabric	fabricated
case	case	case
against	against	against
the	the	the
Syrian	syrian	Syrian
government	govern	government
and	and	and
place	place	place
that	that	that
in	in	in
the	the	the
same	same	same
report	report	report
next	next	next
to	to	to
real	real	real
findings	find	finding
of	of	of
a	a	a
malicious	malici	malicious
ISIS	isi	ISIS
chemical	chemic	chemical
weapons	weapon	weapon
attack	attack	attack
in	in	in
a	a	a
somewhat	somewhat	somewhat
crude	crude	crude
attempt	attempt	attempt
to	to	to
conflate	conflat	conflate
the	the	the
two	two	two
ISIS	isi	ISIS
and	and	and
Assad	assad	Assad
in	in	in
the	the	the
court	court	court
of	of	of
public	public	public
opinion	opinion	opinion
.	.	.
Even	even	Even
worse	wors	worse
than	than	than
attempting	attempt	attempting
to	to	to
falsely	fals	falsely
attribute	attribut	attribute
chemical	chemic	chemical
weapons	weapon	weapon
attacks	attack	attack
to	to	to
Syria	syria	Syria
and	and	and
Assad	assad	Assad
,	,	,
the	the	the
UN	un	UN
is	is	is
also	also	also
guilty	guilti	guilty
of	of	of
ignoring	ignor	ignoring
witness	wit	witness
testimonies	testimoni	testimony
that	that	that
have	have	have
said	said	said
chlorine	chlorin	chlorine
attacks	attack	attack
were	were	were
in	in	in
fact	fact	fact
staged	stage	staged
by	by	by
western	western	western
-backed	-back	-backed
rebels	rebel	rebel
see	see	see
details	detail	detail
and	and	and
assessment	assess	assessment
of	of	of
the	the	the
UN	un	UN
report	report	report
below	below	below
.	.	.
POWELL	powel	POWELL
POWER	power	POWER
Same	same	Same
WMD	wmd	WMD
fraud	fraud	fraud
,	,	,
different	differ	different
target	target	target
nation	nation	nation
.	.	.
You	you	You
could	could	could
tell	tell	tell
that	that	that
a	a	a
desperate	desper	desperate
agenda	agenda	agenda
was	was	wa
in	in	in
play	play	play
judging	judg	judging
by	by	by
the	the	the
over	over	over
-the-top	-the-top	-the-top
and	and	and
leading	lead	leading
statements	statement	statement
made	made	made
by	by	by
US	us	US
,	,	,
UK	uk	UK
and	and	and
French	french	French
representatives	repres	representative
before	befor	before
the	the	the
report	report	report
was	was	wa
released	releas	released
two	two	two
weeks	week	week
ago	ago	ago
.	.	.
Of	of	Of
course	cours	course
,	,	,
leading	lead	leading
the	the	the
charge	charg	charge
,	,	,
with	with	with
a	a	a
her	her	her
summary	summari	summary
of	of	of
the	the	the
yet	yet	yet
-to-be	-to-b	-to-be
released	releas	released
fraudulent	fraudul	fraudulent
assessment	assess	assessment
in	in	in
hand	hand	hand
,	,	,
was	was	wa
R2P	r2p	R2P
hawk	hawk	hawk
and	and	and
US	us	US
Ambassador	ambassador	Ambassador
to	to	to
the	the	the
UN	un	UN
,	,	,
Samantha	samantha	Samantha
Power	power	Power
,	,	,
who	who	who
insisted	insist	insisted
that	that	that
Syria	syria	Syria
must	must	must
pay	pay	pay
a	a	a
price	price	price
.	.	.
She	she	She
added	ad	added
,	,	,
It	it	It
is	is	is
incumbent	incumb	incumbent
on	on	on
the	the	the
council	council	council
to	to	to
act	act	act
swiftly	swift	swiftly
to	to	to
show	show	show
that	that	that
when	when	when
we	we	we
put	put	put
that	that	that
Joint	joint	Joint
Investigative	investig	Investigative
Mechanism	mechan	Mechanism
in	in	in
place	place	place
we	we	we
were	were	were
serious	serious	serious
about	about	about
there	there	there
being	be	being
meaningful	meaning	meaningful
accountability	account	accountability
.	.	.
Once	onc	Once
again	again	again
,	,	,
just	just	just
like	like	like
Colin	colin	Colin
Powell	powel	Powell
before	befor	before
her	her	her
,	,	,
and	and	and
as	as	a
with	with	with
Iraq	iraq	Iraq
the	the	the
west	west	west
brazenly	brazen	brazenly
touts	tout	tout
another	anoth	another
dodgy	dodgi	dodgy
dossier	dossier	dossier
,	,	,
custom	custom	custom
-made	-made	-made
for	for	for
yet	yet	yet
another	anoth	another
humanitarian	humanitarian	humanitarian
stitch	stitch	stitch
-up	-up	-up
.	.	.
British	british	British
UN	un	UN
Ambassador	ambassador	Ambassador
Matthew	matthew	Matthew
Rycroft	rycroft	Rycroft
also	also	also
joined	join	joined
-in	-in	-in
the	the	the
diplomatic	diplomat	diplomatic
pantomime	pantomim	pantomime
,	,	,
saying	say	saying
the	the	the
UK	uk	UK
is	is	is
calling	call	calling
for	for	for
the	the	the
imposition	imposit	imposition
of	of	of
a	a	a
sanctions	sanction	sanction
regime	regim	regime
and	and	and
some	some	some
form	form	form
of	of	of
accountability	account	accountability
within	within	within
international	intern	international
legal	legal	legal
mechanisms	mechan	mechanism
.	.	.
French	french	French
UN	un	UN
Ambassador	ambassador	Ambassador
Francois	francoi	Francois
Delattre	delattr	Delattre
demanded	demand	demanded
a	a	a
quick	quick	quick
and	and	and
strong	strong	strong
security	secur	security
council	council	council
response	respons	response
and	and	and
said	said	said
,	,	,
We	we	We
need	need	need
a	a	a
resolution	resolut	resolution
with	with	with
teeth	teeth	teeth
.	.	.
Back	back	Back
in	in	in
August	august	August
2013	2013	2013
,	,	,
Western	western	Western
and	and	and
Saudi	saudi	Saudi
-backed	-back	-backed
rebels	rebel	rebel
launched	launch	launched
an	an	an
elaborate	elabor	elaborate
media	media	medium
-driven	-driven	-driven
WMD	wmd	WMD
hoax	hoax	hoax
also	also	also
designed	design	designed
to	to	to
assign	assign	assign
blame	blame	blame
to	to	to
the	the	the
Syrian	syrian	Syrian
Government	govern	Government
for	for	for
sarin	sarin	sarin
gas	gas	gas
attacks	attack	attack
in	in	in
East	east	East
Ghouta	ghouta	Ghouta
,	,	,
Damascus	damascus	Damascus
.	.	.
Western	western	Western
newspapers	newspap	newspaper
ran	ran	ran
photos	photo	photo
of	of	of
Assad	assad	Assad
with	with	with
headlines	headlin	headline
like	like	like
,	,	,
Now	now	Now
They	they	They
re	re	re
Gassing	gass	Gassing
Their	their	Their
Own	own	Own
Children	children	Children
image	imag	image
,	,	,
above	abov	above
.	.	.
On	on	On
the	the	the
back	back	back
of	of	of
that	that	that
stunt	stunt	stunt
,	,	,
both	both	both
the	the	the
US	us	US
and	and	and
the	the	the
UK	uk	UK
even	even	even
went	went	went
so	so	so
far	far	far
as	as	a
to	to	to
press	press	press
for	for	for
a	a	a
declaration	declar	declaration
of	of	of
war	war	war
vote	vote	vote
in	in	in
both	both	both
their	their	their
parliaments	parliament	parliament
.	.	.
Unfortunately	unfortun	Unfortunately
for	for	for
their	their	their
military	militari	military
industrial	industri	industrial
complexes	complex	complex
,	,	,
the	the	the
public	public	public
did	did	did
not	not	not
buy	buy	buy
it	it	it
,	,	,
but	but	but
that	that	that
