In	in	In
big	big	big
news	news	news
coming	come	coming
out	out	out
of	of	of
the	the	the
Supreme	suprem	Supreme
Court	court	Court
,	,	,
it	it	it
was	was	wa
the	the	the
opinion	opinion	opinion
of	of	of
the	the	the
Court	court	Court
that	that	that
a	a	a
decision	decis	decision
made	made	made
by	by	by
an	an	an
Alabama	alabama	Alabama
court	court	court
refusing	refus	refusing
to	to	to
recognize	recogn	recognize
a	a	a
same	same	same
-sex	-sex	-sex
adoption	adopt	adoption
will	will	will
be	be	be
overturned	overturn	overturned
.	.	.
When	when	When
one	one	one
half	half	half
of	of	of
an	an	an
Alabama	alabama	Alabama
couple	coupl	couple
sought	sought	sought
to	to	to
have	have	have
the	the	the
adoption	adopt	adoption
of	of	of
her	her	her
children	children	child
be	be	be
recognized	recogn	recognized
in	in	in
her	her	her
state	state	state
of	of	of
Alabama	alabama	Alabama
,	,	,
she	she	she
was	was	wa
denied	deni	denied
,	,	,
even	even	even
though	though	though
the	the	the
couple	coupl	couple
together	togeth	together
had	had	had
previously	previous	previously
been	been	been
granted	grant	granted
approval	approv	approval
by	by	by
the	the	the
state	state	state
of	of	of
Georgia	georgia	Georgia
.	.	.

The	the	The
couple	coupl	couple
has	has	ha
since	sinc	since
split	split	split
up	up	up
,	,	,
but	but	but
both	both	both
individuals	individu	individual
are	are	are
still	still	still
parents	parent	parent
to	to	to
their	their	their
children	children	child
,	,	,
as	as	a
it	it	it
would	would	would
be	be	be
with	with	with
any	ani	any
heterosexual	heterosexu	heterosexual
couple	coupl	couple
.	.	.

However	howev	However
,	,	,
the	the	the
entire	entir	entire
thing	thing	thing
does	doe	doe
start	start	start
to	to	to
get	get	get
very	veri	very
confusing	confus	confusing
.	.	.
Here	here	Here
s	s	s
the	the	the
run	run	run
down	down	down
via	via	via
NPR	npr	NPR
The	the	The
two	two	two
women	women	woman
in	in	in
the	the	the
case	case	case
were	were	were
together	togeth	together
for	for	for
16	16	16
years	year	year
,	,	,
and	and	and
they	they	they
had	had	had
three	three	three
children	children	child
conceived	conceiv	conceived
by	by	by
assisted	assist	assisted
reproductive	reproduct	reproductive
technology	technolog	technology
an	an	an
older	older	older
daughter	daughter	daughter
,	,	,
now	now	now
13	13	13
,	,	,
and	and	and
boy	boy	boy
and	and	and
girl	girl	girl
twins	twin	twin
,	,	,
now	now	now
11	11	11
.	.	.

The	the	The
actual	actual	actual
names	name	name
of	of	of
the	the	the
parents	parent	parent
have	have	have
not	not	not
been	been	been
revealed	reveal	revealed
.	.	.

They	they	They
are	are	are
identified	identifi	identified
in	in	in
court	court	court
documents	document	document
by	by	by
the	the	the
initials	initi	initial
V	v	V
.	.	.
L	l	L
.	.	.
and	and	and
E	e	E
.	.	.
L	l	L
.	.	.
E	e	E
.	.	.
L	l	L
.	.	.
was	was	wa
the	the	the
biological	biolog	biological
mother	mother	mother
and	and	and
V	v	V
.	.	.
L	l	L
.	.	.
