Right	right	Right
-wing	-wing	-wing
Christian	christian	Christian
extremism	extrem	extremism
is	is	is
a	a	a
cancer	cancer	cancer
that	that	that
is	is	is
infecting	infect	infecting
American	american	American
society	societi	society
at	at	at
all	all	all
levels	level	level
,	,	,
and	and	and
the	the	the
worst	worst	worst
of	of	of
it	it	it
is	is	is
that	that	that
it	it	it
has	has	ha
infected	infect	infected
our	our	our
school	school	school
systems	system	system
at	at	at
an	an	an
alarming	alarm	alarming
level	level	level
.	.	.
Case	case	Case
in	in	in
point	point	point
a	a	a
school	school	school
board	board	board
member	member	member
in	in	in
Omaha	omaha	Omaha
,	,	,
Nebraska	nebraska	Nebraska
,	,	,
who	who	who
literally	liter	literally
told	told	told
atheists	atheist	atheist
to	to	to
crawl	crawl	crawl
back	back	back
in	in	in
their	their	their
hellhole	hellhol	hellhole
all	all	all
over	over	over
changing	chang	changing
the	the	the
school	school	school
calendar	calendar	calendar
to	to	to
read	read	read
winter	winter	winter
break	break	break
instead	instead	instead
of	of	of
Christmas	christma	Christmas
break	break	break
.	.	.
Paul	paul	Paul
Meyer	meyer	Meyer
,	,	,
who	who	who
sits	sit	sits
on	on	on
the	the	the
Millard	millard	Millard
Public	public	Public
School	school	School
Board	board	Board
,	,	,
is	is	is
your	your	your
typical	typic	typical
Christian	christian	Christian
extremist	extremist	extremist
,	,	,
hellbent	hellbent	hellbent
on	on	on
injecting	inject	injecting
his	his	his
personal	person	personal
religious	religi	religious
beliefs	belief	belief
into	into	into
government	govern	government
and	and	and
ignoring	ignor	ignoring
the	the	the
United	unit	United
States	state	States
Constitution	constitut	Constitution
.	.	.
Meyer	meyer	Meyer
insists	insist	insists
that	that	that
he	he	he
is	is	is
a	a	a
little	littl	little
bit	bit	bit
tired	tire	tired
of	of	of
a	a	a
minute	minut	minute
minority	minor	minority
in	in	in
this	this	this
country	countri	country
that	that	that
keeps	keep	keep
pushing	push	pushing
Christmas	christma	Christmas
out	out	out
,	,	,
keep	keep	keep
pushing	push	pushing
God	god	God
out	out	out
,	,	,
keep	keep	keep
pushing	push	pushing
Christ	christ	Christ
out	out	out
,	,	,
when	when	when
the	the	the
majority	major	majority
is	is	is
still	still	still
a	a	a
Judeo	judeo	Judeo
-Christian	-christian	-Christian
country	countri	country
.	.	.
Meyer	meyer	Meyer
went	went	went
on	on	on
to	to	to
say	say	say
I	i	I
would	would	would
like	like	like
to	to	to
make	make	make
a	a	a
motion	motion	motion
that	that	that
we	we	we
rename	renam	rename
this	this	this
period	period	period
Christmas	christma	Christmas
break	break	break
,	,	,
and	and	and
those	those	those
atheists	atheist	atheist
who	who	who
don	don	don
t	t	t
like	like	like
