21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
says	say	say
Censorship	censorship	Censorship
is	is	is
running	run	running
rampant	rampant	rampant
on	on	on
the	the	the
world	world	world
s	s	s
largest	largest	largest
social	social	social
media	media	medium
website	websit	website
.	.	.
Watch	watch	Watch
a	a	a
video	video	video
of	of	of
this	this	this
report	report	report
here	here	here
.	.	.
Former	former	Former
Facebook	facebook	Facebook
workers	worker	worker
have	have	have
come	come	come
out	out	out
with	with	with
shocking	shock	shocking
revelations	revel	revelation
that	that	that
the	the	the
social	social	social
media	media	medium
giant	giant	giant
is	is	is
actively	activ	actively
censoring	censor	censoring
conservative	conserv	conservative
news	news	news
topics	topic	topic
and	and	and
reports	report	report
,	,	,
while	while	while
also	also	also
falsifying	falsifi	falsifying
its	it	it
list	list	list
of	of	of
trending	trend	trending
topics	topic	topic
.	.	.
The	the	The
source	sourc	source
says	say	say
that	that	that
workers	worker	worker
routinely	routin	routinely
prevented	prevent	prevented
stories	stori	story
about	about	about
the	the	the
right	right	right
-wing	-wing	-wing
CPAC	cpac	CPAC
gathering	gather	gathering
,	,	,
Mitt	mitt	Mitt
Romney	romney	Romney
,	,	,
Rand	rand	Rand
Paul	paul	Paul
,	,	,
and	and	and
other	other	other
conservative	conserv	conservative
topics	topic	topic
from	from	from
appearing	appear	appearing
in	in	in
the	the	the
highly	high	highly
-influential	-influenti	-influential
section	section	section
,	,	,
despite	despit	despite
the	the	the
fact	fact	fact
that	that	that
they	they	they
were	were	were
organically	organ	organically
trending	trend	trending
on	on	on
the	the	the
site	site	site
.	.	.
The	the	The
workers	worker	worker
were	were	were
known	known	known
as	as	a
news	news	news
curators	curat	curator
,	,	,
and	and	and
even	even	even
actively	activ	actively
injected	inject	injected
news	news	news
stories	stori	story
and	and	and
reports	report	report
into	into	into
the	the	the
trending	trend	trending
list	list	list
even	even	even
when	when	when
they	they	they
were	were	were
not	not	not
organically	organ	organically
popular	popular	popular
enough	enough	enough
to	to	to
be	be	be
included	includ	included
.	.	.
Facebook	facebook	Facebook
claims	claim	claim
that	that	that
the	the	the
site	site	site
s	s	s
news	news	news
trends	trend	trend
section	section	section
shows	show	show
you	you	you
topics	topic	topic
that	that	that
have	have	have
recently	recent	recently
become	becom	become
popular	popular	popular
on	on	on
Facebook	facebook	Facebook
,	,	,
but	but	but
these	these	these
revelations	revel	revelation
mean	mean	mean
that	that	that
the	the	the
section	section	section
actually	actual	actually
just	just	just
reflects	reflect	reflects
the	the	the
personal	person	personal
biases	bias	bias
of	of	of
its	it	it
owners	owner	owner
and	and	and
the	the	the
institutional	institut	institutional
concerns	concern	concern
of	of	of
the	the	the
corporation	corpor	corporation
.	.	.
The	the	The
anonymous	anonym	anonymous
source	sourc	source
said	said	said
Depending	depend	Depending
on	on	on
who	who	who
was	was	wa
on	on	on
shift	shift	shift
,	,	,
things	thing	thing
would	would	would
be	be	be
blacklisted	blacklist	blacklisted
or	or	or
trending	trend	trending
,	,	,
I	i	I
believe	believ	believe
it	it	it
had	had	had
a	a	a
chilling	chill	chilling
effect	effect	effect
on	on	on
conservative	conserv	conservative
news	news	news
,	,	,
I	i	I
d	d	d
come	come	come
on	on	on
shift	shift	shift
and	and	and
I	i	I
d	d	d
discover	discov	discover
that	that	that
CPAC	cpac	CPAC
or	or	or
Mitt	mitt	Mitt
Romney	romney	Romney
or	or	or
Glenn	glenn	Glenn
Beck	beck	Beck
or	or	or
popular	popular	popular
conservative	conserv	conservative
topics	topic	topic
wouldn	wouldn	wouldn
t	t	t
be	be	be
trending	trend	trending
because	becaus	because
either	either	either
the	the	the
curator	curat	curator
didn	didn	didn
t	t	t
recognize	recogn	recognize
the	the	the
news	news	news
topic	topic	topic
or	or	or
it	it	it
was	was	wa
like	like	like
they	they	they
had	had	had
a	a	a
bias	bias	bias
against	against	against
Ted	ted	Ted
Cruz	cruz	Cruz
.	.	.
The	the	The
source	sourc	source
kept	kept	kept
an	an	an
active	activ	active
log	log	log
of	of	of
the	the	the
omissions	omiss	omission
,	,	,
which	which	which
included	includ	included
former	former	former
IRS	ir	IRS
official	offici	official
Lois	loi	Lois
Lerner	lerner	Lerner
,	,	,
who	who	who
was	was	wa
accused	accus	accused
by	by	by
Republicans	republican	Republicans
of	of	of
inappropriately	inappropri	inappropriately
scrutinizing	scrutin	scrutinizing
conservative	conserv	conservative
groups	group	group
;	;	;
Wisconsin	wisconsin	Wisconsin
Gov	gov	Gov
.	.	.
Scott	scott	Scott
Walker	walker	Walker
;	;	;
popular	popular	popular
conservative	conserv	conservative
news	news	news
aggregator	aggreg	aggregator
the	the	the
Drudge	drudg	Drudge
Report	report	Report
;	;	;
Chris	chris	Chris
Kyle	kyle	Kyle
,	,	,
the	the	the
former	former	former
Navy	navi	Navy
SEAL	seal	SEAL
who	who	who
was	was	wa
murdered	murder	murdered
in	in	in
2013	2013	2013
;	;	;
and	and	and
former	former	former
Fox	fox	Fox
News	news	News
contributor	contributor	contributor
Steven	steven	Steven
Crowder	crowder	Crowder
.	.	.
Yet	yet	Yet
,	,	,
while	while	while
omissions	omiss	omission
are	are	are
worrying	worri	worrying
,	,	,
the	the	the
scariest	scariest	scariest
aspect	aspect	aspect
of	of	of
this	this	this
story	stori	story
is	is	is
how	how	how
Facebook	facebook	Facebook
actively	activ	actively
injects	inject	injects
falsified	falsifi	falsified
trends	trend	trend
into	into	into
the	the	the
news	news	news
feeds	feed	feed
of	of	of
its	it	it
one	one	one
billion	billion	billion
users	user	user
.	.	.
The	the	The
corporation	corpor	corporation
can	can	can
fraudulently	fraudul	fraudulently
set	set	set
not	not	not
only	onli	only
a	a	a
national	nation	national
,	,	,
but	but	but
international	intern	international
,	,	,
conversation	convers	conversation
on	on	on
a	a	a
topic	topic	topic
of	of	of
its	it	it
choosing	choos	choosing
and	and	and
also	also	also
skew	skew	skew
its	it	it
bias	bias	bias
toward	toward	toward
which	which	which
ever	ever	ever
way	way	way
its	it	it
owners	owner	owner
lean	lean	lean
.	.	.
The	the	The
source	sourc	source
continued	continu	continued
Facebook	facebook	Facebook
got	got	got
a	a	a
lot	lot	lot
of	of	of
pressure	pressur	pressure
about	about	about
not	not	not
having	have	having
a	a	a
trending	trend	trending
topic	topic	topic
for	for	for
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
.	.	.
They	they	They
realized	realiz	realized
it	it	it
was	was	wa
a	a	a
problem	problem	problem
,	,	,
and	and	and
they	they	they
boosted	boost	boosted
it	it	it
in	in	in
the	the	the
ordering	order	ordering
.	.	.
They	they	They
gave	gave	gave
it	it	it
preference	prefer	preference
over	over	over
other	other	other
topics	topic	topic
.	.	.
When	when	When
we	we	we
injected	inject	injected
it	it	it
,	,	,
everyone	everyon	everyone
started	start	started
saying	say	saying
,	,	,
Yeah	yeah	Yeah
,	,	,
now	now	now
I	i	I
m	m	m
seeing	see	seeing
it	it	it
as	as	a
number	number	number
one	one	one
.	.	.
The	the	The
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
movement	movement	movement
is	is	is
widely	wide	widely
credited	credit	credited
as	as	a
having	have	having
originated	origin	originated
from	from	from
social	social	social
media	media	medium
,	,	,
but	but	but
this	this	this
suggests	suggest	suggests
that	that	that
its	it	it
true	true	true
origins	origin	origin
lie	lie	lie
elsewhere	elsewher	elsewhere
in	in	in
the	the	the
hands	hand	hand
of	of	of
very	veri	very
small	small	small
group	group	group
of	of	of
elite	elit	elite
news	news	news
curators	curat	curator
seeking	seek	seeking
to	to	to
implement	implement	implement
their	their	their
own	own	own
personal	person	personal
agenda	agenda	agenda
in	in	in
American	american	American
politics	polit	politics
.	.	.
Facebook	facebook	Facebook
s	s	s
response	respons	response
to	to	to
these	these	these
damning	damn	damning
revelations	revel	revelation
is	is	is
most	most	most
definitely	definit	definitely
lacking	lack	lacking
We	we	We
take	take	take
allegations	alleg	allegation
of	of	of
bias	bias	bias
very	veri	very
seriously	serious	seriously
.	.	.
Facebook	facebook	Facebook
is	is	is
a	a	a
platform	platform	platform
for	for	for
people	peopl	people
and	and	and
perspectives	perspect	perspective
from	from	from
across	across	across
the	the	the
political	polit	political
spectrum	spectrum	spectrum
.	.	.
Trending	trend	Trending
Topics	topic	Topics
shows	show	show
you	you	you
the	the	the
popular	popular	popular
topics	topic	topic
and	and	and
hashtags	hashtag	hashtags
that	that	that
are	are	are
being	be	being
talked	talk	talked
about	about	about
on	on	on
Facebook	facebook	Facebook
.	.	.
There	there	There
are	are	are
rigorous	rigor	rigorous
guidelines	guidelin	guideline
in	in	in
place	place	place
for	for	for
the	the	the
review	review	review
team	team	team
to	to	to
ensure	ensur	ensure
consistency	consist	consistency
and	and	and
neutrality	neutral	neutrality
.	.	.
These	these	These
guidelines	guidelin	guideline
do	do	do
not	not	not
permit	permit	permit
the	the	the
suppression	suppress	suppression
of	of	of
political	polit	political
perspectives	perspect	perspective
.	.	.
Nor	nor	Nor
do	do	do
they	they	they
permit	permit	permit
the	the	the
prioritization	priorit	prioritization
of	of	of
one	one	one
viewpoint	viewpoint	viewpoint
over	over	over
another	anoth	another
or	or	or
one	one	one
news	news	news
outlet	outlet	outlet
over	over	over
another	anoth	another
.	.	.
These	these	These
guidelines	guidelin	guideline
do	do	do
not	not	not
prohibit	prohibit	prohibit
any	ani	any
news	news	news
outlet	outlet	outlet
from	from	from
appearing	appear	appearing
in	in	in
Trending	trend	Trending
Topics	topic	Topics
.	.	.
READ	read	READ
MORE	more	MORE
ON	on	ON
FACEBOOK	facebook	FACEBOOK
S	s	S
SCHEMING	scheme	SCHEMING
21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
Facebook	facebook	Facebook
Files	file	Files
