If	if	If
this	this	this
becomes	becom	becomes
a	a	a
Republican	republican	Republican
strategy	strategi	strategy
across	across	across
the	the	the
country	countri	country
,	,	,
the	the	the
American	american	American
people	peopl	people
will	will	will
suffer	suffer	suffer
greatly	great	greatly
.	.	.
Maine	main	Maine
voters	voter	voter
approved	approv	approved
state	state	state
minimum	minimum	minimum
wage	wage	wage
increase	increas	increase
to	to	to
9	9	9
an	an	an
hour	hour	hour
earlier	earlier	earlier
this	this	this
year	year	year
by	by	by
a	a	a
10	10	10
point	point	point
margin	margin	margin
.	.	.

That	that	That
s	s	s
means	mean	mean
the	the	the
state	state	state
government	govern	government
must	must	must
honor	honor	honor
the	the	the
will	will	will
of	of	of
the	the	the
people	peopl	people
and	and	and
punish	punish	punish
any	ani	any
employer	employ	employer
that	that	that
doesn	doesn	doesn
t	t	t
comply	compli	comply
with	with	with
the	the	the
law	law	law
.	.	.
But	but	But
Governor	governor	Governor
Paul	paul	Paul
LePage	lepag	LePage
is	is	is
opening	open	opening
the	the	the
door	door	door
for	for	for
employers	employ	employer
to	to	to
openly	open	openly
ignore	ignor	ignore
and	and	and
defy	defi	defy
the	the	the
law	law	law
,	,	,
which	which	which
sets	set	set
a	a	a
dangerous	danger	dangerous
precedent	preced	precedent
that	that	that
Republicans	republican	Republicans
will	will	will
likely	like	likely
employ	employ	employ
around	around	around
the	the	the
nation	nation	nation
in	in	in
order	order	order
to	to	to
get	get	get
around	around	around
the	the	the
minimum	minimum	minimum
wage	wage	wage
laws	law	law
they	they	they
hate	hate	hate
.	.	.
The	the	The
strategy	strategi	strategy
is	is	is
simple	simpl	simple
,	,	,
just	just	just
don	don	don
t	t	t
enforce	enforc	enforce
the	the	the
law	law	law
and	and	and
let	let	let
employers	employ	employer
treat	treat	treat
employees	employe	employee
like	like	like
slaves	slave	slave
.	.	.
And	and	And
that	that	that
s	s	s
what	what	what
LePage	lepag	LePage
is	is	is
toying	toy	toying
with	with	with
as	as	a
he	he	he
tests	test	test
his	his	his
strategy	strategi	strategy
out	out	out
for	for	for
the	the	the
next	next	next
month	month	month
.	.	.
According	accord	According
to	to	to
an	an	an
announcement	announc	announcement
by	by	by
the	the	the
Tea	tea	Tea
Party	parti	Party
governor	governor	governor
,	,	,
From	from	From
Jan	jan	Jan
.	.	.

7	7	7
,	,	,
2017	2017	2017
,	,	,
when	when	when
the	the	the
new	new	new
minimum	minimum	minimum
wage	wage	wage
law	law	law
is	is	is
scheduled	schedul	scheduled
to	to	to
go	go	go
into	into	into
effect	effect	effect
,	,	,
and	and	and
until	until	until
Jan	jan	Jan
.	.	.

31	31	31
,	,	,
2017	2017	2017
,	,	,
the	the	the
department	depart	department
will	will	will
not	not	not
bring	bring	bring
enforcement	enforc	enforcement
actions	action	action
against	against	against
any	ani	any
employer	employ	employer
who	who	who
fails	fail	fails
to	to	to
comply	compli	comply
with	with	with
the	the	the
change	chang	change
in	in	in
the	the	the
tip	tip	tip
credit	credit	credit
or	or	or
the	the	the
minimum	minimum	minimum
salary	salari	salary
requirement	requir	requirement
for	for	for
overtime	overtim	overtime
-exempt	-exempt	-exempt
workers	worker	worker
.	.	.

Employers	employ	Employers
are	are	are
expected	expect	expected
to	to	to
follow	follow	follow
the	the	the
law	law	law
and	and	and
pay	pay	pay
the	the	the
minimum	minimum	minimum
hourly	hour	hourly
wage	wage	wage
of	of	of
9	9	9
.	.	.
In	in	In
short	short	short
,	,	,
when	when	when
the	the	the
law	law	law
takes	take	take
effect	effect	effect
on	on	on
January	januari	January
7th	7th	7th
,	,	,
employers	employ	employer
can	can	can
ignore	ignor	ignore
it	it	it
at	at	at
least	least	least
until	until	until
January	januari	January
31st	31st	31st
.	.	.

That	that	That
is	is	is
,	,	,
unless	unless	unless
LePage	lepag	LePage
decides	decid	decides
to	to	to
extend	extend	extend
the	the	the
length	length	length
of	of	of
the	the	the
time	time	time
-period	-period	-period
,	,	,
which	which	which
he	he	he
could	could	could
do	do	do
since	sinc	since
he	he	he
s	s	s
an	an	an
asshole	asshol	asshole
.	.	.
And	and	And
this	this	this
could	could	could
end	end	end
up	up	up
becoming	becom	becoming
a	a	a
strategy	strategi	strategy
used	use	used
by	by	by
other	other	other
Republicans	republican	Republicans
in	in	in
other	other	other
states	state	state
and	and	and
even	even	even
at	at	at
the	the	the
federal	feder	federal
level	level	level
since	sinc	since
Donald	donald	Donald
Trump	trump	Trump
and	and	and
the	the	the
GOP	gop	GOP
control	control	control
the	the	the
government	govern	government
,	,	,
including	includ	including
the	the	the
Justice	justic	Justice
Department	depart	Department
and	and	and
the	the	the
Labor	labor	Labor
Department	depart	Department
.	.	.
Mainers	mainer	Mainers
for	for	for
Fair	fair	Fair
Wages	wage	Wages
campaign	campaign	campaign
manager	manag	manager
Amy	ami	Amy
Halsted	halst	Halsted
blasted	blast	blasted
LePage	lepag	LePage
for	for	for
defying	defi	defying
the	the	the
voters	voter	voter
and	and	and
every	everi	every
hardworking	hardwork	hardworking
person	person	person
who	who	who
desperately	desper	desperately
needs	need	need
the	the	the
wage	wage	wage
increase	increas	increase
.	.	.

Governor	governor	Governor
LePage	lepag	LePage
has	has	ha
now	now	now
gone	gone	gone
beyond	beyond	beyond
ignoring	ignor	ignoring
the	the	the
will	will	will
of	of	of
Maine	main	Maine
voters	voter	voter
and	and	and
is	is	is
flat	flat	flat
-out	-out	-out
encouraging	encourag	encouraging
employers	employ	employer
to	to	to
commit	commit	commit
wage	wage	wage
theft	theft	theft
,	,	,
she	she	she
said	said	said
.	.	.

Refusing	refus	Refusing
to	to	to
enforce	enforc	enforce
the	the	the
minimum	minimum	minimum
wage	wage	wage
law	law	law
,	,	,
and	and	and
especially	especi	especially
the	the	the
increase	increas	increase
in	in	in
the	the	the
base	base	base
wage	wage	wage
for	for	for
tipped	tip	tipped
workers	worker	worker
from	from	from
3	3	3
.	.	.
75	75	75
to	to	to
5	5	5
an	an	an
hour	hour	hour
,	,	,
is	is	is
a	a	a
slap	slap	slap
in	in	in
the	the	the
face	face	face
to	to	to
tens	ten	ten
of	of	of
thousands	thousand	thousand
of	of	of
Mainers	mainer	Mainers
who	who	who
are	are	are
working	work	working
hard	hard	hard
and	and	and
too	too	too
often	often	often
struggling	struggl	struggling
to	to	to
afford	afford	afford
heat	heat	heat
,	,	,
food	food	food
and	and	and
medicine	medicin	medicine
.	.	.

But	but	But
LePage	lepag	LePage
doesn	doesn	doesn
t	t	t
care	care	care
.	.	.

In	in	In
fact	fact	fact
,	,	,
he	he	he
accused	accus	accused
supporters	support	supporter
of	of	of
the	the	the
minimum	minimum	minimum
wage	wage	wage
increase	increas	increase
of	of	of
attempted	attempt	attempted
murder	murder	murder
and	and	and
said	said	said
they	they	they
should	should	should
be	be	be
put	put	put
in	in	in
prison	prison	prison
.	.	.

To	to	To
me	me	me
,	,	,
when	when	when
you	you	you
go	go	go
out	out	out
and	and	and
kill	kill	kill
somebody	somebodi	somebody
,	,	,
you	you	you
go	go	go
to	to	to
jail	jail	jail
,	,	,
he	he	he
said	said	said
.	.	.

Well	well	Well
,	,	,
this	this	this
is	is	is
attempted	attempt	attempted
murder	murder	murder
in	in	in
my	my	my
mind	mind	mind
because	becaus	because
it	it	it
is	is	is
pushing	push	pushing
people	peopl	people
to	to	to
the	the	the
brink	brink	brink
of	of	of
survival	surviv	survival
.	.	.

You	you	You
know	know	know
what	what	what
really	realli	really
pushes	push	push
people	peopl	people
to	to	to
the	the	the
brink	brink	brink
of	of	of
survival	surviv	survival
?	?	?

Not	not	Not
paying	pay	paying
them	them	them
enough	enough	enough
to	to	to
provide	provid	provide
themselves	themselv	themselves
with	with	with
basic	basic	basic
human	human	human
needs	need	need
like	like	like
food	food	food
,	,	,
clothes	cloth	clothes
,	,	,
