21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
says	say	say
Reactions	reaction	Reactions
around	around	around
the	the	the
world	world	world
are	are	are
mixed	mix	mixed
with	with	with
regards	regard	regard
to	to	to
the	the	the
first	first	first
salvo	salvo	salvo
of	of	of
executive	execut	executive
orders	order	order
coming	come	coming
out	out	out
of	of	of
the	the	the
Trump	trump	Trump
White	white	White
House	hous	House
,	,	,
but	but	but
here	here	here
s	s	s
one	one	one
that	that	that
will	will	will
likely	like	likely
have	have	have
many	mani	many
readers	reader	reader
nodding	nod	nodding
in	in	in
agreement	agreement	agreement
even	even	even
some	some	some
reluctant	reluct	reluctant
agreement	agreement	agreement
from	from	from
the	the	the
left	left	left
,	,	,
perhaps	perhap	perhaps
?	?	?
On	on	On
January	januari	January
28th	28th	28th
,	,	,
President	presid	President
Trump	trump	Trump
signed	sign	signed
the	the	the
Executive	execut	Executive
Order	order	Order
on	on	on
Ethics	ethic	Ethics
Commitments	commit	Commitments
by	by	by
Executive	execut	Executive
Branch	branch	Branch
Appointees	appointe	Appointees
.	.	.
Will	will	Will
this	this	this
executive	execut	executive
order	order	order
have	have	have
some	some	some
of	of	of
the	the	the
DC	dc	DC
swamp	swamp	swamp
life	life	life
scrambling	scrambl	scrambling
to	to	to
tune	tune	tune
up	up	up
the	the	the
ethics	ethic	ethic
associated	associ	associated
with	with	with
political	polit	political
appointees	appointe	appointee
and	and	and
lobbying	lobbi	lobbying
on	on	on
Capital	capit	Capital
Hill	hill	Hill
?	?	?
Has	has	Has
President	presid	President
Trump	trump	Trump
just	just	just
put	put	put
some	some	some
gravitas	gravita	gravitas
behind	behind	behind
his	his	his
campaign	campaign	campaign
promises	promis	promise
to	to	to
drain	drain	drain
the	the	the
swamp	swamp	swamp
?	?	?
Time	time	Time
will	will	will
tell	tell	tell
,	,	,
but	but	but
this	this	this
could	could	could
be	be	be
a	a	a
step	step	step
in	in	in
the	the	the
right	right	right
direction	direct	direction
in	in	in
curtailing	curtail	curtailing
some	some	some
of	of	of
the	the	the
power	power	power
that	that	that
lobbyists	lobbyist	lobbyist
can	can	can
wield	wield	wield
.	.	.
RT	rt	RT
has	has	ha
more	more	more
in	in	in
the	the	the
report	report	report
below	below	below
RTAs	rtas	RTAs
part	part	part
of	of	of
his	his	his
promise	promis	promise
to	to	to
drain	drain	drain
the	the	the
swamp	swamp	swamp
US	us	US
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
signed	sign	signed
an	an	an
ethics	ethic	ethic
commitments	commit	commitment
executive	execut	executive
order	order	order
restricting	restrict	restricting
his	his	his
administration	administr	administration
officials	offici	official
from	from	from
working	work	working
as	as	a
lobbyists	lobbyist	lobbyist
after	after	after
they	they	they
leave	leav	leave
government	govern	government
.	.	.
The	the	The
order	order	order
bans	ban	ban
his	his	his
appointees	appointe	appointee
from	from	from
lobbying	lobbi	lobbying
any	ani	any
government	govern	government
official	offici	official
for	for	for
two	two	two
years	year	year
and	and	and
the	the	the
agency	agenc	agency
they	they	they
worked	work	worked
in	in	in
for	for	for
five	five	five
years	year	year
.	.	.
It	it	It
also	also	also
prevents	prevent	prevents
them	them	them
from	from	from
ever	ever	ever
lobbying	lobbi	lobbying
the	the	the
US	us	US
on	on	on
behalf	behalf	behalf
of	of	of
a	a	a
foreign	foreign	foreign
government	govern	government
or	or	or
foreign	foreign	foreign
political	polit	political
parties	parti	party
.	.	.
The	the	The
order	order	order
is	is	is
solely	sole	solely
enforceable	enforc	enforceable
by	by	by
the	the	the
United	unit	United
States	state	States
by	by	by
any	ani	any
legally	legal	legally
available	avail	available
means	mean	mean
.	.	.
Anyone	anyon	Anyone
found	found	found
violating	violat	violating
the	the	the
ban	ban	ban
could	could	could
be	be	be
barred	bar	barred
from	from	from
lobbying	lobbi	lobbying
their	their	their
former	former	former
agency	agenc	agency
for	for	for
up	up	up
to	to	to
another	anoth	another
five	five	five
years	year	year
,	,	,
on	on	on
top	top	top
of	of	of
the	the	the
five	five	five
-year	-year	-year
period	period	period
covered	cover	covered
by	by	by
the	the	the
order	order	order
.	.	.
The	the	The
order	order	order
also	also	also
states	state	state
that	that	that
Trump	trump	Trump
,	,	,
or	or	or
his	his	his
designee	designe	designee
,	,	,
may	may	may
also	also	also
grant	grant	grant
to	to	to
any	ani	any
person	person	person
a	a	a
waiver	waiver	waiver
of	of	of
any	ani	any
of	of	of
restrictions	restrict	restriction
contained	contain	contained
in	in	in
the	the	the
pledge	pledg	pledge
.	.	.
A	a	A
huge	huge	huge
focus	focus	focus
of	of	of
Trump	trump	Trump
s	s	s
election	elect	election
campaign	campaign	campaign
was	was	wa
his	his	his
promise	promis	promise
to	to	to
tackle	tackl	tackle
Washington	washington	Washington
insiders	insid	insider
.	.	.
His	his	His
pledge	pledg	pledge
to	to	to
drain	drain	drain
the	the	the
swamp	swamp	swamp
became	becam	became
a	a	a
hugely	huge	hugely
popular	popular	popular
chant	chant	chant
at	at	at
his	his	his
rallies	ralli	rally
.	.	.
The	the	The
executive	execut	executive
order	order	order
is	is	is
an	an	an
effort	effort	effort
to	to	to
deliver	deliv	deliver
on	on	on
those	those	those
promises	promis	promise
however	howev	however
it	it	it
s	s	s
far	far	far
from	from	from
certain	certain	certain
that	that	that
it	it	it
will	will	will
be	be	be
effective	effect	effective
.	.	.
It	it	It
s	s	s
already	alreadi	already
common	common	common
for	for	for
former	former	former
officials	offici	official
to	to	to
find	find	find
ways	way	way
to	to	to
use	use	use
their	their	their
influence	influenc	influence
without	without	without
registering	regist	registering
as	as	a
lobbyists	lobbyist	lobbyist
.	.	.
Under	under	Under
the	the	the
Lobbying	lobbi	Lobbying
Disclosure	disclosur	Disclosure
Act	act	Act
,	,	,
former	former	former
officials	offici	official
can	can	can
avoid	avoid	avoid
registering	regist	registering
as	as	a
lobbyists	lobbyist	lobbyist
if	if	if
they	they	they
spend	spend	spend
less	less	le
than	than	than
20	20	20
percent	percent	percent
of	of	of
their	their	their
time	time	time
in	in	in
meetings	meet	meeting
with	with	with
government	govern	government
officials	offici	official
Continue	continu	Continue
this	this	this
report	report	report
at	at	at
RTREAD	rtread	RTREAD
MORE	more	MORE
TRUMP	trump	TRUMP
NEWS	news	NEWS
AT	at	AT
21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
Trump	trump	Trump
FilesSUPPORT	filessupport	FilesSUPPORT
OUR	our	OUR
WORK	work	WORK
BY	by	BY
SUBSCRIBING	subscrib	SUBSCRIBING
BECOMING	becom	BECOMING
A	a	A
MEMBER	member	MEMBER
@21WIRE	@21wire	@21WIRE
.	.	.
TV	tv	TV
