Donald	donald	Donald
Trump	trump	Trump
is	is	is
obsessed	obsess	obsessed
with	with	with
the	the	the
Russia	russia	Russia
investigation	investig	investigation
.	.	.

He	he	He
has	has	ha
a	a	a
right	right	right
to	to	to
be	be	be
;	;	;
after	after	after
all	all	all
,	,	,
this	this	this
is	is	is
the	the	the
modern	modern	modern
day	day	day
cancer	cancer	cancer
on	on	on
the	the	the
presidency	presid	presidency
that	that	that
Richard	richard	Richard
Nixon	nixon	Nixon
was	was	wa
warned	warn	warned
about	about	about
,	,	,
and	and	and
we	we	we
all	all	all
know	know	know
what	what	what
happened	happen	happened
there	there	there
.	.	.

However	howev	However
,	,	,
Nixon	nixon	Nixon
knew	knew	knew
how	how	how
to	to	to
keep	keep	keep
his	his	his
mouth	mouth	mouth
shut	shut	shut
,	,	,
and	and	and
Trump	trump	Trump
definitely	definit	definitely
doesn	doesn	doesn
t	t	t
.	.	.
In	in	In
a	a	a
new	new	new
interview	interview	interview
with	with	with
the	the	the
New	new	New
York	york	York
Times	time	Times
,	,	,
Trump	trump	Trump
rails	rail	rail
against	against	against
Attorney	attorney	Attorney
General	general	General
Jeff	jeff	Jeff
Sessions	session	Sessions
regarding	regard	regarding
Sessions	session	Sessions
decision	decis	decision
to	to	to
recuse	recus	recuse
himself	himself	himself
from	from	from
all	all	all
things	thing	thing
related	relat	related
to	to	to
Russia	russia	Russia
.	.	.

Of	of	Of
course	cours	course
,	,	,
Sessions	session	Sessions
really	realli	really
had	had	had
no	no	no
choice	choic	choice
after	after	after
it	it	it
was	was	wa
revealed	reveal	revealed
that	that	that
he	he	he
lied	lie	lied
to	to	to
the	the	the
Senate	senat	Senate
committee	committe	committee
about	about	about
his	his	his
own	own	own
meeting	meet	meeting
with	with	with
the	the	the
Russian	russian	Russian
Ambassador	ambassador	Ambassador
in	in	in
order	order	order
to	to	to
get	get	get
confirmed	confirm	confirmed
as	as	a
Attorney	attorney	Attorney
General	general	General
.	.	.

That	that	That
matters	matter	matter
not	not	not
to	to	to
Trump	trump	Trump
,	,	,
though	though	though
.	.	.

He	he	He
says	say	say
he	he	he
would	would	would
never	never	never
have	have	have
appointed	appoint	appointed
Sessions	session	Sessions
had	had	had
he	he	he
known	known	known
there	there	there
would	would	would
be	be	be
a	a	a
recusal	recus	recusal
.	.	.

Trump	trump	Trump
told	told	told
the	the	the
Times	time	Times
Jeff	jeff	Jeff
Sessions	session	Sessions
takes	take	take
the	the	the
job	job	job
,	,	,
gets	get	get
into	into	into
the	the	the
job	job	job
,	,	,
recuses	recus	recuses
himself	himself	himself
,	,	,
which	which	which
frankly	frank	frankly
I	i	I
think	think	think
is	is	is
very	veri	very
unfair	unfair	unfair
to	to	to
the	the	the
president	presid	president
.	.	.

How	how	How
do	do	do
you	you	you
take	take	take
a	a	a
job	job	job
and	and	and
then	then	then
recuse	recus	recuse
yourself	yourself	yourself
?	?	?

If	if	If
he	he	he
would	would	would
have	have	have
recused	recus	recused
himself	himself	himself
before	befor	before
the	the	the
job	job	job
,	,	,
I	i	I
would	would	would
have	have	have
said	said	said
,	,	,
Thanks	thank	Thanks
,	,	,
Jeff	jeff	Jeff
,	,	,
but	but	but
I	i	I
m	m	m
not	not	not
going	go	going
to	to	to
take	take	take
you	you	you
.	.	.

It	it	It
s	s	s
extremely	extrem	extremely
unfair	unfair	unfair
and	and	and
that	that	that
s	s	s
a	a	a
mild	mild	mild
word	word	word
to	to	to
the	the	the
president	presid	president
.	.	.

