Everybody	everybodi	Everybody
s	s	s
gotten	gotten	gotten
used	use	used
to	to	to
Donald	donald	Donald
Trump	trump	Trump
contradicting	contradict	contradicting
himself	himself	himself
.	.	.
You	you	You
can	can	can
almost	almost	almost
count	count	count
on	on	on
it	it	it
,	,	,
really	realli	really
.	.	.
But	but	But
with	with	with
the	the	the
exception	except	exception
of	of	of
a	a	a
few	few	few
notable	notabl	notable
misspellings	misspel	misspelling
and	and	and
typos	typo	typo
,	,	,
generally	general	generally
,	,	,
his	his	his
tweets	tweet	tweet
that	that	that
contradict	contradict	contradict
previous	previous	previous
tweets	tweet	tweet
don	don	don
t	t	t
come	come	come
on	on	on
the	the	the
same	same	same
day	day	day
,	,	,
let	let	let
alone	alon	alone
in	in	in
the	the	the
same	same	same
hour	hour	hour
.	.	.
And	and	And
a	a	a
contradictory	contradictori	contradictory
pair	pair	pair
in	in	in
the	the	the
span	span	span
of	of	of
eleven	eleven	eleven
minutes	minut	minute
?	?	?
Maybe	mayb	Maybe
he	he	he
s	s	s
reprising	repris	reprising
another	anoth	another
guy	guy	guy
s	s	s
role	role	role
.	.	.
Friday	friday	Friday
morning	morn	morning
,	,	,
Trump	trump	Trump
did	did	did
just	just	just
that	that	that
.	.	.
He	he	He
complains	complain	complains
all	all	all
the	the	the
time	time	time
,	,	,
but	but	but
the	the	the
two	two	two
complaints	complaint	complaint
that	that	that
he	he	he
tweeted	tweet	tweeted
just	just	just
after	after	after
6	6	6
30	30	30
his	his	his
time	time	time
just	just	just
don	don	don
t	t	t
go	go	go
together	togeth	together
.	.	.
First	first	First
,	,	,
he	he	he
says	say	say
that	that	that
8	8	8
Democrats	democrat	Democrats
control	control	control
the	the	the
Senate	senat	Senate
because	becaus	because
of	of	of
the	the	the
filibuster	filibust	filibuster
.	.	.
Trump	trump	Trump
has	has	ha
advocated	advoc	advocated
that	that	that
the	the	the
GOP	gop	GOP
use	use	use
the	the	the
nuclear	nuclear	nuclear
option	option	option
to	to	to
get	get	get
rid	rid	rid
of	of	of
the	the	the
filibuster	filibust	filibuster
for	for	for
some	some	some
time	time	time
,	,	,
but	but	but
most	most	most
if	if	if
not	not	not
all	all	all
Republicans	republican	Republicans
are	are	are
hesitant	hesit	hesitant
they	they	they
know	know	know
that	that	that
