Question	question	Question
How	how	How
do	do	do
you	you	you
see	see	see
the	the	the
future	futur	future
of	of	of
Russian	russian	Russian
-US	-us	-US
diplomatic	diplomat	diplomatic
relations	relat	relation
in	in	in
the	the	the
context	context	context
of	of	of
the	the	the
current	current	current
atmosphere	atmospher	atmosphere
in	in	in
Washington	washington	Washington
?	?	?
Can	can	Can
you	you	you
confirm	confirm	confirm
that	that	that
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
will	will	will
come	come	come
to	to	to
Moscow	moscow	Moscow
in	in	in
April	april	April
?	?	?
Maria	maria	Maria
Zakharova	zakharova	Zakharova
Apparently	appar	Apparently
,	,	,
many	mani	many
volumes	volum	volume
have	have	have
been	been	been
written	written	written
about	about	about
the	the	the
development	develop	development
of	of	of
Russian	russian	Russian
-US	-us	-US
relations	relat	relation
.	.	.
I	i	I
announced	announc	announced
the	the	the
release	releas	release
of	of	of
the	the	the
Foreign	foreign	Foreign
Ministry	ministri	Ministry
s	s	s
yearend	yearend	yearend
Diplomatic	diplomat	Diplomatic
Bulletin	bulletin	Bulletin
and	and	and
even	even	even
showed	show	showed
it	it	it
at	at	at
the	the	the
previous	previous	previous
briefing	brief	briefing
.	.	.
I	i	I
believe	believ	believe
that	that	that
about	about	about
20	20	20
per	per	per
cent	cent	cent
of	of	of
that	that	that
bulletin	bulletin	bulletin
was	was	wa
devoted	devot	devoted
to	to	to
Russian	russian	Russian
-US	-us	-US
relations	relat	relation
,	,	,
the	the	the
way	way	way
we	we	we
see	see	see
them	them	them
,	,	,
how	how	how
we	we	we
want	want	want
them	them	them
to	to	to
develop	develop	develop
,	,	,
what	what	what
we	we	we
expect	expect	expect
from	from	from
Washington	washington	Washington
,	,	,
what	what	what
we	we	we
are	are	are
willing	will	willing
to	to	to
do	do	do
with	with	with
the	the	the
United	unit	United
States	state	States
,	,	,
the	the	the
priority	prioriti	priority
areas	area	area
of	of	of
cooperation	cooper	cooperation
,	,	,
areas	area	area
where	where	where
our	our	our
cooperation	cooper	cooperation
should	should	should
be	be	be
revived	reviv	revived
without	without	without
delay	delay	delay
and	and	and
the	the	the
areas	area	area
where	where	where
this	this	this
can	can	can
wait	wait	wait
,	,	,
at	at	at
least	least	least
for	for	for
a	a	a
limited	limit	limited
time	time	time
.	.	.
This	this	This
issue	issu	issue
has	has	ha
been	been	been
covered	cover	covered
in	in	in
interviews	interview	interview
by	by	by
Foreign	foreign	Foreign
Minister	minist	Minister
Sergey	sergey	Sergey
Lavrov	lavrov	Lavrov
,	,	,
comments	comment	comment
by	by	by
Deputy	deputi	Deputy
Foreign	foreign	Foreign
Minister	minist	Minister
Sergey	sergey	Sergey
Ryabkov	ryabkov	Ryabkov
and	and	and
in	in	in
numerous	numer	numerous
statements	statement	statement
made	made	made
at	at	at
all	all	all
levels	level	level
by	by	by
representatives	repres	representative
from	from	from
various	various	various
Russian	russian	Russian
agencies	agenc	agency
,	,	,
political	polit	political
analysts	analyst	analyst
and	and	and
politicians	politician	politician
,	,	,
as	as	a
well	well	well
as	as	a
officials	offici	official
from	from	from
the	the	the
legislative	legisl	legislative
and	and	and
executive	execut	executive
authorities	author	authority
.	.	.
We	we	We
can	can	can
talk	talk	talk
about	about	about
bilateral	bilater	bilateral
relations	relat	relation
with	with	with
a	a	a
different	differ	different
degree	degre	degree
of	of	of
mastery	masteri	mastery
,	,	,
but	but	but
we	we	we
would	would	would
like	like	like
to	to	to
start	start	start
implementing	implement	implementing
our	our	our
relationship	relationship	relationship
at	at	at
long	long	long
last	last	last
.	.	.
We	we	We
provided	provid	provided
our	our	our
views	view	view
on	on	on
bilateral	bilater	bilateral
relations	relat	relation
and	and	and
the	the	the
reasons	reason	reason
for	for	for
blocking	block	blocking
them	them	them
under	under	under
President	presid	President
Obama	obama	Obama
.	.	.
We	we	We
said	said	said
that	that	that
we	we	we
were	were	were
willing	will	willing
to	to	to
work	work	work
with	with	with
the	the	the
new	new	new
US	us	US
administration	administr	administration
,	,	,
under	under	under
President	presid	President
Trump	trump	Trump
.	.	.
I	i	I
don	don	don
t	t	t
think	think	think
we	we	we
need	need	need
to	to	to
invent	invent	invent
anything	anyth	anything
in	in	in
this	this	this
respect	respect	respect
,	,	,
because	becaus	because
so	so	so
much	much	much
has	has	ha
been	been	been
said	said	said
before	befor	before
.	.	.
Simply	simpli	Simply
,	,	,
we	we	we
should	should	should
start	start	start
concrete	concret	concrete
practical	practic	practical
work	work	work
.	.	.
We	we	We
are	are	are
ready	readi	ready
for	for	for
this	this	this
.	.	.
You	you	You
know	know	know
that	that	that
we	we	we
always	alway	always
invite	invit	invite
our	our	our
American	american	American
colleagues	colleagu	colleague
and	and	and
diplomats	diplomat	diplomat
to	to	to
join	join	join
bilateral	bilater	bilateral
or	or	or
multilateral	multilater	multilateral
dialogues	dialogu	dialogue
on	on	on
issues	issu	issue
in	in	in
which	which	which
the	the	the
United	unit	United
States	state	States
has	has	ha
traditionally	tradit	traditionally
played	play	played
a	a	a
big	big	big
and	and	and
active	activ	active
role	role	role
,	,	,
such	such	such
as	as	a
Syria	syria	Syria
,	,	,
the	the	the
consultations	consult	consultation
in	in	in
Astana	astana	Astana
and	and	and
many	mani	many
others	other	others
.	.	.
We	we	We
expect	expect	expect
Washington	washington	Washington
to	to	to
formulate	formul	formulate
its	it	it
foreign	foreign	foreign
policy	polici	policy
approaches	approach	approach
in	in	in
the	the	the
form	form	form
of	of	of
a	a	a
concept	concept	concept
.	.	.
We	we	We
are	are	are
ready	readi	ready
for	for	for
pragmatic	pragmat	pragmatic
and	and	and
specific	specif	specific
work	work	work
on	on	on
the	the	the
principles	principl	principle
that	that	that
we	we	we
have	have	have
described	describ	described
many	mani	many
times	time	time
.	.	.
As	as	As
for	for	for
the	the	the
visit	visit	visit
by	by	by
US	us	US
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
and	and	and
the	the	the
information	inform	information
about	about	about
it	it	it
,	,	,
this	this	this
is	is	is
what	what	what
I	i	I
can	can	can
say	say	say
.	.	.
It	it	It
s	s	s
not	not	not
a	a	a
secret	secret	secret
that	that	that
preparations	prepar	preparation
for	for	for
any	ani	any
visit	visit	visit
include	includ	include
the	the	the
coordination	coordin	coordination
of	of	of
the	the	the
time	time	time
when	when	when
it	it	it
can	can	can
be	be	be
announced	announc	announced
.	.	.
Visits	visit	Visits
by	by	by
foreign	foreign	foreign
ministers	minist	minister
are	are	are
public	public	public
events	event	event
that	that	that
are	are	are
never	never	never
kept	kept	kept
secret	secret	secret
.	.	.
At	at	At
least	least	least
,	,	,
I	i	I
don	don	don
t	t	t
know	know	know
about	about	about
any	ani	any
secret	secret	secret
visits	visit	visit
by	by	by
foreign	foreign	foreign
ministers	minist	minister
in	in	in
Russia	russia	Russia
or	or	or
the	the	the
United	unit	United
States	state	States
.	.	.
Preparations	prepar	Preparations
for	for	for
such	such	such
a	a	a
visit	visit	visit
also	also	also
include	includ	include
the	the	the
coordination	coordin	coordination
of	of	of
the	the	the
format	format	format
,	,	,
agenda	agenda	agenda
and	and	and
the	the	the
date	date	date
it	it	it
can	can	can
be	be	be
announced	announc	announced
to	to	to
the	the	the
public	public	public
.	.	.
It	it	It
is	is	is
a	a	a
matter	matter	matter
of	of	of
propriety	proprieti	propriety
and	and	and
respect	respect	respect
for	for	for
each	each	each
other	other	other
s	s	s
interests	interest	interest
.	.	.
One	one	One
side	side	side
proposes	propos	proposes
a	a	a
date	date	date
,	,	,
and	and	and
the	the	the
other	other	other
side	side	side
is	is	is
expected	expect	expected
to	to	to
accept	accept	accept
it	it	it
.	.	.
This	this	This
date	date	date
should	should	should
be	be	be
acceptable	accept	acceptable
to	to	to
both	both	both
sides	side	side
,	,	,
because	becaus	because
the	the	the
foreign	foreign	foreign
ministers	minist	minister
have	have	have
packed	pack	packed
schedules	schedul	schedule
.	.	.
The	the	The
issue	issu	issue
also	also	also
concerns	concern	concern
the	the	the
coordination	coordin	coordination
of	of	of
the	the	the
agenda	agenda	agenda
by	by	by
experts	expert	expert
.	.	.
One	one	One
side	side	side
informs	inform	informs
the	the	the
other	other	other
side	side	side
of	of	of
the	the	the
issues	issu	issue
it	it	it
plans	plan	plan
to	to	to
discuss	discuss	discus
,	,	,
and	and	and
the	the	the
other	other	other
side	side	side
needs	need	need
to	to	to
respond	respond	respond
that	that	that
the	the	the
agenda	agenda	agenda
is	is	is
acceptable	accept	acceptable
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
the	the	the
sides	side	side
need	need	need
to	to	to
reach	reach	reach
agreements	agreement	agreement
on	on	on
many	mani	many
issues	issu	issue
,	,	,
after	after	after
which	which	which
they	they	they
can	can	can
announce	announc	announce
an	an	an
upcoming	upcom	upcoming
visit	visit	visit
.	.	.
This	this	This
is	is	is
how	how	how
we	we	we
work	work	work
with	with	with
our	our	our
colleagues	colleagu	colleague
.	.	.
To	to	To
tell	tell	tell
the	the	the
truth	truth	truth
,	,	,
over	over	over
the	the	the
past	past	past
few	few	few
years	year	year
we	we	we
