Former	former	Former
British	british	British
Army	armi	Army
officer	offic	officer
,	,	,
outspoken	outspoken	outspoken
,	,	,
conservative	conserv	conservative
,	,	,
radio	radio	radio
and	and	and
tv	tv	tv
talk	talk	talk
show	show	show
host	host	host
,	,	,
Katie	kati	Katie
Hopkins	hopkin	Hopkins
warned	warn	warned
Americans	american	Americans
to	to	to
fight	fight	fight
back	back	back
against	against	against
the	the	the
appeasement	appeas	appeasement
and	and	and
political	polit	political
correctness	correct	correctness
in	in	in
the	the	the
United	unit	United
States	state	States
of	of	of
America	america	America
.	.	.
British	british	British
conservative	conserv	conservative
icon	icon	icon
,	,	,
Katie	kati	Katie
Hopkins	hopkin	Hopkins
gave	gave	gave
a	a	a
blistering	blister	blistering
speech	speech	speech
about	about	about
the	the	the
dangers	danger	danger
of	of	of
political	polit	political
correctness	correct	correctness
and	and	and
appeasement	appeas	appeasement
at	at	at
the	the	the
David	david	David
Horowitz	horowitz	Horowitz
Restoration	restor	Restoration
weekend	weekend	weekend
in	in	in
Palm	palm	Palm
Beach	beach	Beach
,	,	,
Florida	florida	Florida
.	.	.
Look	look	Look
at	at	at
us	us	u
,	,	,
let	let	let
us	us	u
be	be	be
a	a	a
warning	warn	warning
.	.	.
Be	be	Be
better	better	better
than	than	than
us	us	u
.	.	.
I	i	I
ve	ve	ve
watched	watch	watched
my	my	my
country	countri	country
fall	fall	fall
apart	apart	apart
,	,	,
and	and	and
I	i	I
want	want	want
to	to	to
warn	warn	warn
others	other	others
before	befor	before
they	they	they
let	let	let
their	their	their
country	countri	country
do	do	do
the	the	the
same	same	same
.	.	.
And	and	And
believe	believ	believe
me	me	me
,	,	,
I	i	I
love	love	love
my	my	my
country	countri	country
.	.	.
Katie	kati	Katie
touched	touch	touched
on	on	on
many	mani	many
topics	topic	topic
that	that	that
most	most	most
Americans	american	Americans
are	are	are
afraid	afraid	afraid
to	to	to
address	address	address
.	.	.
Hopkins	hopkin	Hopkins
reveals	reveal	reveals
a	a	a
horrifying	horrifi	horrifying
story	stori	story
of	of	of
a	a	a
Muslim	muslim	Muslim
woman	woman	woman
,	,	,
