As	as	As
we	we	we
pointed	point	pointed
out	out	out
throughout	throughout	throughout
the	the	the
months	month	month
leading	lead	leading
up	up	up
to	to	to
the	the	the
election	elect	election
,	,	,
crowd	crowd	crowd
size	size	size
matters	matter	matter
.	.	.
President	presid	President
Trump	trump	Trump
was	was	wa
crushing	crush	crushing
Hillary	hillari	Hillary
Clinton	clinton	Clinton
in	in	in
number	number	number
of	of	of
rallies	ralli	rally
and	and	and
number	number	number
of	of	of
participants	particip	participant
at	at	at
his	his	his
rallies	ralli	rally
when	when	when
compared	compar	compared
to	to	to
Clinton	clinton	Clinton
.	.	.
Trump	trump	Trump
did	did	did
won	won	won
in	in	in
an	an	an
electoral	elector	electoral
landslide	landslid	landslide
.	.	.
Nevertheless	nevertheless	Nevertheless
,	,	,
the	the	the
numbers	number	number
at	at	at
the	the	the
rallies	ralli	rally
were	were	were
significantly	signific	significantly
different	differ	different
between	between	between
the	the	the
two	two	two
candidates	candid	candidate
and	and	and
the	the	the
one	one	one
with	with	with
the	the	the
larger	larger	larger
number	number	number
of	of	of
participants	particip	participant
won	won	won
the	the	the
election	elect	election
.	.	.
The	the	The
media	media	medium
remained	remain	remained
silent	silent	silent
on	on	on
the	the	the
crowd	crowd	crowd
size	size	size
numbers	number	number
when	when	when
it	it	it
was	was	wa
clear	clear	clear
that	that	that
Trump	trump	Trump
was	was	wa
crushing	crush	crushing
Hillary	hillari	Hillary
in	in	in
this	this	this
area	area	area
.	.	.
But	but	But
late	late	late
last	last	last
week	week	week
the	the	the
media	media	medium
finally	final	finally
reported	report	reported
that	that	that
crowd	crowd	crowd
size	size	size
does	doe	doe
matter	matter	matter
.	.	.
CNN	cnn	CNN
Fake	fake	Fake
News	news	News
reported	report	reported
that	that	that
President	presid	President
Trump	trump	Trump
s	s	s
crowd	crowd	crowd
size	size	size
was	was	wa
much	much	much
smaller	smaller	smaller
than	than	than
President	presid	President
Obama	obama	Obama
s	s	s
crowd	crowd	crowd
size	size	size
in	in	in
2009	2009	2009
,	,	,
and	and	and
CNN	cnn	CNN
provided	provid	provided
two	two	two
pictures	pictur	picture
to	to	to
show	show	show
the	the	the
difference	differ	difference
.	.	.
However	howev	However
,	,	,
the	the	the
pictures	pictur	picture
in	in	in
the	the	the
article	articl	article
show	show	show
the	the	the
crowd	crowd	crowd
size	size	size
for	for	for
Obama	obama	Obama
when	when	when
he	he	he
was	was	wa
speaking	speak	speaking
during	dure	during
his	his	his
2009	2009	2009
inauguration	inaugur	inauguration
with	with	with
the	the	the
crowd	crowd	crowd
from	from	from
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
approximately	approxim	approximately
3	3	3
hours	hour	hour
before	befor	before
Trump	trump	Trump
spoke	spoke	spoke
.	.	.
CNN	cnn	CNN
s	s	s
report	report	report
was	was	wa
another	anoth	another
of	of	of
their	their	their
Fake	fake	Fake
News	news	News
lies	lie	lie
.	.	.
The	the	The
photos	photo	photo
used	use	used
in	in	in
their	their	their
post	post	post
were	were	were
not	not	not
comparing	compar	comparing
apples	appl	apple
to	to	to
apples	appl	apple
and	and	and
President	presid	President
Trump	trump	Trump
s	s	s
Press	press	Press
Secretary	secretari	Secretary
